Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14972,4372,3488,-273,152,-623,-14156,5364,1512,-475,235,-192
20,-14900,4292,3444,-327,107,-664,-14276,5520,1420,-551,217,-204
40,-14940,4308,3464,-324,7,-699,-14296,5400,1552,-626,50,-202
60,-14880,4212,3420,-331,59,-683,-14276,5280,1436,-643,4,-226
80,-15036,4272,3332,-269,113,-480,-14376,5324,1520,-685,-80,-211
100,-14900,4296,3420,-322,82,-376,-14196,5340,1452,-690,-35,-210
120,-15092,4424,3460,-345,108,-338,-14472,5484,1352,-616,-11,-205
140,-14864,4288,3340,-353,112,-436,-14208,5460,1508,-595,4,-219
160,-14876,4248,3420,-321,157,-505,-14212,5348,1444,-590,22,-214
180,-14968,4224,3360,-241,126,-417,-14264,5288,1312,-546,-55,-189
200,-15056,4424,3356,-195,42,-349,-14372,5356,1400,-483,-144,-115
220,-15036,4436,3344,-336,-56,-367,-14388,5324,1492,-425,-126,-160
240,-14936,4188,3512,-320,-64,-421,-14208,5352,1464,-431,-124,-184
260,-14884,4340,3520,-266,-42,-363,-14236,5368,1408,-414,101,-129
280,-14928,4292,3428,-239,69,-355,-14416,5456,1396,-497,32,-92
300,-14872,4412,3464,-231,138,-383,-14356,5488,1560,-474,-36,-83
320,-14964,4332,3472,-257,169,-461,-14280,5524,1420,-450,-18,-52
340,-15044,4400,3444,-232,152,-511,-14320,5276,1468,-467,112,-89
360,-14892,4480,3364,-236,85,-536,-14328,5372,1416,-471,268,-135
380,-14924,4364,3368,-291,321,-600,-14068,5208,1392,-535,806,-191
400,-14892,4440,3380,-402,530,-532,-14232,5460,1568,-550,982,-97
420,-14912,4416,3444,-338,634,-645,-14396,5560,1560,-611,771,-131
440,-14848,4324,3272,-429,595,-736,-14404,5404,1536,-637,513,-133
460,-15040,4436,3280,-355,423,-828,-14288,5344,1292,-662,128,-136
480,-15044,4232,3292,-307,195,-674,-14240,5304,964,-670,-58,-116
500,-15124,4296,3272,-310,-48,-528,-14212,5332,1044,-652,-202,-34
520,-15056,4284,3260,-270,-147,-325,-14192,5300,1032,-581,-151,20
540,-15008,4388,3348,-257,-119,-271,-14200,5436,1300,-440,93,45
560,-14984,4396,3360,-217,-79,-267,-14236,5468,1328,-442,-45,77
580,-14952,4424,3372,-254,-150,-405,-14364,5536,1364,-438,-165,48
600,-14896,4372,3356,-267,-172,-545,-14296,5528,1224,-467,-226,3
620,-14948,4312,3260,-286,-140,-576,-14268,5328,1336,-490,-129,46
640,-14996,4308,3376,-289,-80,-521,-14280,5336,1304,-476,-61,61
660,-14988,4328,3404,-306,21,-434,-14232,5348,1280,-451,-70,44
680,-14968,4336,3376,-236,58,-417,-14424,5404,1612,-454,-208,44
700,-14904,4540,3328,-278,87,-463,-14364,5416,1476,-480,-142,-1
720,-14884,4472,3280,-311,167,-645,-14300,5492,1248,-422,120,-29
740,-14892,4380,3380,-281,264,-715,-14260,5396,1260,-377,363,-84
760,-15112,4312,3272,-186,102,-630,-14724,5244,1376,-407,220,-66
780,-15104,4532,3192,-445,-229,-614,-14752,5796,1768,-616,-146,-83
800,-14932,4552,3584,-567,-448,-1376,-15400,5932,2332,-1059,-810,-181
820,-15108,4584,3432,-1225,671,-2312,-14736,6148,2176,-1443,-550,-508
840,-15844,3940,3816,-2159,3221,-2036,-14228,4912,2328,-1023,2189,-221
860,-18400,2432,3656,-2504,5301,395,-17992,3012,2980,-405,3702,1386
880,-22948,880,4336,-5196,1654,-1194,-20024,2812,1952,-207,3718,4136
900,-23444,2036,5112,-7030,-4136,836,-20420,4300,1800,1136,704,6314
920,-21892,476,3388,-7040,-2859,992,-19156,3508,220,974,1456,8711
940,-20616,1176,2796,-7143,165,2030,-17016,4720,-220,958,7777,11992
960,-19896,328,1520,-9503,7022,2961,-16168,5752,-1292,337,16221,13517
980,-18632,2260,-712,-12740,14950,5400,-11952,6444,-3164,-1546,27212,15038
1000,-16700,4692,-3300,-17207,32767,10801,-7756,7752,-5208,-4257,32767,16230
1020,-12888,7932,-10576,-26785,32767,18311,-1792,10492,-9076,-7578,32767,16048
1040,-16416,6344,-12596,-32768,32767,26359,-4232,11088,-12080,-10716,32767,14997
1060,-18876,6892,-10736,-32768,32767,32240,-7664,12184,-12500,-13922,32767,12572
1080,-15384,4212,-4608,-32768,32767,30265,-13652,11436,-14476,-16087,32767,9978
1100,-12764,3700,6964,-30570,32767,18489,-15640,10008,-12276,-14299,32767,6889
1120,-10804,5308,11744,-10365,21843,11515,-12672,8360,-6064,-11025,12236,4788
1140,200,8696,2520,817,-13992,6527,-6272,8736,144,-7657,-8648,572
1160,9112,11524,-3636,-5486,-22241,-3878,-692,9268,860,-4133,-17521,-2536
1180,8724,9904,-588,-15898,-17073,-17334,292,9992,-1328,-1837,-11883,-7922
1200,1032,7224,3232,-19338,-19879,-30311,-7884,10360,-1928,518,-11878,-10921
1220,-6272,5532,4860,-17821,-32768,-32768,-17428,11016,-4268,3148,-28627,-12621
1240,-8624,4380,6772,-14084,-32768,-32768,-22520,12780,-7080,6285,-32768,-11701
1260,-13188,3872,6876,-8804,-32768,-32768,-16840,14944,-15140,4478,-32768,-9774
1280,-14612,4256,4064,-4761,-32768,-32768,-15616,15644,-17216,1478,-32768,-8839
1300,-13168,1088,8040,-8303,-32768,-32768,-11856,14820,-13620,-1036,-32768,-7664
1320,-20012,-3168,17976,-5993,-32768,-32768,-900,11912,-7516,-1711,-32768,-7199
1340,-21332,-6356,17792,-4828,-32768,-32768,8512,10660,4436,-2112,-32768,-4134
1360,-23908,-6796,18884,-5783,-2999,-4442,10052,8272,9724,-3467,10847,-4358
1380,-29672,-8080,13952,-6726,28227,32767,2668,9056,2408,-2134,32767,-1723
1400,-23376,-9728,13940,-4039,32767,32767,-7160,10524,-9864,-3948,32767,3411
1420,-25052,-3140,7972,-11101,32767,32767,-14572,10360,-17924,-4622,32767,7029
1440,-23408,-608,8068,-12559,32767,32767,-18492,13868,-20816,-8119,32767,9559
1460,-15492,2864,8448,-7108,32767,32767,-20956,13484,-19208,-9541,32767,11050
1480,-10680,1300,11280,3316,32767,32767,-24672,12188,-12604,-9384,32767,10647
1500,-4696,5512,8964,19779,17875,32767,-23184,9504,-6592,-6516,14531,10850
1520,1156,3844,5176,26423,17622,19381,-9644,7800,-3420,-2288,-12256,7327
1540,1704,6544,104,29669,-10220,14622,-2604,8596,-1176,859,-21847,3206
1560,1444,10320,-488,23183,-20946,3104,-1956,9700,-708,2673,-18374,-1309
1580,-3036,8484,424,18160,-22641,-7724,-9312,9396,-1112,5294,-22021,-4142
1600,-13356,7280,1592,17554,-32768,-18484,-16664,9272,-2552,8116,-32768,-4991
1620,-18416,6348,1196,20174,-32768,-26844,-22352,10648,-6396,10399,-32768,-5320
1640,-23440,7916,-996,26381,-32768,-29268,-18976,12364,-13204,10685,-32768,-5962
1660,-24184,7100,-3488,32767,-32768,-27527,-6904,14852,-21432,5385,-32768,-7628
1680,-18668,6572,-2492,32767,-32768,-27292,3600,12872,-16560,530,-32768,-11370
1700,-8916,4604,-4584,32767,-32768,-8339,7640,11304,-5084,-4037,-32768,-11819
1720,-1104,9272,504,32767,-24455,-2024,7608,11708,4300,-4218,-14223,-12550
1740,-5608,10684,-364,16427,20926,-3946,-7268,6804,6700,-2352,26930,-9551
1760,-14636,6784,1048,1194,32767,-9297,-19080,6036,5080,611,32767,-8559
1780,-21772,3936,3852,-3194,32767,-8321,-18364,5728,2440,1933,20919,-8056
1800,-21536,2500,4264,-407,16245,-3522,-17136,6080,-1092,1496,9652,-7670
1820,-19072,2964,3176,9701,2917,-4125,-17844,5440,-2648,2174,4446,-7976
1840,-16888,1044,1600,12752,-2514,-6593,-15292,3952,-1440,1258,1,-8223
1860,-17656,2940,-496,12928,-5229,-5220,-15944,5236,-328,365,-5333,-7954
1880,-14556,3372,-112,10649,-6804,-5235,-13340,4096,540,-1040,-6379,-5997
1900,-12888,4068,56,6174,-4187,-4806,-12260,4184,1968,-841,-3934,-6595
1920,-13464,3352,1084,1934,-497,-4831,-12792,3684,1604,-786,-2273,-6609
1940,-28632,-2260,7796,5463,1393,-7479,-15508,3524,2660,-500,328,-5388
1960,-23660,5988,5304,-3362,9272,-10928,-26676,388,5108,592,2931,-3080
1980,-24868,-1424,-2884,-2244,7287,599,-14944,5856,-944,1604,-399,716
2000,-16240,4540,740,-1545,4405,5711,-20404,2692,264,619,2787,1734
2020,-12304,5708,2392,-606,1696,1985,-12788,6624,-52,1160,4052,-566
2040,-14420,5540,1160,195,-2158,-672,-13728,7300,640,708,3286,-1475
2060,-15708,5660,748,-194,-2057,-1811,-14816,7176,1408,-122,585,-1033
2080,-15836,4832,420,-698,-4902,-2324,-15528,6188,1404,-689,-2788,-969
2100,-15176,4700,1256,-1794,-7125,-2298,-14216,5676,860,-1072,-4847,-843
2120,-15044,4336,1740,-2795,-6985,-2072,-14192,5128,980,-1072,-4875,-609
2140,-14820,3956,2808,-2419,-5903,-661,-14436,4704,196,-1088,-4321,-414
2160,-14772,3864,3400,-723,-4749,-7,-14004,4488,324,-871,-2899,-428
2180,-14932,4152,3340,-160,-2677,224,-13392,4860,700,-549,-1200,-334
2200,-14636,4276,3524,-87,-920,511,-13920,5128,1508,-284,27,-127
2220,-14732,4532,3416,-120,174,556,-14068,5236,1620,-111,277,4
2240,-14876,4576,3264,-84,701,475,-14884,5456,1544,39,249,8
2260,-15048,4748,2944,-8,134,-64,-14644,5816,1412,-42,-430,-144
2280,-14988,4588,2880,-137,-484,-294,-14192,5552,1216,-62,-515,-234
2300,-15056,4568,3080,-152,-1086,-312,-14288,5544,1296,-126,-572,-176
