Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16772,612,-5772,252,-175,127,10728,-7568,-9600,400,-490,-272
20,16500,568,-5508,260,-271,121,10756,-7580,-9452,396,-465,-276
40,16664,616,-5268,130,-241,41,10716,-7524,-9644,346,-386,-281
60,16380,560,-5372,18,-269,-64,10740,-7540,-9560,320,-307,-307
80,16540,464,-5592,-268,-181,-245,10656,-7592,-9460,318,-77,-319
100,16668,548,-5896,-357,-44,-237,10540,-7592,-9500,303,-34,-326
120,16848,476,-5816,-86,-176,-159,10692,-7504,-9668,307,-114,-318
140,16740,516,-5768,21,-247,-67,10540,-7644,-9512,276,-186,-334
160,16608,504,-5700,41,-292,-51,10592,-7576,-9664,257,-254,-341
180,16808,708,-5504,85,-325,-60,10648,-7628,-9644,274,-283,-331
200,16676,488,-5520,-32,-243,-151,10652,-7540,-9588,297,-167,-312
220,16760,544,-5528,-379,-176,-168,10596,-7604,-9512,307,-128,-275
240,16972,424,-5920,-346,-118,-56,10584,-7612,-9500,324,-176,-312
260,16672,404,-5836,103,-169,-15,10512,-7524,-9596,346,-348,-322
280,16896,496,-5692,249,-282,-61,10724,-7464,-9660,317,-355,-334
300,16876,556,-5516,-15,-219,-25,10692,-7512,-9584,358,-272,-327
320,16804,592,-5712,21,-166,-23,10620,-7580,-9524,353,-280,-331
340,16608,592,-5652,109,-166,-73,10720,-7576,-9440,386,-320,-338
360,16660,600,-5604,81,-214,-107,10692,-7512,-9560,395,-292,-350
380,16640,640,-5548,48,-196,-170,10732,-7544,-9456,344,-158,-327
400,16712,640,-5504,-148,-117,-205,10620,-7648,-9520,340,-130,-343
420,16796,552,-5612,-291,-209,-159,10700,-7624,-9592,335,-128,-376
440,17008,504,-5812,-169,-140,-142,10680,-7592,-9656,381,-201,-356
460,16848,628,-5944,78,-173,-67,10704,-7672,-9596,427,-249,-324
480,16832,580,-5720,128,-132,-48,10628,-7556,-9532,441,-325,-313
500,16692,588,-5656,54,-123,-43,10612,-7608,-9536,444,-315,-323
520,16760,604,-5500,132,-102,-42,10596,-7548,-9452,414,-367,-337
540,16664,660,-5488,91,-184,32,10656,-7536,-9580,381,-327,-320
560,16512,600,-5564,-64,-261,79,10648,-7528,-9580,353,-291,-323
580,16744,544,-5616,-30,-212,49,10556,-7432,-9388,322,-373,-360
600,16716,676,-5696,127,-233,-5,10748,-7592,-9564,340,-354,-376
620,16492,528,-5564,131,-306,-91,10648,-7608,-9480,323,-288,-411
640,16484,596,-5392,234,-317,-306,10708,-7600,-9616,269,-230,-425
660,17004,688,-5476,-87,-254,-281,10580,-7560,-9532,252,-192,-444
680,16916,724,-5540,-291,-345,3,10808,-7568,-9512,250,-218,-431
700,17052,620,-5904,-166,-322,57,10748,-7652,-9460,284,-386,-425
720,16616,480,-5828,290,-348,13,10748,-7756,-9536,350,-443,-470
740,16556,628,-5396,452,-486,-131,10784,-7496,-9420,374,-415,-518
760,16252,676,-5296,117,-390,-345,10684,-7504,-9388,349,-197,-553
780,16296,864,-5208,-216,-303,-525,10628,-7496,-9332,286,51,-635
800,15924,784,-4956,-336,-490,-779,10892,-7236,-9348,192,715,-736
820,15648,936,-4828,-626,-716,-1274,10648,-7468,-9340,52,854,-816
840,15720,952,-4964,-1547,-725,-1834,10832,-7364,-9368,-66,1651,-996
860,16028,952,-5120,-2110,-603,-2634,11080,-7252,-9668,-24,2421,-1049
880,15976,964,-5272,-2682,-331,-3410,11204,-7400,-9376,-53,3466,-1129
900,15804,1032,-5508,-3228,-113,-4379,11480,-7528,-9636,122,4117,-1412
920,16444,1056,-6232,-3467,270,-5193,11356,-7436,-9332,200,4820,-1503
940,16568,1132,-7204,-2337,671,-5662,11504,-7632,-8772,397,4473,-1812
960,16208,1380,-7264,-400,446,-5990,11592,-7592,-8856,432,3781,-2027
980,16992,1340,-5764,3511,269,-6844,12040,-7516,-8696,659,3256,-2080
1000,16616,2696,-5588,2270,498,-6952,11936,-7600,-8612,941,3666,-2028
1020,15848,3164,-3952,1981,482,-7626,12160,-7388,-8468,903,4548,-2154
1040,16900,3532,-4324,307,958,-7462,11492,-7512,-8216,969,4602,-2141
1060,17304,3536,-5588,-351,1539,-6782,12012,-7424,-8088,1013,4319,-2047
1080,17364,3660,-6120,-130,1442,-6312,13024,-7368,-8780,1400,4277,-1832
1100,17928,3876,-7592,490,2414,-7202,14508,-7596,-9912,2269,4918,-1398
1120,19440,3596,-9940,1900,5101,-8814,13984,-7756,-10844,3854,4288,-670
1140,26108,3836,-17392,6489,9538,-7744,11684,-7564,-8268,5314,-4136,1065
1160,32767,3716,-21888,15685,10370,2461,8000,-6732,-5332,5751,-16483,1821
1180,32767,6948,-20336,32685,9235,22928,2912,-7652,-6008,5847,-32768,3191
1200,32767,15920,-9136,32767,8644,32767,5948,-6784,-11220,3417,-32768,5591
1220,-9628,31080,32767,31704,7825,30205,30128,-5760,-9824,1603,-32768,6746
1240,28412,13080,7280,-2172,-309,32767,5232,-6100,-1488,-1901,-17353,5469
1260,19176,4816,-5712,-8985,-6300,32767,3556,-8504,-6320,-3171,-24834,5615
1280,9624,-1380,-7036,5596,-4624,32767,4468,-8824,-11944,-4206,-25428,4079
1300,-6168,-3984,96,14301,-8353,32767,12528,-8324,-16756,-3395,-18610,4332
1320,-8112,-7368,5912,3932,-8249,15169,12796,-7824,-17428,-2102,-1461,4533
1340,-6052,-10112,6228,-13434,2446,-8937,9348,-7656,-17800,-179,14576,3961
1360,-1376,-9924,2976,-27945,6942,-27099,4440,-8584,-18364,1608,26201,1377
1380,4016,-8644,-1456,-32768,8588,-32768,-40,-8824,-15760,2213,30326,-2590
1400,10496,-6600,-9304,-32768,7740,-32768,-180,-9100,-11852,3177,27805,-5886
1420,15848,-5840,-19080,-25483,4653,-32768,1368,-8136,-10168,4395,23396,-8181
1440,27928,-3544,-28676,-12179,5808,-31546,4348,-6768,-6864,3937,9984,-9620
1460,32767,-176,-32768,11787,5772,-13181,5740,-6252,-5100,3236,-8723,-8262
1480,32767,9556,-25744,32767,-1221,11963,5868,-6844,-9140,2634,-27446,-4960
1500,22032,26316,32767,12541,-1922,25251,24000,-5364,-14460,1489,-32768,177
1520,22220,13044,14300,6092,-6765,21321,16828,-6464,-9128,-1200,-16856,5226
1540,24172,6140,-1264,6844,-4467,25890,6704,-7612,-6056,-2800,-16318,7388
1560,22912,-1812,-12076,2554,-6548,32767,1204,-8740,-11416,-2989,-18898,7072
1580,13516,-5696,-8348,19665,-3644,32767,6068,-9412,-18256,-1770,-19834,5636
1600,3788,-7164,1252,10037,-9134,32767,6968,-9280,-18768,211,-13593,4104
