Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14948,3480,564,-371,39,225,-14492,5060,-4672,192,-198,-193
20,-14892,3400,716,-241,-204,-46,-14768,4828,-4768,88,-558,-198
40,-15060,3412,584,-66,-754,-89,-14564,4836,-4680,-11,-990,-190
60,-14828,3400,192,-559,-457,-172,-14412,4872,-4420,47,-897,-267
80,-14796,3396,500,-908,-159,-322,-14208,4844,-4564,106,-451,-461
100,-14948,3396,960,-572,2,-414,-14412,4892,-4488,62,-233,-579
120,-15000,3332,1128,-271,74,-322,-14284,4928,-4472,110,-350,-675
140,-15080,3200,1108,-267,190,-247,-14492,4900,-4184,209,-253,-677
160,-14844,3340,1160,-165,171,-245,-14656,4888,-4572,333,-278,-677
180,-14956,3168,868,-6,-20,-522,-14748,4836,-4464,428,-467,-563
200,-15168,3300,588,-93,-628,-726,-14736,4904,-4380,533,-836,-360
220,-15320,3116,568,-171,-700,-556,-14308,4768,-4748,543,-943,-212
240,-15428,3292,540,-152,-326,-144,-14380,4588,-4592,461,-721,-111
260,-15300,3240,656,110,-295,139,-14456,4660,-4868,502,-500,27
280,-15388,3164,656,529,-113,290,-14396,4780,-4872,508,-315,124
300,-15152,3460,380,504,-234,481,-14332,4716,-4548,491,-65,159
320,-14896,3204,200,-11,-210,449,-14560,4780,-4564,547,42,174
340,-14744,3296,600,-221,-372,265,-14500,4680,-4424,535,-115,233
360,-14772,3312,612,-51,-339,127,-14272,4904,-4632,566,-334,123
380,-14700,3408,444,171,-363,-31,-14412,4860,-4524,463,-361,-28
400,-15144,3288,472,-151,-171,46,-14340,4812,-4468,445,-272,-136
420,-15020,3360,676,-188,-45,85,-14420,4788,-4628,419,-157,-181
440,-15180,3288,716,-43,40,152,-14196,4936,-4420,434,-95,-191
460,-15312,3344,916,97,233,348,-14440,4972,-4472,457,195,-257
480,-15312,3476,680,65,440,541,-14460,5044,-4564,414,480,-277
500,-15124,3380,520,-108,845,546,-14764,5032,-4612,455,687,-205
520,-15268,3388,724,-42,517,607,-14672,5032,-4644,443,494,-75
540,-15128,3508,552,98,284,488,-14696,5004,-4816,487,359,88
560,-14852,3632,616,16,-232,369,-14600,5004,-4732,515,-43,206
580,-14756,3556,648,118,-636,198,-14416,5076,-4840,461,-388,164
600,-15148,3472,552,56,-790,223,-14420,5076,-4588,357,-648,61
620,-14872,3540,532,-181,-239,315,-14160,4948,-4516,293,-476,102
640,-15032,3568,560,-90,177,421,-14096,5032,-4776,281,-169,-10
660,-14744,3688,276,50,225,369,-14416,4996,-4868,302,5,-107
680,-14840,3500,212,-95,163,142,-14328,4952,-4764,220,13,-160
700,-14888,3472,320,-456,-138,183,-14184,4876,-4608,239,-126,-153
720,-14884,3528,332,-492,-161,164,-14172,4916,-4732,218,-251,-106
740,-14952,3560,636,-356,308,176,-14268,4800,-4752,280,-193,-133
760,-15100,3472,540,-370,40,191,-14368,4820,-4752,284,-135,-148
780,-14936,3464,684,-265,147,166,-14452,4904,-4840,387,52,-75
800,-15440,3604,232,14,99,392,-14384,4864,-4852,315,29,-106
820,-15020,3480,180,-86,-77,592,-14324,4956,-4752,216,-69,-97
840,-15012,3564,256,-540,-102,393,-14508,5092,-4648,181,30,-79
860,-14928,3696,344,-882,-561,355,-14348,5076,-4860,196,-89,-116
880,-15048,3588,628,-857,-316,236,-14472,5208,-4764,73,-161,-88
900,-14984,3652,580,-760,-51,157,-14468,5184,-4788,-26,-286,21
920,-15012,3584,812,-726,-93,210,-14288,5192,-4732,27,-192,-28
940,-15272,3680,624,-811,102,377,-14320,5300,-4516,4,-115,-47
960,-14984,3776,748,-834,-149,431,-14512,5272,-4472,67,-23,-100
980,-14868,3456,972,-1018,-454,173,-14664,5304,-4596,136,-162,-62
1000,-15004,3528,1044,-872,-857,-154,-14868,5244,-4560,194,-668,179
1020,-15000,3412,1600,-601,-1568,-437,-15060,5216,-4544,272,-1332,404
1040,-15208,3320,1380,-113,-2595,-867,-15228,5232,-4380,282,-2356,850
1060,-14912,3288,1536,101,-3645,-1261,-14988,5084,-4436,403,-3396,1174
1080,-14680,3172,1532,65,-4452,-1904,-15072,5216,-4184,332,-4159,1501
1100,-14244,3204,2128,12,-6012,-3170,-15480,5200,-4368,442,-4947,2002
1120,-13640,2880,3168,101,-7260,-5441,-16108,5092,-4604,577,-6085,2833
1140,-13692,3228,2292,-1040,-7420,-8274,-16044,5688,-4296,-334,-6682,4063
1160,-19960,3804,-5348,-7016,-8074,-4631,-10712,5948,-304,95,-8772,3086
1180,-23008,4812,-12472,-18426,4641,9181,-696,7744,324,-2098,944,957
1200,-32020,5472,-10772,-27899,32767,32767,3304,4940,-3676,-255,20960,-6553
1220,-32192,4180,8912,-32768,32767,32767,-5980,3480,-18176,1943,32767,-11764
1240,-24844,-3008,20768,-15317,32767,32767,-19456,6288,-18580,-4048,32767,-10393
1260,-5148,-3924,21812,8371,32767,32767,-28708,5808,-10064,-5344,32767,-6647
1280,2420,-2884,15628,26027,2650,19052,-32504,3360,-4480,-2096,30152,1836
1300,2348,-4,-2464,32352,-32768,-9246,-24420,4608,224,2042,779,14604
1320,-600,8168,-8220,20450,-32768,-27488,-13456,3976,-11424,8292,-31879,12954
1340,-2820,6932,-10532,2936,-32768,-32768,-10252,3300,-15768,7699,-32768,10688
