Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15576,1088,764,11,-223,45,-11516,2716,12160,346,-457,-214
20,-15460,1140,676,-166,-111,147,-11544,2676,12216,385,-217,-215
40,-15524,952,696,-118,-286,147,-11476,2600,12196,387,-275,-221
60,-15292,1000,756,-10,-150,149,-11424,2612,12132,342,-262,-206
80,-15440,932,788,-71,-251,74,-11596,2640,12236,370,-248,-262
100,-15480,1096,520,-218,-165,138,-11432,2624,12060,348,-275,-244
120,-15428,968,844,-219,62,224,-11540,2620,12024,301,-96,-171
140,-15472,932,860,-13,-44,191,-11700,2552,12044,299,-77,-219
160,-15316,984,852,-39,-99,195,-11460,2564,12064,257,-216,-191
180,-15340,1132,832,2,13,139,-11376,2624,11992,224,-71,-217
200,-15308,1112,800,-80,-115,53,-11404,2652,12024,266,-103,-251
220,-15352,908,920,169,72,142,-11424,2680,12076,198,-191,-252
240,-15336,1088,648,480,316,267,-11368,2576,12256,247,82,-317
260,-15280,1104,768,406,296,97,-11596,2620,12292,332,20,-298
280,-15348,1184,672,14,21,23,-11468,2580,12088,303,-103,-338
300,-15360,1008,700,0,94,-9,-11488,2680,12164,318,-102,-331
320,-15340,1080,888,-79,-92,-111,-11532,2556,12316,289,-177,-362
340,-15592,1128,712,-148,-265,-75,-11520,2568,12020,270,-203,-366
360,-15508,1064,572,-82,-118,-35,-11608,2620,12224,265,-168,-352
380,-15412,1084,792,-262,-110,-35,-11580,2560,12156,273,-177,-376
400,-15540,1100,708,-230,-168,13,-11496,2560,12104,266,-262,-361
420,-15488,1164,676,-159,-104,-10,-11492,2540,12284,239,-289,-288
440,-15632,1240,576,-144,-64,60,-11652,2640,12092,277,-124,-284
460,-15468,1180,484,-252,-182,109,-11656,2628,12204,303,-187,-239
480,-15400,1016,668,-264,-258,-5,-11496,2632,11984,291,-333,-255
500,-15408,1060,788,-288,-339,-47,-11548,2600,11936,281,-355,-245
520,-15348,1096,548,-266,-274,24,-11360,2668,12132,286,-374,-262
540,-15352,960,700,-175,-78,7,-11528,2648,12112,349,-252,-288
560,-15320,1068,816,23,-182,-42,-11448,2516,12232,319,-231,-375
580,-15288,1020,616,-38,-240,-103,-11500,2508,12156,311,-297,-402
600,-15312,1076,752,-142,-101,-108,-11572,2580,11988,360,-222,-436
620,-15588,1108,804,-224,-115,-168,-11544,2544,12196,347,-293,-440
640,-15512,996,788,-244,-206,-117,-11496,2688,12000,317,-293,-412
660,-15380,1068,548,-143,-253,-126,-11608,2688,12056,328,-294,-438
680,-15396,1132,700,-145,-248,-105,-11572,2680,11968,296,-359,-422
700,-15444,1112,592,-152,-294,-78,-11660,2776,11988,304,-350,-427
720,-15444,1168,528,-123,-189,-96,-11572,2616,11948,322,-325,-388
740,-15524,1056,768,-190,-118,24,-11512,2560,12128,308,-164,-343
760,-15376,996,704,-137,-84,101,-11684,2524,12180,326,-134,-304
780,-15368,1124,684,-129,-176,-20,-11536,2768,12048,299,-253,-312
800,-15496,1044,652,-191,-277,-20,-11616,2616,12036,294,-300,-332
820,-15536,1124,832,-147,-198,65,-11496,2580,11904,306,-89,-284
840,-15404,1044,604,-72,-4,162,-11492,2580,11984,311,-65,-247
860,-15524,1048,816,-111,-38,100,-11796,2568,12168,309,-158,-261
880,-15568,984,620,-187,-318,38,-11564,2496,12192,292,-345,-226
900,-15504,1052,660,-154,-267,36,-11516,2752,12048,308,-357,-212
920,-15440,1048,880,-114,-168,22,-11548,2580,12076,326,-244,-276
940,-15272,976,824,-126,-395,-80,-11520,2560,12052,348,-374,-351
960,-15384,852,808,-90,-627,-243,-11568,2588,12180,369,-664,-395
980,-15172,840,752,-106,-939,-488,-11580,2504,12080,331,-987,-444
1000,-14996,860,880,-202,-1024,-765,-11376,2412,12112,295,-1123,-608
1020,-14916,552,996,-263,-1614,-1318,-11532,2268,12400,260,-1483,-788
1040,-14176,-12,1536,-338,-2778,-2576,-11736,2120,12604,125,-2254,-1130
1060,-12740,-748,3132,-1208,-6094,-6365,-12884,1960,13472,34,-3877,-1531
1080,-10204,-1880,3688,-2276,-10545,-13316,-14080,1464,15044,-305,-7066,-1533
1100,-4876,-2864,640,-6501,-6920,-24302,-14628,1200,18996,1012,-6337,-549
1120,-7780,-5480,-3444,-11817,4034,-32768,-11848,288,21912,4999,-235,-1434
1140,-14624,-3992,-17244,-28759,15531,-32768,-7856,2264,21044,10513,9181,-1054
1160,-28100,-7320,-30172,-32768,32767,-30566,4180,3052,11700,12256,31679,501
1180,-32768,-3544,-32768,-32768,32767,-3882,528,2060,3848,10757,32767,3893
1200,-32768,-14404,-27284,-32768,32767,19021,-6584,4064,-4484,7476,32767,7497
1220,-32768,-26160,-7276,-32768,17987,32767,-15424,5612,-9640,5648,32767,10713
1240,-14656,-32344,32767,-32768,-32768,28024,-32768,5492,600,6510,32767,11991
1260,-980,-17560,5720,-32768,-23292,32767,-19572,7168,936,6271,20935,5223
1280,-11916,-4244,4096,-5322,-7870,32767,-13460,5508,324,5953,14965,2786
1300,4700,-9096,480,13218,-6069,32767,-19752,5348,2844,5159,7375,4784
1320,6892,-9184,10464,31414,-13085,6344,-21908,4256,3532,4443,-14143,2429
1340,6028,-6216,2248,32767,-17390,-24756,-24260,4952,-660,3575,-32768,-967
1360,-4256,-7756,-1704,32767,-20938,-32768,-24376,6708,-5420,1889,-32768,-4969
1380,-13604,-7900,-12440,32767,-27233,-32768,-18596,7584,-6024,-72,-32768,-6660
1400,-19676,-3464,-22708,32767,-26602,-32768,-13196,7700,-524,-1628,-32768,-6561
1420,-27072,420,-30032,32767,-15275,-32768,-3248,6988,4528,-2117,-32768,-1268
1440,-32768,4180,-32416,7476,3301,-32768,4756,4356,9856,-2560,-14958,1842
1460,-32768,11844,-32768,-32768,20213,9049,11256,2196,9608,-200,23421,5325
1480,-32768,-10360,-32276,-32768,23098,32767,2624,7012,-484,21,32767,8868
1500,-32768,-22996,-24784,-32768,16914,32767,-13000,8876,-8140,-998,32767,10923
1520,-28396,-31868,-9816,-32768,2832,32767,-24680,9936,-8864,-537,32767,12110
1540,-11780,-29604,-580,-32768,1024,32767,-29560,9052,-4584,-343,32767,12172
1560,-11276,-24844,17564,-32768,-5180,32767,-30372,6800,120,-168,32767,11118
1580,-9200,-17816,22468,-10144,-27567,29699,-26992,6136,2940,1397,7518,8726
1600,-1032,-13532,12984,30005,-32768,11712,-19096,6028,1340,1202,-17004,9994
1620,200,-3704,1932,32767,-32768,-1577,-13236,6672,-1388,1839,-29843,4263
1640,-356,4752,-6840,32767,-29502,-9058,-10620,7380,-3548,1226,-32768,594
1660,-4968,6872,-8768,32767,-16991,-12210,-9864,8064,-4044,365,-32768,-3238
1680,-9460,8516,-10248,32767,-16094,-13594,-9668,7640,-3632,-1230,-32768,-5455
1700,-11244,8864,-12032,30362,-15558,-12753,-9840,7932,-2056,-3314,-29069,-5286
1720,-12108,9204,-12400,27746,-10540,-9024,-9752,7508,544,-4986,-25047,-4748
1740,-12804,7680,-11872,24162,-6031,-5202,-11472,7300,3344,-5779,-22007,-2294
1760,-13204,6040,-8812,16762,-5439,-4333,-13036,6780,5180,-7552,-22584,-367
1780,-13900,5984,-7400,8613,-14233,-6178,-10188,6880,6340,-6526,-16742,-4474
1800,-13124,4088,-5220,-335,-24237,-10004,-12796,6356,7664,-6210,-14234,-5907
1820,-11664,3104,-2992,-3709,-24534,-13161,-11660,6068,8272,-5826,-13749,-5769
1840,-13912,2072,-1512,-2226,-19981,-13980,-11404,6196,8896,-5231,-15159,-7377
1860,-15072,1488,-1124,1045,-16591,-12727,-10588,5676,8424,-5705,-15050,-7500
1880,-16232,132,928,4753,-14237,-11507,-12096,4792,9888,-5572,-14468,-6379
1900,-16472,1400,-816,8454,-12394,-9987,-11724,4620,10756,-5796,-15520,-5565
1920,-16116,2292,-2332,6819,-10397,-7507,-9952,4380,11148,-5878,-13892,-5176
1940,-15852,968,-632,4878,-6840,-5018,-10336,3448,11528,-5844,-9183,-4820
1960,-15916,-432,1728,6002,-6739,-4989,-11184,3588,12524,-5061,-3752,-6955
1980,-15912,436,956,5036,-9160,-6345,-11728,3904,13576,-5277,-4258,-6137
2000,-15924,320,176,1816,-9020,-7371,-11840,2644,13884,-4993,257,-2827
2020,-17456,-256,1444,-722,-7108,-7010,-13428,3688,14864,-3897,-5794,-4728
2040,-18456,-1236,2904,-1134,-7465,-6839,-12284,2600,14132,-4379,-7321,-4280
2060,-18644,-1328,3444,491,-8139,-6511,-14880,1828,14888,-3582,-10123,-3281
2080,-18464,-808,2676,801,-6143,-4749,-10980,2508,14508,-2720,-11323,-2967
2100,-18108,-804,2772,81,-3249,-2626,-10220,2240,14848,-1551,-6339,-2741
2120,-18200,-1032,3240,-162,-1154,-975,-10696,2236,14804,-1205,-2431,-1200
2140,-17736,-1256,3412,-286,28,459,-10652,1808,14540,-1008,564,-448
2160,-17144,-1492,3852,68,1261,1490,-11108,1856,14488,-396,2066,-272
2180,-16480,-1716,4156,983,727,1256,-11640,1800,14528,93,1071,-48
2200,-15472,-1144,3460,1378,329,525,-11232,1908,14240,691,-802,14
2220,-15108,-828,2644,1119,-2,245,-10112,2060,13892,836,-1174,-88
2240,-14712,-612,2268,476,1112,240,-10044,1912,13824,1002,235,116
2260,-14880,-364,1776,-380,3224,580,-9792,1952,13200,1169,2901,313
2280,-15680,-648,2088,-325,5593,1376,-10720,2148,12824,1201,5024,613
2300,-16352,-532,1900,136,6688,2112,-11008,2356,12664,1287,5461,889
2320,-16188,-716,2384,985,6387,2736,-11300,2276,12472,1212,4620,986
2340,-15428,-472,1908,1593,5805,2893,-11300,2248,12640,1277,3790,1028
2360,-15636,-244,1204,1499,4294,2749,-10896,2468,12536,1180,3032,774
2380,-14996,-176,1116,676,2600,2283,-10984,2368,12524,1241,2342,532
2400,-14400,-156,1260,267,894,1216,-11344,2528,12416,1160,931,350
2420,-14568,-176,1492,239,-673,302,-10780,2628,12028,865,-737,49
2440,-14192,-176,1544,886,-958,10,-10732,2608,11912,619,-1093,-197
2460,-13864,-24,1240,964,-491,-292,-10500,2548,12264,354,-1010,-389
2480,-14568,160,604,687,271,-390,-10340,2672,12360,227,-843,-752
2500,-14840,124,1164,82,728,-116,-10572,2532,12156,93,111,-843
2520,-14868,20,1108,-214,930,-215,-11100,2632,12392,15,501,-1010
2540,-15100,28,876,-108,538,-658,-11476,2564,12260,-43,42,-997
2560,-15568,-12,856,260,508,-668,-11392,2588,12308,-176,-308,-904
2580,-15792,48,928,617,1014,-471,-11444,2460,12432,-188,16,-725
2600,-15816,8,620,828,1525,-507,-11668,2604,12504,-142,141,-533
2620,-16096,24,716,875,1117,-556,-11468,2532,12520,-162,-83,-414
2640,-15816,120,600,343,721,-374,-11192,2412,12548,-123,-97,-372
2660,-15744,12,744,-173,553,-275,-11316,2424,12608,-47,-53,-338
2680,-16104,-52,864,-488,40,4,-11312,2460,12560,14,-146,-313
2700,-15664,-152,972,-496,-232,197,-11148,2460,12520,60,-66,-308
2720,-15252,-160,764,-630,-516,82,-11228,2400,12600,71,-186,-443
2740,-15316,-292,1136,-588,-484,-92,-11144,2248,12352,71,-259,-440
2760,-15108,-300,1288,-339,-504,-254,-10916,2336,12484,20,-383,-502
2780,-15012,-308,1176,-178,-397,-565,-11148,2268,12464,65,-390,-564
2800,-15804,-76,708,-99,-292,-580,-11116,2412,12340,31,-505,-723
2820,-15856,-132,492,-186,266,-120,-11344,2348,12456,127,-154,-530
2840,-15968,-148,832,-86,574,295,-11460,2316,12476,108,286,-431
2860,-15904,-156,592,70,136,222,-11840,2292,12540,140,72,-336
2880,-15836,4,648,6,-118,28,-11296,2440,12600,148,-259,-229
2900,-15612,24,532,-241,-204,19,-11228,2276,12604,211,-194,-171
2920,-15396,-52,636,-450,-109,27,-11316,2336,12512,211,-275,-73
2940,-15488,-172,932,-416,-121,14,-11156,2268,12440,199,-216,-105
2960,-15416,-244,952,-329,-123,27,-11176,2332,12408,175,-269,-166
2980,-15408,-116,720,-438,-330,58,-10972,2376,12408,176,-392,-190
