Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,17000,-912,1292,178,-587,454,11224,-10648,-4776,361,-759,-389
20,16884,-928,1236,251,-357,340,11348,-10796,-4612,352,-702,-315
40,16872,-960,1308,131,-138,141,11396,-10640,-4876,417,-333,-96
60,16948,-1000,1328,-172,-11,47,11328,-10680,-4936,401,-254,-190
80,16932,-988,1340,-182,-106,127,11116,-10608,-4896,352,-286,-198
100,16792,-940,1264,-238,-487,206,11064,-10764,-4624,387,-415,-151
120,16888,-980,1096,-97,-91,118,11376,-10668,-4932,293,-405,-168
140,16936,-1136,1224,34,-277,19,11312,-10648,-4956,279,-319,-206
160,17052,-992,1260,-295,-158,-48,11576,-10680,-5044,329,-189,-170
180,17200,-908,1052,-335,-87,-122,11200,-10724,-4776,406,-154,-203
200,17116,-940,1044,-64,-312,196,11172,-10624,-4776,400,-460,-300
220,17016,-888,1200,167,-675,341,11292,-10680,-4872,338,-637,-359
240,16760,-924,1264,121,-333,145,11452,-10656,-4844,339,-372,-300
260,16756,-924,1284,-87,-137,-35,11268,-10620,-4852,341,-124,-284
280,16808,-944,1232,-244,-203,-75,11096,-10600,-4796,288,-178,-323
300,16916,-956,1300,-97,-364,-6,11220,-10656,-4748,263,-289,-349
320,16956,-1012,1280,-286,-612,34,11208,-10676,-4928,211,-376,-349
340,17032,-1004,1244,-319,-403,14,11296,-10612,-4824,134,-235,-304
360,17032,-984,964,-208,-158,-138,11312,-10688,-4840,100,-154,-332
380,17116,-924,1236,-452,-445,-96,11364,-10672,-5040,221,-181,-326
400,17100,-880,1252,-482,-627,-32,11348,-10736,-4804,331,-194,-267
420,17108,-976,936,-228,-515,61,11328,-10672,-4756,347,-314,-261
440,17080,-972,912,-109,-276,207,11148,-10640,-4772,255,-450,-296
460,16876,-1140,1140,84,-247,155,11232,-10808,-4964,229,-391,-273
480,16880,-1256,1124,71,-254,11,11232,-10776,-4980,278,-289,-284
500,16976,-1180,1080,-253,-215,-42,11192,-10808,-4840,372,-225,-285
520,17192,-960,1180,-217,-254,-22,11156,-10628,-4964,384,-286,-278
540,17184,-888,908,-186,-402,122,11340,-10688,-4748,374,-399,-234
560,17128,-964,796,172,-203,292,11260,-10612,-4852,386,-525,-199
580,16744,-1064,1200,376,-349,171,11312,-10728,-4864,392,-543,-259
600,16788,-1124,1500,54,-348,88,11308,-10688,-5016,347,-324,-378
620,16664,-1024,1268,-37,-406,-74,11112,-10608,-4856,309,-327,-476
640,16768,-1032,1440,-215,-551,-171,11088,-10580,-4744,153,-258,-524
660,16864,-904,1288,-393,-613,-178,11276,-10568,-4744,16,-79,-574
680,16952,-1020,988,-355,-437,-262,11376,-10588,-4832,22,-88,-494
700,17132,-1112,984,-167,-537,-335,11316,-10652,-4880,59,-20,-468
720,17124,-948,1264,-140,-545,-155,11184,-10568,-4864,34,66,-470
740,17448,-736,1932,-466,-1511,438,10864,-10608,-4792,41,-382,-432
760,17416,-592,3304,-1983,-3143,1358,11108,-10636,-4636,-92,-984,-390
780,16744,-296,4292,-4025,-5588,1782,11628,-10600,-4824,-422,-1270,-370
800,16872,884,5900,-8533,-8721,2074,12332,-10456,-5096,-684,-610,-56
820,17632,1332,6484,-14375,-10577,2512,12348,-10656,-5060,-1093,1027,393
840,16460,792,5124,-19041,-11566,2080,12584,-10824,-4680,-1604,2770,795
860,14436,-808,1644,-18273,-11545,-859,12476,-10732,-3944,-1283,3608,1136
880,11352,-1920,-2956,-8671,-15663,-8338,13440,-11588,-3916,-2195,5889,1752
900,12676,-2924,-11304,7390,-13238,-17088,11796,-11464,-2552,-2275,7783,1304
920,17788,-3556,-20052,23976,-50,-20604,10480,-11164,200,-3395,4849,1417
940,21136,-4164,-22856,32767,8378,-18331,9256,-11152,-1900,-3135,-2746,915
960,23928,2728,-14492,32767,9706,-7353,5572,-11556,-4260,-1698,-15789,-520
980,27944,5172,-3960,32767,8050,6344,5604,-11596,-6976,840,-26929,-1138
1000,28332,8844,8260,27706,985,21931,6884,-10468,-9696,2330,-31485,-721
1020,23936,8360,13232,10596,-3756,32767,10440,-10812,-11052,839,-29659,256
1040,16108,7456,12500,-624,-8552,32767,13440,-10800,-9400,-584,-21600,1406
1060,11156,4864,7856,-9218,-11088,28835,14404,-11124,-7448,-1647,-9852,3572
1080,10912,2444,2820,-17502,-9010,22228,10904,-9812,-4676,-2472,-4156,4965
1100,11584,308,544,-26505,-9602,21527,7696,-9380,-6044,-4067,-2025,5201
1120,11352,-2356,1004,-29786,-10819,20331,7328,-9120,-8752,-5149,-1084,3604
1140,8036,-3924,704,-31093,-14543,17222,7724,-10164,-10004,-5097,1285,1835
1160,4708,-4108,-3204,-29660,-21762,11799,8420,-10408,-10556,-4589,3331,678
1180,2536,-4164,-8068,-24602,-27320,3546,7652,-10816,-9948,-4979,5157,-711
1200,7308,-4840,-16452,-22754,-25320,-1655,8328,-8868,-7404,-5744,6868,-1950
1220,4116,-8240,-24608,-15716,-6982,-13185,12876,-8172,-9340,-6082,10014,-1803
1240,9996,-12336,-32768,779,11082,-28401,11692,-7900,-12296,-5671,17134,-1980
1260,16324,-11184,-30504,14908,13068,-29065,5816,-9060,-14440,-3297,11540,-2391
1280,21940,-10620,-27320,30377,7892,-21213,6672,-11056,-12624,1989,-329,-1549
1300,20248,-5464,-16824,31309,4043,-11425,7804,-10480,-11700,4116,-11194,-2287
1320,19752,-3008,-11444,32767,9085,-9255,9416,-11088,-9276,5985,-10912,-770
1340,17872,-1904,-7668,30947,9612,-5372,5860,-10936,-7360,5885,-12952,-117
1360,21048,1488,-2008,25050,1508,6974,4972,-10268,-7116,4984,-19845,-1476
1380,20476,1840,260,16588,-4110,15622,7520,-10584,-7588,3818,-20896,-1556
1400,17844,688,-720,12000,-2939,18599,8184,-10792,-7560,2328,-19130,-803
1420,20124,1180,1016,9518,-5146,23328,6796,-9708,-6732,348,-16645,-163
1440,17464,1108,2496,3092,-9305,30520,5032,-10132,-8944,-1909,-19840,570
1460,13696,2376,9272,-10814,-20795,32767,7072,-9404,-10524,-2645,-22222,1212
1480,7440,3844,11648,-32768,-30699,32767,8916,-9504,-12920,-2792,-17095,1936
1500,1336,3564,2888,-32768,-23412,30808,9460,-9912,-11764,-4109,-7507,2369
1520,-1028,-160,-9372,-32768,-15188,20172,6892,-8628,-8740,-5790,1375,1963
1540,548,-4748,-19028,-32768,-9883,13326,4248,-6652,-8852,-8339,3893,-679
1560,600,-3540,-21576,-32768,-19799,7396,2312,-8624,-10480,-9969,1294,-2320
1580,5568,-1012,-27412,-32768,-14135,4938,5112,-6084,-12960,-8600,-1350,-2194
1600,2364,0,-31636,-23822,-4363,2266,6920,-6408,-17084,-7140,1823,-1789
1620,5040,-1920,-32768,-10176,-2502,-930,5008,-7148,-17212,-5196,1283,-1085
1640,6308,-1532,-28720,2073,-940,-2419,4080,-8756,-18028,-2302,-573,254
1660,8064,-2304,-23376,4541,-1801,-840,4920,-9196,-17364,495,-1633,714
1680,7608,-2480,-21940,5290,1423,410,5152,-9556,-14852,1549,1344,561
1700,7096,-2920,-19328,5413,3560,538,5072,-9436,-13388,2221,1925,507
1720,7432,-2644,-16860,4935,3647,132,4892,-8820,-12960,2472,680,-41
1740,7624,-2348,-16328,4814,4380,-134,5444,-8288,-12472,2502,1450,-73
1760,7176,-2184,-15476,3613,3286,290,5412,-8020,-12384,2345,1396,-81
1780,7268,-2564,-15300,2164,2857,146,5604,-8104,-11408,1986,1293,-231
1800,6860,-2692,-14652,1079,1745,-150,5316,-8172,-11576,1607,1301,-194
1820,7876,-2880,-15124,192,1789,-115,4880,-8344,-11920,1244,1737,-417
1840,7192,-2992,-15276,-573,1518,228,4600,-8532,-11672,1023,1671,-582
1860,7344,-3328,-16192,186,242,48,4884,-8452,-11396,881,688,-672
1880,7356,-3100,-16180,875,-373,-111,5364,-8568,-12148,720,-390,-600
1900,8488,-2616,-17080,1269,-152,159,5304,-8100,-12932,850,223,-570
1920,8940,-3116,-19964,2532,2308,1412,5348,-7684,-13272,1237,2943,-670
1940,8436,-3464,-23604,6657,5393,2467,6656,-7316,-14128,2308,6737,-295
1960,8176,-4312,-26764,13467,17047,412,8096,-7452,-15356,3511,13719,120
1980,5660,-5796,-28020,23076,32767,-5352,8656,-8124,-14684,4933,20807,678
2000,2984,-5572,-25628,30001,32767,-12112,8764,-8728,-14192,6120,24496,1207
2020,2140,-5044,-22168,30604,32767,-18229,9056,-8712,-13688,7712,25258,1835
2040,1576,-4236,-16036,30439,32767,-24208,8496,-9308,-12692,9330,23114,1923
2060,4044,-3848,-11276,27757,32767,-27361,7376,-10320,-11028,10605,20500,1203
2080,5292,-2692,-5696,28518,32767,-29438,8972,-9960,-9276,11744,18556,765
2100,7372,1020,-496,26725,32767,-30053,6444,-10508,-6112,10665,15780,-741
2120,10440,3928,4816,13301,32767,-26577,7200,-9968,-6540,11231,11377,-2934
2140,15076,3776,8616,3074,29568,-20391,8904,-9248,-6356,10531,11456,-2978
2160,15060,676,10868,1158,22929,-14956,7808,-9708,-4808,8973,11753,-3190
2180,15424,1808,12376,6752,11510,-13336,7148,-10324,-2612,6360,9093,-3620
2200,18256,3952,10364,2340,1425,-7805,8072,-10748,-592,3747,3911,-3951
2220,18620,5988,8876,-5227,-1262,-1834,10740,-10220,-608,1955,512,-3318
2240,19284,4600,6212,-9631,-1654,2227,12268,-10844,-548,422,-1428,-1404
2260,17168,3288,4988,-4989,-2741,2970,12320,-11500,-644,-1455,-2569,-651
2280,17196,2508,3696,-3028,-6387,3435,12572,-11732,-1856,-2611,-3588,-478
2300,17696,1368,3408,-2937,-5616,3031,12956,-11944,-4100,-2583,-3118,87
2320,18100,660,1992,-4880,-3941,2407,13088,-12104,-4712,-1751,-1689,442
2340,17428,-204,152,-4930,-267,1273,12544,-11744,-4720,-927,-306,570
2360,16884,-540,-56,-2562,421,258,11696,-11276,-4580,-434,302,301
2380,17184,-576,1008,-1816,-1553,272,11164,-10996,-4968,5,-453,-208
2400,17068,-300,908,-1167,-2028,413,11160,-10772,-4796,237,-947,-546
2420,17068,80,580,-1049,-1861,103,11856,-10712,-4500,562,-1126,-543
2440,17008,-164,112,-645,-757,-421,11732,-10648,-4840,533,-414,-282
