Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16496,-2256,-5684,139,-103,-95,15668,-4132,-1904,407,-287,-375
20,16624,-2092,-5716,30,-254,-19,15868,-4112,-1856,379,-440,-380
40,16636,-2188,-5660,-34,-366,-42,15888,-4092,-1848,331,-426,-415
60,16844,-2132,-5804,-269,-320,-3,16080,-4004,-2124,339,-373,-362
80,16992,-2108,-5960,-230,-198,106,15992,-4008,-1940,378,-338,-268
100,16720,-2248,-5868,68,-310,172,15856,-4028,-1800,398,-435,-223
120,16512,-2172,-5512,65,-368,218,15800,-4012,-1844,381,-466,-273
140,16460,-2204,-5588,41,-345,45,15928,-4040,-1752,335,-470,-321
160,16436,-2216,-5652,-36,-292,-55,15760,-4036,-2052,273,-470,-396
180,16624,-2204,-5772,-146,-361,-35,15856,-4156,-2108,385,-416,-364
200,16736,-2320,-5892,-181,-342,-6,15812,-4092,-2096,391,-26,-382
220,16688,-2288,-6104,-127,-305,-17,15964,-4180,-1848,454,-492,-302
240,16788,-2352,-5800,-46,-453,88,15892,-4220,-1924,367,-439,-369
260,16604,-2176,-5828,82,-482,101,15792,-4104,-1940,362,-574,-379
280,16692,-2184,-5712,18,-382,102,16028,-4184,-2080,402,-319,-290
300,16616,-2228,-5796,-106,-332,43,15904,-4060,-1796,386,-501,-291
320,16832,-2216,-6008,-150,-203,41,16036,-4076,-2100,350,-345,-323
340,16712,-2416,-6080,-241,-151,170,15892,-4096,-2116,404,-205,-185
360,16740,-2380,-6096,-11,-321,257,15820,-4064,-1956,448,-386,-137
380,16524,-2224,-5788,258,-265,184,15936,-4044,-2052,411,-500,-137
400,16604,-2136,-5876,86,-197,74,15796,-3956,-1952,343,-348,-192
420,16420,-2200,-5560,-100,-183,170,15656,-4044,-1984,339,-451,-230
440,16332,-2316,-5604,-154,-469,249,15716,-4260,-2016,271,-493,-321
460,16444,-2380,-6032,-364,-406,31,15936,-4200,-2140,279,-393,-352
480,16844,-2332,-6140,-398,-332,58,16056,-4112,-2120,353,-242,-389
500,16696,-2320,-6072,0,-295,37,15980,-4120,-2028,456,-328,-316
520,16524,-2292,-5664,44,-238,16,16036,-4028,-2004,458,-266,-347
540,16580,-2148,-5612,-107,-355,-86,15900,-4112,-1844,412,-302,-360
560,16756,-2196,-5784,-221,-350,-41,15932,-3924,-1932,372,-414,-388
580,16736,-2316,-5892,-64,-389,86,15932,-4072,-1912,338,-496,-358
600,16580,-2372,-6060,-3,-360,48,16016,-4132,-2176,362,-590,-319
620,16568,-2484,-6312,24,-483,-10,15936,-4220,-2008,435,-622,-296
640,16636,-2552,-6196,686,-991,186,15752,-4156,-2144,552,-1233,-255
660,16740,-2160,-5864,1017,-1523,540,16140,-4000,-1756,531,-1872,-221
680,16664,-2088,-5660,782,-1670,554,15904,-4048,-1996,536,-2055,-154
700,16488,-2288,-5784,451,-2160,459,15908,-4060,-1804,250,-2061,-264
720,16480,-2384,-5756,147,-2790,649,15752,-4028,-2052,247,-3065,-486
740,16524,-2304,-5932,-427,-3389,735,16108,-4264,-2200,314,-3542,-367
760,16380,-2280,-6644,-717,-3484,313,16300,-4036,-2452,245,-3256,-442
780,16876,-2304,-6360,-1128,-3116,276,15680,-4348,-2532,354,-2847,-558
800,16544,-2480,-6420,-1147,-2532,436,15792,-4196,-2640,391,-2720,-711
820,16420,-2280,-6384,-1442,-2661,382,15476,-4320,-2660,407,-2992,-797
840,16372,-2516,-6632,-1664,-3381,619,15900,-4396,-2584,559,-3109,-802
860,15528,-2812,-6716,-1681,-4075,326,15616,-4372,-2572,604,-3145,-819
880,15920,-2748,-6608,-2958,-4411,-493,16536,-4384,-3488,613,-2687,-1125
900,13952,-3292,-7668,-3573,-3524,-2822,17052,-4404,-3256,534,-1908,-1302
920,12780,-2620,-6328,-5775,-3142,-7692,17096,-4984,-3772,961,-1106,-1515
940,13836,-2376,-5532,-5193,-5000,-12086,16120,-5572,-3828,1559,-1496,-2351
960,11764,-2460,-9120,-2967,-6867,-11766,11184,-5640,-2556,2302,-9782,-2650
980,14840,-3564,-16184,4859,-19038,-8582,9020,-4492,-1328,2782,-28345,-2189
1000,26680,-1148,-23300,18548,-32768,-778,12256,-4628,-5556,3311,-32768,-1567
1020,30764,-200,-23836,31527,-32768,10810,13472,-4176,-10768,3817,-32768,-500
1040,29500,1592,-17404,32767,-32768,21414,18044,-4328,-15636,5831,-32768,1876
1060,24772,2932,-7888,32767,-32768,24157,21804,-4252,-16040,7376,-32351,5441
1080,14400,1008,-2124,19679,-21522,21181,16552,-3672,-12444,8377,-23666,7088
1100,9152,-1176,-2760,3855,-8840,15267,15840,-1620,-11536,4857,-7058,6701
1120,3280,-3228,-3284,-2438,5880,9488,12876,-3292,-9344,652,9806,4321
1140,1032,-4684,-3864,-10634,20831,-1352,12436,-3024,-9548,2377,22651,4195
1160,-636,-4492,-3148,-19536,31128,-13018,10296,-3424,-13308,3003,30094,827
1180,2740,-4732,-6236,-29978,32767,-21713,7604,-4964,-13840,-1267,32767,-4898
1200,5748,-3320,-13072,-32768,32767,-27175,4848,-6580,-10956,-1061,32767,-8624
1220,9580,-1500,-15904,-30219,32767,-28343,7344,-2188,-5208,-1216,32767,-11522
1240,18440,1568,-21508,-19307,24446,-26870,9876,-4296,-3532,256,20510,-10977
1260,19972,-408,-20936,-4378,10317,-24043,13196,-5360,-2192,3523,7565,-6535
1280,24432,1756,-18196,9996,1406,-11309,10976,-4216,-3716,4524,-9629,-3780
1300,26276,3896,-15064,17582,-5748,1171,13928,-4140,-5168,3834,-21149,-1005
1320,26292,5100,-12940,21546,-18334,10467,12892,-5116,-5100,3769,-30119,2118
1340,27108,3212,-11288,26683,-32768,21764,13088,-6148,-8872,4400,-32768,4960
1360,24376,3316,-8696,27487,-32768,30169,14636,-5696,-10544,4472,-32768,5697
1380,19388,2048,-4788,21600,-32345,31732,16576,-5476,-12040,3494,-30708,5081
1400,10436,-348,-3452,11039,-17494,28525,18360,-5856,-12188,3514,-18531,5966
