Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,15612,-7520,-272,-57,-15,165,10796,-11760,-2580,290,-370,-200
20,15328,-7492,-248,-6,-367,113,10916,-11936,-2880,273,-593,-285
40,15632,-7524,-32,-116,-364,34,11120,-11960,-3164,315,-344,-250
60,15752,-7548,-380,-63,-155,-17,10884,-11944,-3000,309,-22,-187
80,15204,-7408,-440,-41,-245,41,10640,-11852,-2752,346,-395,-272
100,15624,-7540,-308,-195,-487,53,10896,-11880,-2764,244,-584,-344
120,15700,-7416,-176,-212,-473,-42,11260,-11940,-2908,280,-303,-317
140,15908,-7560,-128,-133,-154,-121,11044,-12012,-2900,207,-84,-259
160,15340,-7576,-188,-25,-332,-65,10440,-12044,-2764,230,-378,-220
180,15548,-7556,-580,-240,-439,118,10828,-11916,-3016,244,-507,-296
200,15768,-7392,-160,-180,-429,82,11176,-11876,-2916,316,-315,-353
220,15824,-7588,-336,-67,-87,9,11172,-11956,-3040,275,0,-300
240,15668,-7568,-304,-50,15,-44,10824,-12048,-2828,337,-94,-299
260,15404,-7584,-344,-120,-270,-22,10772,-11968,-2644,395,-503,-309
280,15656,-7432,-312,-47,-411,-46,10824,-11892,-2852,344,-590,-335
300,15764,-7444,-344,-39,-230,1,11200,-11836,-3008,305,-345,-294
320,15600,-7476,-348,-104,-166,-26,10904,-11948,-2832,309,-156,-276
340,15476,-7432,-308,-161,-173,34,10776,-11916,-2720,323,-276,-269
360,15632,-7492,-324,-66,-231,75,10896,-11944,-2804,375,-323,-241
380,15640,-7584,-444,-86,-106,27,11036,-11980,-2812,339,-133,-255
400,15772,-7704,-108,-149,-104,-22,10808,-11900,-2660,316,-148,-350
420,15688,-7452,-304,-121,-77,-55,10956,-11968,-2936,349,-233,-377
440,15580,-7580,-168,-117,-188,-33,10852,-11888,-2752,387,-278,-326
460,15608,-7564,-68,-163,-246,25,10884,-11908,-2768,402,-270,-260
480,15500,-7344,-404,-66,-262,36,10912,-11832,-2736,374,-293,-245
500,15560,-7416,-384,-104,-164,49,10960,-11908,-2908,318,-309,-307
520,15696,-7560,-296,-225,-108,6,11008,-11856,-2748,268,-186,-336
540,15532,-7676,-240,-207,-108,12,10852,-11944,-2792,297,-202,-308
560,15424,-7680,-384,-6,-326,-56,10700,-11996,-2808,348,-403,-280
580,15476,-7580,-400,122,-457,-38,10740,-11856,-2856,388,-548,-290
600,15716,-7308,-232,-45,-263,19,11184,-11812,-3044,339,-341,-303
620,15588,-7408,-312,-162,-226,34,11124,-11828,-2880,274,-210,-247
640,15504,-7424,-264,-62,-196,-19,10860,-11912,-2832,307,-275,-261
660,15660,-7460,-184,-59,-282,-15,10980,-11880,-2960,308,-399,-267
680,15716,-7572,-460,-7,-139,32,10936,-11980,-2812,333,-335,-280
700,15452,-7652,-228,30,-282,-73,10912,-11912,-2872,303,-303,-192
720,15544,-7576,-340,339,-410,-265,10620,-11996,-2772,325,-439,-192
