Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,8944,4608,14584,-344,29,-899,7940,324,14064,-451,-15,-235
20,9328,4748,14520,-305,35,-806,8176,376,14108,-584,50,-288
40,9152,4856,14620,-233,99,-714,8088,276,14104,-510,37,-227
60,9224,4808,14600,-226,-31,-734,8068,584,14116,-460,159,-288
80,9100,4988,14452,-230,91,-748,8092,700,14012,-476,280,-295
100,8988,4824,14360,-410,115,-593,8132,492,13864,-339,48,-306
120,9124,4652,14592,-472,235,-543,8076,552,14024,-343,166,-387
140,9100,4884,14836,-460,273,-676,8248,652,14460,-183,360,-455
160,9348,4880,14780,-432,121,-752,8184,572,14484,-295,242,-375
180,9340,4852,14656,-320,-6,-704,8156,512,13964,-447,150,-367
200,9144,4504,14416,-374,66,-542,7928,388,14060,-440,164,-366
220,9144,4396,14532,-446,293,-625,7964,436,14092,-389,381,-371
240,9140,4740,14760,-347,250,-687,8028,560,14444,-384,379,-331
260,9112,4760,14784,-280,107,-682,7916,600,14380,-461,246,-252
280,9136,4680,14564,-258,61,-608,7960,536,14104,-381,174,-236
300,9240,4664,14520,-282,173,-607,8172,476,14048,-330,273,-210
320,9248,4812,14648,-275,383,-669,8188,556,14188,-365,499,-149
340,9092,4772,14704,-185,352,-599,7944,604,14168,-434,592,-88
360,8752,4648,14804,-233,278,-521,7592,612,14048,-471,428,-64
380,8828,4564,14608,-402,16,-375,7572,244,13928,-126,-162,8
400,9132,4916,14840,-389,304,-493,8104,632,14388,-408,274,-9
420,9068,4720,14836,-223,221,-502,8000,436,14596,-404,291,10
440,9272,4716,14792,-65,133,-537,8248,656,14352,-447,337,29
460,8948,4580,14628,-63,86,-539,7896,432,13920,-430,331,12
480,9024,4744,14408,-134,234,-577,7904,684,14160,-526,572,-49
500,8796,4956,14596,-318,-65,-507,7728,804,14204,-510,290,-148
520,8828,4768,14592,-393,82,-519,7756,728,14220,-452,235,-98
540,8700,4716,14688,-388,126,-558,7928,820,14120,-365,129,-178
560,9220,4792,14704,-510,251,-535,8120,536,14080,-353,234,-203
580,9212,4716,14676,-453,350,-515,8000,516,14208,-380,386,-197
600,9148,4816,14744,-459,381,-584,7840,652,14380,-347,449,-198
620,9056,4744,14720,-430,344,-524,7860,620,14252,-198,528,-203
640,8860,4624,14956,-411,287,-588,7840,688,14524,-258,552,-200
660,8968,4836,15068,-183,126,-720,8000,720,14664,-176,113,-252
680,9160,4920,14936,-45,225,-699,7824,476,14572,-132,717,-11
700,8484,4616,15504,360,-26,-464,7196,860,15480,-77,759,237
720,9392,4768,16084,1181,-1109,147,6232,632,15272,-319,422,763
740,8404,4880,17004,2701,-4582,3072,5084,1212,14856,-856,-368,1199
760,7392,5268,17976,2073,-12088,5354,4956,2096,15868,-1754,-5437,1356
780,9488,6400,17748,2152,-22421,6112,6792,2108,17056,-3152,-16244,1780
800,12644,6964,17532,2302,-28606,5966,9604,2208,16216,-4740,-22308,2696
820,14188,7124,16928,-114,-30575,7990,10892,1624,15048,-7139,-25812,4024
840,13308,6448,12200,-1413,-32768,12041,11920,684,12648,-8231,-28101,5618
860,16856,5248,11376,-1728,-32768,14533,13420,-112,11872,-9243,-30430,7357
880,15876,3636,8408,-1069,-32768,17250,15144,-1856,10456,-8746,-30244,8735
900,16472,2588,5224,-167,-32768,15367,16232,-1988,9228,-8870,-30025,9074
920,16720,1696,2724,2097,-32768,11572,17264,-2408,7408,-7666,-27472,9219
940,16648,1200,308,4170,-30673,8739,17160,-3136,5832,-5808,-24534,9087
960,17832,1012,-3104,7196,-25406,6543,17188,-3408,4168,-3274,-21411,8872
980,17148,488,-5152,9882,-18556,5002,17032,-3724,1920,-1108,-18127,9005
1000,16604,504,-5840,13073,-11044,3143,19232,-4384,2972,2361,-14092,8234
1020,17320,-1228,-6068,18009,-2434,-1938,21060,-3816,4068,4937,-6074,7553
1040,16928,728,-3676,20404,9795,-7703,19628,-4144,3940,6829,3236,6736
1060,16000,1152,-2572,22671,18412,-12647,18360,-4348,4000,7563,10402,5264
1080,12956,1712,-2848,25525,24912,-16138,14788,-5416,4296,8585,11869,4840
1100,11128,1964,-12,29268,22404,-16937,10916,-6680,5144,10034,6205,4885
1120,11760,4428,3984,32767,12907,-14537,7032,-4884,8232,10057,-3644,4952
1140,13236,5672,4360,32767,3575,-8862,5288,-4572,8688,9826,-19116,5888
1160,19256,10572,5280,32767,-4652,-959,9196,-4476,6544,8754,-26908,8102
1180,19756,11684,8724,32767,-16907,8636,13216,-3524,3672,5879,-31649,9816
1200,22128,9928,10996,31280,-20108,17603,12796,-4316,3488,3196,-32768,11237
1220,18692,12140,18252,19765,-22617,25437,20772,-3920,2260,368,-31506,12785
1240,17124,8032,10508,3682,-19052,23734,14380,-4148,2460,-4856,-20199,9794
1260,15820,3876,5904,-5514,-18710,27033,12488,-6268,1868,-8414,-18569,9938
1280,14276,2404,2020,-7598,-21961,30636,13240,-6756,552,-8827,-19100,9565
1300,13872,1632,2300,-12170,-21523,30784,16268,-7512,-2024,-9348,-15953,7997
1320,12240,592,-1356,-17604,-14686,27355,16040,-7904,-2236,-9682,-9235,6934
1340,10532,-1620,-3744,-20411,-8994,22419,15080,-7480,-2724,-9683,-3834,5076
1360,8796,-3244,-5544,-20312,-7142,16488,14172,-7376,-3780,-9587,-637,2892
1380,9232,-4912,-9720,-19032,-5617,10602,14220,-7868,-5192,-8923,2681,583
1400,11064,-5388,-12804,-17575,2387,4432,16728,-8188,-7644,-6786,7662,-1281
1420,12500,-5456,-15092,-18051,15592,-4893,19884,-8908,-8912,-3921,15650,-3834
1440,13212,-5592,-15260,-16876,26653,-13725,19248,-9500,-7876,-1099,23260,-5699
1460,14084,-5668,-13940,-12214,32767,-20538,18700,-9644,-6748,2349,29998,-7016
1480,14288,-4132,-11852,-5629,32767,-24878,17000,-8860,-4096,5803,32026,-7364
1500,16428,-2468,-8756,3530,32767,-26350,15796,-8472,-892,9025,31363,-6183
1520,16620,-104,-6096,12903,32767,-22776,12156,-7428,2912,10940,24909,-3716
1540,16180,2888,-1176,25684,23066,-15550,7936,-5784,7080,11016,6684,150
1560,19008,6424,3836,32767,861,-4555,8260,-5328,6388,9612,-14926,3358
1580,23652,9044,6548,32767,-18061,8937,12472,-4888,4504,7002,-28160,6158
1600,25216,9792,9268,31145,-29146,21238,17136,-5092,1728,3171,-32768,9504
1620,22904,7876,9096,21005,-30821,29265,16688,-6020,1332,-744,-32768,12017
1640,18768,6648,9920,9263,-30827,32767,19364,-6392,156,-4311,-29849,12362
1660,17600,5248,8180,-3632,-24882,32505,19860,-6920,112,-6913,-19774,10362
1680,13488,2852,4620,-15955,-14568,28859,17736,-6724,396,-8957,-7315,8293
1700,10868,1508,1824,-23952,-6117,22800,15412,-6304,-624,-10781,3720,5031
1720,10260,-836,-1868,-29711,4092,16195,14348,-7140,-2408,-11943,15099,1747
