Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,5604,2760,13952,-135,-214,33,1460,924,17308,398,-265,-286
20,5608,2932,14040,-48,-169,-24,1476,928,17500,349,-224,-295
40,5568,2752,14012,-75,-223,-19,1400,904,17300,339,-264,-307
60,5472,2812,14028,-143,-231,11,1440,908,17348,323,-286,-308
80,5532,2692,14000,-85,-223,15,1516,1004,17480,351,-288,-313
100,5456,2748,14044,-42,-174,-11,1560,1004,17564,359,-242,-286
120,5560,2832,14044,-63,-164,-2,1460,904,17392,355,-305,-285
140,5468,2824,14012,-128,-200,43,1492,980,17472,335,-317,-291
160,5456,2764,13952,-73,-205,14,1460,796,17308,354,-345,-295
180,5632,2796,13908,-44,-199,-23,1512,916,17468,365,-234,-290
200,5568,2756,14048,-110,-214,-12,1360,968,17628,366,-265,-316
220,5612,2772,13904,-150,-238,21,1476,1012,17416,405,-270,-292
240,5564,2780,14120,-72,-200,-1,1440,856,17588,417,-293,-282
260,5632,2744,14148,-58,-180,-24,1480,988,17348,416,-198,-291
280,5568,2932,13960,-157,-243,11,1308,1000,17080,411,-141,-301
300,5632,2892,14076,-217,-282,38,1600,920,17580,463,-62,-279
320,5828,3336,13876,-60,-178,-4,2076,1352,17504,513,290,-221
340,5868,3148,14680,-208,-165,230,2776,1036,17380,610,283,-285
360,7136,4172,15176,-48,-42,371,1408,1632,18240,771,387,31
380,5484,4344,14956,111,-1130,468,1636,1724,19272,231,-2055,-47
400,7900,3856,15840,1428,-4362,670,1748,3084,19696,-868,-1084,603
420,9384,6820,14688,1185,-8211,130,8452,3472,17364,-1503,-5863,853
440,6820,9324,14092,-1073,-8403,1608,1744,4624,19832,-2890,-2140,1600
460,10112,7404,14640,-1693,-7669,3364,3028,4960,18648,-3351,-3690,2449
480,9856,7296,14868,-3255,-4463,4780,2868,4304,18880,-3860,-3372,3568
500,3800,3380,13892,1221,-11501,6092,1756,4700,21200,-5501,-12974,4802
520,10640,6108,15180,5461,-22262,6373,3352,4632,20100,-4841,-19556,6692
540,10832,7172,14052,6017,-26085,7335,4716,3212,19584,-5192,-24132,7418
