Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,6668,4284,13180,-95,-212,11,4512,2092,16700,334,-227,-288
20,6660,4244,13124,-28,-189,-20,4512,2060,16884,321,-283,-263
40,6716,4224,13164,-53,-266,9,4604,1996,16804,282,-331,-285
60,6708,4172,13232,-112,-238,28,4360,1964,16792,311,-295,-315
80,6676,4256,13092,-81,-205,-8,4500,2052,16740,306,-292,-311
100,6636,4164,13240,-20,-170,-15,4480,2040,16836,381,-260,-321
120,6588,4144,13408,-92,-183,2,4380,2060,16712,381,-249,-322
140,6748,4164,13272,-137,-223,47,4500,1972,16880,368,-265,-285
160,6636,4280,13288,-60,-206,22,4444,1940,16760,379,-274,-310
180,6668,4184,13264,-2,-195,-4,4488,2008,16992,355,-242,-299
200,6736,4192,13244,-167,-224,-10,4432,2016,16912,359,-243,-276
220,6532,4160,13092,-79,-238,39,4492,1992,16876,355,-260,-295
240,6608,4200,13224,90,-238,-5,4508,2144,16792,368,-265,-307
260,6580,4360,13268,164,-283,21,4692,2164,16960,392,-271,-311
280,6900,4516,13508,290,-296,191,3864,1760,17272,201,-266,-281
300,6232,3904,14244,1227,-1388,591,3416,1924,17572,223,-1047,19
320,6968,4632,13860,1250,-2709,1590,4928,2632,17608,1008,-2192,56
340,7460,5628,13664,189,-3563,1876,5992,3308,17844,1294,-2249,745
360,10168,6864,15764,1331,-6068,2819,6344,4436,19284,1255,-2886,2127
380,10988,7368,15492,1099,-8886,4488,7660,4300,19160,915,-6175,4801
400,13492,7876,13884,1785,-11336,6401,7680,4768,19212,-236,-8205,7175
420,13088,7140,13096,2800,-12183,8767,8680,3868,18740,-1144,-11693,9252
440,13028,6456,11536,5288,-13543,9770,9612,3568,18648,-1979,-13838,10840
460,13520,5868,9656,8901,-12552,10068,9600,3120,17684,-2536,-14274,12373
480,12296,5152,8128,13869,-12839,10035,9668,1564,16740,-1520,-15185,13433
500,12720,5704,6640,18496,-13703,10051,10128,2284,14784,-556,-15353,14588
520,13148,6712,5344,21860,-14019,10605,9192,12,13632,321,-18252,16376
540,13140,6128,6080,25182,-14988,11563,7664,-588,13284,2133,-21439,17676
560,12196,5520,5928,27592,-15805,13196,7084,-1624,12940,3698,-24708,18174
580,11020,5988,4592,30782,-17099,13159,8876,-1596,12336,5638,-27742,17772
600,10992,6316,2812,32767,-18560,11637,7896,-2296,11464,7585,-31075,16872
620,12140,6944,2964,32767,-19795,11244,7324,-3152,9368,9568,-32768,15742
640,12964,6740,3772,32767,-19758,12713,8588,-3900,8176,11835,-32768,14519
660,13132,7288,2416,32767,-20367,13266,9536,-3848,8648,13121,-32768,12749
680,14188,8864,784,32767,-20411,12303,11664,-3224,7904,13409,-32768,10667
700,16356,9172,-756,32767,-21625,12643,10492,-3524,6516,14017,-32768,9596
720,17816,9188,-2020,32767,-25600,16005,10476,-4088,3884,14707,-32768,9028
740,21896,9872,-2436,32767,-28767,21165,13832,-4740,-20,14672,-32768,11956
760,22632,8980,-4804,32767,-28287,27607,14000,-4348,-2544,13655,-32768,10672
780,23968,6832,-7868,32767,-29225,32767,13540,-4928,-6412,12929,-32768,13354
800,22808,4796,-9512,32767,-28224,32767,15564,-5252,-10248,9850,-32768,15537
820,20656,2364,-10280,32767,-28516,32767,12784,-7376,-12136,10147,-32768,17983
840,18756,340,-7976,32767,-32403,32767,14968,-7500,-14928,10148,-32768,16503
860,15944,-76,-2736,32767,-30849,32767,17200,-7200,-15252,9685,-32768,16543
880,11840,-416,2280,21501,-24315,32767,20600,-6056,-13216,7363,-32768,15203
900,7196,380,4268,-1737,-12638,28793,23076,-4280,-12648,5467,-13142,12225
920,4576,-924,2120,-28552,4514,12782,21492,-4008,-11688,-571,18317,5634
940,3840,-3524,-6704,-32768,31434,-5794,17816,-6716,-12644,-6569,32767,-2905
960,2304,-5880,-13704,-32768,32767,-27511,19076,-10016,-13344,-9957,32767,-13054
980,7348,-5604,-18420,-32768,32767,-32768,9184,-14452,-23900,-10773,32767,-18508
1000,16516,-5916,-23460,-32768,32767,-32768,11592,-11988,-22300,-11263,32767,-18449
1020,18904,-5732,-20236,-32768,32767,-32768,5404,-11888,-14048,-8220,32767,-19139
1040,22300,-1160,-15160,-32768,32767,-32768,8864,-7256,-8092,-3913,32767,-16450
1060,20628,4560,-8792,-20662,32767,-32768,6756,-4600,1972,-1202,32767,-11897
1080,20076,5656,-7768,970,26793,-21753,-1864,-3272,14640,2465,17533,-3882
1100,23272,7484,-5112,25220,-2948,5158,-1556,-3308,14904,7459,-18630,5016
1120,25792,10112,-7072,32767,-26883,31634,3688,-4896,7416,12125,-32768,13080
1140,26812,11288,-8720,32767,-32768,32767,7880,-6752,-1284,14850,-32768,18937
1160,27020,10188,-9588,32767,-32768,32767,11356,-8284,-10924,16687,-32768,22155
1180,23492,3948,-2284,32767,-32768,32767,16960,-9976,-18312,16535,-32768,23648
1200,19764,5116,-2684,32767,-32768,32767,18228,-8728,-16800,14656,-32768,22793
1220,16308,2228,316,32767,-32768,32767,20596,-8572,-15204,10272,-32768,19983
1240,11740,-392,2196,23487,-23603,32767,20580,-8608,-12712,7213,-32768,17103
1260,7712,-3424,476,5629,-13810,31779,15824,-7320,-10360,4074,-16266,14289
1280,6176,-6696,-4720,-4929,-4426,26065,8784,-7204,-7284,-494,-6030,9741
