Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-544,3664,17488,-274,11,-500,-3916,-544,15080,-571,25,-111
20,-572,3592,17420,-247,5,-512,-4016,-300,15024,-511,75,-126
40,-496,3472,17584,-289,4,-531,-3996,-512,15096,-534,59,-147
60,-572,3576,17544,-259,26,-535,-4052,-480,15152,-558,34,-152
80,-500,3488,17488,-269,3,-554,-4076,-504,15096,-560,-83,-147
100,-464,3492,17600,-289,-27,-556,-3972,-456,14948,-491,-57,-160
120,-540,3588,17524,-275,-31,-556,-4040,-388,15296,-502,-62,-206
140,-552,3548,17428,-290,-46,-552,-3968,-456,15112,-562,-107,-157
160,-552,3708,17504,-272,-19,-549,-3912,-424,15020,-526,-111,-180
180,-512,3576,17504,-262,-5,-564,-3972,-440,15216,-494,-15,-163
200,-528,3636,17296,-280,-28,-574,-3980,-412,15124,-505,-53,-179
220,-500,3484,17500,-276,-35,-579,-3960,-424,15196,-513,-158,-215
240,-524,3504,17544,-287,-73,-573,-4052,-424,15200,-491,-218,-205
260,-508,3584,17552,-278,-32,-599,-3940,-432,15144,-471,-134,-223
280,-516,3580,17480,-311,-26,-613,-3904,-308,15120,-540,-123,-273
300,-508,3632,17460,-310,-1,-639,-4036,-432,15148,-523,-154,-262
320,-376,3588,17480,-295,21,-659,-3928,-436,15048,-509,4,-255
340,-440,3620,17380,-385,146,-739,-3924,-476,15280,-445,83,-293
360,-688,3528,17608,-383,126,-792,-3984,-420,15200,-473,1,-294
380,-608,3432,17476,-327,-26,-657,-3920,-436,15164,-491,-160,-295
400,-340,3504,17520,-404,0,-652,-3844,-396,14980,-488,76,-284
420,-628,3580,17596,-473,103,-711,-4132,-400,15336,-534,108,-365
440,-1076,4092,17604,-447,83,-1370,-10124,396,15624,-357,1799,-1027
460,-716,3408,17552,-412,-432,-458,-3676,-408,15256,-701,-423,-147
480,-184,3268,17064,-967,335,-966,1120,-2544,15344,-1579,4048,1020
500,-484,3088,17940,-1524,1230,-1538,-2808,-512,15764,-1333,2304,334
520,28,3616,18096,-1748,2073,-1378,-3556,-180,15912,-2286,3149,658
540,416,3896,18308,-1760,2829,-1115,-3052,-216,16280,-2467,4209,822
560,272,4396,19008,-2462,5040,-1355,-3788,-1256,17024,-1836,6722,898
580,-2640,3180,21280,-4230,6670,-1031,-7548,-1248,17680,-1644,8325,842
600,-4372,2140,24700,-3017,6332,-169,-8572,-3192,19192,743,8431,3022
620,-8432,3404,28292,-3292,13689,-1112,-14184,-1592,19988,2951,18357,7087
640,-7664,-228,28448,211,22859,-1375,-12684,-1060,16664,4930,24361,10682
660,-9812,1732,25112,6891,29668,-2401,-16392,444,15740,6139,26596,14221
680,-12656,2668,22108,8802,30500,-1666,-16536,1148,15860,6283,26423,16917
700,-13228,3964,18808,4739,31004,2147,-14312,680,16852,6220,25240,20049
720,-11416,3136,14300,-4220,32767,9422,-9280,2120,14052,4130,30963,23679
740,-13524,2672,12148,-11311,32767,19752,-10704,3548,10056,506,32767,27186
760,-12232,1752,8792,-14711,32767,26455,-10540,4988,5772,-2965,32767,28908
780,-13216,592,6556,-17171,32767,30020,-12064,5160,3364,-7545,30895,28497
800,-12060,640,5976,-18445,26216,31632,-11724,4868,3116,-11368,23889,26830
820,-6584,2188,5456,-22150,19569,30752,-7292,4884,4476,-13867,21333,24717
840,-5092,3104,6756,-27816,17777,27641,-7476,5616,5380,-15283,19966,21530
860,-4796,2584,7748,-32348,14723,24504,-7364,5764,5680,-15469,19368,17782
880,-4796,1540,9356,-32768,11533,21703,-5596,5820,4240,-14731,19393,14116
900,-5508,-692,12772,-31067,12071,22353,-3896,5752,4216,-13725,24221,12379
920,-5716,-56,18512,-23956,20004,26212,-3760,5852,4392,-11607,32767,12960
940,-4192,480,24960,-13388,32767,32767,-3064,7788,3104,-8854,32767,15351
960,132,2300,20864,4562,32767,21002,-10776,7116,7196,-430,32767,11282
980,-7972,5888,11492,5899,32767,32767,1432,14160,-5936,-2961,32767,17044
1000,-15784,10876,5036,3726,32767,32767,-20936,15236,-7936,-7166,32767,20160
1020,-19600,9032,5560,7153,32767,32767,-26776,10716,-3064,-7354,32767,17225
1040,-15924,4720,5528,5303,30819,24161,-27280,4636,4760,-2992,18954,12944
1060,-6612,4012,6580,8565,-18414,89,-20760,2168,3252,3049,-20318,3412
1080,-3220,6764,-684,13605,-32768,-17920,-12844,4952,-6800,6276,-32768,-6146
1100,-8512,9600,-7392,16754,-32768,-29065,-10108,9804,-14388,6166,-32768,-12154
1120,-12784,12652,-11824,15940,-32768,-32768,-9708,14868,-16144,3620,-32768,-15809
1140,-15200,13136,-11852,8209,-32768,-32768,-9524,14668,-12312,-786,-32768,-17460
1160,-9472,13748,-7492,-8310,-32768,-25829,-1572,12808,-3696,-2222,-32768,-14235
1180,-7696,10144,256,-30450,-32768,-5302,6036,11500,4216,-4258,-14649,-5614
1200,-12108,2764,9944,-32768,15315,21248,-1176,10488,724,-8598,29639,3247
1220,-24400,908,15872,-32768,32767,32767,-14228,10908,-6468,-11732,32767,9757
1240,-23664,-6704,26432,-7390,32767,32767,-32076,3172,4772,-5504,32767,14723
1260,-7856,2880,21864,1376,32767,32767,3952,11080,1044,-909,32767,12658
1280,-17820,3852,13836,5021,32767,32767,-20668,10404,-968,-1524,32767,17127
1300,-20236,7216,11932,4780,32767,32767,-24260,12624,-3772,-2232,32767,18528
1320,-15656,9092,9620,7275,31116,32557,-26820,9844,-664,-709,24995,17001
1340,-12032,4556,11892,14239,-298,13874,-24996,5648,1268,2959,-2427,13452
1360,-6980,4776,8532,26235,-29870,-4777,-14752,5468,-1680,7319,-28940,7545
1380,-2240,6284,3172,31475,-32768,-16340,-5952,6748,-3628,9766,-32768,2325
1400,-3588,6156,1172,32767,-32768,-20043,-3036,7764,-5288,11756,-32768,-1536
1420,-5660,7220,-1096,32767,-32768,-20671,-3084,8772,-4580,13133,-32768,-5078
1440,-6756,7192,-872,30368,-32768,-18983,-3884,8024,-1988,14089,-32768,-8768
1460,-6044,6980,164,25788,-32768,-17427,-5744,7072,-1376,15125,-32768,-13195
1480,-6304,6300,140,22912,-32768,-19231,-7812,7216,-3256,14505,-32768,-18003
1500,-7660,6196,-740,21789,-32768,-23470,-8416,8416,-5668,12159,-32768,-23358
1520,-7932,6248,-1512,20159,-32768,-27539,-7092,9232,-5192,8270,-32768,-27590
1540,-7064,6804,-308,16456,-32768,-28034,-5136,9464,-2532,3468,-32768,-30516
1560,-6592,6572,2084,11729,-32768,-24867,-4932,8748,312,-1397,-32768,-31504
1580,-8196,6252,5396,6230,-32768,-20891,-6680,6436,4708,-5218,-32768,-30159
1600,-10308,6672,9788,-1687,-32768,-16706,-9892,4616,8820,-7690,-32768,-26733
1620,-9748,7680,12948,-10304,-29487,-13368,-10996,4388,11808,-8790,-24656,-23093
1640,-9432,5020,16300,-12897,-22355,-8335,-11320,3800,12056,-9886,-20438,-20127
1660,-12124,3208,18680,-10407,-24764,-5113,-15484,2568,12884,-10128,-23463,-19302
1680,-12772,3716,21768,-8400,-29232,-6299,-14864,-48,15080,-9517,-22840,-17129
1700,-9364,4248,23356,-8651,-24234,-6509,-13152,-60,17684,-8464,-17352,-13193
1720,-7284,5200,23956,-9183,-14195,-5173,-11552,164,18348,-7096,-11612,-10117
1740,-10152,3644,23632,-7445,-11325,-1404,-13476,-428,18080,-5850,-12411,-8302
1760,-9156,2904,22512,-4736,-18086,846,-11836,-148,16872,-5040,-17069,-6493
1780,-3436,3836,21672,-3861,-18566,539,-6860,-1060,16700,-4775,-12099,-4332
1800,-92,3996,20428,-5036,-6013,-577,-5892,-1000,16512,-4692,-3502,-1936
1820,-5640,2756,27876,-2101,-4475,601,-14680,-2100,23068,-983,-7301,570
1840,-1124,5092,21124,-172,-11272,-171,-6900,-84,17496,-777,-10322,-565
1860,2092,2884,17272,-627,-6253,-327,-1444,-536,13820,-512,-5706,-1246
1880,2492,3588,15816,-743,-1908,-2294,-2708,-652,13716,84,-3382,-1277
1900,260,2472,17432,-624,-1090,-3083,-3296,-800,14624,-143,-3293,-1539
1920,-2796,1784,19712,922,-1421,-2249,-5132,-1452,15644,-191,-3006,-895
1940,-1952,2540,18240,930,-1615,-709,-5432,-1136,15476,-106,-3335,-166
1960,-884,3080,17900,1027,-1445,-344,-4180,-844,14928,-137,-3033,-147
1980,124,2784,17308,596,-1477,-409,-3184,-896,15040,-137,-1395,-196
2000,508,3392,17808,418,-806,-768,-3228,-656,15508,54,-9,-207
2020,-112,3676,17568,57,23,-826,-3404,-408,15388,-233,942,-13
2040,-924,3324,17428,-174,322,-830,-4532,-408,15112,-508,1267,199
2060,-1476,3076,17820,-32,-186,-697,-4928,-580,14960,-522,19,163
2080,-632,2916,17436,114,-619,-639,-4160,-840,14832,-345,-461,-22
2100,-372,2892,17508,92,-354,-794,-3916,-696,15156,-167,-127,-138
2120,-744,3192,17576,-68,-279,-580,-4268,-460,15312,-300,99,-119
2140,-876,3208,17520,-114,-303,-651,-4544,-504,14980,-437,-270,-64
2160,-684,3128,17580,2,-525,-715,-4180,-504,15152,-390,-625,-84
2180,-280,3108,17600,16,-450,-716,-3756,-564,15188,-394,-335,-111
2200,-428,3264,17632,-118,-174,-720,-4028,-420,15216,-376,90,-75
2220,-656,3264,17596,-125,-201,-659,-4300,-480,15088,-356,108,-38
2240,-420,3140,17532,-141,-175,-796,-4164,-628,15060,-381,35,-88
2260,-520,3200,17640,-213,-133,-787,-4096,-592,15144,-357,-16,-121
2280,-524,3208,17492,-321,-63,-675,-4312,-556,14976,-414,183,-93
2300,-680,3136,17544,-339,-30,-622,-4292,-516,14956,-396,191,-95
2320,-620,3104,17616,-253,-223,-576,-4396,-548,15144,-477,-187,-146
2340,-392,2996,17500,-260,-191,-605,-4008,-648,15048,-509,-166,-158
2360,-500,3200,17656,-268,-96,-557,-4020,-504,15100,-483,67,-86
2380,-608,3276,17500,-295,-126,-510,-4268,-448,15092,-473,103,-84
2400,-468,3112,17532,-278,-112,-570,-4192,-504,14920,-497,16,-67
2420,-504,3260,17564,-279,-119,-536,-4204,-468,15180,-517,-92,-57
2440,-540,3164,17520,-295,-94,-464,-4096,-520,15044,-513,46,-28
2460,-512,3300,17552,-266,-142,-413,-4276,-488,15060,-500,87,-8
2480,-360,3168,17620,-270,-154,-422,-4192,-516,15160,-527,-28,5
2500,-260,3184,17652,-290,-36,-490,-4180,-500,15088,-491,236,-25
2520,-436,3260,17744,-336,40,-541,-4292,-468,15192,-481,300,-43
2540,-624,3196,17604,-327,4,-542,-4348,-484,14924,-499,170,-57
2560,-672,3104,17580,-335,-69,-587,-4332,-492,15024,-481,13,-77
