Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15424,4444,248,-263,-798,-237,-14112,7080,4036,357,-1130,-95
20,-13996,4716,280,36,-419,143,-13420,7488,3956,296,-117,-237
40,-13956,4644,412,32,494,165,-13780,7196,4772,132,241,-434
60,-15072,4564,444,-141,271,33,-14068,7072,4936,204,-360,-412
80,-15636,4396,380,53,-622,90,-14160,7164,5012,464,-991,-367
100,-14744,5032,-156,-42,-1110,-93,-14012,7444,4216,488,-859,-246
120,-14000,4836,628,30,-286,-37,-13544,7636,4388,362,-31,-375
140,-14304,4668,464,-42,-20,-199,-13944,7404,4608,325,-64,-393
160,-15152,4468,572,-74,-81,-114,-14164,7256,4700,394,-447,-307
180,-15244,4532,328,-17,-576,2,-13952,7308,4516,489,-663,-235
200,-14164,4728,192,-70,-607,170,-13520,7504,4164,441,-257,-286
220,-14136,4592,484,127,203,-22,-13920,7420,4716,370,145,-422
240,-15092,4540,524,93,89,-222,-14464,7348,4708,356,-337,-337
260,-15352,4544,444,-27,-487,-131,-14160,7212,4736,511,-901,-249
280,-14880,4736,192,147,-752,161,-13412,7444,4284,524,-485,-334
300,-13784,4940,316,-152,-158,164,-13648,7540,4464,434,-4,-398
320,-14440,4492,716,-71,183,-100,-14220,7372,4776,343,1,-435
340,-15584,4476,492,-34,-306,-259,-14316,7236,4696,433,-683,-307
360,-15048,4656,636,-60,-664,-97,-13804,7384,4212,507,-848,-200
380,-14100,5080,104,114,-53,258,-13292,7584,4020,358,72,-337
400,-13796,4976,448,-86,560,229,-13524,7436,4616,242,613,-482
420,-15140,4364,772,-199,363,-140,-14644,7220,5208,193,-224,-394
440,-15744,4384,512,-82,-411,-145,-14420,7220,4928,346,-798,-231
460,-15096,4852,356,-184,-763,14,-13776,7448,3992,417,-729,-148
480,-14160,5124,104,47,-610,76,-13592,7600,4224,407,-121,-156
500,-13940,4680,676,-31,-116,-42,-13504,7412,4716,330,-55,-379
520,-14632,4420,452,-322,-80,-158,-14180,7220,4740,362,-320,-345
540,-15208,4472,636,-295,-103,-89,-14148,7216,4696,468,-610,-287
560,-14912,4800,392,-408,-51,258,-13392,7548,3580,541,-416,-192
580,-13744,4700,452,116,519,687,-13208,7580,4216,376,509,-405
600,-14204,4724,32,3,789,454,-14188,7252,4564,206,258,-460
620,-14636,4340,472,-521,708,86,-14480,7156,5076,145,-503,-414
640,-15060,4120,1004,16,775,-62,-14236,7108,4844,238,-1202,-361
660,-14496,4508,504,198,1205,115,-14148,7244,4808,487,-1420,-298
680,-14520,3648,912,116,1245,-506,-14804,7144,5940,827,-2036,-283
700,-14380,2164,1920,3144,-1216,-3496,-15532,6720,7864,1478,-5021,-248
720,-15756,2728,2604,4995,-4629,-5746,-14172,6420,7264,2739,-7705,-323
740,-16000,2464,3888,6804,-8513,-6577,-14476,7164,7032,3620,-8850,-224
760,-17112,1888,5756,7342,-9632,-5895,-13480,6860,6756,4098,-10283,-691
780,-16944,1512,8636,9136,-11624,-4826,-14816,7392,7024,3841,-11782,-1262
800,-16216,1004,8108,8875,-14387,-3921,-13012,6756,8096,4520,-14791,-1650
820,-14652,1844,4516,9586,-13520,-2511,-10796,6300,9436,5778,-14258,-2797
840,-12276,1476,3284,5609,-9482,-2426,-12260,5592,11388,7228,-12398,-3389
860,-14160,552,4728,3665,-11017,-5464,-13760,5340,11520,8791,-14030,-4220
880,-13672,0,5544,3162,-16097,-9653,-14832,5912,10468,9712,-17821,-4809
900,-12184,-288,4320,3739,-18658,-14075,-12852,5616,9380,10028,-20597,-5858
920,-11584,244,2548,4816,-15875,-16916,-11784,6004,8976,9942,-18624,-6584
