Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14432,4220,1680,112,-344,-285,-13132,4564,9920,393,-837,-404
20,-14572,4416,1240,675,-652,-646,-12884,4388,9932,392,-1067,-393
40,-14768,4812,712,538,-751,-589,-12440,4584,9924,490,-854,-363
60,-14648,5024,612,-100,-403,46,-12056,4644,9696,632,-406,-363
80,-13916,4644,968,-339,483,502,-12580,4732,9768,569,212,-339
100,-14160,4612,1660,81,265,238,-12696,4960,9724,430,95,-572
120,-14228,4736,1248,4,-410,-272,-12748,4784,9824,333,-388,-535
140,-14672,5072,840,127,-602,-431,-12572,4712,9800,185,-329,-479
160,-14924,5132,540,-114,-236,85,-12580,4612,9960,191,34,-325
180,-14812,5032,692,-442,375,467,-12968,4724,10068,176,344,-90
200,-14700,4708,1364,39,323,246,-13004,4732,10036,129,189,-37
220,-14204,4704,1324,4,-75,-193,-12616,4652,10264,65,-389,-81
240,-14312,4592,1204,-445,-519,-345,-12104,4524,10016,210,-473,-218
260,-14500,4348,1328,-646,-100,-171,-12508,4488,9792,277,-169,-293
280,-14944,4244,1704,-129,-155,26,-12880,4544,10092,252,-140,-408
300,-14952,4376,1540,406,33,-42,-12928,4572,10320,259,-91,-385
320,-14828,4432,1560,597,-402,-224,-12604,4508,10300,338,-431,-433
340,-14544,4740,896,-166,-811,49,-12204,4560,10380,586,-673,-515
360,-14388,4544,1000,-641,-102,209,-12636,4464,10144,726,-403,-406
380,-14576,4488,1500,-340,-194,-130,-13088,4748,10012,704,-503,-392
400,-14796,4652,1464,-111,-556,-332,-12968,4636,9860,584,-713,-375
420,-14488,4568,1348,38,-677,-295,-12592,4604,9792,425,-546,-428
440,-14696,4604,1100,170,-618,7,-12024,4740,9516,365,-464,-589
460,-14040,4756,936,-52,29,454,-12464,4592,9812,432,-198,-528
480,-14668,4752,984,222,312,47,-12956,4520,9944,449,-49,-486
500,-14868,5088,1000,-110,-466,-230,-13164,4648,10088,433,-380,-389
520,-14780,4784,1168,112,-335,-124,-12604,4816,9720,342,-252,-348
540,-14700,4840,1324,213,-309,-25,-12696,4732,10024,349,-61,-356
560,-14728,4764,1060,75,-201,44,-12904,4540,10164,481,-225,-291
580,-15216,4804,800,-282,-232,237,-12596,4528,10124,552,-224,-146
600,-14892,4748,1028,-549,-75,634,-12576,4572,10136,575,80,-105
620,-14508,4472,1408,-584,115,610,-12820,4756,10208,478,149,-85
640,-14432,4132,1856,-93,-211,-3,-12944,4572,10400,435,-270,-203
660,-14712,4308,1512,121,-385,-345,-12576,4340,10692,486,-673,-297
680,-15416,4152,1300,269,362,131,-12652,4248,10340,627,-102,-413
700,-15336,3760,516,587,1519,605,-12968,3988,10804,525,1185,-424
720,-15188,3784,-396,1600,3573,-142,-14092,3212,11800,1317,2712,114
740,-15460,4540,-2316,1510,3060,-2131,-14468,3180,12484,2371,1867,-37
760,-15140,4208,-2940,-1222,92,-5277,-15364,3096,13376,3682,-941,242
780,-17184,3076,-2660,-6446,-705,-6940,-13716,2920,12104,4645,-2411,564
800,-19328,1880,-448,-7432,1043,-4526,-11592,2912,10296,4739,622,827
820,-15884,856,-1308,-3378,5750,-1335,-11880,2776,11520,5400,6445,506
840,-16876,576,-1248,-3250,6873,-2241,-14420,2760,12560,6050,8115,158
860,-17844,944,-1624,-7891,6804,-3724,-16096,3308,12588,7230,5391,430
880,-17772,896,1024,-14680,7614,-3884,-14084,4668,10212,8027,3141,211
900,-19220,168,5728,-11727,9407,-426,-12620,4944,7736,7543,3854,-284
920,-16012,1024,4428,-4707,9099,1547,-12620,5912,8556,6895,6058,-782
940,-13052,2032,-644,-3280,9533,384,-13612,6060,9040,7084,6755,-1410
960,-12436,2680,-656,-6562,8224,-2711,-14856,6856,8260,7356,2630,-1601
980,-13084,3528,1720,-5872,6542,-5291,-14512,7516,5660,6934,-169,-1774
1000,-13648,4176,2020,-4125,2194,-6790,-14172,8256,3964,5859,-3252,-2132
1020,-13792,5188,804,-756,-486,-8719,-15604,8444,4020,4557,-5607,-1916
1040,-14016,5748,-3780,-131,-2553,-11056,-15560,8416,4824,3692,-8387,-964
1060,-17284,5876,-4192,-2864,-2947,-11962,-13700,8104,5064,3089,-8549,176
1080,-21792,5776,-4060,-5903,-910,-8240,-11840,7792,5276,2893,-4635,1247
1100,-25672,3344,1484,-6351,-269,873,-9192,7500,5240,3335,3971,1787
1120,-25368,832,6492,-3123,-2103,8532,-13056,8300,6796,4438,9044,2690
1140,-26944,3148,2264,-1641,-2909,16787,-11172,8580,5920,5662,11723,4175
1160,-30176,6620,-7316,-4501,315,29209,-9308,8996,4280,6595,20066,6165
1180,-28260,7996,-10028,-10892,5451,32767,-12456,9476,848,6653,31087,9174
1200,-20960,7344,-7908,-15792,7665,32767,-19264,12572,-288,5225,32148,12685
1220,-10160,6028,-5872,-18250,2278,32767,-20692,12612,924,3449,25112,15817
1240,-764,2128,72,-19405,-4596,29799,-15972,9484,1532,1895,14259,17846
1260,348,-1012,9796,-13064,-12340,16788,-13224,8472,2836,960,4822,17061
1280,3492,-2912,9396,-4434,-18746,5502,-8032,7240,3932,983,-3538,13825
1300,6656,-872,7360,-588,-17231,-3231,-5848,6600,3588,1186,-7846,9294
1320,6760,-764,7480,2297,-10697,-10747,-4644,6564,2700,524,-11535,3227
1340,4104,-536,8324,7011,-6766,-16229,-4172,6812,1872,-635,-13343,-3098
1360,1296,-372,6964,11497,-2301,-20106,-6804,7684,2152,-2138,-15288,-9055
1380,-2608,1188,2928,15054,-749,-24300,-8460,8224,2712,-3350,-17733,-13182
1400,-7984,3552,-2444,14244,467,-27087,-9440,8120,2876,-4283,-18302,-15808
1420,-12168,5292,-7072,9679,5861,-27675,-14112,8368,4360,-5305,-16655,-15667
1440,-15140,4088,-3820,8768,7966,-30795,-19964,9152,5364,-6144,-20850,-14060
1460,-21572,3456,-2592,9262,-3552,-32768,-18808,10392,5568,-7658,-26534,-10680
1480,-26436,5584,-7348,5441,-8693,-32768,-13344,9520,6428,-7794,-23515,-7721
1500,-30324,6016,-8832,-2139,-342,-22640,-9468,8508,7772,-6239,-12339,-5179
1520,-31336,3792,-4608,-8713,6467,-10647,-13212,7680,9684,-4139,-535,-2478
1540,-32768,-488,1600,-10683,6307,-2128,-15676,7864,11220,-1362,4369,61
1560,-32768,-5336,9740,-4851,-2171,4259,-14828,7296,13108,1820,8116,2525
1580,-31780,-1924,1264,-1560,-3348,13743,-11080,7400,12016,5230,13291,3811
1600,-32768,-428,-788,-2388,1905,26867,-13252,7924,10476,7811,21493,6328
1620,-31748,976,-1716,-5269,3604,32767,-17724,8924,7656,9018,25846,9843
1640,-24892,1724,-4396,-7282,1922,32767,-18024,9672,5932,8941,26094,13050
1660,-18140,2856,-4824,-10029,-352,32767,-17272,10452,4580,8538,23604,15745
1680,-10372,2100,-5996,-15443,-3146,32767,-14776,9704,3544,8220,19759,17302
1700,-3708,2416,1992,-12452,-7954,28800,-14544,10036,2668,7106,13397,17852
1720,640,1364,5832,-8479,-13747,19243,-11492,9124,2124,6477,4468,17020
1740,2900,2024,7064,-3934,-16279,10848,-7008,9040,1268,5985,-720,14150
1760,4568,2404,6708,-480,-14959,4052,-5648,8360,1272,5161,-4887,10400
1780,4564,2844,6400,1627,-12775,-1259,-1868,8880,252,4450,-6448,5674
1800,2972,3556,6616,3939,-6897,-3679,-1644,8968,-268,3774,-5792,278
1820,1212,3892,7716,6664,-1627,-4831,-3656,9208,-644,3223,-5177,-4438
1840,-1028,5172,7404,10652,173,-6633,-6072,9448,-1092,2211,-6119,-8214
1860,-2216,5984,4212,13708,804,-8208,-6232,9396,-400,1394,-7367,-11066
1880,-2964,6500,1508,13903,3338,-9618,-7240,9160,216,633,-7968,-13331
1900,-3692,6668,1748,13321,4521,-11890,-9656,9404,552,-153,-9333,-14746
1920,-6112,6688,1940,13809,2830,-15818,-11608,9916,560,-1242,-10265,-15603
1940,-9988,9080,-884,14874,350,-18314,-12520,9764,56,-2545,-12987,-15285
1960,-12604,8888,-2524,14758,-482,-19085,-13720,10112,1600,-4332,-10803,-14788
1980,-12784,7912,-2672,14034,99,-19273,-13268,10056,3568,-4839,-13349,-14122
2000,-11992,7048,-2032,11026,-193,-20496,-12756,10244,3576,-5074,-13159,-14075
2020,-17732,7948,-2372,8969,642,-20764,-14712,9204,3588,-5704,-10904,-12680
2040,-22256,9224,-3924,8079,212,-15954,-13724,8500,4232,-6952,-11307,-11455
2060,-19172,7784,-3788,4729,1805,-8503,-10352,7564,5012,-7818,-7414,-10114
2080,-14828,6060,-1168,2779,7618,-4082,-13116,7588,5988,-8101,-2027,-9604
2100,-17880,4836,2016,1663,6055,-5373,-18704,6484,6700,-8418,-2155,-8819
2120,-22324,3856,2580,4074,1464,-5771,-19928,5456,6984,-8918,-6572,-7078
2140,-23116,4688,-1736,9759,-6826,-3939,-16844,5464,7772,-9047,-10357,-5731
2160,-19428,5952,-5976,7965,-6397,144,-12616,4864,8644,-8846,-7221,-4906
2180,-16672,5532,-5392,2944,-1038,2493,-13280,4448,9488,-9001,1621,-3801
2200,-18032,4360,-2148,1399,2186,2264,-16724,4128,11100,-7652,1767,-3000
2220,-19032,4408,-988,-124,-464,1032,-17712,4428,11176,-7177,-667,-1869
2240,-19436,3932,72,156,-3285,-849,-18160,3616,11048,-6501,-3890,-687
2260,-18728,3760,-708,79,-7552,-3513,-17296,2784,11780,-5640,-7035,675
2280,-19040,4312,-2240,-1681,-10669,-4830,-15132,2920,11932,-4466,-8491,1236
2300,-17936,4440,-2468,-3787,-9296,-3366,-12880,2828,11064,-3484,-6032,2085
2320,-17312,3344,116,-3266,-3656,-572,-13540,2936,10432,-3117,-2912,2435
2340,-18036,2024,1916,-1275,-1925,383,-14548,2688,11376,-2424,-1293,2448
2360,-17336,2060,1168,1,-3476,-660,-15020,2240,12212,-2107,-3357,3050
2380,-17076,2892,-128,-775,-6768,-946,-11728,2912,11976,-1329,-4865,2960
