Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16084,-5400,1868,90,-368,-11,13504,-9032,-3320,420,-287,-331
20,16244,-5508,1848,-16,-114,-43,13128,-8956,-3368,346,-259,-346
40,16000,-5544,1944,-62,20,13,13428,-9008,-3456,342,-241,-394
60,16028,-5264,2232,-243,-270,-13,13216,-8876,-3240,325,-233,-305
80,16304,-5536,1852,-186,-119,-6,13148,-8956,-3340,227,-331,-193
100,15772,-5488,1936,-12,-435,89,13076,-9196,-3424,290,-468,-198
120,15916,-5504,1744,-190,-713,42,13268,-9008,-3404,300,-622,-289
140,16296,-5532,1696,-240,-746,113,13492,-9156,-3352,294,-487,-349
160,16444,-5484,1976,-24,-266,80,13560,-9080,-3336,355,-338,-302
180,16356,-5364,2000,46,173,-76,13600,-9068,-3372,362,-14,-278
200,15912,-5660,2000,65,460,-84,13180,-9120,-3084,396,84,-303
220,15532,-5652,1952,183,74,-23,12728,-9188,-3392,431,-338,-386
240,16172,-5528,1752,-135,-405,19,13588,-9068,-3672,519,-479,-434
260,16376,-5380,2148,57,-172,19,13464,-8952,-3228,437,-310,-356
280,16144,-5404,2388,238,-28,11,13276,-8928,-3020,279,-380,-257
300,15928,-5520,1964,267,-217,55,12960,-9096,-3448,185,-537,-212
320,16060,-5416,1804,13,-509,12,13452,-9112,-3856,362,-495,-247
340,16268,-5536,1648,-216,-48,-79,13344,-8984,-3540,460,-81,-282
360,15780,-5404,2232,104,-103,-20,13076,-8948,-2992,369,-227,-293
380,16372,-5140,1732,-87,-125,-38,13664,-9004,-3456,330,-266,-215
400,16224,-5480,1744,-200,365,30,13260,-9092,-3516,354,29,-210
420,15712,-5556,2116,-114,74,0,13128,-9048,-3196,323,-20,-246
440,15688,-5416,1980,-98,-507,18,13120,-9116,-3204,280,-413,-320
460,16408,-5364,1924,-244,-411,84,13508,-9184,-3376,326,-339,-275
480,16364,-5364,1988,-275,396,-19,13636,-9008,-3276,274,75,-229
500,15904,-5436,1980,-398,502,-142,13364,-9124,-3360,272,134,-150
520,15968,-5588,1924,-355,183,-183,13232,-9088,-3212,273,234,-152
540,15860,-5400,2104,-23,-144,-96,12892,-9116,-3344,246,-159,-153
560,15932,-5416,1840,16,-525,-54,13044,-9068,-3424,312,-427,-238
580,16072,-5540,1616,-242,-467,104,13352,-9040,-3236,286,-437,-318
600,16296,-5324,1968,-179,-244,64,13560,-9008,-3356,311,-292,-328
620,16232,-5344,2260,-49,140,18,13468,-9076,-3276,308,-127,-236
640,15780,-5632,1936,96,16,-48,13144,-9196,-3176,333,-236,-273
660,15968,-5436,2012,45,-361,-23,13168,-9108,-3224,420,-413,-343
680,15916,-5576,2048,56,-487,75,13100,-9120,-3292,415,-569,-376
700,16112,-5388,2032,-31,-445,28,13536,-9116,-3416,412,-498,-386
