Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-13272,-204,6940,-547,-360,-269,-11384,7600,9888,123,-467,-324
20,-13280,-188,7040,-444,-454,-401,-11244,7692,9788,93,-558,-383
40,-13452,-272,7052,-400,-264,-327,-11332,7492,9956,78,-418,-388
60,-13572,-308,7256,-385,-189,-215,-11468,7536,9948,143,-378,-370
80,-13816,-536,7232,-247,-284,-12,-11532,7500,9976,211,-366,-271
100,-13492,-212,7148,-115,-316,101,-11356,7676,9816,291,-414,-178
120,-13440,-192,7052,-86,-199,257,-11136,7716,9904,297,-109,-116
140,-13192,-200,7052,-228,-35,359,-11108,7760,9724,246,73,-82
160,-13244,-332,7112,-473,-191,296,-11316,7564,9868,296,-101,-39
180,-13188,-396,7320,-248,-420,68,-11232,7624,9964,309,-388,-74
200,-12916,-308,7156,-39,-471,-92,-11124,7640,9840,331,-491,-146
220,-13024,-360,6860,-162,-331,-99,-11052,7548,9860,317,-341,-243
240,-13552,-392,7176,-311,-21,78,-11372,7468,9812,254,-93,-249
260,-13572,-484,7140,-139,-103,153,-11384,7500,9932,276,-176,-169
280,-13608,-508,7020,-69,-308,99,-11460,7420,10052,297,-405,-80
300,-13476,-424,7020,-32,-454,161,-11336,7564,9952,365,-418,-2
320,-13560,-340,7112,-259,-458,258,-11300,7564,10048,361,-316,80
340,-13572,-316,7160,-305,-641,389,-11272,7636,10068,305,-379,259
360,-13724,-56,7412,-371,-778,516,-11324,7932,10136,229,-481,464
380,-13492,64,7216,-759,-884,758,-11216,8124,10032,67,-465,665
400,-13772,-204,7532,-891,-1059,795,-11336,8012,10300,-112,-689,919
420,-14260,-296,7768,-426,-1649,786,-11404,8164,10524,-336,-1449,1342
440,-15360,216,7628,-236,-3193,1560,-10484,8168,11260,-600,-2764,1554
460,-14544,456,8096,409,-3874,3648,-9824,8100,10672,-911,-3440,1992
480,-12800,-180,7644,472,-3955,5579,-9560,7648,10936,-1668,-3652,1819
500,-10660,228,7668,983,-3012,6574,-8692,7868,10448,-2792,-3419,1082
520,-8924,-1060,8844,3072,-1635,6651,-8284,7512,9852,-4163,-3536,415
540,-7036,-3068,11712,5970,-4889,1085,-13552,7508,9528,-5767,-7099,228
560,-8856,-4392,13424,6810,-23026,-20745,-25164,8856,16440,-7075,-29773,3937
580,-10284,3224,4096,1908,-32768,-32768,-15668,7448,18348,-4132,-32768,1012
600,-3444,7552,-5308,-17110,-32768,-32768,-4804,10188,12456,-504,-32768,2658
620,-5824,2852,-7028,-32768,-20963,-32768,10612,11272,13056,-446,-25893,2033
