Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-2016,2008,17596,-272,-15,-532,3172,-3260,15376,-568,-18,-137
20,-1960,1920,17672,-257,-18,-532,3152,-3204,15216,-549,-17,-94
40,-1956,1888,17532,-282,0,-516,3116,-3196,15472,-545,46,-148
60,-1968,2016,17532,-282,-22,-542,3136,-3296,15296,-553,16,-157
80,-1852,1952,17524,-332,24,-549,3220,-3236,15348,-574,7,-123
100,-1968,1920,17584,-279,2,-562,2936,-3264,15432,-596,-15,-141
120,-1968,1912,17568,-223,55,-537,3116,-3180,15404,-544,12,-164
140,-1932,2028,17608,-211,78,-557,3180,-3176,15416,-441,97,-137
160,-1912,1984,17640,-265,43,-567,3012,-3168,15500,-522,101,-155
180,-1968,2072,17668,-296,14,-592,3036,-3224,15544,-535,-4,-166
200,-2040,2024,17652,-314,24,-542,3152,-3196,15484,-553,-4,-124
220,-1988,2112,17588,-248,10,-553,3084,-3188,15484,-503,88,-118
240,-1864,1988,17572,-282,59,-551,3104,-3196,15452,-506,50,-117
260,-2008,1980,17492,-300,43,-566,3072,-3280,15448,-519,32,-115
280,-1900,1848,17668,-249,8,-546,3084,-3276,15440,-555,-4,-117
300,-1960,1872,17556,-244,35,-530,3076,-3276,15412,-519,-17,-109
320,-2028,1932,17596,-258,46,-530,3112,-3312,15364,-458,46,-117
340,-1996,1948,17720,-258,41,-499,3184,-3240,15328,-473,69,-115
360,-1976,1936,17544,-248,17,-513,3160,-3292,15240,-498,-21,-114
380,-1960,1844,17664,-245,9,-545,3124,-3296,15368,-539,-15,-92
400,-1984,1908,17692,-276,-13,-533,3100,-3348,15424,-571,-1,-140
420,-1988,2000,17552,-273,32,-525,3068,-3188,15404,-596,0,-131
440,-2004,1952,17600,-338,-50,-500,3140,-3220,15504,-650,-87,-94
460,-2144,2068,17712,-380,-99,-474,3200,-3140,15796,-741,-165,2
480,-2072,2276,17748,-825,55,-561,3336,-3048,16268,-975,-70,333
500,-2584,2632,18152,-1581,417,-494,3780,-2864,17360,-1557,377,1101
520,-2752,3640,18424,-2851,2646,147,5340,-2728,18400,-2160,2548,2500
540,-3012,3372,20584,-5499,6075,1161,5764,-4500,19328,-717,7979,4147
560,-3172,3980,21596,-8211,12061,2582,4592,-4668,21152,1732,12919,5399
580,-1448,496,19800,-12620,25714,2108,2788,-3844,23912,5017,21966,9972
600,-12620,-116,23508,-17072,32767,1559,-4156,-4388,24212,7816,29615,12577
620,-21424,-1340,24420,-17987,32767,4300,-6892,-3456,23428,10313,29808,15385
640,-25012,-4100,24080,-14409,29929,9725,-9896,-2216,23476,12449,26363,17152
660,-24460,-3904,21368,-12157,22747,16838,-10036,-1892,22748,14505,20797,20476
680,-21664,-4548,18556,-12854,23084,22673,-9072,-1588,20892,16380,20872,24525
700,-19380,-5544,15128,-14739,27745,27791,-8052,16,17332,16921,23289,28747
720,-18444,-5276,12248,-17430,30546,31428,-7948,1088,14580,15836,26704,32767
740,-16908,-4748,9908,-20705,29197,32767,-7824,2248,12040,13334,27430,32767
760,-14320,-4740,8316,-23206,23444,32767,-7360,3300,10540,10454,24800,32767
780,-10440,-4548,6424,-25109,16628,32767,-6676,3900,8400,6233,20804,32767
800,-6696,-2980,4888,-27066,8894,32300,-6088,4188,7820,1984,15684,32767
820,-3260,-2104,4720,-28703,112,26073,-4788,4272,6776,-1901,10253,30655
840,-184,-1168,4648,-29797,-5444,18488,-2632,4132,6656,-5521,6857,26934
860,1380,-572,6044,-31859,-9121,11905,-2012,4144,7000,-7799,2887,23158
880,1576,-956,7284,-31949,-13047,3416,-1248,4620,7132,-9809,2370,18453
900,380,-828,8188,-32310,-15495,-2447,-220,5092,8044,-11057,2626,14829
920,-2208,-1200,8660,-32768,-15805,-4341,248,5392,8788,-11432,3231,12028
940,-5256,-3100,9348,-32768,-13736,-1543,584,5296,9368,-11183,7325,11010
960,-9300,-4544,10292,-32768,-6835,6293,480,5392,9200,-10876,14465,10230
980,-13844,-6300,12836,-32768,2920,18010,-200,4916,7356,-10116,24141,10281
1000,-18580,-9004,25400,-30379,15923,31583,-9172,4468,11864,-7107,31548,12516
1020,-10056,-14428,32767,1046,11305,24488,-15184,5684,15104,-1789,16764,9861
1040,-7428,-8328,25120,22977,22581,22243,-3164,6088,15512,1893,15759,6834
1060,-7564,-5136,13968,23052,32767,28447,-4844,7316,13512,5507,19020,7023
1080,-11440,-2620,11664,20662,32767,28838,-11084,6664,11376,8732,14394,7360
1100,-11784,-2248,12532,27145,25908,22102,-12516,7464,9660,9259,6688,5466
1120,-8384,208,8448,32767,19,9645,-11720,7856,9352,8704,-8807,605
1140,-8708,3072,3912,32767,-22870,-2195,-9928,7984,7200,7317,-25670,-5395
1160,-8116,5372,-260,31074,-32768,-12685,-7768,9364,4780,4242,-32299,-9781
1180,-8560,7300,-3268,23802,-32768,-21815,-5452,10604,5232,315,-31734,-10800
1200,-10468,8224,-3100,12306,-32768,-26682,-4412,10152,7316,-2463,-27691,-10199
1220,-11856,7588,-876,-1981,-31649,-25924,-2776,9564,9456,-3516,-20929,-8640
1240,-14652,5360,2048,-15139,-23369,-19868,-2164,9472,10304,-3425,-13011,-6346
1260,-16880,2292,4980,-27068,-14227,-9765,-4216,9268,10572,-4736,-2835,-2421
1280,-17068,-1928,7300,-32144,-7905,-820,-6168,8948,11980,-5372,3852,485
1300,-19104,-4424,9884,-32768,-4695,8596,-6168,8064,12772,-5824,10650,4884
1320,-18872,-5916,12608,-32768,-2303,18568,-3628,7684,13456,-4100,19568,7899
1340,-19496,-8140,15732,-32768,4186,31080,-3444,8280,12756,-2912,29512,12165
1360,-19296,-8580,20980,-32768,20646,32767,-7832,7396,9492,-1454,32767,14499
1380,-836,-16604,32767,-24381,22166,32767,-19976,3864,11004,2246,32302,14008
1400,-8060,-10612,32767,22515,32767,32767,-4396,10024,15460,5468,18991,9255
1420,-10160,-7676,24016,32767,32767,32767,-8724,9604,16580,8109,23429,9894
1440,-7716,-6924,16528,29278,32767,32767,-8860,4872,15936,12565,15704,9389
1460,-9684,-3456,14864,32767,22815,28238,-13072,6312,11704,16255,2159,4967
1480,-7672,-3764,8704,32767,-15447,13617,-12372,7472,7276,15624,-17990,-2000
1500,-8684,1528,-1380,32767,-32768,733,-10116,8152,4456,14303,-32768,-9569
1520,-8008,5780,-8204,32767,-32768,-10602,-6972,9364,948,10958,-32768,-14760
1540,-9284,7312,-9072,32767,-32768,-15991,-3292,10820,-28,7018,-32768,-16997
1560,-9488,7636,-4188,28100,-32768,-15954,-3288,10564,1628,3127,-32768,-17720
1580,-9532,6700,-408,24054,-32768,-14559,-3936,10412,3184,76,-32768,-18527
1600,-9488,5836,1560,21845,-32768,-14646,-4244,9932,4396,-3295,-32768,-19533
1620,-9048,4368,3796,19785,-32768,-15744,-3128,8884,5340,-6515,-32768,-19804
1640,-7600,4200,4284,18534,-32768,-17521,-2168,8460,5752,-9500,-32768,-20275
1660,-7152,5860,4560,16945,-32768,-17454,-424,8252,5924,-12025,-32768,-20724
1680,-4780,6140,5536,13010,-32768,-17208,1572,7016,8012,-14316,-32768,-19049
1700,-3448,7120,6488,7218,-32768,-18467,3436,6912,9812,-16635,-32768,-18095
1720,-3028,7164,8324,384,-32768,-19802,3128,5652,11888,-18405,-26947,-16401
1740,-3404,6032,11344,-4008,-32008,-20275,3196,5412,11852,-19547,-22935,-16090
1760,-3768,3708,13932,-5697,-29064,-19671,2908,4136,11920,-20535,-17733,-14846
1780,-3316,2876,15624,-4842,-26917,-19633,2708,3416,12700,-20923,-14087,-13200
1800,-3364,3092,16884,-4079,-25335,-19851,3060,2528,14868,-20684,-12592,-12614
1820,-2316,3916,17112,-5347,-21856,-18749,4952,1756,16328,-20184,-10706,-12600
1840,-2404,3300,18476,-7693,-16534,-17817,4452,800,17468,-19535,-6897,-11945
1860,-2804,3224,19568,-10166,-11834,-17455,3952,176,19012,-18623,-3522,-11156
1880,-3516,2504,20912,-12098,-9572,-16818,3988,-756,19776,-17635,-1394,-9790
1900,-4040,1336,22872,-12541,-7662,-14943,4396,-1192,19632,-16464,1340,-8425
1920,-4084,284,24128,-10307,-5438,-12627,3680,-1464,19280,-14919,2844,-7336
1940,-4508,600,24284,-7418,-3401,-10731,2876,-1904,20436,-12969,2330,-6425
1960,-5720,2068,24444,-5465,-617,-10737,3504,-2632,21128,-11277,2761,-5036
1980,-3944,2008,21404,-7031,-5161,-8925,3216,-1560,20672,-9811,3390,-4523
2000,-3600,1700,20616,-8823,-894,-7161,3080,-2184,19608,-8826,2058,-4225
2020,-2984,1064,19628,-10369,-1237,-6176,3576,-1544,17800,-7980,3957,-3486
2040,-2584,-184,18660,-10077,1807,-5844,3064,-1548,15804,-7677,6016,-2754
2060,-2176,176,17092,-8541,1952,-5076,1348,-1920,14624,-7785,7310,-1040
2080,-4688,-2908,24012,-5519,-1801,-5090,-40,-2524,16360,-8152,6177,-2207
2100,-10120,-3212,28332,6101,-17167,-4489,-2884,-4756,21136,-5910,-2778,-2107
2120,-1184,880,20728,3736,-4676,-2530,1460,-4828,21328,-2102,-8284,-2326
2140,-4680,-3080,22140,-614,5301,-955,1052,-4708,20232,-862,-365,-1072
2160,-3868,-2476,18680,1436,3959,480,884,-4428,17012,-431,-169,-683
2180,-2908,-1388,17020,2386,375,331,1456,-4052,15024,-595,-1768,-240
2200,-1388,-732,16236,1559,-2136,-293,2396,-4324,14676,-987,-1237,203
2220,-488,-524,17176,830,-2753,-265,2952,-4280,14592,-1281,-1291,136
2240,612,-596,17880,1035,-1903,-228,3600,-4304,14832,-1299,-1764,-47
2260,1260,-336,18020,1724,-849,-233,4192,-4280,14820,-1208,-2119,-240
2280,1156,168,18188,2035,531,-366,4668,-4196,15032,-1077,-1162,-337
2300,396,100,17556,1313,1550,-694,3816,-3968,15408,-883,435,-301
2320,-1436,272,18152,615,1848,-944,2856,-4084,15872,-793,1070,-395
2340,-2292,96,18096,294,1717,-847,2036,-3800,16016,-495,1364,-287
2360,-2888,176,17956,200,1402,-586,1744,-3444,15764,-278,1506,-70
2380,-2552,268,17764,115,547,-431,1672,-3500,15300,-233,671,48
2400,-1816,304,17436,53,-672,-492,2312,-3596,15196,-307,-100,36
2420,-996,372,17472,-188,-1336,-643,3140,-3948,15216,-383,-564,-133
2440,-480,296,17840,-460,-1183,-877,3260,-3936,15448,-310,-401,-401
2460,-596,200,18016,-953,-652,-1072,3284,-4276,15644,-257,31,-561
2480,-844,-304,18156,-1058,-184,-1078,2968,-4132,15488,-279,466,-567
2500,-1120,-508,18004,-760,46,-1079,2416,-4108,15228,-244,368,-389
2520,-1320,-576,18104,-73,266,-823,2528,-3956,15136,-226,177,-388
2540,-1112,-84,17740,-117,135,-622,2668,-4064,15428,-211,-151,-308
2560,-1148,-308,17956,-98,-153,-396,2848,-4020,15624,-308,-483,-427
2580,-796,-60,17912,-41,56,-316,3100,-3828,15452,-398,-272,-307
2600,-772,200,17820,-138,307,-420,2968,-3780,15336,-520,58,-199
2620,-1068,116,17864,-152,264,-502,2756,-3788,15324,-601,127,-140
2640,-1208,20,17876,-235,220,-461,2656,-3744,15380,-629,125,-82
2660,-1284,-72,17924,-201,99,-412,2696,-3856,15432,-669,161,15
2680,-1256,8,18012,-74,83,-374,2624,-3884,15256,-726,-94,80
2700,-1200,180,17732,-212,-44,-354,2720,-3832,15252,-752,-123,101
2720,-1192,96,17872,-292,-169,-425,2764,-3760,15384,-762,-93,112
2740,-1000,68,17972,-369,-180,-459,2816,-3868,15384,-771,93,78
2760,-1012,32,17904,-418,-79,-545,2724,-3780,15320,-847,123,6
