Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-2408,4372,16992,-420,-19,-576,-5880,1000,14268,-679,-157,-90
20,-2452,4328,16864,-389,17,-564,-5788,1068,14208,-696,-201,-96
40,-2568,4364,17072,-467,31,-606,-5964,956,14508,-755,-199,-83
60,-2620,4300,16928,-505,-8,-580,-5844,944,14372,-783,-275,-49
80,-2584,4268,17128,-557,21,-635,-5868,896,14252,-846,-426,21
100,-2576,4176,16996,-453,-185,-485,-5788,996,14204,-864,-346,36
120,-2580,4028,16880,-430,-15,-416,-5592,964,14496,-918,-272,24
140,-2564,4244,17044,-403,5,-477,-5776,1016,14712,-1060,-378,-18
160,-2708,4336,17020,-412,-17,-481,-5776,1036,14276,-1151,-532,1
180,-1880,4996,16864,-620,384,-804,-5776,944,14516,-1065,-504,76
200,-2288,4304,16872,-391,16,-472,-5576,808,14496,-850,-203,106
220,-2376,4224,17088,-352,20,-478,-5736,776,14492,-701,41,138
240,-2496,4272,16984,-371,0,-468,-5896,844,14388,-660,53,46
260,-2664,4252,16988,-355,-12,-487,-5772,840,14384,-681,-14,-15
280,-2428,4204,17260,-372,-1,-509,-5792,916,14720,-728,-138,-90
300,-2448,4300,17144,-396,15,-531,-5760,736,14512,-802,-233,-120
320,-2456,4232,16988,-430,-14,-519,-5672,840,14600,-825,-247,-122
340,-2540,4232,17056,-448,-12,-542,-5740,880,14344,-900,-335,-189
360,-2568,4220,17136,-473,-84,-537,-5852,852,14584,-973,-432,-230
380,-2524,4172,17244,-478,-114,-508,-5564,896,14720,-1080,-489,-197
400,-2368,4200,17380,-345,-143,-465,-5088,960,14612,-1119,-65,-198
420,-2108,4080,17408,159,-329,-448,-5040,888,14988,-885,508,-191
440,-2704,3524,18724,1740,537,-422,-4592,1040,13808,-890,1501,-265
460,-2660,2444,19904,6826,1759,1010,-5204,408,13436,-722,2518,-101
480,-2772,3504,19800,11789,3729,629,-7332,-904,15720,-91,2087,397
500,-1132,3076,21440,15063,7268,-514,-4964,-324,15308,520,5872,1567
520,-2576,4600,17952,17053,11461,1488,-7492,-584,16932,1655,8035,2871
540,-6292,7996,19412,15358,13266,4303,-10752,-852,19056,3056,7195,3984
560,-8160,10864,19996,11987,10129,5785,-2132,-3372,18856,3781,6895,7312
580,-9104,9916,20460,8841,7474,3315,-13396,180,18592,4892,6428,7240
600,-10012,10200,21016,9443,7113,5192,-13208,1060,18040,6039,4854,9005
620,-10592,11008,19224,8715,5609,6015,-12616,1776,17944,7173,5574,11119
640,-9164,11436,18896,6781,8966,6816,-12080,2248,17344,8102,7238,13541
660,-7940,11104,15844,4798,12555,8817,-10752,3496,16516,8493,9222,15689
680,-9540,11268,15660,1208,14564,10019,-11404,3908,15220,8447,9869,17650
700,-9556,9552,15792,75,14409,12570,-9480,4948,13048,7962,11512,19681
720,-7832,8576,15208,1530,16685,14323,-8164,5808,11444,6848,17686,22501
740,-6504,8832,13344,3326,22029,15717,-8872,6740,10472,5926,21746,24636
760,-7280,9944,11960,2456,26847,17335,-9920,7636,10516,5130,20885,25746
780,-7432,10608,12252,1130,26417,17974,-9292,8496,10452,4079,20826,26334
800,-7672,10416,11848,-941,23469,19645,-9012,8696,10184,2834,19859,26863
820,-7224,10728,11204,-3419,20810,21909,-7964,9688,9604,1555,18765,27392
840,-5692,10588,10664,-5285,18764,24395,-6856,10880,8400,303,15819,27265
860,-4036,10180,10744,-5256,14619,26093,-6700,11776,7008,-821,11633,26551
880,-2976,9584,10684,-4115,8917,24730,-6792,11128,6760,-1888,7318,25291
900,-412,9276,9672,-3225,4075,22491,-3128,10924,7012,-2733,3834,23548
920,2428,9380,9476,-2338,953,22096,-1064,10984,7136,-3198,1892,21681
940,4264,9620,8836,-1553,-197,20318,-416,11064,7144,-3615,432,19576
960,4876,9320,8868,-1181,-1121,17087,-12,10276,7236,-3855,-193,17320
980,5044,9340,9144,-1324,-1768,14104,320,9880,7668,-3520,-965,14720
1000,4372,9728,9112,-1675,-4062,12245,216,10120,7736,-3070,-2535,12557
1020,4748,9416,9040,-2120,-4825,10971,996,9948,7564,-2798,-3207,10477
1040,4588,9048,9144,-1992,-5337,9774,616,9368,7088,-2590,-3583,8641
1060,4300,8880,9048,-1553,-5159,7777,388,9304,6712,-2258,-3725,6796
1080,4052,9064,9480,-954,-4873,5107,-384,9276,6844,-1872,-3599,5345
1100,4144,8988,9332,-736,-3807,2956,352,9392,7424,-1202,-3592,3549
1120,3504,9272,9584,-500,-4420,2282,-236,9300,7500,-490,-4086,2324
1140,3408,9108,9476,-265,-3891,1583,476,9460,7020,33,-2584,1355
1160,3484,9216,9124,323,-725,672,164,9592,6560,182,-389,899
1180,2480,9380,8672,1089,1928,-84,-452,9688,6372,167,1828,416
1200,1380,7728,7904,510,4722,907,-1248,9988,6656,139,2401,-202
1220,872,10740,8632,63,2507,-1810,-1172,10068,6556,-10,2850,-971
1240,1656,10756,8340,-498,2653,-2461,-860,10488,6592,-165,2565,-1694
1260,2452,10892,8372,-1315,3920,-2932,-688,10956,6752,-265,4000,-2314
1280,2084,11220,8776,-1675,5996,-3689,-1128,11600,6368,-199,5220,-2932
1300,1300,10888,8924,-1238,7457,-4636,-1640,11648,5936,-349,6680,-3709
1320,676,10996,8836,-330,8344,-5401,-2312,11308,5692,-505,7286,-4420
1340,708,11384,8556,-88,8701,-6156,-2552,11440,6236,-543,7804,-5187
1360,-228,11352,8904,-698,9048,-6924,-3156,11524,6448,-574,8166,-5969
1380,-640,10900,9124,-867,9638,-7406,-3408,11032,6188,-343,8766,-6748
1400,-224,10844,8824,-926,10221,-8034,-3292,10896,5900,75,10173,-7648
1420,-712,11096,8448,-387,12343,-9010,-3868,11256,5516,302,11941,-8525
1440,-3032,12088,9556,-433,12733,-9866,-6076,12496,6592,376,10792,-9514
1460,-5280,12232,10896,-864,9551,-9733,-7424,12244,7728,283,8533,-9866
1480,-4948,12336,11516,-981,7279,-9439,-6880,12744,7584,77,7575,-9685
1500,-3828,12628,11656,-433,9105,-9438,-6712,12700,8024,-108,8941,-9329
1520,-4592,13800,12616,-451,11483,-9135,-7280,13800,9416,81,9864,-8690
1540,-5584,14832,13620,-813,10616,-8542,-8200,14972,10116,302,8995,-8053
1560,-5880,15256,13876,-845,8622,-8029,-8392,15432,9548,270,7937,-7346
1580,-5600,14636,13372,246,7233,-7460,-8092,14904,8984,367,6927,-6678
1600,-5288,14936,12712,927,6937,-6667,-7968,15012,9096,-125,6491,-5848
1620,-5952,15336,12276,326,6374,-5679,-8268,14972,9368,-405,5624,-5118
1640,-7084,14936,13152,-862,4354,-4530,-9600,14308,9528,-451,3403,-4403
1660,-7604,14180,13120,-1469,1002,-3689,-9972,13892,8824,-459,865,-3636
1680,-7544,13768,12768,-633,-908,-3005,-9560,13780,7928,-461,-623,-2806
1700,-7868,13304,12344,701,-1534,-2329,-9688,13204,7532,-332,-1091,-1793
1720,-7900,13320,11824,1162,-1360,-1554,-9708,12892,7372,-160,-1210,-851
1740,-7612,13208,11020,960,-1546,-655,-9192,12520,7272,86,-1443,-33
1760,-6168,12656,10528,561,-1419,25,-8552,12180,6820,311,-1535,427
1780,-5528,12008,10396,528,-1826,-4,-7912,11740,6644,464,-2284,413
1800,-5112,11432,10700,1019,-3154,-78,-7624,11192,6652,733,-3566,49
1820,-4172,10996,10704,1754,-4381,-607,-7040,10776,6828,1269,-4784,-577
1840,-2688,10332,11120,2602,-5480,-1598,-6024,10288,7340,1862,-5716,-1467
1860,-604,9964,10892,3555,-4889,-3054,-3896,9932,7528,2623,-6115,-3055
1880,1364,8864,9556,3509,-4275,-4599,-2996,9092,8056,3497,-6660,-5229
1900,-112,8452,10216,3204,-5466,-7292,-5608,8292,6908,4333,-7041,-7357
1920,-2180,8496,10228,3979,-8393,-11231,-5652,8320,6144,4807,-9582,-9616
1940,-2888,8808,9704,4776,-11063,-13200,-5612,8936,6020,4879,-10601,-11561
1960,-1536,9128,8292,4840,-12194,-14189,-4284,8924,6208,4808,-11616,-13698
1980,-576,8596,7372,3100,-11689,-15057,-4712,8456,6004,4417,-12073,-15814
2000,-4724,7944,8336,1426,-14116,-18649,-9660,7736,5476,3920,-15238,-18002
2020,-7404,8156,9124,632,-18678,-22142,-9216,8628,4948,2797,-18828,-19650
2040,-6668,8480,8912,323,-21911,-22038,-7212,8852,6020,1289,-20279,-20943
2060,-5272,8480,8412,-1032,-23957,-19544,-6392,8296,6848,-19,-21849,-21975
2080,-4624,7600,8388,-4136,-21288,-19775,-8256,7096,7220,-2069,-17654,-21703
2100,-9708,6316,12104,-6052,-16275,-21608,-10836,5788,7772,-3091,-13856,-20848
2120,-10268,6748,13516,-5813,-12863,-19305,-10480,5996,9680,-4042,-13648,-19664
2140,-9348,6824,13448,-5802,-11501,-15675,-9612,5632,10572,-4977,-12980,-18693
2160,-9068,6124,14720,-5293,-10776,-13064,-11292,4908,10112,-5871,-11905,-17687
2180,-11508,4552,16268,-5283,-9249,-14329,-13052,2932,11968,-6173,-7391,-15592
2200,-14904,3720,18716,-5396,-6817,-12852,-16556,1172,13832,-5647,-8846,-13735
2220,-15784,6564,20000,-5947,-11755,-9592,-16348,1204,14888,-4437,-14835,-11944
2240,-13132,4376,18620,-5207,-18177,-5103,-13116,2032,13948,-3648,-20151,-10920
2260,-6536,4980,16332,-5066,-19926,-4717,-8708,2712,12772,-3761,-17976,-9975
2280,-4712,4388,15772,-6240,-13268,-6959,-8792,2024,13396,-3970,-12262,-9348
2300,-7544,3308,18472,-6021,-10076,-6329,-10444,124,15024,-3715,-10374,-8214
2320,-8860,3096,19532,-5498,-11567,-5034,-10152,716,15220,-3277,-10330,-7461
2340,-7436,3420,18656,-4674,-15279,-3743,-9148,736,14536,-2674,-12513,-6258
2360,-5268,3156,17772,-3628,-16603,-3969,-6276,1220,14360,-2835,-9848,-5775
2380,-3388,3032,17196,-3997,-2260,-5364,-5684,604,14756,-2884,-4185,-4599
2400,-9952,2928,24196,-1790,2896,-2413,-10332,-956,18428,-1754,-926,-3186
2420,-10312,3092,25704,443,-7210,-283,-10228,428,18984,-210,-5397,-1096
2440,-4520,3628,19820,2967,-6690,1398,-7300,1732,16320,565,-4785,138
2460,160,4448,15392,1341,-1111,68,-2724,2260,14180,239,-1114,-197
2480,-852,4052,15416,310,659,-520,-3688,1716,13696,-151,1131,-523
2500,-1148,3712,15616,-344,-983,-724,-4364,1408,13780,-471,-102,-1183
2520,-1976,3832,16176,-924,-1200,-1232,-5252,1204,14220,-994,-839,-1249
2540,-4828,3020,19144,-113,-1256,-1054,-6108,652,14972,-987,-183,-820
2560,-4020,3296,18728,793,-2115,18,-6316,648,14836,-499,257,-70
2580,-1824,3740,17324,969,-365,-456,-4972,1060,14648,-235,763,-84
2600,-1572,3784,16632,578,301,-198,-4948,1376,14832,-270,1414,-179
2620,-2036,4284,16940,301,173,-356,-5744,1200,14696,-301,1040,-145
2640,-2884,3960,17576,158,217,-343,-5836,1200,14724,-388,421,-60
2660,-3064,3976,17384,167,44,-374,-5920,1260,14636,-381,101,49
2680,-2772,4028,17044,150,-31,-429,-5660,1304,14404,-338,-152,-51
2700,-2736,4168,17444,-98,-847,-487,-5732,1220,14588,-310,-98,-156
2720,-2604,3884,17060,-165,-173,-480,-5512,1300,14524,-372,-1,-240
2740,-2608,4032,17072,-263,-468,-569,-5564,1276,14648,-386,112,-237
2760,-2568,3968,17232,-458,-178,-721,-5648,1188,14528,-440,258,-225
2780,-2596,4032,17056,-427,-37,-754,-5564,1152,14532,-428,418,-200
2800,-2496,3972,17076,-419,-32,-677,-5556,1340,14488,-449,557,-230
2820,-2660,4000,17168,-436,-57,-734,-5680,1252,14448,-474,575,-245
2840,-2544,3960,17264,-384,-35,-734,-5760,1208,14540,-460,523,-203
2860,-2688,3848,17172,-354,-69,-666,-5700,1176,14492,-465,398,-184
2880,-2552,3876,17076,-396,-104,-566,-5628,1112,14224,-503,352,-106
2900,-2544,3920,17012,-389,-14,-538,-5664,1148,14420,-523,222,-110
2920,-2584,3920,17120,-306,-9,-507,-5784,1264,14324,-457,197,-142
2940,-2668,3860,17268,-223,-538,-330,-5832,1332,14284,-459,178,-169
2960,-2608,3992,17080,-262,-33,-532,-5888,1224,14204,-456,99,-156
2980,-2688,3900,17068,-216,-38,-576,-5880,1236,14280,-420,110,-167
