Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-5100,2028,16956,-293,-52,-576,-4928,312,14772,-731,-139,-263
20,-5124,1904,16804,-291,-25,-559,-4932,292,14916,-736,-142,-275
40,-5068,1940,16776,-273,16,-564,-4872,156,14624,-651,-18,-293
60,-5028,1920,16816,-284,-18,-586,-4856,232,14808,-636,-18,-315
80,-5172,1956,16844,-224,-45,-558,-5008,240,14752,-677,-147,-372
100,-5100,1916,16808,-247,-55,-587,-4940,140,14624,-721,-195,-378
120,-5092,1992,16780,-252,-35,-598,-4796,208,14796,-804,-252,-381
140,-5164,2000,16900,-290,-19,-593,-4784,224,14708,-809,-142,-372
160,-5192,1872,16912,-289,-46,-584,-4900,164,14684,-781,-170,-381
180,-5036,1992,16800,-282,-119,-582,-4560,324,14820,-835,-172,-297
200,-4804,1944,16772,-335,-27,-549,-4544,264,14924,-909,-26,-219
220,-5116,1808,16720,-374,67,-526,-4756,152,14724,-968,46,-165
240,-5108,1952,16776,-383,37,-529,-4928,156,14856,-1047,-80,-198
260,-5136,1996,16756,-397,-7,-574,-4808,296,14968,-1133,-106,-234
280,-4908,2080,16724,-418,158,-610,-4532,152,14820,-1182,136,-211
300,-4852,1988,16860,-569,413,-605,-4452,36,14936,-1272,963,-237
320,-5148,1788,16924,-691,860,-623,-5440,-404,15592,-1324,178,-272
340,-5228,2112,17016,-538,1269,-694,-5000,52,15752,-1500,-548,-471
360,-5384,2108,17240,-293,2198,-805,-4092,228,15948,-1665,-890,-670
380,-6752,2256,18668,-829,4416,-284,-3600,-668,16396,-443,2882,-519
400,-6472,1996,18272,-2011,7433,794,-5624,-1512,17632,1821,7014,968
420,-7208,432,19960,-2312,10777,-87,-8696,-236,17532,3554,7762,2299
440,-12412,1504,23440,-137,14064,-2191,-9140,-184,16416,4055,7771,3438
460,-14692,1440,21588,4408,12257,357,-10580,576,16984,5203,7205,5159
480,-15640,2044,21404,7000,5913,3041,-11452,1204,17320,6182,4508,6488
500,-14076,3556,19412,7789,1713,5369,-11196,2252,17580,6934,1408,7907
520,-13136,4284,17928,7501,1208,6423,-10180,2752,17252,7823,666,9574
