Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14760,1920,2752,-190,-363,-88,-12380,4168,10580,356,-427,-319
20,-14800,2104,2852,-164,-487,-229,-12092,4124,10664,401,-684,-281
40,-14704,2064,2892,-217,-184,-14,-11964,4276,10416,313,-386,-299
60,-14504,1928,2968,-283,-46,81,-12132,4180,10472,268,-104,-342
80,-14916,1944,2996,-117,-124,-75,-12248,4160,10712,300,-307,-402
100,-14820,2060,2788,-266,-293,-124,-12364,4092,10604,349,-444,-376
120,-14624,2124,2396,-162,-169,-104,-12320,4176,10520,264,-325,-360
140,-15464,2320,2400,-47,-388,-55,-12312,4184,10664,283,-312,-267
160,-15060,2112,2912,-283,-236,84,-12268,4212,10584,358,-326,-191
180,-14768,1888,3096,-37,-137,175,-12252,4084,10872,269,-207,-198
200,-14664,1884,3168,-167,-530,-112,-12076,4256,10752,422,-559,-267
220,-14620,1888,2928,9,-251,-13,-11928,4136,10428,439,-453,-239
240,-14740,1900,2828,-47,93,177,-12028,4112,10580,364,-32,-282
260,-14988,1876,3236,-173,-142,84,-12456,4080,10716,327,-142,-284
280,-14720,1848,2724,-195,-501,-55,-12296,4244,10624,407,-627,-259
300,-14628,1840,2932,-84,-205,-59,-11816,4224,10404,322,-455,-331
320,-14724,1860,2836,-106,-155,-78,-12048,4160,10624,291,-294,-365
340,-14884,2000,3160,-73,2,-1,-12260,4252,10500,289,-236,-374
360,-15204,2044,2800,-19,-101,-19,-12432,4160,10740,330,-215,-321
380,-15048,2064,2852,-204,-319,-74,-12248,4160,10652,346,-378,-276
400,-14880,2004,3040,-286,-414,-100,-12076,4276,10724,322,-446,-260
420,-14800,1800,3132,-227,-176,81,-11848,4268,10756,343,-340,-238
440,-14756,1692,3172,-73,72,220,-12040,4240,10916,322,-193,-293
460,-14740,1712,3232,60,-210,-41,-12192,4192,10732,443,-417,-364
480,-14688,2044,2932,57,-342,-130,-12028,4200,10792,429,-516,-425
500,-15000,2088,2700,12,-315,-139,-12260,4068,10672,401,-378,-366
520,-14868,2136,2632,-167,-144,96,-12208,4200,10660,378,-306,-253
540,-14872,2144,2760,-360,-101,140,-12164,4184,10616,283,-126,-231
560,-14508,1800,3432,-16,-78,4,-12056,4324,10740,312,-280,-254
580,-14676,1888,3188,-12,-222,-41,-11888,3996,10632,359,-341,-349
600,-14904,1912,2968,32,77,72,-12116,4244,10816,371,-118,-347
620,-15008,2056,3048,-153,-233,-43,-12632,4096,10764,367,-255,-318
640,-14964,1952,2916,-135,-368,-60,-12352,4172,10652,400,-556,-284
660,-14928,2068,2888,-56,-280,-4,-12024,4192,10640,292,-263,-224
680,-14672,1972,2836,-297,-174,105,-12224,4096,10684,320,-145,-222
700,-14760,1800,3208,-164,-198,17,-12060,4156,10744,333,-286,-251
720,-14720,1764,3220,-48,-199,-33,-12048,4052,10700,400,-347,-371
740,-14764,1872,2940,13,-41,48,-12032,4120,10716,353,-229,-431
760,-14904,1980,2864,82,-20,13,-12284,4100,10596,304,-143,-364
780,-15020,1980,2976,-125,-168,-68,-12300,4144,10776,336,-326,-334
800,-14856,1944,3028,1,-246,-69,-12068,4176,10704,329,-458,-364
820,-14812,1932,3052,-29,-208,-160,-12068,4216,10656,368,-379,-399
840,-14684,1864,3072,3,-296,-137,-12148,4116,10892,421,-420,-424
860,-14756,1872,3092,151,-44,-107,-12028,4144,10716,330,-294,-480
880,-14884,1884,2948,19,-226,-274,-12360,4144,10932,341,-412,-482
900,-14844,1848,3172,131,-221,-274,-12100,4228,10732,411,-635,-465
920,-15124,2012,2912,-33,-257,-157,-12148,4252,10940,393,-409,-451
940,-15072,2140,3472,-38,-188,-166,-12460,4536,10956,340,-358,-426
960,-15332,1948,3456,-67,-714,-486,-12724,4424,11188,407,-840,-404
980,-15896,1964,3744,58,-976,-558,-12792,4656,11548,491,-1101,-279
1000,-17028,2748,3672,-147,-1157,-308,-13440,5248,12132,436,-1109,59
1020,-17980,2548,4532,-299,-2156,-588,-14624,5572,13268,284,-2013,636
1040,-19848,1956,5520,-428,-4297,-1260,-15944,5544,14480,452,-3991,1536
1060,-21588,1584,6212,-600,-7154,-1348,-15652,5204,15592,1257,-6533,2702
1080,-22780,616,8432,218,-9530,-772,-15900,5336,16044,2165,-8120,4150
1100,-23220,588,8796,2495,-13096,-141,-15760,5832,16052,3993,-10203,4691
1120,-23692,1040,8828,4212,-15470,1026,-15372,5824,16500,5246,-11638,6052
1140,-22924,1968,7272,4650,-17869,2409,-14804,5920,16156,6566,-11990,7765
1160,-21528,2276,5840,3679,-19685,3144,-14440,5708,16000,7862,-13134,9195
1180,-19840,2388,6292,3384,-20419,3894,-13524,6060,14036,8921,-13794,10498
1200,-18172,2744,5708,4424,-22013,4967,-12052,6220,13216,9410,-14666,11627
1220,-15780,2936,5436,4886,-22336,5850,-10532,6524,12212,9494,-14300,12488
1240,-13392,3176,4592,4203,-22999,6178,-9424,6364,11856,9580,-14786,12732
1260,-10600,3176,4288,2463,-22915,5838,-7568,6292,11372,9854,-14235,12647
1280,-9300,2864,5284,2144,-21706,6076,-5864,6580,10456,9805,-13684,12415
