Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-12272,6108,6016,79,123,223,-9624,10196,8956,363,102,-497
20,-12376,6192,5716,142,153,185,-9952,10172,8988,337,40,-488
40,-12576,6312,5892,-8,-123,5,-10072,10288,9056,298,-370,-443
60,-12632,6164,5700,-111,-265,-135,-9776,10344,8972,265,-591,-363
80,-12356,6144,5932,29,-138,-82,-9496,10184,8780,296,-400,-328
100,-12492,6124,5924,12,-90,-92,-9744,10228,8844,324,-274,-355
120,-12468,6176,5696,-97,-238,-90,-9680,10336,8860,317,-281,-352
140,-12408,6168,5716,-19,-232,-94,-9864,10284,9044,318,-438,-360
160,-12296,5952,5860,8,-208,-116,-9636,10196,8852,311,-485,-373
180,-12436,6184,5888,42,-91,-62,-9604,10308,8968,317,-366,-396
200,-12292,6176,5848,-60,-22,119,-9560,10276,8724,289,-138,-414
220,-12380,6216,5832,130,166,154,-9652,10380,8788,236,35,-459
240,-12240,6244,5740,130,292,205,-9624,10408,8768,166,292,-488
260,-12588,6804,5172,-127,578,571,-8708,10552,8976,-340,1373,-578
280,-12284,6224,6528,-437,1687,1325,-8808,10412,9088,-668,2877,-576
300,-12768,5124,6564,-1598,1864,1526,-8904,9880,10260,-587,3946,-561
320,-13236,4784,7760,-815,3180,2303,-9076,10180,10460,79,5014,-429
340,-15128,4472,11060,882,5431,4343,-9348,10908,10568,399,5065,-278
360,-16936,3708,11772,1552,4391,6276,-10568,11808,12024,426,2799,-147
380,-15060,2940,12276,2990,2593,6762,-9928,12688,14528,1340,-2729,-1106
400,-16296,2192,12992,5417,1165,2616,-10200,12576,17016,3469,-4967,-675
420,-18256,3008,13288,4567,-5941,-1978,-9476,13024,15616,5008,-9436,384
440,-18252,6292,11952,5999,-11953,-3292,-10716,14888,13432,6161,-10710,1906
460,-19088,9704,9532,4810,-16809,-4708,-12792,15732,12312,5845,-15652,3446
480,-16760,10652,6408,5733,-24478,-8074,-11512,14464,11016,5183,-20857,4900
