Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-9568,7024,12072,-232,-228,-453,-11692,5312,8412,-541,-180,-82
20,-9480,6816,12152,-206,-213,-396,-11596,5296,8376,-508,-199,-43
40,-9420,6996,12108,-207,-86,-411,-11564,5340,8368,-465,-130,16
60,-9432,7152,11980,-145,37,-488,-11672,5596,8400,-412,12,-37
80,-9528,7140,12080,-238,53,-600,-11580,5548,8356,-444,92,-147
100,-9512,6928,12080,-291,0,-605,-11652,5416,8264,-486,64,-191
120,-9524,6892,12092,-278,58,-513,-11500,5296,8244,-541,97,-90
140,-9400,7096,12248,-271,173,-490,-11548,5356,8304,-552,155,-24
160,-9516,7020,12012,-236,216,-556,-11668,5468,8208,-521,252,-47
180,-9568,6956,12064,-198,130,-514,-11696,5536,8260,-512,239,-41
200,-9476,6988,11964,-225,34,-473,-11692,5544,8236,-547,122,-57
220,-9464,7104,11940,-269,2,-525,-11736,5480,8352,-594,-14,-117
240,-9560,6952,11996,-292,-1,-574,-11604,5432,8088,-572,-13,-160
260,-9528,7004,12016,-306,-58,-548,-11708,5396,8156,-521,-54,-158
280,-9580,6948,12196,-258,-71,-520,-11636,5348,8280,-542,-6,-142
300,-9440,7028,12100,-255,-75,-496,-11568,5528,8256,-534,-67,-110
320,-9432,6944,12092,-317,-55,-526,-11572,5432,8436,-561,-59,-143
340,-9352,7044,12160,-284,-28,-537,-11608,5344,8432,-618,6,-132
360,-9476,7044,12128,-253,43,-490,-11560,5332,8368,-589,60,-89
380,-9460,7088,11972,-254,44,-504,-11696,5388,8304,-551,119,-54
400,-9516,7224,12076,-283,10,-543,-11676,5428,8264,-569,40,-145
420,-9556,6984,12160,-304,-37,-574,-11572,5428,8212,-556,-66,-168
440,-9556,6888,12108,-249,-79,-531,-11548,5288,8376,-580,-130,-116
460,-9544,7020,12052,-247,-145,-477,-11612,5388,8204,-561,-95,-81
480,-9440,6992,12192,-235,-45,-549,-11612,5356,8208,-492,-61,-152
500,-9564,7112,12112,-160,11,-568,-11552,5468,8236,-446,-49,-130
520,-9544,7088,11908,-194,19,-588,-11592,5512,8492,-493,-44,-199
540,-9372,7136,12116,-358,76,-725,-11792,5448,8596,-383,-218,-210
560,-9216,6584,12456,-515,1470,-1186,-11820,4964,8884,-152,746,-80
580,-10652,6544,12900,-371,5402,-1595,-11248,5804,8576,-568,2196,187
600,-10468,7128,13184,173,14364,-1135,-12064,5584,8912,-1447,5741,406
620,-10860,8520,10808,481,24441,-1309,-12852,5596,9988,-1381,9467,1035
640,-17580,6288,13564,-2199,30342,-2059,-15584,4492,9376,-766,15372,2874
660,-23412,5324,15188,-2574,21819,1304,-21428,-392,10832,1584,14781,5356
680,-22892,5028,11192,-560,15985,-1270,-21524,6336,4364,1960,24554,9468
700,-22384,5264,10668,969,15610,6511,-19128,7332,6064,368,11917,10780
720,-18880,6836,8308,1102,20068,11206,-16776,6880,4200,124,17223,14515
740,-19056,6632,7288,139,19330,11123,-17372,7364,4720,-371,16634,15905
760,-18024,7452,6716,-804,18059,12486,-15972,7408,4232,-1115,16707,17313
780,-15396,7220,5928,-1976,16996,14861,-14244,8564,3092,-1786,14471,18284
800,-13212,7096,5220,-2065,17494,15496,-12796,8440,2184,-2514,13322,18813
820,-12512,8048,5044,-1736,16253,14912,-11716,8736,2192,-3136,12864,18832
840,-11168,8436,4116,-2250,15011,16380,-10824,9368,2048,-3740,12105,18751
860,-8012,8784,2968,-3616,15477,15485,-8916,9948,1636,-4469,12704,17952
