Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,14628,-7420,-6084,-160,-406,119,8292,-5552,-12808,385,-281,-375
20,14752,-7612,-6444,-472,36,-226,8332,-5452,-12696,336,-86,-351
40,14772,-7840,-6940,-217,-30,-232,8200,-5472,-12728,357,-91,-327
60,14836,-7856,-6940,-29,-245,-34,8188,-5432,-12852,370,-327,-293
80,14892,-7788,-6956,-119,-254,154,8180,-5520,-12864,412,-461,-265
100,14784,-7788,-6872,176,-152,22,8380,-5472,-12788,470,-413,-278
120,14400,-7616,-6664,266,-138,-147,8220,-5556,-12656,433,-211,-306
140,14428,-7444,-6356,139,-303,-142,8012,-5516,-12368,376,-261,-379
160,14636,-7224,-5936,-10,-462,-32,8028,-5560,-12640,234,-294,-378
180,14784,-7200,-6140,-425,-454,-52,8452,-5560,-12544,133,-200,-361
200,14952,-7492,-6784,-810,-105,-174,8432,-5572,-12676,134,-19,-323
220,14956,-7860,-7484,-619,5,-269,8472,-5576,-12660,177,5,-250
240,15048,-7804,-7048,37,-37,-280,8148,-5500,-12704,258,-80,-196
260,14892,-7752,-6612,285,-355,94,7948,-5644,-12780,245,-326,-242
280,14708,-7532,-6360,43,-455,304,8120,-5536,-12720,263,-472,-293
300,14280,-7576,-6424,-171,-377,39,8276,-5532,-12632,214,-296,-373
320,14064,-7536,-6344,-292,-219,-393,8108,-5528,-12364,137,10,-438
340,14060,-7476,-6360,-356,-287,-674,8048,-5524,-12496,32,205,-536
360,13960,-7316,-6244,-495,-589,-710,7912,-5400,-12272,-140,290,-672
380,13740,-7164,-5780,-767,-1109,-758,8268,-5448,-12264,-218,512,-872
400,13628,-7012,-5972,-1445,-1006,-1327,7848,-5248,-11816,-510,915,-1033
420,13508,-7224,-6476,-1560,-873,-1662,7868,-5428,-11012,-947,1041,-1355
440,12524,-7260,-5952,-721,-1665,-1384,6652,-5364,-10264,-1783,454,-1958
460,11868,-7144,-4516,-453,-3757,-762,7180,-5720,-13040,-1797,-524,-2562
480,16212,-8196,-5060,-2645,-3338,-1838,8856,-6564,-16116,-914,1200,-3402
500,18968,-11048,-9540,-6198,-681,-3514,11416,-7800,-17260,1097,3108,-3784
520,22248,-13100,-13568,-5098,3493,-6360,12524,-9528,-17756,3192,4671,-3452
540,26448,-12200,-13292,-682,4854,-6058,13728,-10696,-17856,6011,4444,-2510
560,28780,-10964,-11940,3054,5475,-4067,14736,-11576,-17656,8949,3283,-1176
580,28516,-8756,-10576,5155,6566,-1668,15644,-11624,-16656,11913,1532,684
600,27540,-7400,-9436,6496,8595,-1224,17576,-11168,-17432,14670,1757,2643
620,26292,-7792,-9960,4773,13126,-2103,15972,-10604,-15792,17326,3130,4437
640,23096,-7684,-8784,4574,15390,-1133,13128,-10640,-13596,18871,3951,5351
660,19344,-6772,-6120,6687,14643,1284,10380,-10344,-11056,19591,2521,5384
680,15224,-6324,-3000,8905,14367,1542,10344,-10056,-11436,20176,3317,5208
700,12520,-6008,-1992,8028,17046,-1480,9664,-8588,-10872,20619,6247,4662
720,10956,-6104,-3352,4586,19611,-3584,7392,-7644,-8404,20273,7528,4119
740,8200,-5980,-3184,4433,18676,-3895,5260,-6712,-6768,19250,7303,3589
760,6984,-5068,-2488,6527,14838,-2911,4308,-5864,-5192,17578,5066,2604
780,7016,-3324,92,8625,10157,-1286,3888,-5456,-4312,15229,2913,1464
800,7480,-1820,2052,8402,7350,-184,4224,-4848,-3712,12718,1116,557
820,7040,-924,3308,6397,5556,306,4272,-4540,-2900,9924,-186,-31
840,3764,-740,4068,4024,4081,-942,6032,-4164,-2616,6967,-787,-532
860,-248,-1796,1380,3815,7253,-8906,7128,-3784,-2044,3573,1889,-1062
880,8020,-1368,764,4142,4764,-11104,3916,-4228,-3024,614,4575,-1874
900,12928,-2228,348,821,-2613,-2606,1888,-4964,-5956,-1225,1204,-2458
920,18200,-4152,-2632,194,-7789,5007,5104,-6104,-8056,-2567,-3854,-3278
940,13256,-5468,-4108,1455,-5474,5662,8100,-7136,-8064,-3115,-6555,-3346
960,11660,-6112,-3288,303,-6139,4919,9016,-7892,-7880,-4016,-7280,-3570
980,12308,-5500,-1536,1076,-7694,3833,8308,-8420,-6968,-4336,-7858,-3206
1000,13232,-4632,-292,738,-9092,4209,7500,-7892,-7052,-5105,-8146,-2259
