Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14960,4020,-2468,-519,-298,362,-14940,4004,-4396,186,-198,6
20,-14668,4028,-2452,-700,-399,72,-15020,4008,-4244,213,-186,-84
40,-14668,3892,-2108,-335,-138,-12,-14728,3892,-4284,163,-224,-134
60,-14772,3940,-2236,-183,-78,120,-14652,3940,-4164,106,-298,-284
80,-14668,3948,-2296,-89,145,180,-14500,3896,-4144,241,-261,-234
100,-14740,4008,-2284,-166,-46,21,-14676,3784,-4260,417,-158,-374
120,-14700,4048,-2388,-277,-209,-91,-14624,4036,-4276,514,-233,-433
140,-14904,3952,-2448,-110,-158,-285,-14740,3928,-4628,514,-111,-466
160,-15148,4080,-2716,41,-4,-246,-14912,3968,-4420,366,-132,-549
180,-15524,4016,-2548,-162,330,-54,-14900,3872,-4376,320,-109,-435
200,-15500,4020,-2676,-331,-52,-26,-15080,3880,-4444,300,-198,-282
220,-15448,3916,-2416,-384,-199,279,-14856,3892,-4620,348,-337,-114
240,-15060,3916,-2256,68,-112,229,-14840,3952,-4340,293,-186,-74
260,-14816,4184,-2460,103,-229,66,-14812,3916,-4420,429,-134,-59
280,-14884,4104,-2728,-157,9,72,-14672,4012,-4448,370,-173,-144
300,-15108,4180,-2820,-689,56,91,-14836,3932,-4512,270,-59,-247
320,-14928,4224,-2692,-1120,-287,-71,-14804,3996,-4344,277,-105,-275
340,-15084,3968,-2540,-1336,-749,-213,-14800,3872,-4428,322,-192,-210
360,-15020,4032,-2396,-876,-220,46,-14868,3948,-4660,229,-290,-262
380,-15248,4104,-2688,-808,78,152,-14980,3948,-4516,143,-229,-278
400,-16096,4276,-2308,-1493,301,472,-15208,3812,-4944,-37,-286,-40
420,-17180,4584,-1472,-3599,628,1310,-16200,3784,-5416,-457,-748,467
440,-18084,3820,-1200,-5201,554,2429,-17288,3984,-4228,-823,-2023,1673
460,-17468,4512,-1928,-6998,-645,2765,-16864,3864,-3492,-157,-3022,2994
480,-17620,3808,128,-10689,217,3402,-16832,4032,-4496,360,-3751,4208
500,-18372,2796,1528,-8260,-972,3114,-17788,4216,-5496,284,-4920,5316
520,-20288,2512,212,-6258,-5117,1767,-18748,5412,-3924,-768,-8902,7126
540,-20308,2672,-4280,-12802,-4801,3574,-17584,4584,-2564,-482,-13488,8182
560,-16496,6680,-6032,-14177,-14311,-60,-19312,4628,-3296,-582,-14618,9893
580,-18060,4532,-404,-9620,-15321,-3436,-17808,5652,-3608,-334,-16822,11244
600,-17980,5976,-2928,-7388,-18405,-4403,-15856,6816,-3600,-969,-15727,10976
620,-17656,6572,-1872,-4454,-20105,-4119,-16544,7248,-976,-2932,-15510,10821
640,-16604,6780,-1908,-4961,-21205,-1874,-14944,6620,132,-2922,-14885,10428
660,-15588,5380,1016,-5024,-18376,805,-14996,7740,-124,-2823,-12026,10583
680,-14100,4464,3288,-5188,-16441,1165,-14292,8700,20,-3536,-9682,10099
700,-11480,4052,4028,-7259,-15775,-1444,-14324,9104,1544,-4621,-8681,9385
720,-13088,4764,4252,-7384,-17268,-3438,-13504,8608,2020,-4848,-7761,9160
740,-11592,4656,4412,-7747,-17289,-4136,-13280,9684,2360,-4820,-8791,8624
760,-11788,4064,5784,-6713,-15872,-2914,-12308,9412,3396,-4573,-9909,7858
780,-10436,3484,6632,-6803,-12837,-1554,-12200,10160,2744,-4757,-10168,7211
800,-11280,3364,7176,-9193,-13337,-2442,-11920,9812,4352,-5183,-10364,6560
820,-11064,1132,10156,-8503,-13666,-3755,-12164,9304,3768,-4108,-11628,6709
840,-10384,1204,9488,-6271,-14843,-3893,-10700,9848,4420,-3956,-13933,6890
860,-8316,2004,8516,-6773,-15269,-3460,-10084,9472,5480,-3453,-14560,6311
880,-7268,1616,8600,-5394,-12572,-3213,-9292,9856,5376,-2650,-13656,6179
900,-6908,1152,9280,-5549,-10705,-4176,-8684,9796,5920,-2192,-11785,5746
920,-7612,160,10616,-6170,-10133,-4340,-7660,9492,5940,-2052,-9794,5011
940,-8296,-184,11112,-4539,-9024,-3090,-7476,10092,6212,-2582,-8539,4396
960,-6496,284,9932,-2648,-7770,-1489,-7300,10012,6972,-2331,-6111,3416
980,-6124,292,10016,-1608,-5741,-1133,-7372,9536,7100,-1499,-3366,2661
1000,-5460,136,10020,-1403,-3573,-999,-7412,9492,7012,-762,-1747,1923
1020,-5752,328,9404,-2113,-1680,-833,-7252,9356,6660,-221,-861,1315
1040,-5696,256,9764,-1883,-257,35,-6436,9500,5908,94,-536,467
1060,-4624,108,9216,-1119,1924,797,-6600,9444,5964,-256,503,-880
1080,-5516,-28,9400,-1683,2367,-57,-7244,8784,6916,110,1756,-1902
1100,-6724,-392,9664,-1724,3173,-371,-7472,8748,6352,735,2676,-2424
1120,-7388,-652,9864,-464,4510,969,-7688,9000,5672,1224,3554,-3327
1140,-8396,-180,9808,1064,6183,2092,-8600,9416,6172,1048,4953,-3890
1160,-8912,316,9204,678,6735,2316,-9696,9816,6412,1489,6424,-4265
