Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14884,2712,-5524,-34,20,87,-14284,3008,8240,221,-93,-248
20,-14848,2812,-5732,-101,-63,47,-14136,3120,8148,253,-237,-288
40,-14752,2776,-5752,-171,-119,-39,-14156,3032,8032,270,-255,-291
60,-14760,2812,-5652,-335,-283,-91,-14208,3068,7908,258,-342,-290
80,-14912,2644,-5596,-422,-280,-71,-14084,3044,8176,248,-258,-278
100,-14804,2736,-5608,-356,-116,-109,-14188,3024,7912,231,-163,-259
120,-14820,2700,-5568,-280,-84,-52,-14176,2980,7816,211,-223,-307
140,-14664,2696,-5444,-251,-163,17,-14092,2956,8024,194,-259,-259
160,-14660,2732,-5356,-198,-4,-20,-14060,2972,7936,211,-188,-338
180,-14732,2660,-5268,-62,-40,-149,-14036,3100,7820,211,-254,-316
200,-14736,2760,-5668,-27,-125,-179,-14160,3008,8128,237,-301,-371
220,-14808,2732,-5644,-203,-106,-109,-14076,3032,7956,256,-271,-383
240,-14896,2704,-5652,-48,-68,-109,-14144,3012,7948,264,-211,-391
260,-14964,2780,-5596,-48,134,60,-14192,3048,7992,253,-71,-335
280,-14772,2672,-5568,-161,162,75,-14356,2980,7936,259,10,-328
300,-14868,2708,-5564,-209,44,-8,-14224,2936,7916,272,-118,-341
320,-14748,2628,-5552,-140,-45,-40,-14280,2984,7920,322,-173,-316
340,-14920,2700,-5336,-131,-64,9,-14196,3016,7964,292,-158,-339
360,-14664,2564,-5724,-227,-54,9,-14024,3004,8220,300,-144,-393
380,-14852,2764,-5476,-49,51,-29,-14300,2916,7912,267,-192,-404
400,-14672,2688,-5604,22,-21,-62,-14008,2956,7860,256,-130,-438
420,-14700,2812,-5580,-75,-17,-89,-14100,2968,8040,218,-119,-420
440,-14596,2644,-5492,-73,3,-136,-14136,2944,7936,234,-75,-472
460,-15108,2708,-5752,91,-154,-180,-14184,2852,7936,232,-266,-470
480,-15012,2696,-5740,-207,-159,-81,-14280,2932,8036,251,-363,-422
500,-14988,2704,-5716,-264,-118,-70,-14212,2968,8104,241,-267,-420
520,-15168,2796,-5400,-120,-84,-40,-14344,3000,8280,235,-251,-339
540,-15540,2644,-5456,-122,-128,31,-14644,2980,8300,254,-311,-294
560,-16240,2644,-5080,-177,22,472,-14752,2864,8644,296,-492,-175
580,-16872,2368,-4736,274,29,985,-15136,3072,9292,555,-867,-16
600,-18136,2844,-4224,241,-453,1425,-15708,3200,10184,861,-1758,265
620,-20552,2312,-3144,-434,-2080,2114,-16716,3104,11840,1356,-3879,706
640,-22588,2220,-2560,-1739,-4804,2351,-18404,3468,14168,2254,-7419,1355
660,-24324,1444,-2084,-2787,-8931,1277,-19808,3232,15384,3579,-12322,2374
680,-25296,2140,-2488,-3163,-12145,32,-18872,3728,15680,5118,-15398,4379
700,-26484,1796,-1716,-2672,-13494,332,-17616,4704,15832,6150,-16524,5736
720,-24824,3964,-4916,-3987,-15938,1108,-16616,4920,15740,7114,-18390,7013
740,-22596,3612,-4596,-7425,-16939,1464,-15864,5540,14240,7886,-19458,8087
760,-22028,4204,-2440,-13057,-18110,2046,-13972,5904,12920,8102,-19764,9117
780,-19588,4188,-2940,-9962,-21013,2136,-12888,6256,13492,8054,-19603,9844
800,-17332,5020,-3588,-8553,-23767,1025,-12324,7072,13028,8086,-21207,10640
820,-16544,5732,-3064,-7465,-24292,491,-11008,7424,11888,7863,-22343,10863
840,-14752,5736,-2756,-6578,-24460,310,-9500,7732,11380,7342,-21634,11498
860,-13072,5288,-820,-4895,-22848,587,-8632,8000,10576,6670,-19497,12295
880,-10836,5144,-48,-3180,-19147,1368,-7760,8456,9544,6126,-16693,12168
