Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16808,-3972,-3048,95,-75,-6,13152,-9044,-3612,402,-282,-280
20,16772,-3948,-3344,134,-49,-10,13020,-9084,-3904,371,-312,-277
40,16584,-4000,-3172,-13,-71,-48,13084,-8908,-3688,342,-290,-292
60,16608,-4036,-3252,-119,-164,-47,13100,-8964,-3744,313,-213,-308
80,16580,-4052,-3348,48,-231,-15,13088,-8860,-3808,316,-315,-323
100,16632,-4024,-3392,67,-268,-35,13100,-8968,-3824,320,-394,-289
120,16568,-3964,-3264,-109,-274,-137,12928,-9016,-3912,253,-250,-275
140,16584,-4008,-3368,-117,-289,-104,12972,-9052,-4036,197,-304,-350
160,16608,-4152,-3340,-70,-261,-219,12996,-9096,-4004,163,-354,-447
180,16740,-4004,-3560,-122,-277,-259,13164,-8972,-3920,199,-292,-491
200,16816,-4092,-3520,131,-226,-277,13248,-8996,-3812,272,-271,-483
220,16100,-4004,-3680,796,-472,-399,12948,-9072,-3784,255,-203,-566
240,16468,-3928,-2916,319,-525,-320,13108,-9000,-3636,160,-329,-680
260,16560,-3684,-2732,108,-567,-496,13060,-9148,-3724,192,-450,-551
280,16464,-3772,-2888,-194,-549,-655,12960,-8920,-3564,78,-341,-741
300,16824,-3868,-3128,-539,-527,-738,13204,-8932,-3648,-86,-225,-924
320,16932,-3852,-3356,-423,-394,-903,13240,-9248,-3892,133,47,-395
340,17136,-3872,-3732,-184,-310,-917,13424,-8792,-3892,139,-37,-575
360,17444,-3720,-3492,-301,-293,-955,13468,-9076,-3816,103,22,-590
380,17720,-3520,-3516,143,-333,-819,13680,-9192,-3836,343,-369,-458
400,17740,-3608,-3440,-110,-108,-804,13744,-9252,-3588,344,-368,-386
420,18068,-3328,-3088,-189,433,-1035,14276,-9260,-3444,591,-390,-121
440,18496,-3228,-3024,-116,1165,-1410,14680,-9200,-3548,556,481,32
460,19324,-3176,-3132,-187,1425,-1669,15592,-10448,-3680,905,966,483
480,21268,-3032,-3160,-199,2537,-2524,16836,-10852,-3708,1705,1716,1283
500,23216,-3048,-3712,-408,5265,-3307,17356,-11196,-3360,2694,3281,2572
520,24272,-3444,-3720,-255,7609,-3308,17676,-12428,-3512,3573,4694,4141
540,24792,-3076,-3448,838,9412,-2225,17148,-12504,-3476,4764,5514,5891
560,24200,-2440,-2912,1293,10634,-684,16688,-12628,-3468,6004,5887,7866
580,22236,-2040,-2192,739,12127,-35,16696,-11604,-3352,6935,6273,9198
600,21436,-2648,-2112,557,13465,-262,15944,-11640,-2216,7900,6645,11239
620,20348,-3352,-1620,2552,14794,-672,14508,-12628,-1760,8600,7036,11728
640,19464,-3340,-1224,5157,14996,-490,13348,-12256,-1528,8511,8846,11372
660,18200,-2920,-1004,5691,15277,845,12040,-11944,-1164,9027,8602,12380
680,16396,-3412,176,7153,15048,1283,11084,-11684,-92,9162,7635,13048
700,15584,-3476,984,7324,14003,2056,9728,-12012,308,9013,7229,12314
720,14924,-4356,624,9274,14530,845,9424,-13488,124,9585,6601,11714
740,13916,-3428,1132,13053,15558,-1409,9908,-12852,52,10251,7281,11890
760,14592,-2260,2476,11360,15699,-1616,8696,-11572,808,9772,8370,11705
780,13088,-2628,3476,9551,15550,-521,7648,-11708,1992,9284,8512,10906
800,11232,-2748,4660,10510,14885,-1470,7284,-12348,2740,8501,7878,10202
820,11632,-1696,5940,8981,13599,-1564,6188,-12324,3360,7648,6776,8919
840,10912,-1212,6880,4613,13278,-1292,6072,-11852,3436,7076,5817,9336
