Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,15680,784,4900,17,-238,-34,13532,-7888,6092,332,-247,-307
20,15804,800,4868,-100,-240,-139,13444,-7884,6136,285,-332,-334
40,15816,724,4860,-278,-401,37,13608,-7872,6128,200,-405,-393
60,16104,660,4540,-113,-330,134,13780,-7856,5928,253,-452,-412
80,16188,312,4600,-293,-277,197,13840,-7888,5968,274,-464,-368
100,15912,520,4844,-193,-310,252,13684,-7956,5924,296,-470,-371
120,15688,560,4856,-186,-305,1,13712,-7892,6284,351,-394,-400
140,15880,576,4528,-212,-321,-234,13700,-7868,6220,374,-153,-366
160,16112,720,4772,39,-311,-232,13912,-7728,5988,335,-116,-301
180,16184,652,4672,-212,-295,-75,13900,-7784,6060,213,-223,-367
200,16280,596,4444,-186,-242,-30,14096,-7808,5880,202,-270,-336
220,16208,492,4700,-95,-179,51,13884,-7876,5904,209,-285,-326
240,15844,496,4660,-144,-200,150,13684,-7856,6060,265,-309,-304
260,15848,468,4756,-92,-202,4,13692,-7860,5980,307,-212,-346
280,16092,308,4660,13,-19,-150,13684,-7908,6084,330,-262,-368
300,16168,480,4556,-72,-289,-37,13680,-7820,5936,392,-340,-364
320,16080,472,4644,-20,-184,-73,13876,-8004,6184,387,-297,-320
340,15976,528,4712,105,-143,-171,13740,-7836,5976,397,-132,-256
360,15980,688,4880,-46,-171,-139,13672,-8000,6148,373,-89,-302
380,16052,768,4740,-71,-124,-42,13616,-7940,6152,420,-151,-328
400,16080,736,4780,-72,-89,37,13868,-7796,6152,425,-289,-285
420,15780,492,4856,-131,-153,80,13684,-7892,6216,395,-324,-298
440,15508,392,4932,41,-295,19,13488,-7964,6120,414,-281,-359
460,15488,492,4840,59,-364,-100,13428,-7924,6120,459,-351,-510
480,15504,436,4748,55,-542,-99,13452,-7928,6032,511,-473,-564
500,15724,536,4796,272,-574,-184,13564,-7952,5936,553,-518,-651
520,15944,520,4756,272,-693,-284,13700,-7996,6108,573,-617,-727
540,16228,572,5000,282,-1034,-70,13648,-8336,5968,694,-945,-723
560,16384,392,4944,836,-1603,377,14048,-8528,6520,944,-1992,-595
580,16972,812,5092,1779,-2649,1013,14416,-8720,7024,1046,-3023,-357
600,17604,1396,5476,3109,-2718,-25,15328,-8852,7556,1249,-2575,-72
620,18840,1884,6048,2205,-1834,-646,15668,-9452,7376,1265,-1243,479
640,18796,1440,6156,1940,-799,-1118,15724,-9784,7848,1628,-393,1193
660,19424,2284,5592,2834,-849,-189,15068,-9676,7936,1913,-1516,2122
680,20068,2836,5392,3692,-1396,1753,15228,-9472,7976,2043,-3367,3020
700,20016,2796,5572,3617,-1165,2791,15764,-9408,7756,2116,-3513,3878
720,18956,2264,5992,3655,-661,2242,16104,-9872,7640,2120,-2615,4663
740,18444,1496,6568,2187,-206,2416,15488,-10140,7956,1989,-1563,5407
760,18588,1440,5572,895,417,2353,14964,-10176,7132,1964,-818,6367
780,18640,1940,5468,421,1173,2454,14328,-9992,6552,1936,-296,7049
800,18004,1152,4576,-495,2788,2751,13864,-9640,6400,1875,-287,7526
820,17008,608,4652,-1226,3382,3218,13816,-9528,5864,1671,-276,7874
840,15816,12,3940,-903,3317,2944,12912,-9436,5380,1492,70,8079
860,15084,-88,3980,-817,2584,2888,11920,-8952,4964,1515,-87,8067
880,13300,-260,2824,266,1995,3048,10176,-9152,5004,1377,-129,7941
900,12456,-1020,3716,305,2855,1858,10888,-8280,4292,1286,-190,7375
920,11476,-1328,3756,114,2447,1374,9424,-8288,4364,1184,69,6514
940,10432,-1360,4092,88,1667,781,8664,-8400,4148,1002,-165,5050
960,9852,-1840,4024,517,707,97,8072,-8320,4208,883,-8,3642
980,9880,-1444,4196,1,-101,-512,8188,-8284,4044,845,519,1917
1000,9760,-1684,3416,-240,-24,-2589,8560,-7744,4180,889,1135,416
1020,9996,-1024,3396,604,-1451,-2834,8092,-7664,4360,856,214,-924
1040,10588,-988,3416,2047,-3232,-2580,8388,-7872,4544,758,-1318,-2239
1060,10704,-1336,3172,3427,-4905,-2829,8912,-8112,4356,540,-2987,-3649
1080,12108,-816,2772,4447,-6497,-2877,9404,-8300,3652,546,-4013,-4829
1100,13116,-1156,1728,4871,-7022,-2149,10116,-8648,3464,535,-4866,-5790
1120,14904,-912,2240,5712,-7972,-1471,11440,-9060,3256,585,-5410,-6288
1140,16824,532,2876,4653,-8280,-368,12412,-9804,3596,613,-5547,-6313
1160,16952,536,2640,3552,-7851,0,12664,-9952,5100,662,-5229,-6474
1180,17916,1580,2748,3756,-8943,199,13972,-10140,4652,606,-5949,-5740
1200,18524,1724,1992,3323,-7972,1146,13996,-9504,4352,367,-5539,-5324
1220,18936,1392,1644,3288,-7185,1986,14424,-9468,4980,132,-5645,-5126
1240,19364,1672,1992,2561,-5611,2209,15548,-9780,4884,68,-5224,-4160
1260,19792,1904,1692,1478,-4586,1468,15920,-10052,5448,-36,-3527,-3126
1280,19700,2152,1940,818,-3745,691,15376,-10164,5488,-145,-3119,-2667
1300,19748,2080,2092,976,-3727,1293,14960,-10192,5524,-107,-2476,-1769
1320,19720,1660,1580,716,-2833,1688,15320,-9932,5224,-177,-2278,-1620
1340,19460,1248,1324,404,-1655,1192,15644,-9656,4976,0,-1888,-1233
1360,19288,1188,988,5,-749,734,15756,-9652,4744,103,-1230,-835
1380,19012,1064,940,-115,-308,263,15396,-9568,4820,200,-414,-482
1400,18776,888,856,126,267,-212,15284,-9380,4264,390,314,-122
1420,18508,1032,1084,-329,844,-443,14960,-9200,4296,542,822,281
1440,18284,1068,1016,-601,1478,-630,14644,-9032,4324,624,1073,714
1460,18040,968,1024,-572,1729,-394,14580,-8992,4264,581,1088,821
1480,18024,688,736,-969,2002,-375,14624,-9044,4172,548,1384,916
1500,18008,608,1080,-1076,2267,-765,14912,-9244,4332,647,1827,980
1520,18528,848,1484,-1165,2737,-1351,14992,-9728,4800,774,2550,1109
1540,19252,1496,1860,-1579,3449,-1775,15208,-9864,5140,879,3167,1348
1560,19548,1708,1884,-1933,4297,-1902,15300,-10036,5360,921,3948,2031
1580,19864,1724,2164,-2367,5146,-1847,15412,-10032,5200,868,4530,2556
1600,19696,1408,1944,-2957,6001,-1966,15292,-10292,5356,781,5193,3039
1620,20044,1440,1960,-3277,6964,-2031,15388,-10128,5320,802,5831,3857
1640,19292,1616,2152,-3476,7733,-1683,14600,-9816,5464,761,5985,4666
1660,18164,1712,2816,-3730,8129,-828,13416,-9668,5528,500,5911,5099
1680,17156,1800,3580,-3954,8293,-206,12404,-9568,5612,179,5337,5157
1700,0,0,0,0,0,0,11876,-8680,5096,-695,5165,5238
1720,14792,536,2636,-5174,8187,126,11812,-8452,4844,-779,5196,5162
1740,14368,40,2516,-5306,7662,364,11080,-8672,4748,-967,4985,4834
1760,13680,-412,3144,-4793,6987,493,10700,-8792,4676,-1046,4702,4577
1780,12724,-604,3492,-4926,6438,511,9908,-8748,4904,-1048,4320,4255
1800,12084,-732,4100,-5123,5631,732,9240,-8628,4760,-954,3112,3016
1820,11260,-1280,3820,-4781,4785,532,8864,-8644,4740,-911,2446,2282
1840,11156,-1684,3424,-3221,3851,205,8676,-8684,4896,-679,1618,1450
1860,10968,-1776,3660,-1599,3331,1,8344,-8660,5020,-424,957,544
1880,10604,-1740,4492,-749,2474,50,8416,-8980,4904,-247,595,-563
1900,10820,-932,5324,-101,1212,-537,8656,-9484,4948,5,482,-1718
1920,12248,-136,6232,-667,482,-1004,8868,-9860,5216,181,465,-2617
1940,12452,-396,5744,-519,-237,-1395,9160,-10104,5816,223,-110,-3185
1960,13256,-24,5736,580,-1617,-1112,9508,-9944,5824,161,-1018,-3519
1980,13752,172,5896,604,-2424,-69,9476,-9920,5664,-23,-2006,-3949
2000,13240,-544,6028,1107,-3101,427,9744,-10156,5604,-224,-2872,-4393
2020,13292,-672,5960,839,-3139,-63,10552,-10424,5616,-326,-2729,-4798
2040,13640,-736,5916,289,-2251,-1541,11112,-10552,6020,-445,-1102,-4959
2060,13788,-176,6160,787,-2092,-1523,10028,-10272,6528,-427,-1119,-4952
2080,14512,788,6256,1997,-3889,-224,10656,-9864,6872,-713,-2549,-5216
2100,14788,2020,7624,1211,-5482,771,11372,-10284,6472,-931,-3469,-5540
2120,15840,1236,7280,9,-5443,1301,11696,-11100,6644,-1236,-3824,-5722
2140,16208,584,6696,-632,-4857,1008,13176,-10984,6812,-1359,-3381,-5616
2160,16624,488,6664,-967,-3756,-364,13788,-11096,6860,-1344,-1779,-5153
2180,17320,484,6276,-912,-3858,-763,13060,-11124,6892,-1210,-1092,-4769
2200,17568,932,6632,-369,-4047,2,13392,-11072,7004,-1042,-1680,-4506
2220,18140,1260,6660,-376,-3784,376,14168,-11172,7152,-877,-2368,-4072
2240,18304,1176,6496,-620,-2920,327,14340,-10940,7220,-671,-2399,-3514
2260,18356,1304,5648,-847,-2522,503,14512,-10552,7104,-651,-1788,-2742
2280,18288,1292,5972,-692,-1673,521,14328,-10612,6828,-521,-1145,-1805
2300,17576,1076,5924,-780,-1378,802,13516,-10352,6876,-551,-1102,-1332
2320,17228,896,5944,-311,-1393,1186,13548,-10160,6564,-565,-1732,-1115
2340,17240,672,5820,-754,-656,1069,14080,-10080,6028,-657,-1497,-867
2360,17080,584,5272,-1309,-535,791,13752,-9708,5568,-581,-836,-589
2380,16888,36,4740,-1274,-233,1058,13320,-9592,5424,-539,-704,-262
2400,16276,-396,4592,-1058,-149,1507,13636,-9300,4772,-449,-1214,-299
2420,15736,-844,4368,-720,-81,1394,13072,-9380,4748,-368,-1272,-225
2440,15604,-740,4444,-371,-216,1177,12856,-9236,4628,-259,-1277,-329
2460,15732,-516,4608,-518,-612,1441,13028,-9328,4540,-153,-1199,-487
2480,15564,-764,4340,-410,-706,1225,13172,-9256,4732,-69,-1273,-591
2500,15720,-664,4716,-240,-714,826,13348,-9312,4720,84,-1222,-754
2520,16248,-640,4380,-306,-773,518,13488,-9336,5020,205,-993,-827
2540,16488,-548,4456,137,-604,339,13916,-9332,5076,288,-746,-691
2560,16496,-488,4520,287,-454,52,13780,-9200,5128,413,-686,-633
2580,16816,-260,4428,221,-151,-103,13824,-9180,4992,489,-422,-531
2600,16468,-252,4404,344,4,-98,13660,-9156,5136,609,-281,-352
2620,16368,-32,4332,422,-41,-265,13636,-8936,5020,684,-303,-205
2640,16148,48,4336,226,164,-256,13472,-8792,4916,589,40,-197
2660,15964,92,4348,254,264,-274,13384,-8724,4936,508,-40,-297
2680,15916,100,4256,100,-84,88,13236,-8688,4852,413,-282,-298
2700,15716,-44,4176,72,-197,213,13176,-8472,4620,266,-463,-485
2720,15612,-260,4140,-60,-331,302,13116,-8636,4704,138,-561,-687
2740,15636,-376,4132,-99,-632,191,13464,-8832,4604,62,-700,-817
2760,15764,-432,4180,-180,-817,-291,13428,-8736,4688,33,-537,-1015
2780,16140,-488,4180,-32,-768,-431,13636,-8836,4712,36,-429,-965
2800,16180,-348,4388,-9,-761,-592,13540,-9104,4700,82,-383,-902
2820,16568,-180,4184,0,-581,-578,13520,-9048,4724,122,-185,-848
2840,16456,-324,4580,-57,-631,-319,13732,-9044,4660,189,-307,-775
2860,16884,-236,4268,-168,-562,3,13688,-9044,4376,262,-393,-662
2880,16380,-408,4116,-136,-372,16,13832,-9092,4568,385,-400,-471
2900,16644,-248,4052,10,-317,-8,13660,-8964,4712,370,-365,-366
2920,16188,-428,4412,-95,-295,225,13592,-9008,4652,359,-343,-318
2940,15940,-264,4400,-72,-251,-12,13508,-8820,4752,347,-290,-291
2960,15932,-288,4280,-98,-263,68,13332,-8996,4692,373,-277,-307
2980,15784,-288,4316,47,-188,-10,13608,-8912,4744,330,-469,-366
