Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,15640,-7296,-52,-118,-55,84,11812,-10872,-2720,306,-238,-277
20,15640,-7152,168,-194,-185,77,12148,-10832,-3112,290,-263,-288
40,15900,-7112,184,-223,-24,56,12324,-10720,-2896,382,-23,-249
60,15576,-7288,156,-107,28,25,11976,-10820,-2676,363,-119,-214
80,15512,-7172,144,-93,-172,43,11856,-10840,-2656,306,-471,-282
100,15656,-7232,-108,-83,-395,-22,12004,-10804,-2936,285,-478,-320
120,15872,-7284,48,-52,-237,-33,12140,-10728,-3056,371,-205,-312
140,15684,-7164,208,-86,13,-32,12060,-10772,-2936,420,-171,-232
160,15648,-7172,100,-28,-99,28,11852,-10736,-2576,379,-293,-267
180,15544,-7148,12,-155,-290,77,12136,-10668,-2784,289,-470,-321
200,15828,-7060,-52,-56,-270,44,12320,-10720,-2836,224,-262,-281
220,15936,-7316,84,-82,171,42,12172,-10804,-3064,334,-125,-247
240,15500,-7336,-88,-99,77,-27,11960,-10812,-2868,403,-39,-329
260,15508,-7272,48,63,-189,-173,11968,-10816,-2968,425,-225,-318
280,15692,-7476,208,419,-463,-355,11992,-10768,-2788,425,-362,-274
300,15560,-7332,332,717,-759,-689,12028,-10820,-2776,387,-523,-286
320,15760,-6604,968,1018,-1439,-1313,12916,-10648,-2708,319,-510,-101
340,16220,-7124,1092,1091,-2392,-2393,13700,-11016,-2072,432,78,243
360,17032,-7436,892,2372,-3369,-3817,13488,-11120,-1680,439,306,783
380,16608,-7116,2372,4145,-5365,-4789,12036,-11792,-664,390,-1814,1086
400,15648,-7000,3208,7098,-10848,-6635,12736,-12064,408,-718,-7737,2758
420,18100,-7216,3992,13054,-18790,-9662,18296,-11644,-220,-971,-6620,3049
440,23068,-4464,6792,21532,-22811,-11184,16160,-12460,-1052,-1523,-65,4371
460,27720,-3304,7024,21496,-17951,-6186,14368,-12788,-2060,-1573,-674,5701
480,26648,460,6208,16727,-12387,1398,13960,-12812,-3284,-1584,-1172,6481
500,25200,-552,2208,12746,-5386,4895,13336,-13568,-3940,-847,-519,6206
520,21084,-2568,-2044,8264,4304,4604,13436,-13984,-3792,-111,1497,6125
540,18028,-6220,-7840,6223,13256,-651,14536,-14544,-3960,1022,5079,5980
560,14420,-9136,-8664,6624,14798,-4015,13196,-14928,-3412,2017,7159,6429
580,13904,-10820,-7436,7919,8683,-2987,10252,-14696,-3548,3473,5809,5891
600,14088,-9796,-4308,12153,3418,-2719,9416,-14836,-5352,4813,4563,4938
