Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,8120,3964,15500,-262,32,-514,6408,1096,14912,-555,51,-91
20,8028,4008,15652,-225,40,-527,6336,1168,14836,-551,37,-115
40,8044,4012,15620,-267,-86,-546,6464,1240,14928,-551,-162,-144
60,8056,3980,15568,-276,-39,-528,6420,1184,14784,-582,-158,-113
80,8208,4116,15580,-185,-38,-559,6528,1220,14920,-541,-281,-87
100,7876,4128,15564,-123,-125,-613,6456,1240,14852,-532,-211,-62
120,8112,3996,15432,-300,43,-517,6524,1136,14684,-519,125,-107
140,8144,4060,15540,-270,141,-507,6464,1188,14928,-503,182,-138
160,8176,4024,15572,-271,101,-487,6464,1124,14932,-569,204,-78
180,8040,3712,15496,-198,98,-449,6340,1236,14808,-525,211,-43
200,7912,4064,15664,-315,10,-581,6140,1156,14836,-542,64,-96
220,7980,4028,15488,-266,32,-548,6444,1156,14996,-528,28,-121
240,8088,4080,15480,-231,13,-561,6468,1096,14912,-556,-77,-100
260,8060,4064,15540,-222,28,-512,6588,1212,14932,-516,188,-86
280,8044,4024,15644,-211,67,-495,6368,1088,14868,-568,77,-77
300,7972,3968,15468,-273,36,-529,6316,1172,14788,-569,-24,-112
320,7984,4044,15588,-335,9,-555,6292,1108,14784,-595,-131,-125
340,8064,4068,15504,-279,-54,-567,6548,1248,14836,-518,-18,-115
360,8028,4016,15516,-241,27,-524,6488,1196,14944,-571,65,-96
380,8172,3936,15320,-211,85,-544,6500,1156,14852,-584,95,-120
400,8048,4112,15652,-198,66,-539,6320,1116,14884,-587,-10,-89
420,7976,4132,15632,-264,8,-567,6288,1252,14860,-567,-49,-134
440,8000,4056,15640,-306,-84,-566,6656,1252,14824,-531,-126,-144
460,8268,4096,15700,-226,-80,-492,6536,1168,14812,-570,-113,-85
480,7836,3920,15572,-299,-173,-518,6388,1028,14900,-585,-13,-56
500,7756,3192,15880,228,-801,-254,5664,1172,15384,-839,-567,-28
520,8184,4068,16728,-12,-2122,-657,5768,1008,15420,-1300,-1979,37
540,7252,4880,17200,-193,-4514,88,4656,608,15320,-1439,-4420,772
560,8560,4488,19620,-1420,-13505,3118,5384,1728,16552,-2440,-6221,1331
580,11640,4732,19740,-1467,-18532,5056,7696,1488,18012,-3319,-9090,2056
600,14028,5988,21424,-2235,-20158,6458,9472,1216,19192,-4756,-10685,3408
620,18280,8104,23588,-10868,-20690,11304,9652,1260,19100,-7440,-12941,4519
640,15052,4664,21632,-9470,-25590,13581,11064,1332,19892,-11347,-14757,5691
660,16400,3468,19464,-10424,-31546,15542,12024,372,19668,-14096,-18937,7198
680,14576,1428,16364,-8566,-32768,14489,11480,-1140,18500,-16298,-23907,8760
700,13872,-888,10216,-3424,-32768,11938,11112,-2236,16376,-17096,-31182,10431
720,17012,-760,4828,3878,-32768,10881,13624,-3020,12188,-14363,-32768,12102
740,20600,908,1264,8795,-32768,12817,16432,-3408,8292,-11576,-32004,14181
760,18296,788,-1004,10264,-31429,14403,15932,-4560,5964,-8613,-27723,15537
780,17860,-84,-1204,9939,-26276,14401,16800,-6628,4384,-5552,-22219,16330
800,18576,-808,-1228,9410,-19185,14243,16164,-5472,3520,-3696,-14725,15907
820,14936,-1344,-1804,9303,-10340,14920,13864,-5752,3024,-2477,-7838,15979
840,11248,-2716,-1944,10071,-6769,13176,11688,-6084,2956,-678,-5144,14992
860,9584,-4292,-1392,12325,-7198,9925,9880,-6616,2748,1134,-5424,13076
880,10024,-3936,-736,13921,-7081,7535,9572,-6732,3032,2914,-6566,11200
900,10500,-3324,372,13035,-6074,5922,10084,-6684,2608,4103,-6134,9565
920,9676,-3828,984,11800,-4606,4144,9464,-6808,2900,4607,-5161,7981
940,8964,-4176,1612,11041,-4603,2048,8388,-6592,3560,4879,-5920,6005
960,9432,-4208,1808,10445,-5211,35,8764,-6604,3760,4731,-7184,4466
980,10716,-4432,1452,9935,-5908,-1710,9540,-7060,3736,4491,-7869,2819
1000,11912,-4028,1088,9570,-5753,-2649,10396,-6952,3968,4163,-7305,1177
1020,13164,-3212,1604,8388,-4743,-3808,11792,-6688,4340,4323,-7188,174
1040,13804,-3392,2000,6605,-4201,-5167,12204,-6884,5272,3532,-6590,-559
1060,14532,-3912,1984,6329,-4698,-6362,11900,-7288,5492,2703,-7107,-1367
1080,15308,-3584,1952,6064,-6043,-6426,12080,-7932,4864,2024,-8077,-1840
1100,14376,-2796,2460,3517,-7086,-6063,12640,-7356,4364,1429,-9083,-2096
1120,15208,-2696,1372,2602,-8210,-5751,12400,-6624,4664,363,-9234,-2718
1140,16736,-2596,600,2071,-7877,-5049,14088,-7116,4264,-478,-9220,-2710
1160,17484,-3292,-96,1447,-7463,-4099,14596,-8056,4072,-1105,-8103,-2403
1180,17056,-3476,-600,974,-7147,-3709,14980,-8340,3480,-1626,-7329,-2361
1200,17236,-2716,-1396,486,-6752,-3430,15376,-7748,2652,-1863,-6678,-2549
1220,17972,-2700,-2024,103,-5359,-3183,16284,-7884,3072,-1609,-5676,-2665
1240,18532,-3144,-2304,-35,-3739,-2834,16540,-8572,3192,-1420,-4105,-2240
1260,18672,-3404,-1900,228,-3190,-2555,16396,-8740,3316,-1290,-3351,-1708
1280,18572,-3072,-2048,261,-3123,-2293,16164,-8696,3084,-1237,-3710,-1466
