Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,5284,2064,14228,-113,-203,-8,292,488,17520,399,-220,-239
20,5368,1836,14312,-208,-216,66,208,384,17468,383,-249,-261
40,5352,1884,14248,-73,-231,43,236,552,17428,374,-200,-279
60,5468,1780,14244,-9,-213,-18,244,480,17424,348,-215,-315
80,5404,1876,14332,-51,-281,34,228,432,17576,328,-198,-312
100,5268,1960,14304,8,-402,124,132,476,17372,306,-375,-323
120,5352,1936,14220,122,-447,137,300,444,17560,286,-368,-351
140,5476,2200,14192,315,-684,314,104,480,17640,288,-600,-399
160,5368,2004,14796,449,-1080,615,-200,448,18060,342,-1126,-520
180,5256,2252,14924,724,-2193,1200,-780,372,18004,385,-2668,-573
200,4936,2248,14880,1094,-3364,1561,-1528,820,18460,722,-4387,-438
220,6160,3772,15812,232,-5105,2590,-452,980,17712,295,-4738,-305
240,6496,2984,16308,-264,-7980,3195,-84,1324,17380,-50,-6341,-138
260,7484,3776,16188,-2292,-13764,6641,1524,2744,18448,-836,-8725,-97
280,10432,6428,16348,-6999,-14399,7860,2844,4052,20140,-2097,-7961,19
300,9712,2224,16276,-9919,-16218,7991,5160,1896,20132,-3124,-9966,1505
320,11960,2832,17984,-9927,-12038,7847,3760,2304,21448,-4753,-9448,2018
340,8332,-88,18492,-6580,-15446,6133,-1252,3732,24612,-7370,-16296,1848
360,13048,1644,18512,-6172,-23846,6327,6136,1884,21864,-8485,-19893,3424
380,15636,800,16792,-7246,-25097,8856,7116,132,22456,-9673,-20421,4901
400,17772,144,16944,-8121,-23209,10814,8316,-572,21784,-11330,-16925,6002
420,16340,-196,13724,-6131,-19600,12490,7160,-1112,20948,-12293,-15142,6564
440,25684,-4840,15616,-1167,-9572,10360,8280,-1956,19372,-13141,-16584,6527
460,22244,-6024,12552,-6034,-16466,7979,10628,-2960,17432,-13165,-13779,7729
480,14076,-4900,5728,-7693,-11798,12507,11280,-3144,16872,-13480,-8478,8870
500,14068,4724,8012,-12422,-15782,11447,9208,-4056,16048,-12550,-6471,10049
520,9880,6180,7220,-3821,-2386,7384,8324,-4624,14824,-12759,-4495,11389
540,13612,-4408,7044,-2532,-168,12722,6144,-5400,13192,-13494,-1876,12078
560,9304,-3328,6024,-8162,-1575,16588,5016,-7000,10412,-12301,609,11956
580,4224,-8768,6260,-9289,484,15614,3184,-8032,10140,-10386,-480,9600
600,5640,-9604,3628,-8472,1257,12967,4208,-9012,10096,-7761,33,10423
620,6200,-9508,2724,-3493,4808,9986,3912,-7736,10224,-7635,3714,9445
640,7492,-9448,3852,-314,9113,6662,2912,-8828,9968,-6177,5548,7595
660,6896,-7468,4796,-846,7074,6479,3316,-8856,8988,-4800,5908,6841
680,6312,-7664,5636,-2392,7274,7019,3808,-8884,9972,-3295,4936,7039
700,6524,-8492,6176,-2776,4115,6015,3152,-8792,11356,-2613,2807,6159
720,7604,-8380,6996,-979,148,3791,3480,-8864,11524,-2339,541,4887
740,9296,-7996,7356,-26,-2363,3394,4788,-8808,12060,-2148,-2196,4530
760,11908,-7684,6948,683,-4600,3706,5448,-8888,12204,-2023,-4918,4890
780,13324,-7948,6424,1681,-6746,5501,7148,-9240,12080,-1853,-6786,5708
800,12520,-8264,5360,2897,-8840,6049,6392,-9804,12556,-1548,-7986,7019
820,12052,-9316,5344,6409,-9774,6359,6060,-9904,12680,-1389,-9116,7760
840,12108,-9708,5524,9344,-9881,5781,6344,-10460,12556,-933,-10310,7894
860,11860,-9100,6584,10996,-9817,4671,5772,-10960,11804,-355,-11038,8033
880,11016,-9224,7168,12257,-9743,4499,4424,-11408,11400,151,-11074,8277
900,9968,-8596,7780,12665,-9834,5208,4520,-11276,11432,719,-11347,8249
920,10740,-7936,7956,11113,-9572,5247,4676,-11172,11264,1034,-10148,8227
940,10964,-8008,8680,9322,-7827,5703,4156,-11384,11476,1298,-8619,7974
