Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,8020,3644,12728,-60,-201,-32,5172,2996,16520,298,-302,-302
20,8104,3644,12836,-112,-210,23,5148,2996,16496,345,-284,-304
40,8072,3644,12832,-112,-237,42,5136,3072,16604,368,-253,-282
60,8020,3648,12788,-61,-189,-3,5224,3112,16424,334,-241,-276
80,7956,3520,12824,-97,-187,-12,5096,3008,16596,359,-288,-260
100,8088,3712,12764,-108,-284,34,5220,3068,16604,352,-365,-277
120,8012,3616,12816,-74,-312,35,5176,3008,16492,398,-372,-295
140,8012,3616,12832,-13,-290,-4,5180,3156,16676,389,-481,-272
160,8164,3540,13004,93,-503,23,5024,3036,16888,614,-970,-158
180,8076,3440,13332,121,-1079,233,4540,2912,17048,497,-2070,11
200,7508,2992,13264,-96,-2397,936,3936,2688,17520,1345,-3763,102
220,7708,3292,13336,692,-4734,1226,4128,3164,18384,2550,-6375,1149
240,7852,4884,16204,984,-10146,2158,4624,4892,19708,2525,-10997,2966
260,9680,4736,16180,3383,-17919,2838,6456,5216,20012,850,-15012,4428
280,12656,6840,15880,7154,-27520,4217,7212,4696,20028,-659,-23142,7507
300,19364,8444,16412,4999,-29954,7544,11096,5188,18600,-2784,-25676,8753
320,18468,6460,11436,4494,-30149,10518,14512,4228,16740,-4191,-25732,10583
340,21836,7784,10676,3467,-25843,11123,15728,4232,15284,-5122,-24204,12881
360,20096,6012,9148,2152,-21412,14199,15700,2736,14640,-5867,-23125,14356
380,18412,4080,7488,4551,-24903,16378,13820,1088,14076,-5748,-25668,17014
400,19248,3964,5716,6456,-28083,18470,15372,-20,12716,-4159,-28231,18730
420,20604,2808,4212,8717,-27555,18879,16908,-776,10196,-2789,-28748,19655
440,20540,2304,1272,9878,-24601,18319,17872,-1880,8356,-1216,-27275,21335
460,20528,676,-1956,13947,-22861,17669,17740,-2880,6768,1120,-26323,22276
480,21020,2340,-2240,17537,-21653,18756,16572,-4052,5012,4446,-26590,24050
500,19720,2360,-1276,17656,-21301,20442,17624,-4164,3580,6581,-25953,24967
520,18800,912,-268,16034,-18137,20721,16912,-4700,4408,7714,-24071,24885
540,16776,36,-1748,16715,-16091,19862,15760,-4628,4756,8954,-21782,24390
560,16400,-1780,-2972,20575,-14004,18955,14568,-6176,4648,11156,-18569,24629
580,14616,-1676,-2820,23953,-11709,18290,13280,-6140,4316,12578,-17288,23795
600,12684,-2004,-1696,25431,-10049,16172,12016,-6732,3804,13977,-17035,21864
620,12036,-2856,-664,26420,-10373,13342,10700,-7452,4472,15131,-17443,19986
640,11484,-2672,928,25838,-9104,10578,10728,-7448,4220,15703,-17087,17864
660,11456,-2496,1876,23445,-7738,7845,11324,-7684,3880,15258,-14431,15077
680,12144,-3316,2172,20059,-5153,5741,10328,-7988,4188,14645,-10424,12459
700,11316,-3692,2424,17331,-3258,4224,10396,-7964,4604,14130,-6411,9732
