Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,840,2228,17796,-271,5,-534,-1632,-1016,15712,-634,5,-131
20,880,2208,17768,-258,-16,-516,-1608,-1016,15732,-581,-4,-106
40,912,2308,17780,-276,-10,-535,-1668,-1064,15712,-520,21,-140
60,964,2224,17764,-240,24,-555,-1640,-976,15700,-516,9,-148
80,864,2212,17724,-247,16,-547,-1656,-1016,15672,-549,-15,-125
100,836,2228,17752,-294,8,-567,-1628,-1008,15772,-562,-66,-110
120,924,2144,17908,-265,-13,-559,-1748,-1052,15516,-526,-34,-159
140,916,2268,17848,-256,8,-545,-1628,-1024,15792,-538,-34,-147
160,908,2308,17876,-284,26,-541,-1588,-932,15740,-542,-11,-120
180,848,2240,17744,-259,30,-558,-1724,-1028,15656,-510,-1,-121
200,940,2232,17780,-266,10,-523,-1696,-916,15740,-529,-14,-110
220,992,2184,17812,-240,-53,-531,-1516,-1028,15724,-569,-1,-107
240,984,2172,17808,-273,18,-536,-1564,-960,15732,-597,2,-111
260,832,2188,17656,-275,14,-517,-1544,-872,15712,-557,75,-138
280,860,2364,17728,-284,14,-520,-1636,-972,15720,-578,61,-103
300,844,2260,17768,-269,4,-488,-1568,-992,15756,-601,15,-107
320,968,2348,17812,-290,4,-505,-1472,-968,15716,-633,5,-82
340,860,2208,17940,-274,43,-505,-1572,-1068,15804,-582,101,-92
360,756,2208,17728,-253,50,-517,-1568,-992,15632,-606,102,-72
380,852,2248,17712,-256,16,-505,-1644,-1000,15788,-624,69,-100
400,852,2224,17764,-266,9,-521,-1628,-940,15748,-608,-5,-84
420,892,2244,17816,-290,21,-526,-1532,-956,15752,-536,64,-128
440,884,2204,17852,-246,41,-539,-1648,-1020,15744,-573,39,-103
460,896,2308,17728,-278,30,-557,-1616,-908,15760,-563,-5,-139
480,852,2232,17656,-247,42,-533,-1636,-844,15576,-548,58,-126
