Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-13576,4832,-396,-1101,-469,803,-14376,6816,3136,248,-83,-594
20,-14888,4764,-140,-483,153,604,-14724,6708,3052,225,-449,-596
40,-15124,4872,-352,-277,-48,381,-15016,6596,3160,341,-759,-373
60,-14452,5348,-864,-38,-637,295,-14372,6880,2912,432,-434,-309
80,-14040,5076,-460,119,34,-51,-14244,6888,2920,457,-216,-326
100,-14484,4944,-400,271,147,-418,-14868,6744,3096,425,-313,-241
120,-15412,5036,-464,322,59,-583,-14668,6664,3072,479,-441,-78
140,-14584,5064,-584,-158,-24,260,-13888,6752,2924,373,106,-226
160,-13832,4852,-440,-577,972,505,-14292,6660,3224,224,513,-420
180,-14132,4620,40,-1323,2843,693,-15008,6648,2948,17,373,-456
200,-15836,4744,892,-1432,4914,1435,-15012,6668,3008,-465,347,-570
220,-16052,4736,596,-3383,5579,4578,-14216,6756,2664,-679,780,-685
240,-14416,4532,-372,-4121,5928,5817,-14844,6692,3652,-572,421,-494
260,-14284,5016,-2020,-3860,6559,5188,-15764,6688,3876,-345,-199,-223
280,-15692,4992,-268,-3903,4857,3880,-16236,6816,3752,-323,-2557,254
300,-17668,4916,1592,-5928,144,2794,-16696,7608,4356,-338,-4633,889
320,-17908,3628,3916,-2632,-2213,2371,-16316,8404,4012,-270,-6976,1330
340,-17408,2900,3736,1811,-6717,-275,-16476,8588,5124,-156,-7928,2034
360,-20460,3728,2596,4360,-14128,-4562,-17988,7580,8740,532,-13394,1207
380,-23432,5904,448,589,-22170,-7745,-18184,8044,9940,1318,-22651,2195
400,-23468,6028,1180,-1885,-25195,-7153,-15628,8176,10056,2319,-27547,2953
420,-22668,5148,3028,566,-23005,-3407,-14284,7764,11208,3726,-23447,4121
440,-22272,3952,4820,1283,-19420,1365,-15264,8404,12172,5282,-20674,4430
460,-21736,3448,6076,-56,-18709,3276,-16360,9632,12544,6291,-20217,5236
480,-22144,6608,5100,76,-21816,158,-15076,8320,14196,7886,-21509,5531
500,-19112,7220,2888,1142,-26340,-2585,-16616,8064,12432,9527,-23820,6018
520,-18776,5488,4072,231,-23462,-273,-13756,10252,9204,9597,-23635,7557
540,-18516,4924,5624,2360,-26052,530,-13068,9792,10308,9208,-23488,8170
560,-16056,5488,4392,3835,-27553,1182,-11428,9084,10072,9310,-22836,8745
580,-11764,7292,3044,3308,-24640,1922,-10096,10056,9792,9104,-19369,9637
600,-11152,10124,3200,2275,-20143,3245,-9552,11452,9220,8497,-16713,11239
620,-12020,9624,3060,-30,-20517,4425,-8436,10816,8384,7753,-16164,11816
640,-10964,6676,4856,-496,-23174,3267,-8772,10512,7240,6966,-17590,12343
660,-7036,9096,4004,724,-26379,-440,-7436,10604,7792,5777,-19554,11779
680,-3200,10584,3100,-1822,-25549,-4876,-6664,11508,8784,5303,-22921,11728
700,-1452,6488,6748,-1136,-22007,-8432,-4480,11512,6784,4418,-22619,11624
720,-2172,5916,7044,-91,-19836,-8626,-1080,10792,5768,3287,-19683,10797
740,-284,5164,6976,-1130,-16837,-4760,592,10092,5552,2202,-14692,9184
760,-936,5736,7404,-1276,-11687,-1166,152,10632,6716,936,-9619,8183
780,-2360,7320,6600,-4001,-10548,-763,-244,10424,8576,88,-8396,7527
800,-2836,4916,8500,-6007,-9604,194,776,10100,8056,-597,-8209,6801
820,-1048,2152,10704,-5450,-8798,1216,572,9936,8644,-864,-7241,5744
840,-564,2976,11344,-4560,-6545,1664,1348,10936,8912,-790,-5391,4673
860,-1968,5408,10440,-5114,-5471,1956,1584,11172,10128,-654,-3639,3683
880,-1860,4248,11136,-5242,-4536,2375,1180,11168,9536,-448,-3280,3290
900,-304,1668,12700,-4495,-4257,-70,828,10700,9436,-433,-3168,2890
920,-364,1480,13004,-2557,-3239,-640,2912,10580,8844,-428,-2742,1893
940,-236,1748,12908,-1050,-1542,756,2528,10916,9352,-383,-278,1114
960,-612,2548,12744,270,390,1015,2444,10940,9600,-398,1065,464
980,-956,3000,12148,475,1203,797,2344,10640,10128,-386,1443,-259
1000,-784,2644,12068,663,1864,543,1824,10188,10008,-358,1713,-865
1020,-824,2296,11968,513,2004,121,1688,10092,10508,-189,1332,-1884
1040,-1724,1964,12424,-60,2046,245,1864,10148,10080,40,1413,-2835
1060,-1052,2024,12444,189,3203,558,1948,10248,10136,454,2540,-3681
1080,-832,2244,12040,871,5444,684,1284,10364,10088,858,3985,-4466
1100,-1728,2756,11960,1624,7186,123,608,10708,10028,1162,4771,-5390
1120,-1964,2660,11372,3366,8383,-603,260,10592,9488,1190,4890,-6126
1140,-1228,2672,10700,5032,10027,-1536,52,10248,9292,1119,5668,-6924
1160,-1524,4436,8912,5763,13686,-2199,-544,10704,8584,715,7088,-7620
