Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14456,700,4924,-202,-455,-126,-11140,5216,11936,359,-613,-246
20,-14080,540,4852,-237,-313,-151,-10940,5204,11776,363,-517,-206
40,-13964,492,4928,-241,-49,-40,-10632,5260,11560,313,-254,-294
60,-14352,380,4912,-122,27,63,-11036,4984,11824,304,-68,-313
80,-14652,356,4924,-98,-246,-14,-11308,5000,11856,228,-279,-275
100,-14532,360,4964,-245,-532,-129,-11132,4944,11928,310,-642,-206
120,-14160,472,4900,-188,-463,-48,-10784,5084,11636,361,-626,-203
140,-13744,440,4992,-76,-96,123,-10492,5356,11720,315,-135,-336
160,-14040,656,4860,-132,352,244,-10988,5308,11764,215,210,-380
180,-14536,668,4800,-72,494,170,-11324,5144,11768,168,203,-410
200,-14868,600,4956,23,390,4,-11552,5104,11752,156,-208,-239
220,-14568,600,4724,-237,-161,-97,-10788,5004,11944,133,-437,-197
240,-13972,452,4740,-427,-354,-67,-10632,5084,11892,168,-279,-241
260,-14024,100,4964,-433,-22,-33,-10752,5032,11844,151,-99,-393
280,-14480,240,5156,-111,111,-4,-11068,5040,11860,167,-114,-449
300,-14596,436,4872,27,-55,72,-11168,5044,11872,97,-192,-373
320,-14632,588,4776,-3,-244,-17,-11240,5180,12040,82,-342,-290
340,-14416,364,5004,-192,-269,-133,-11064,5080,12076,64,-380,-210
360,-14488,248,4972,-302,-343,-172,-10972,4980,11932,150,-497,-301
380,-14264,368,4920,-65,-149,-15,-10732,5040,11548,203,-342,-293
400,-13800,552,4568,98,129,329,-10512,5120,11392,119,205,-392
420,-13316,656,4716,88,787,740,-10040,5216,11312,-63,1090,-596
440,-13512,216,4824,286,2221,1462,-10168,5024,11744,-190,2451,-891
460,-15220,-276,4804,439,3011,1651,-11252,4716,12844,-34,2942,-977
480,-16128,-424,5308,-129,2439,1834,-11356,4828,14052,601,2411,-926
500,-15852,-432,5940,-925,1427,1081,-11572,5556,13508,1251,1571,-639
520,-16440,892,6500,-1672,1183,1124,-10632,7024,13380,1066,2408,-338
540,-19048,-4,9012,-1792,759,1209,-13384,8508,15544,625,3930,526
560,-23420,-2180,11672,-1278,-1067,468,-15840,7940,18988,1496,1634,2525
580,-28156,-3728,14756,679,-5967,-131,-16076,7960,20208,3639,-57,5208
600,-27924,-3920,15208,3913,-9992,2034,-15716,9556,20648,6466,-2325,7146
620,-26672,-3612,15480,6659,-11725,4954,-14992,9824,20232,8322,-2498,9510
640,-25084,-3516,15228,11020,-14558,4540,-17464,10700,19100,9795,-4086,11881
660,-23104,-1404,11756,14078,-17431,2683,-16348,9884,17184,10838,-8046,13961
680,-23016,1252,8444,15881,-16768,3883,-14916,7704,16292,12417,-10061,15465
700,-23960,4772,4628,14305,-17462,7947,-12364,8976,14644,11866,-9193,16992
720,-20528,6712,1548,10117,-19805,10593,-12744,9228,12876,12436,-9548,18099
740,-15044,7204,404,5294,-23062,10200,-11848,9452,10324,11836,-11803,19053
760,-10564,6380,1072,1846,-25231,7648,-10884,9540,8580,10460,-14680,19587
780,-6928,5648,2304,986,-25350,5607,-7968,9800,7004,8930,-16661,19147
800,-5000,6148,2692,660,-23269,4480,-5968,9672,5772,7538,-15716,18074
820,-3432,6884,2880,651,-20893,3848,-4364,10680,5256,5695,-14473,16617
840,-3132,6712,2624,-2033,-21196,1924,-4748,9788,5528,3965,-14407,15556
860,-3060,6060,2904,-4810,-22962,-783,-4296,8916,6204,2855,-16503,14356
880,-1472,5308,3540,-6579,-22221,-2125,-2196,8200,5252,2401,-16596,12903
900,748,4016,3896,-6650,-16802,-528,744,8096,3996,1941,-11940,10922
920,1808,2480,5816,-5226,-10541,790,740,8140,4768,1432,-6605,8709
940,1644,1444,6840,-3782,-8113,-794,-496,7872,5184,732,-5068,6681
960,212,1676,7032,-3508,-8805,-3631,-1052,7692,6300,31,-6957,5219
980,-324,2484,6880,-3519,-8499,-4831,348,8104,6488,-482,-8378,4091
1000,-1356,3564,7016,-3498,-3827,-2045,2580,9076,6160,-1058,-4982,3179
1020,-2488,3276,8444,-3887,-182,773,1712,9724,6916,-1584,-640,2479
1040,-2364,1296,9960,-3883,289,438,-384,10072,9060,-1785,529,1649
1060,-3224,1396,11168,-3604,744,-556,100,9844,9504,-1592,321,891
1080,-2832,1748,11948,-2059,3265,629,1848,10764,8688,-1412,2213,-1
1100,-2132,1756,12444,-738,6338,2788,2400,11400,8196,-1538,5313,-1122
1120,-1452,1512,12008,80,7671,2502,340,11088,8728,-1923,7163,-1971
1140,-3228,1740,11568,107,5417,-662,-1068,10680,11036,-2083,4695,-2752
1160,-4452,2756,10012,-1866,3819,-2820,268,10692,11716,-1643,2163,-3269
1180,-4340,2532,10204,-3044,6191,-1502,1632,10692,10076,-1359,3395,-3678
1200,-3604,2052,9872,-2612,12206,3144,2572,10064,7548,-1559,9191,-4528
1220,-3592,1144,9992,-256,17270,6983,716,9744,6808,-2216,15073,-5659
1240,-3088,1648,9732,997,15972,4742,-3204,9620,9268,-2617,14895,-7019
1260,-5488,2780,8244,168,14695,2228,-1920,9940,10132,-2498,12262,-8030
1280,-7060,3412,8272,-1103,16214,2951,-904,10000,10316,-1986,12879,-8428
1300,-9784,3264,9560,-1651,19806,7520,-2072,10760,9336,-1492,16264,-9149
1320,-11700,2160,12332,109,18793,8836,-5908,11488,10620,-1397,16870,-8877
1340,-11068,1112,13100,2456,13443,4475,-8716,11908,14320,-1176,10510,-8508
1360,-10440,1124,12688,2496,8652,-678,-5704,12120,14388,-517,5272,-8392
1380,-10772,3092,12360,2943,10516,865,-2372,12544,11868,313,7650,-8655
1400,-11420,4144,12404,4618,14147,4578,-4440,13928,10700,279,12262,-8626
1420,-13204,4272,12068,5974,12658,4495,-8580,13180,13260,284,11652,-8319
1440,-13992,3844,11592,4693,7092,-41,-10756,13156,15516,940,5064,-7477
1460,-14328,4732,11024,3501,3545,-2875,-6924,13124,14348,1694,331,-6586
1480,-13828,5788,10496,2586,6624,514,-3816,13612,12368,2297,5029,-6322
1500,-13344,4836,11748,3609,10828,5612,-6432,13624,10776,2107,10301,-6022
1520,-12952,4352,11256,5357,9820,5592,-10420,12856,11348,1542,9261,-5487
1540,-12728,4496,9740,5703,3760,612,-11428,12064,12268,1123,2522,-4999
1560,-12612,5872,6844,3844,-62,-2340,-7884,10980,11180,1077,-1167,-4508
1580,-11264,5840,5668,2064,1416,-725,-5796,10160,9456,1304,502,-4575
1600,-9836,5092,5432,1487,4449,1960,-6216,9404,8544,1067,4122,-5126
1620,-8356,4288,5224,1366,5978,2821,-7148,8792,7688,563,4910,-6097
1640,-5748,4336,4064,1213,5946,1739,-7380,8244,6180,-707,3852,-7555
