Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16216,-6136,900,-225,-345,-70,13064,-9904,-3136,358,-254,-395
20,16068,-6084,1328,-248,-88,-57,12840,-9844,-2968,362,-114,-357
40,15876,-6264,1236,108,-259,-119,12660,-9848,-2960,238,-163,-364
60,16176,-6200,1048,19,-260,-153,12800,-9952,-3256,346,-149,-366
80,16176,-6224,1116,-210,-60,-153,12904,-9868,-3076,374,-29,-361
100,15856,-5968,1252,-38,-45,-153,12724,-9776,-2912,341,-68,-340
120,15884,-6252,1120,-6,-33,-175,12768,-9856,-2988,346,-69,-336
140,15792,-6324,1204,-79,-199,-77,12648,-9756,-3088,350,-187,-331
160,15696,-6192,1148,-29,-415,-66,12656,-9884,-3108,338,-369,-394
180,15972,-6100,1348,113,-613,-64,12816,-9944,-3180,354,-416,-411
200,16256,-6052,1188,39,-408,-41,12892,-9836,-2976,398,-339,-403
220,16168,-6176,1140,46,-83,-160,13012,-9824,-3064,310,-197,-337
240,15800,-6112,1432,-130,-167,-106,12752,-9872,-3272,346,-170,-390
260,15940,-6200,1284,-61,-239,-95,12572,-9884,-3008,375,-232,-396
280,16080,-5976,1312,-135,-374,5,12748,-9760,-3108,357,-413,-392
300,16032,-6228,1132,0,-476,6,12864,-9732,-3072,331,-439,-368
320,16068,-6172,1228,24,-597,14,12936,-9956,-3160,312,-468,-343
340,16172,-6036,1256,57,-529,-32,12880,-9880,-3096,350,-407,-341
360,16248,-6100,1152,91,-432,-119,12988,-9960,-3180,357,-302,-318
380,15932,-6160,1184,95,-318,-124,12716,-9904,-3124,365,-271,-401
400,16052,-6112,1156,25,-191,-67,12656,-9912,-3140,395,-309,-448
420,16032,-6104,1100,120,-196,-115,12816,-9792,-3192,468,-342,-524
440,15976,-6028,1236,206,-336,-131,12728,-9800,-3068,467,-438,-507
460,16000,-6116,1124,187,-445,-124,12776,-9812,-3108,399,-469,-485
480,16084,-6008,1004,50,-238,-111,12952,-9840,-3268,432,-392,-498
500,16044,-6080,1224,80,-197,-88,12732,-9776,-3240,453,-344,-480
520,15988,-6172,1068,266,-323,-113,12776,-9844,-3064,373,-469,-423
540,16064,-5896,1424,261,-214,-150,12936,-9864,-3276,382,-395,-401
560,16192,-6184,704,-18,82,-126,12864,-9736,-3264,411,-219,-411
580,15740,-6228,1108,196,-140,-129,12736,-9880,-3052,410,-266,-437
600,16004,-6080,1392,189,-480,-212,12876,-9764,-3016,372,-414,-502
620,16264,-6012,1372,515,-463,-388,13356,-9824,-3052,239,-234,-428
640,16480,-5800,1448,1096,-252,-821,13508,-9916,-3252,176,355,-272
660,16620,-6032,1452,1276,-73,-993,12892,-10092,-3368,275,629,-306
680,16216,-5756,2020,1862,-431,-971,13004,-10044,-2936,587,598,-556
700,16376,-5404,2520,3531,-822,-1315,13924,-9880,-2312,528,829,-578
720,16980,-5312,3280,5894,-1034,-2044,15020,-9860,-2268,150,1630,-176
740,17232,-4476,4724,7725,-1172,-3215,15048,-10332,-1980,-260,2530,322
760,18280,-2480,7132,8385,-2124,-3565,14372,-10852,-1476,-543,3650,845
780,20160,-984,7816,6067,-2127,-715,13884,-10432,-308,-1359,2856,1515
800,19908,112,8184,2947,53,1345,14716,-10364,232,-2297,2290,2628
820,19884,-152,5556,76,4167,1886,15184,-10628,-136,-3438,2914,3669
840,18728,-1716,3704,-3312,6611,1638,15628,-10976,-616,-3712,4098,4476
860,18664,-3136,2316,-6206,7730,-891,17228,-11084,-296,-4336,7230,5335
880,19352,-5312,1084,-7993,11296,-5088,17036,-10464,-1072,-3901,11500,6094
900,20296,-7624,352,-7353,15325,-7962,15012,-11788,-1092,-4337,15931,6406
920,19272,-7920,588,-3373,16201,-7486,14204,-12352,-1144,-3700,17305,5905
940,17492,-6484,2384,1785,13727,-6093,13716,-12208,-704,-3421,15677,5826
960,17880,-5192,3916,-563,13010,-5476,13172,-11548,-800,-2579,14979,6465
980,16720,-5660,3424,-6101,14063,-6200,12136,-11840,-2268,-2049,15155,7216
1000,14840,-5880,2708,-6885,13673,-6479,11780,-11324,-2248,-1453,15530,6159
1020,14800,-6720,1608,-5581,14817,-7557,10724,-11112,-2180,-134,14965,5804
1040,14292,-6936,1280,-3535,12713,-5927,9816,-10636,-2264,-117,14417,5643
1060,13028,-7096,1188,-1584,10622,-3074,9112,-10580,-1724,469,12672,5069
1080,11780,-6084,2572,-392,8159,-2288,8556,-10608,-1076,1317,8765,3587
1100,11648,-4896,3668,878,6639,-2764,8920,-10656,-1028,1813,7232,3059
1120,11116,-4700,4372,1845,4968,-2712,8804,-10752,256,1962,6506,2761
1140,11204,-3496,5484,1649,3613,-2611,8700,-10448,876,1591,4595,2057
1160,13048,-2592,6204,1646,3079,-1736,8616,-10612,1256,1043,3016,1494
1180,12984,-2436,6740,833,2642,-392,9056,-10892,1472,917,1308,1154
1200,12016,-2764,6648,423,2034,140,9600,-11052,1832,577,362,970
1220,11544,-2876,6312,537,929,282,9684,-10636,1924,55,-43,736
1240,11848,-3100,6208,831,-475,388,9080,-11044,1516,-96,-1198,352
1260,12232,-3716,5640,1318,-1219,452,9456,-11128,1348,-354,-2388,-130
1280,11864,-4176,5276,2420,-1878,171,9436,-10988,1220,-693,-2677,-875
1300,12416,-4632,4904,3935,-2222,-327,9988,-11300,912,-521,-3502,-1362
1320,12744,-4276,4728,6375,-2657,-534,9856,-11312,1120,-520,-4004,-1954
1340,12668,-3012,5540,5907,-4611,-250,10364,-11344,12,-342,-4218,-2227
1360,13256,-3324,4948,5819,-5891,186,9524,-11056,-68,-234,-4974,-2746
1380,13352,-4252,4404,6796,-6719,950,9396,-10928,264,115,-6886,-3332
1400,13220,-4884,3332,9523,-7613,1857,10024,-11144,-24,-532,-7783,-3832
1420,14136,-4032,3500,12381,-8509,1900,10480,-11224,-172,-147,-8757,-4373
1440,14828,-2692,4468,12128,-10524,3430,10456,-11800,-796,386,-9970,-4715
1460,15684,-1564,5796,11665,-11309,3813,11220,-12052,-180,756,-11537,-5127
1480,17440,-1148,5660,11241,-9540,3288,11936,-12024,352,495,-11220,-5249
1500,17116,-720,6500,11063,-8148,3781,12444,-12320,296,461,-10445,-5010
1520,17328,-104,7136,9618,-8345,4806,12920,-12688,640,620,-10055,-4840
1540,17672,568,7568,8650,-8580,5204,13056,-12936,1088,627,-10452,-4425
1560,17968,1204,8280,7377,-8379,5529,13236,-12608,1376,371,-9777,-3976
1580,18424,1500,8472,5632,-6995,5695,13820,-12504,908,166,-8712,-3382
1600,18096,1612,8372,3416,-5543,4838,13844,-13044,760,761,-8293,-3089
1620,17780,672,7280,1950,-3688,3300,15008,-12448,680,712,-5990,-2658
1640,17468,456,7060,1206,-2400,1707,14524,-12572,856,694,-3519,-1994
1660,17776,152,6536,503,-767,270,14932,-11488,316,61,427,-1307
1680,17784,340,6688,-454,621,-27,12768,-12052,264,408,1440,-887
1700,17020,-504,6000,-1372,1050,527,12568,-11748,-268,883,24,-652
1720,16888,-848,5632,-2502,703,1418,12412,-11504,-524,1439,-515,-141
1740,16764,-1632,4968,-3825,773,1956,12508,-10848,-860,1299,-238,78
1760,15824,-2324,4712,-5287,1649,1535,12292,-10776,-1040,938,577,288
1780,15060,-2484,4668,-6165,1520,847,11680,-10988,-1540,1085,718,319
1800,15296,-2652,4504,-8169,1312,498,11204,-10936,-1384,1217,-475,34
1820,15024,-3308,3936,-10197,1412,343,11452,-10568,-1212,1114,-979,-256
1840,15268,-4392,2868,-11067,1459,596,11436,-10584,-1320,1001,-1009,-455
1860,14796,-4444,2848,-8166,927,1153,11364,-10644,-1624,1050,-1551,-764
1880,14820,-4332,2760,-5291,-954,2019,11396,-10724,-1548,1222,-2365,-1049
1900,14904,-3656,4128,-5323,-1773,2315,11064,-10784,-2036,1325,-2893,-1445
1920,15432,-3736,3800,-6752,-1885,2721,11316,-10636,-1952,1472,-3045,-1909
1940,14960,-4184,3516,-7382,-1133,2128,11808,-10700,-1804,1568,-3231,-2099
1960,14696,-3628,4308,-9898,-1569,1670,11948,-10708,-2220,1764,-3152,-2445
1980,15260,-4140,3732,-12671,-2401,1720,11844,-10612,-2308,1811,-2624,-2724
2000,15616,-5576,2072,-7619,-1182,1523,11796,-10632,-1528,1883,-3014,-3178
2020,15912,-4388,3268,-8130,-58,1394,12692,-10388,-1248,1740,-2795,-3395
2040,15328,-5012,2452,-7711,-393,938,12736,-10244,-1516,1883,-2679,-3178
2060,15772,-5068,2388,-5250,-1941,1303,13216,-10336,-2012,2013,-3591,-3172
2080,14980,-4456,3864,-6393,-4600,1748,12628,-10516,-1780,2096,-4278,-3218
2100,15708,-5108,2768,-7501,-5483,992,13116,-10472,-1760,2490,-4485,-2997
2120,16872,-4896,1120,-5434,-3752,-69,13508,-10144,-2492,2609,-3619,-3120
2140,17252,-5484,1140,-612,-2077,265,13060,-9876,-1700,2424,-3436,-3233
2160,17200,-5604,1112,1551,-2819,1043,13496,-9884,-2172,2492,-3850,-3159
2180,16668,-5436,1344,2967,-1526,403,14024,-10128,-2740,2738,-3099,-2796
2200,16004,-5664,764,5118,-2789,-91,13532,-9916,-2720,3021,-3516,-2472
2220,16148,-5484,1136,5874,-4813,-114,12948,-10084,-2732,3238,-4468,-2345
2240,16276,-2436,6088,-1139,-8972,602,12688,-10084,-2488,3555,-5994,-2535
2260,17900,-2736,6920,-6255,-12412,3059,14196,-9296,-1276,3150,-7206,-2103
2280,20792,-2804,4904,-2051,-6189,3422,15288,-8684,-1000,1859,-5475,-1656
2300,17404,-5484,-564,-576,1449,2001,15324,-9224,-2600,938,-2932,-947
2320,16316,-5552,-260,2,1509,1240,14216,-9744,-3840,949,-1203,-540
2340,15524,-5536,1196,-67,-336,864,13060,-9380,-3072,868,-430,-826
2360,15116,-5936,1476,-448,-1671,727,12716,-9584,-2280,770,-1045,-514
2380,15604,-6004,860,-493,-2125,748,12772,-9632,-2728,440,-1652,-535
2400,16388,-5868,820,-690,-1801,773,12940,-9656,-3284,136,-2034,-497
2420,16920,-5620,556,-1048,-1023,800,13432,-9716,-3212,252,-1730,-310
2440,16292,-5684,1092,-1222,-918,702,13492,-9704,-2904,239,-990,-133
2460,16320,-6016,752,-936,-878,450,13436,-9540,-2864,69,-602,8
2480,16316,-5968,716,-649,-407,220,13172,-9592,-3000,-101,-439,83
2500,16268,-6232,704,-644,-255,105,12924,-9724,-3084,-83,-364,158
2520,16176,-6356,472,-523,-469,279,12788,-10028,-3252,23,-349,130
2540,16296,-6192,560,-570,-253,330,12880,-9820,-3236,228,-423,42
2560,16188,-6036,824,-252,-89,255,13104,-9664,-2948,228,-316,22
2580,16164,-6188,512,174,-62,225,12988,-9496,-2940,188,-416,16
2600,16120,-5916,416,-99,-47,155,12944,-9852,-3276,208,-373,50
2620,15992,-6116,600,-205,-14,103,12808,-9688,-3192,337,-353,-11
2640,15988,-6004,656,-92,-113,202,12424,-9900,-3280,353,-541,-107
2660,16040,-6048,368,-316,-424,230,13184,-9620,-3104,408,-647,-178
2680,16120,-6140,808,40,-439,89,13068,-9716,-2744,276,-549,-94
2700,16236,-6060,668,444,-274,-64,12640,-9964,-3356,184,-686,-152
2720,16488,-6100,236,129,-218,30,13100,-9836,-3580,397,-465,-253
2740,16124,-5988,872,57,-348,27,12960,-9552,-2840,423,-353,-281
2760,15784,-6152,808,398,-524,-130,12500,-9648,-3032,253,-603,-297
2780,16328,-5968,184,252,-385,-57,13048,-9816,-3756,457,-602,-446
2800,16264,-5880,828,31,-115,-65,13172,-9440,-2992,564,-176,-393
2820,15972,-5960,892,194,-140,-134,12856,-9496,-2644,327,-301,-227
2840,15716,-6052,744,694,-283,-171,12260,-9796,-3304,189,-806,-230
2860,16180,-5976,372,226,-622,6,12732,-9876,-3504,418,-853,-299
2880,16272,-5892,740,41,-810,67,13000,-9452,-3132,416,-778,-222
2900,16228,-5944,480,270,-671,-2,12940,-9672,-3244,306,-845,-265
2920,16896,-5588,444,65,0,31,13360,-9720,-3536,452,-404,-264
2940,16280,-5900,776,300,701,361,12916,-9472,-2980,356,-212,-192
2960,15676,-6204,856,609,357,201,12776,-9692,-2892,91,-464,-185
2980,15956,-5952,400,343,-232,5,12848,-9824,-3724,242,-653,-348
