Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-13784,1340,5944,-16,-232,-47,-12084,5960,10000,387,-412,-301
20,-13756,1428,5816,-19,-239,-33,-11944,5908,10092,379,-395,-305
40,-13800,1536,5816,-140,-234,31,-12052,5992,9856,331,-346,-281
60,-13832,1372,5892,-259,-248,43,-12128,6020,9820,328,-345,-256
80,-13896,1432,6008,-186,-296,-77,-12236,5864,10068,296,-390,-243
100,-13904,1276,5808,-141,-277,-118,-12096,5880,10044,292,-371,-204
120,-13756,1436,5708,-162,-239,60,-12048,6084,9968,315,-246,-225
140,-13736,1480,5988,-277,-112,205,-11996,5964,9952,298,-227,-237
160,-13696,1292,5864,-238,-214,36,-12092,5884,9920,275,-345,-234
180,-13748,1224,6060,-136,-327,-151,-11868,5924,9868,258,-471,-255
200,-13456,1416,5960,-153,-163,-8,-11996,5940,9956,276,-265,-262
220,-13680,1368,6100,-224,-42,76,-11988,6012,9896,266,-51,-334
240,-14132,1380,6176,-89,-158,-16,-12300,6064,9992,275,-231,-329
260,-14264,1328,6152,5,-292,-70,-12328,6132,10192,288,-357,-252
280,-14608,1304,6376,-7,-689,32,-12468,6180,10440,291,-552,-61
300,-15224,1596,6728,-137,-1205,217,-12492,6632,10788,382,-1032,241
320,-16000,1716,7624,-351,-2230,474,-12508,7052,11408,433,-1597,925
340,-16932,2340,8796,-786,-3710,952,-13064,8356,12104,606,-2260,2131
360,-18792,2188,10316,-1236,-6218,825,-14340,9492,12988,862,-3811,4083
380,-21400,1892,11104,-1104,-10127,383,-15836,9476,14444,1630,-6567,6360
400,-22120,1952,12004,-245,-15800,-764,-15272,9532,14916,2891,-11468,9139
420,-19684,2976,12036,683,-18419,1106,-11932,10840,14048,3900,-11508,11431
440,-17360,3044,11956,1027,-18220,5305,-10708,11908,13312,4500,-7870,13596
460,-17256,1800,13080,3333,-18335,7574,-11848,11648,13352,4636,-5855,16057
480,-17168,1272,13496,8873,-22441,7591,-11692,10740,14052,5389,-7595,17536
500,-15064,2504,11524,14486,-25020,7863,-10200,10572,13612,6518,-9475,18560
520,-11808,3960,9780,15254,-23575,10698,-8100,11468,12000,7231,-7272,19630
540,-10424,4548,9288,13753,-19301,13788,-8036,11672,11848,7226,-3412,20361
560,-9996,4632,9568,11686,-17907,14618,-8504,11528,12176,7447,-3054,20108
580,-8600,3780,10244,11077,-18131,14355,-7832,11460,10452,7539,-4456,20057
600,-6440,5036,9256,15042,-15071,15520,-5968,11440,9232,7219,-2948,19783
620,-4696,7528,6224,11591,-11498,17675,-4092,11816,8976,6813,1249,18968
640,-3200,6640,6252,6429,-5535,19087,-3748,11044,8704,6028,5405,18012
660,-2996,5408,8004,5296,-3739,18030,-4856,10748,7940,5188,6142,17075
680,-1352,5180,7792,3794,-5271,16220,-4516,10252,7508,4400,3533,15589
700,-64,6156,7196,2564,-4309,14494,-2168,10248,7296,3735,2631,13521
720,1652,6892,7096,-1826,-3246,12413,-1856,10308,8744,3245,3329,11612
740,1040,6336,8724,-6875,-4540,8443,-1636,10864,9516,3031,-125,9564
760,-152,6104,11648,-6194,-6260,6536,512,12684,8820,2898,-2782,8452
780,1648,6248,12364,-4968,-7038,3546,-1444,13200,9704,2728,-3810,7866
800,-1072,7208,13284,-4954,-8824,1555,-24,13944,10952,2724,-7335,6676
820,-1320,8324,13600,-5886,-12130,1480,408,15544,11060,2829,-9925,6795
840,-896,8252,14300,-5548,-11849,2032,1504,15408,10684,2885,-11015,7007
860,-2168,6792,16540,-3263,-13086,1999,316,15536,11176,3553,-10724,7556
880,-780,7012,16080,-1742,-16351,1407,416,15192,9920,4735,-12751,7445
900,108,8668,12984,-1615,-14481,3266,2744,14932,7692,5376,-10264,7085
920,684,8548,10344,-4158,-12049,5248,1676,14344,7568,5535,-6622,6823
940,1064,7212,9420,-5338,-10826,5429,1172,12996,6588,5383,-6594,6137
960,2500,7212,7520,-6258,-9814,5422,1356,12148,5192,5021,-5922,6098
980,3188,6796,7388,-6779,-8917,4693,1060,11688,4684,4486,-4852,5384
1000,3532,5924,7596,-6118,-7379,3718,1472,11176,4440,3707,-4095,4767
1020,4500,4992,8464,-5240,-5415,2901,1688,11136,4532,3175,-3464,3906
1040,4564,4424,9516,-3928,-4449,1904,2420,11136,5264,2600,-3436,3127
1060,4800,3700,10564,-2646,-4111,780,2976,11208,5420,2241,-3592,2338
