Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1184,-2928,17596,-252,-9,-551,940,-7284,14460,-563,36,-172
20,-1252,-2952,17588,-236,28,-557,956,-7348,14332,-546,-24,-156
40,-1184,-2900,17668,-227,13,-518,972,-7340,14220,-577,-71,-175
60,-1292,-3000,17604,-245,13,-522,900,-7320,14276,-586,-46,-136
80,-1300,-2940,17572,-248,42,-536,888,-7212,14208,-542,6,-143
100,-1232,-2840,17624,-213,48,-548,844,-7296,14288,-556,8,-132
120,-1292,-2880,17664,-284,22,-559,976,-7256,14116,-556,-24,-168
140,-1328,-3032,17708,-305,16,-559,1028,-7284,14256,-569,14,-163
160,-1356,-2940,17572,-265,32,-545,796,-7392,14264,-533,24,-154
180,-1324,-2988,17660,-280,20,-569,836,-7216,14284,-524,42,-135
200,-1320,-2952,17584,-256,8,-550,932,-7340,14276,-518,13,-172
220,-1308,-2920,17680,-248,0,-558,928,-7312,14228,-553,-19,-165
240,-1184,-2976,17548,-237,54,-540,896,-7376,14208,-536,-55,-155
260,-1348,-2972,17628,-269,34,-549,948,-7360,14352,-515,74,-136
280,-1444,-2952,17684,-375,-49,-538,820,-7308,14416,-552,-78,-57
300,-1576,-3056,17660,-594,-166,-611,608,-7432,15136,-723,-436,73
320,-1876,-3224,18396,-1053,-193,-692,888,-7580,15496,-1042,-527,417
340,-1124,-3188,18372,-696,-296,-234,1960,-6968,16292,-1688,-417,1241
360,-52,-2216,18976,-1996,3088,-584,3452,-7968,16444,-821,5996,2607
380,-2984,-2992,21184,-3373,7853,-1254,-72,-9036,18612,773,10992,4381
400,-7356,-2780,23560,-6088,13152,1383,-1288,-8976,21356,3554,9942,5741
420,-15512,-3976,27508,-3981,18529,8373,-4500,-8536,22580,5900,11810,8134
440,-15548,-5928,24760,-4735,21303,15089,-8344,-8496,23472,8627,7685,10943
460,-19948,-6308,28244,-2534,14654,20317,-8952,-7184,24456,11518,2239,12628
480,-18784,-5500,28828,2463,3082,25168,-8088,-6828,25476,14421,-5637,13363
500,-14220,-3620,25260,4007,446,28822,-4908,-6028,23968,17842,-10019,15225
520,-10088,-5540,21788,4280,3958,30522,-4608,-4936,21412,19755,-6673,17355
540,-10072,-5236,21864,2314,9676,28726,-3988,-4140,19836,21445,-3462,19123
560,-10696,-6016,21568,2168,9484,26783,-2252,-4192,18892,23051,-1408,20202
580,-11372,-4560,21032,5088,6288,30262,-2848,-3444,18920,24202,-1898,21402
600,-9116,-3812,18500,4715,4845,32231,-1068,-2288,18328,24819,-2895,22926
620,-8212,-3320,17048,2274,5766,32767,-664,-1884,17052,24647,-2019,23847
640,-6840,-3824,15624,1150,6856,32767,-436,-44,14668,24092,-1,25035
660,-5212,-3696,14632,1598,9186,32767,224,1248,12724,23015,3219,26014
680,-5544,-2268,14284,2628,9202,32292,-776,2584,12444,21583,4430,26383
700,-4464,-620,13128,2841,6331,30694,-100,3528,12120,19892,3082,25778
720,-2832,720,11992,2101,4130,28649,1204,4216,11128,18030,2496,24808
740,-2164,1604,11616,1796,2807,26698,1224,4996,10192,16146,1938,23508
760,-2260,1832,11656,2289,450,23889,492,5188,9948,14289,-207,22108
780,-1700,2128,11580,3226,-2731,21562,1044,5420,9524,12714,-2777,20461
800,-968,3180,10948,3970,-3973,20195,3056,5444,9212,11419,-3869,18768
820,-68,4080,10424,3077,-2554,19226,3444,5592,9388,10380,-2994,17363
840,124,4200,10660,1975,-840,17506,3792,5836,8836,9074,-942,15849
860,596,4540,11104,2268,132,15637,3624,6148,8480,7956,372,14243
880,688,4984,11196,2621,32,13631,3584,6324,8512,6968,-103,12444
900,1324,5620,10672,2355,-87,11599,4612,6208,8284,6076,-67,10487
920,1884,6344,10148,1608,690,10260,5368,6576,7816,5174,723,8814
940,1900,7024,9860,485,1628,8261,5020,7144,7472,4129,2195,7367
960,1516,6880,10168,-538,2084,6479,5012,7332,7636,3025,3342,6074
980,1036,7064,11180,-868,1415,4680,4764,7596,7892,1687,3287,4451
1000,1672,7556,11072,-618,-503,1228,4644,8076,7800,881,1202,2845
1020,2152,8052,10780,-366,-1321,-155,5648,8328,7544,15,-1251,1273
1040,1380,8432,10888,-578,21,-760,6364,8676,7948,-597,-401,152
1060,320,8488,11692,-1243,2649,-686,5956,8800,8912,-949,2042,-615
1080,-924,8276,12888,-1630,4868,-1202,5020,9112,9804,-1145,4797,-792
1100,-2440,8108,13572,-1544,5524,-1766,3808,8932,10704,-1203,5696,-831
1120,-3252,7720,14312,-1141,4706,-2007,3500,8904,11360,-1027,5264,-928
1140,-3372,7736,15096,-676,3924,-2018,3472,8928,11708,-581,4614,-1120
1160,-2960,8216,14332,-516,3950,-2284,3736,9356,11844,-288,4117,-1462
1180,-2820,8496,13976,-785,3476,-2783,3920,9584,11480,-200,3733,-1748
1200,-2516,8764,13272,-1183,3184,-3056,3880,9792,10872,-399,3553,-2097
1220,-2240,8384,12868,-1460,3141,-3419,3820,9720,10220,-820,3713,-2529
1240,-2132,8316,12484,-1644,3324,-3947,3648,9356,10036,-1261,3498,-3078
1260,-2336,8196,12160,-2098,3603,-4534,3396,9292,10028,-1760,3756,-3664
1280,-2908,8000,11976,-2633,3601,-4892,3064,9040,10040,-2152,4117,-4077
1300,-2912,7604,11416,-3592,4859,-4953,2852,8980,9680,-2601,5410,-4453
1320,-3456,7100,11092,-4494,6278,-5132,1984,8544,9504,-3137,6652,-4864
1340,-4520,7136,11004,-5271,6932,-5141,1484,8952,9868,-3588,7104,-5280
1360,-5292,6804,11524,-5862,7390,-5061,832,9028,10424,-4145,7447,-5301
1380,-5484,6656,12396,-6226,7779,-4951,720,9120,11044,-4469,7465,-5353
1400,-4852,6684,13452,-6237,8245,-5153,1384,9152,11496,-4568,7407,-5827
1420,-4660,6480,13680,-5990,8467,-5083,1344,8640,11416,-4748,6853,-6541
1440,-4840,5796,13308,-5639,6991,-5054,428,8172,11172,-5189,4252,-7737
1460,-5496,5960,11616,-6154,2849,-5621,-12,7776,11000,-6085,367,-9278
