Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-2988,6480,16092,-310,64,-542,-4908,1588,14688,-500,-13,-144
20,-2968,6368,15996,-351,73,-555,-4984,1572,14732,-486,58,-124
40,-2896,6396,16108,-349,60,-582,-4876,1640,14596,-503,81,-138
60,-3000,6384,16024,-370,45,-567,-4884,1620,14556,-534,149,-151
80,-3008,6428,15920,-294,57,-559,-4908,1588,14632,-552,39,-139
100,-2880,6340,15964,-313,-22,-575,-4824,1652,14432,-484,119,-126
120,-2864,6292,16036,-239,86,-599,-4824,1640,14496,-511,244,-171
140,-3168,6344,16140,-169,57,-532,-5048,1608,14780,-516,24,-135
160,-2948,6360,16140,-188,-56,-512,-5020,1580,14720,-551,-61,-168
180,-3052,6476,15996,-245,8,-538,-5044,1656,14820,-547,-20,-165
200,-2864,6492,16040,-372,78,-566,-4968,1660,14856,-533,32,-159
220,-2912,6324,15972,-402,120,-626,-4908,1604,14672,-496,199,-153
240,-3116,6332,16024,-341,73,-578,-4932,1740,14744,-517,84,-174
260,-2956,6464,16032,-287,64,-522,-4920,1668,14544,-540,-56,-132
280,-3028,6364,16064,-269,18,-530,-4948,1560,14676,-488,16,-146
300,-3164,6392,16080,-310,64,-545,-5236,1632,14796,-473,-67,-183
320,-3052,6516,16508,-511,24,-561,-5280,1700,15220,-435,-207,-77
340,-3280,6728,16356,-783,-10,-481,-5420,1728,15252,-335,-477,-39
360,-3268,6904,16396,-1350,-130,-642,-5248,1816,15528,-225,-366,70
380,-3816,7128,17032,-2009,-47,-849,-5912,2012,15920,28,-452,135
400,-3996,7160,17612,-3055,-608,-851,-6360,1756,16648,479,-877,174
420,-3876,7068,17484,-4762,-1440,-1001,-6048,1568,16608,1214,-1196,270
440,-4076,6568,17664,-6879,-2196,-1192,-6184,1436,16792,2326,-1812,445
460,-3200,5540,17184,-7339,-3024,-1260,-5084,2320,14708,2416,-797,846
480,-3548,3984,17684,-4382,-1482,641,-3676,732,13920,1849,1658,2053
500,-7508,2568,20588,-3280,5438,3440,-7452,1240,14588,1527,5375,4193
520,-5292,2864,21548,409,8800,3544,-7936,328,16268,2388,5622,4765
540,-6844,2352,19776,2678,7377,4050,-9104,512,16328,3301,7278,6668
560,-5596,3936,19388,1073,10097,4979,-7332,788,16892,4229,8770,8333
580,-5504,5404,17808,-2368,15627,8488,-5404,1700,17736,3913,15609,10688
600,-6788,6000,16600,-8664,24251,12840,-6268,2484,17080,3464,22533,13430
620,-9488,5516,16260,-13717,29019,17724,-7660,3828,15184,2892,26392,16057
640,-10996,3480,15012,-17919,28169,22060,-7804,4228,12568,2084,28777,18618
660,-10628,3076,13436,-21663,28305,25974,-8576,5200,9980,793,32729,20443
680,-11068,2480,12032,-25142,30117,30210,-7976,5824,8264,-281,32767,21452
700,-12600,1972,11696,-27269,31873,32767,-9656,6956,5608,-2151,32767,21726
720,-11916,1988,10812,-27191,31971,32767,-9552,7888,3548,-4019,32767,21406
740,-11140,2516,9516,-27232,31315,32767,-9052,8344,1972,-5783,32767,20463
760,-11888,2752,8356,-28258,31079,32767,-10436,8348,884,-7975,32767,18828
780,-12096,2220,8640,-29259,26248,32767,-11236,8420,-784,-9451,32767,17170
800,-12228,2440,8676,-28360,23327,32767,-11624,8456,-1244,-11949,32767,15029
820,-11180,2932,8912,-26393,20707,32767,-12072,8328,-1416,-13975,32767,13084
840,-10312,3344,9048,-25211,16002,32767,-11652,8304,-848,-15293,30170,11090
860,-9744,3244,9100,-25388,15005,31149,-12840,8256,312,-15622,26868,8935
880,-11468,2948,10056,-26774,13616,27186,-13832,8240,332,-16214,23322,7351
900,-11476,3328,10660,-27729,8573,24267,-13076,8840,1044,-16521,18683,6080
920,-8584,2724,10940,-28543,5678,22429,-10872,8976,1588,-16776,16775,4734
940,-7048,1448,12232,-28437,5978,20760,-11452,8672,2500,-16582,15421,3250
960,-8208,1476,14988,-27367,7118,15365,-13464,8832,3700,-15467,12134,2115
980,-9124,-304,15692,-24715,3045,12476,-13680,8428,3920,-14210,9554,1539
1000,-9052,128,16152,-21069,1103,9615,-12536,8760,3892,-13600,6859,1237
1020,-8504,-404,17088,-16534,-329,8092,-11876,8792,4304,-12586,5625,1073
1040,-7588,-444,17524,-11423,-611,6559,-11320,8656,4276,-10977,4725,854
1060,-6744,24,16604,-7505,1029,5328,-10404,8796,4156,-9371,4556,116
1080,-7848,588,17304,-3479,4903,3821,-11228,8860,4616,-8075,4194,-216
1100,-6396,-2720,19076,1011,1102,1707,-12364,7304,6752,-5986,3178,-362
1120,-6480,-2728,19072,5898,1250,-863,-12040,7768,7404,-3276,1079,-737
1140,-8496,-388,16472,7357,-126,-2780,-12268,8664,6376,-1230,-920,-718
1160,-9064,2728,14820,6379,-523,-3402,-12064,9828,4040,-221,-1804,-798
1180,-11352,4444,15816,8090,-3434,-2190,-11832,10548,2148,-311,-2159,40
1200,-8632,5680,17188,13622,-2186,-1638,-10880,10712,1536,-646,-3187,249
1220,-6436,3752,15848,18458,-990,-2364,-12020,10236,3428,-298,-3498,-262
1240,-8392,2852,16824,19243,-1599,-3697,-11412,10200,6828,293,-4811,-336
1260,-7664,1248,20048,20879,-6216,-4111,-11764,9332,8944,1776,-7348,-354
1280,-5440,-1168,23488,27169,-8099,-7054,-12200,8108,10488,4261,-10397,-1257
1300,-2892,-2848,24320,32767,-8539,-12407,-9172,7316,11904,8272,-11630,-3547
1320,-1328,-5328,19688,32767,-9251,-15488,-5996,5656,12548,12929,-9527,-5646
1340,868,-988,17440,32767,-6986,-18046,-4468,7336,9696,16118,-6312,-7140
1360,-816,1088,12020,32767,2310,-19827,-4148,6816,7716,18638,-2665,-8865
1380,-6584,3292,7476,32767,5446,-18415,-7600,6376,5816,20313,1181,-9578
1400,-13548,4424,3212,32767,1997,-18483,-14544,5456,1372,20697,-203,-9563
1420,-16812,6816,-2304,30445,-5429,-18321,-15112,6652,-2812,19985,-5565,-9247
1440,-18820,6756,-7004,24275,-8208,-15573,-15344,7236,-8408,17091,-6116,-8912
1460,-21368,7856,-8820,18705,-6769,-12513,-17476,6648,-10084,13052,-3889,-7134
1480,-23604,7904,-8104,14194,-4571,-8672,-18488,6796,-10164,9664,-2180,-4525
1500,-21624,8668,-6060,9908,-2377,-4716,-18136,7168,-8600,6978,-389,-2169
1520,-20068,9128,-3780,6600,564,-2158,-17340,7480,-6592,4935,854,-206
1540,-17664,9572,-2556,3819,1445,-364,-16144,8376,-5428,3127,1216,920
1560,-14412,10356,-1040,955,2130,726,-13996,9156,-3684,1502,1089,1289
1580,-12796,10672,636,-879,2239,856,-13148,9500,-2296,383,684,1038
1600,-11796,10312,2596,-1683,945,428,-12624,9516,-1136,-251,-221,532
