Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-5132,4024,16288,-344,52,-453,-5576,1216,14456,-564,23,-141
20,-5212,4068,16204,-420,34,-457,-5704,1232,14260,-575,-13,-138
40,-5232,4140,16244,-408,36,-467,-5616,1280,14228,-619,-71,-95
60,-5240,4144,16408,-392,20,-452,-5576,1280,14452,-615,-82,-61
80,-5200,4112,16288,-368,15,-396,-5668,1132,14416,-618,-274,-62
100,-5292,4060,16112,-398,25,-379,-5572,1260,14432,-615,-301,-13
120,-5124,4076,16296,-387,68,-363,-5508,1296,14320,-572,-205,25
140,-5172,4000,16308,-363,55,-397,-5584,1168,14424,-536,-220,-25
160,-5196,3996,16272,-296,68,-412,-5532,1328,14436,-515,-15,-56
180,-5260,4072,16196,-325,30,-411,-5716,1264,14548,-578,-205,-94
200,-5312,4140,16260,-355,3,-485,-5668,1300,14464,-677,-410,-139
220,-5268,4124,16192,-361,31,-513,-5424,1244,14380,-639,-347,-129
240,-5108,4052,16388,-360,19,-535,-5424,1316,14372,-612,-214,-99
260,-5184,4060,16304,-340,14,-490,-5444,1280,14388,-611,-165,-75
280,-5156,4072,16384,-357,27,-525,-5500,1236,14568,-611,-100,-50
300,-5212,3968,16240,-340,-6,-536,-5436,1208,14660,-648,-211,-123
320,-5316,4024,16192,-352,-8,-533,-5460,1244,14488,-775,-355,-154
340,-5148,4076,16328,-387,-8,-541,-5464,1148,14416,-778,-290,-140
360,-5200,4028,16236,-320,2,-529,-5452,1100,14436,-825,-263,-168
380,-5136,4056,16248,-344,7,-488,-5536,1104,14424,-797,-282,-138
400,-5304,4000,16504,-344,35,-472,-5348,1144,14384,-702,-104,-165
420,-5136,3956,16312,-329,59,-527,-5432,1200,14420,-667,121,-132
440,-5184,3988,16360,-288,53,-554,-5436,1164,14424,-624,402,-129
460,-5228,3996,16408,-279,90,-564,-5480,1264,14544,-545,703,-111
480,-5208,4148,16260,-336,69,-643,-5576,1300,14532,-489,692,-64
