Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14496,2988,3832,152,-408,-44,-13956,6052,5452,234,-699,-166
20,-14372,2972,3440,-375,-219,311,-13948,5996,5200,209,-160,-197
40,-14332,3076,3924,-635,-30,310,-14564,5912,5212,218,-99,-153
60,-14360,3380,4176,-428,-281,-4,-14752,5948,5300,274,-505,-121
80,-14092,3076,4100,-291,-508,-84,-14344,5984,5368,344,-973,-148
100,-14352,2852,3796,-116,-803,34,-13832,6012,5424,308,-734,-156
120,-14444,2968,3644,-518,-188,292,-13868,5872,5376,360,-348,-210
140,-14692,3080,3808,-473,195,493,-14396,5988,5352,411,-170,-275
160,-14288,3244,3696,-335,-150,504,-14524,5860,5260,197,93,-189
180,-13900,3204,4000,-379,-59,148,-14656,6032,5444,311,-475,-171
200,-13940,2992,4364,-191,-322,-206,-14272,5972,5464,388,-832,-198
220,-14220,2980,4044,-103,-643,-121,-13860,5960,5448,438,-731,-266
240,-14472,3056,3828,-317,-244,198,-13916,6040,5404,378,-324,-326
260,-14432,3016,3656,-327,-121,349,-14124,5900,5344,312,-41,-280
280,-14256,3072,3824,-600,167,516,-14452,5968,5468,283,33,-325
300,-14172,3192,4140,-523,0,207,-14492,6096,5444,289,-282,-318
320,-14076,3124,4016,-281,-366,-34,-14196,6144,5412,345,-530,-285
340,-14640,3116,3804,-267,-80,165,-13988,6104,5280,279,-230,-327
360,-14472,3128,4012,-347,211,473,-14192,6080,5588,306,-193,-308
380,-14064,3172,4348,-304,177,421,-14436,5984,5296,320,-113,-292
400,-14424,3224,4140,169,-179,175,-14500,5984,5380,396,-317,-237
420,-14520,3348,3656,149,-65,366,-14260,6160,5280,309,-249,-260
440,-14160,3356,3652,-67,44,386,-14332,6204,5276,253,-125,-180
460,-14084,3200,3924,-220,273,261,-14312,6188,5560,272,-127,-237
480,-14060,3056,4236,-349,55,137,-14288,6000,5624,291,-250,-266
500,-14316,3052,4328,-3,-307,104,-14208,5980,5480,339,-310,-245
520,-14448,3192,3820,185,-219,204,-14276,6008,5576,383,-289,-236
540,-14416,3292,3536,-153,15,253,-14328,5924,5576,359,-253,-200
560,-14100,3256,3928,-223,19,206,-14216,6112,5392,298,-359,-255
580,-13900,3240,3976,-195,-259,7,-14168,6024,5380,333,-399,-311
600,-14032,3124,3912,-227,-135,-56,-13968,5956,5588,335,-472,-407
620,-14324,3160,3848,-46,-25,-14,-14112,6048,5472,315,-295,-422
640,-14644,3244,3664,-195,-118,48,-14548,5920,5344,305,-287,-418
660,-14596,3248,3624,-182,-260,59,-14524,6048,5340,257,-257,-326
680,-14276,3312,3648,-406,-283,-50,-14584,6048,5512,253,-500,-233
700,-14180,3316,4256,-257,-523,-146,-14268,6032,5452,318,-699,-180
720,-14572,3224,3900,-20,-504,40,-13840,6144,5404,322,-555,-195
740,-14468,3180,3740,-144,41,404,-14044,6200,5608,223,-50,-153
760,-14216,3104,3868,-331,147,386,-14468,6028,5780,277,-52,-186
780,-14448,3128,3972,-229,-417,383,-14364,6048,5612,321,-283,-63
800,-14444,3244,3956,-197,-551,521,-14136,6136,5344,328,-330,-81
820,-14048,3352,3932,-158,-315,524,-14280,6240,5436,340,-230,-8
840,-14016,3336,4096,-139,-82,526,-13992,6012,5312,295,-43,-45
860,-14256,3184,4260,-43,-73,555,-14124,5992,5536,334,6,-67
880,-14480,3312,4204,173,-263,661,-14376,5904,5424,510,-337,-112
