Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-12720,7508,4276,72,-303,156,-8968,9260,10908,513,-399,-348
20,-12592,7648,3684,-298,-613,72,-9004,9496,10708,374,-572,-296
40,-12200,7464,4020,-763,-264,-25,-8804,9288,11024,313,-426,-218
60,-12080,7096,4960,-500,246,74,-8312,9260,10848,359,-229,-320
80,-12384,7008,5212,-101,282,13,-8596,9232,11084,484,105,-397
100,-12996,7508,4408,37,-322,20,-9144,9392,11020,535,-282,-306
120,-12868,7708,3976,115,-679,-50,-9164,9424,10960,557,-758,-94
140,-12396,7504,4404,172,-543,119,-8608,9444,10724,487,-636,-89
160,-11844,7244,4528,-126,-134,197,-8328,9424,10916,476,-166,-208
180,-12476,7392,4508,-57,38,74,-8732,9460,11168,528,-17,-261
200,-12776,7420,4008,-157,-362,56,-9304,9452,11016,435,-306,-166
220,-12732,7608,4144,-57,-363,216,-8872,9384,10836,272,-448,-14
240,-12080,7348,4372,-62,-138,346,-8348,9304,11136,206,-197,-32
260,-11796,7116,4692,230,226,172,-8424,9204,11008,254,24,-196
280,-12268,7276,4544,80,166,6,-8652,9292,11280,337,135,-341
300,-12792,7444,4188,-108,45,-2,-9100,9364,11048,457,-91,-338
320,-12852,7424,4308,-133,-133,98,-9100,9348,11116,526,-167,-311
340,-12684,7336,4352,-154,-345,51,-8772,9324,11172,603,-496,-253
360,-12140,7364,4568,128,-238,167,-8800,9532,10848,547,-429,-264
380,-12284,7548,4096,177,-446,-15,-8692,9544,10936,514,-415,-311
400,-12320,7612,3796,27,-379,-48,-8952,9408,11024,469,-352,-323
420,-12128,7360,4352,-354,-215,-13,-8636,9344,10896,424,-93,-336
440,-12096,7160,4900,-185,131,60,-8576,9344,11056,419,105,-444
460,-12240,7244,4808,-95,453,292,-8188,9560,10620,189,648,-613
480,-12096,7436,4616,454,945,424,-8780,9492,10820,280,1081,-749
500,-12436,7496,3944,429,1198,384,-9092,9264,10924,395,1037,-774
520,-12596,7496,4204,-43,1020,362,-8872,9272,10968,432,859,-752
540,-12332,7148,4476,-107,1405,534,-8416,9240,10948,529,1458,-817
560,-12128,7356,4876,100,2183,712,-8588,9372,10816,698,1929,-961
580,-12328,6992,4980,-77,2812,883,-8940,9360,11348,696,1876,-1287
600,-13000,6932,5976,-543,2529,1215,-8516,9032,11144,867,1432,-1514
620,-13016,6988,6340,-246,2437,1967,-8404,9152,10760,1184,1866,-1833
640,-13008,7072,6648,-177,1687,2898,-8044,9176,10620,1247,2529,-2157
660,-12720,6476,7952,32,1597,4028,-7944,9000,11152,1953,3645,-2582
680,-12912,5808,8272,-990,1402,5109,-8892,8672,11712,3064,4532,-3079
700,-11268,5232,7376,1274,-282,3598,-9344,8584,11628,3956,3720,-3173
720,-11876,5608,6396,4997,2506,3410,-9804,8924,10936,4676,5159,-3496
740,-12416,7120,3444,6952,4350,4164,-9452,9040,11424,5276,4696,-3672
760,-12512,8280,2764,5416,5980,4959,-10260,9168,11076,5747,4467,-3835
780,-11804,8912,2776,3276,2687,3262,-9848,9340,10012,5758,3144,-3996
800,-11552,9064,2704,651,1734,2956,-9064,9844,9404,5399,2897,-4528
820,-10724,8100,3840,-2200,3713,5511,-9832,9792,9184,5090,3790,-5084
840,-9268,6712,4152,3239,3717,2990,-12840,9472,9084,4822,2718,-4931
860,-11420,9528,1428,3928,3909,139,-11996,9800,9048,4611,853,-4618
880,-13976,12132,-712,-2735,2024,174,-11996,9792,8228,4186,-1093,-4614
900,-12068,10472,372,-9598,369,1779,-11084,9080,7900,3941,-2248,-4967
920,-9524,7844,2776,-5721,1844,1445,-11020,8872,7872,3993,-969,-4946
940,-10256,8780,2384,-547,3480,1292,-10844,8908,8156,4042,689,-5132
960,-11556,10584,-260,-6798,3274,944,-11036,8764,7660,3966,177,-5743
980,-11220,7680,2868,-6648,2387,1136,-11672,8176,6628,3753,-621,-5854
