Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,452,3876,17484,-288,2,-527,-1944,2812,15276,-548,71,-114
20,608,3680,17644,-298,16,-575,-1840,2828,15392,-606,83,-153
40,516,3680,17420,-285,10,-555,-1896,2852,15424,-580,85,-124
60,404,3756,17484,-338,-54,-528,-1844,2792,15588,-580,33,-115
80,476,3744,17424,-428,-112,-528,-1772,2844,15628,-588,25,-99
100,644,3688,17456,-546,-18,-498,-1900,2792,15428,-626,103,-66
120,524,3776,17628,-503,47,-481,-1876,2824,15416,-656,101,-64
140,488,3732,17432,-436,-15,-498,-1932,2776,15464,-625,101,-94
160,524,3656,17548,-424,-56,-479,-1976,2944,15392,-615,18,-68
180,584,3656,17452,-345,15,-522,-1788,2792,15452,-652,14,-96
200,484,3752,17500,-256,7,-528,-1756,2740,15280,-597,-14,-115
220,548,3756,17436,-250,-32,-529,-1812,2780,15492,-561,-13,-73
240,588,3800,17664,-362,31,-577,-1968,2840,15488,-551,86,-131
260,460,3788,17596,-367,84,-609,-2024,2836,15428,-606,206,-186
280,468,3588,17504,-326,57,-669,-1836,2796,15356,-584,176,-239
300,448,3648,17540,-282,72,-642,-1780,2740,15388,-601,92,-221
320,516,3680,17564,-432,-24,-524,-1864,2656,15520,-589,-5,-170
340,532,3600,17520,-305,65,-527,-1880,2804,15336,-564,-16,-141
360,512,3576,17588,-210,30,-544,-1928,2808,15540,-574,-10,-88
380,412,3624,17452,-277,8,-525,-2044,2732,15436,-605,-78,-97
400,564,3692,17504,-352,-26,-531,-1916,2956,15288,-577,58,-124
420,592,3764,17536,-258,32,-564,-1884,2828,15432,-610,25,-188
440,440,3744,17564,-200,28,-563,-1908,2756,15336,-637,-16,-155
460,584,3804,17640,-343,-40,-521,-1892,2772,15548,-664,-52,-143
480,676,3680,17520,-407,66,-576,-1820,2784,15432,-652,84,-140
500,548,3608,17652,-356,71,-569,-1992,2764,15504,-667,84,-183
520,356,3652,17488,-315,-3,-555,-1884,2700,15316,-660,-12,-139
540,620,3604,17540,-264,-32,-531,-1964,2720,15460,-644,-59,-109
560,572,3716,17464,-327,12,-528,-1804,2824,15400,-635,31,-95
580,476,3660,17556,-335,78,-523,-1808,2720,15392,-622,49,-168
600,504,3672,17604,-286,-6,-544,-1988,2752,15436,-586,27,-134
620,644,3776,17556,-244,49,-603,-1860,2716,15416,-586,40,-144
640,396,3728,17376,-273,12,-576,-1860,2732,15484,-635,13,-166
660,500,3756,17556,-373,-43,-566,-1908,2752,15308,-614,-27,-163
680,624,3636,17572,-319,28,-599,-1868,2732,15200,-563,48,-150
700,612,3608,17548,-242,-27,-592,-1928,2712,15504,-563,94,-159
720,504,3700,17640,-250,91,-569,-1772,2776,15240,-571,60,-149
740,492,3672,17556,-260,60,-513,-1944,2740,15508,-547,97,-135
760,480,3652,17656,-296,32,-547,-1932,2684,15280,-544,118,-86
780,432,3604,17488,-272,53,-536,-1960,2712,15408,-566,14,-108
800,552,3596,17568,-232,98,-534,-1996,2764,15504,-619,-37,-90
820,464,3592,17512,-241,121,-555,-2048,2724,15604,-595,23,-87
840,380,3656,17544,-127,133,-596,-2004,2724,15344,-552,49,-126
860,596,3716,17636,13,194,-617,-1892,2684,15124,-578,-13,-178
880,508,3516,17844,178,432,-772,-1836,2744,15200,-596,136,-288
900,1524,3704,17736,516,1348,-1130,-1248,2936,15144,-849,1552,-626
920,1584,3440,17900,320,3092,-2076,-1864,2760,15956,-1108,4584,-1068
940,1012,3880,18296,223,4571,-3177,-1732,3272,15612,-1589,7761,-1558
960,1936,4532,17988,891,8904,-4539,-1156,3340,15460,-2051,11745,-654
980,1204,4048,19968,994,12932,-5797,-2456,2876,16608,-2006,15061,-738
1000,4632,3212,17924,2014,22109,-8344,-2296,1852,17556,-1680,19389,-995
1020,92,2796,19356,732,27630,-9708,-2628,1900,17840,-320,26697,278
1040,-1496,2028,16380,-69,32767,-11540,-4708,1368,15824,542,32767,2117
1060,-10164,2652,14972,-3976,32767,-15780,-11588,1044,11716,64,32767,6657
