Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16900,-2756,-2408,184,165,-283,13884,-8952,-960,671,185,-292
20,17020,-2868,-2120,42,335,-305,13680,-9052,-1016,581,622,-281
40,17120,-2760,-3040,-185,477,-221,14056,-9104,-1472,544,780,-213
60,17128,-2804,-2872,-482,981,-159,13984,-9076,-1396,774,1283,-102
80,17480,-2540,-2580,-311,904,-98,13652,-8884,-596,707,792,2
100,16820,-2696,-1660,-11,373,-78,13516,-8836,-280,500,197,7
120,16904,-2788,-2012,90,-44,-141,13564,-8988,-716,264,-201,-83
140,16860,-2536,-2568,-73,-278,9,13804,-9000,-1084,349,-287,-184
160,17288,-2644,-2972,-215,1,65,13960,-9072,-1048,486,-47,-186
180,17244,-2544,-2092,-177,69,56,13652,-9036,-688,506,-177,-118
200,16936,-2764,-1696,-109,-282,105,13632,-8948,-580,375,-495,-158
220,16772,-2828,-1984,34,-374,43,13716,-8956,-772,283,-399,-289
240,17092,-2872,-2380,94,-395,-72,13772,-9036,-820,313,-314,-354
260,17288,-2688,-2324,-23,-349,-49,14220,-9156,-1192,376,-340,-266
280,17332,-2760,-2312,-116,-194,16,13932,-9120,-908,370,-223,-248
300,17164,-2716,-2600,-112,-58,52,13628,-9080,-792,402,-304,-199
320,16956,-2816,-2156,77,-302,-58,13868,-8892,-852,400,-362,-258
340,17116,-2668,-2160,5,-238,-32,13756,-8936,-732,331,-311,-249
360,17172,-2736,-2328,-17,-207,19,13796,-9008,-792,324,-276,-178
380,17056,-2760,-2348,133,-207,-4,13748,-9076,-868,350,-402,-129
400,16872,-2948,-2160,144,-337,-61,13712,-9040,-932,341,-499,-195
420,17032,-2724,-2388,59,-280,48,13916,-9004,-836,368,-372,-237
440,17056,-2788,-2440,76,-229,-9,13960,-9200,-976,407,-346,-284
460,17148,-2748,-2368,143,-181,-98,13968,-9108,-960,420,-340,-213
480,17076,-2708,-2148,100,-165,-92,13872,-8980,-708,428,-300,-218
500,16968,-2644,-2168,7,-133,-42,13776,-8964,-756,385,-236,-205
520,16928,-2808,-2188,142,-301,-75,13676,-8972,-772,333,-363,-266
540,17088,-2548,-2524,100,-318,-129,13960,-9024,-1108,321,-482,-326
560,17268,-2552,-2560,141,-139,-30,14008,-9016,-952,425,-264,-172
580,17112,-2496,-1964,-54,-272,-38,13876,-9012,-692,354,-223,-253
600,16988,-2620,-2268,-79,-227,-14,13732,-8980,-808,338,-500,-306
620,16944,-2768,-2392,-108,-253,-33,13800,-8940,-928,405,-356,-278
640,16980,-2812,-2148,-19,-352,1,13740,-8928,-784,358,-201,-321
660,17112,-2740,-2308,-46,-521,11,13600,-9068,-780,266,-277,-367
680,17228,-2748,-2288,121,-512,-25,13916,-9124,-804,275,-499,-249
700,17072,-2736,-2504,81,-400,23,13840,-9132,-956,332,-685,-234
720,17292,-2564,-2504,-261,-289,96,14176,-9108,-1100,393,-447,-250
740,17092,-2704,-2120,-151,-125,77,14028,-9048,-892,457,-269,-109
760,17140,-2756,-2188,76,-228,-2,13684,-8980,-748,402,-336,-160
780,16836,-2728,-2356,109,-424,16,13380,-8968,-608,374,-484,-317
800,16896,-2660,-2128,132,-573,18,13800,-8872,-968,320,-517,-312
820,17172,-2432,-2080,229,-559,28,13740,-8892,-344,179,-376,-312
840,17384,-2088,-1604,945,-665,-163,14436,-8516,832,-213,-474,-132
860,18492,-1180,164,2915,-1170,-691,15640,-8304,2704,-1144,-719,533
880,19560,992,2704,6190,-2273,-1828,19064,-7908,5512,-2892,-351,1907
900,18908,3528,6608,9756,-3369,-4395,21008,-8224,8852,-5716,3383,3407
920,23256,5288,15008,4253,-1631,-4615,18044,-7940,11608,-9495,5291,4563
940,22748,3520,18280,2522,-3042,-4622,17988,-8488,11300,-13633,7455,4633
960,21540,5388,16864,-1402,-5328,-3143,17828,-9356,9512,-17288,10506,4102
980,21408,3144,11312,-1627,-4867,-3281,14624,-9792,7620,-20138,14691,3276
1000,18016,3340,304,9172,-5599,-6302,10252,-10188,7448,-22779,14431,1145
1020,13944,2752,-4552,21656,-10445,-7559,8848,-10580,4260,-24155,7790,-1029
1040,12628,2080,-436,32577,-22111,-6102,10192,-10260,-1368,-23828,3524,-2937
1060,12564,-3660,-13060,32767,-24074,-7665,12924,-9496,-5128,-22919,4003,-4383
1080,12664,-444,-3504,32767,-5703,-13500,14968,-8400,-5268,-22251,6196,-4905
1100,12744,-176,-6656,31582,1755,-12746,14920,-6876,-2796,-22283,9610,-5051
1120,6900,-4500,-10560,20982,-1113,-11567,13512,-6572,-1232,-22147,10027,-6506
1140,7004,-5700,-11256,18968,-11190,-5656,11196,-4484,-1356,-22727,7548,-8194
1160,16432,7792,12648,9691,-16270,1636,7656,1780,-2388,-23923,3620,-9961
1180,11344,2600,-4628,-1725,-12535,7451,9956,-300,-7408,-25926,4817,-11931
1200,9472,-3204,-6992,-9755,-11946,10530,14420,820,-6224,-26062,6455,-11966
1220,3148,-15108,-16496,-11579,-14032,10006,13892,3520,-7180,-25169,5667,-13795
1240,12988,-14076,-13192,-11637,-16462,11809,15468,8196,-12936,-22511,7066,-14268
1260,13752,-21044,-19020,-11786,-14258,10433,18096,5992,-12808,-18280,6534,-13017
1280,14360,-21028,-19784,-8493,-13330,4592,19640,5064,-11644,-12728,4526,-11660
1300,18304,-16404,-18220,-5545,-10178,1198,19144,4904,-10684,-7638,3512,-7863
1320,21036,-14892,-19748,-5055,-5578,-1897,17556,4816,-8820,-3789,236,-4789
1340,22620,-13244,-19256,-2327,-1220,-1270,18424,3524,-8028,793,5154,169
1360,20056,-10944,-17288,-3879,5053,-1558,16832,3500,-6308,3845,-165,1881
1380,14316,-10840,-16408,-3893,5149,-300,17628,3104,-6168,6389,-1974,4116
1400,14468,-8068,-12328,-3502,4636,170,17072,2328,-5960,8576,-2480,5366
1420,11292,-2320,-9388,-3436,9092,-5982,16860,3588,-3880,9987,-4335,4986
1440,13732,-2780,-10024,-28921,228,1367,17280,2572,-7348,12216,-4205,6758
1460,16124,-2736,-14944,-32768,2207,4176,16904,2216,-6972,14184,-4370,8263
1480,16468,-2500,-16352,-32768,3894,11754,15448,1168,-7740,16160,-4340,8265
1500,15696,196,-18544,-32768,7979,16696,15496,620,-8652,18042,-4245,7846
1520,13256,1840,-15776,-32768,14750,19031,14712,444,-8060,19819,-4346,6984
1540,12780,1916,-14924,-32768,16899,20327,14844,368,-7912,20801,-3965,7083
1560,13264,-348,-14256,-32768,19938,18554,14008,-3028,-5676,21090,-3109,6135
1580,12724,-3084,-13196,-21915,15665,15614,13252,-5544,-4816,21572,-1183,4916
1600,10736,-296,-10952,-5749,7077,12367,12596,-5364,-3316,21249,-2448,3703
