Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-13244,3584,5668,-153,-128,53,-14996,5048,2572,214,-293,-260
20,-13284,3452,5892,-26,26,-113,-15076,5108,2468,374,-286,-328
40,-13512,3572,5596,106,-195,-194,-15104,5012,2404,486,-444,-379
60,-13600,3512,5192,-244,-309,-139,-15236,5084,2388,440,-337,-387
80,-13532,3476,5452,-497,-184,-18,-15200,5100,2360,306,-174,-344
100,-13540,3540,5752,-235,12,-31,-15416,5040,2384,273,-117,-323
120,-13716,3508,5896,21,-459,-23,-15460,5048,2408,374,-540,-246
140,-13532,3496,5552,-30,-513,-10,-15124,5052,2524,363,-527,-210
160,-13512,3576,5412,-175,-135,187,-14976,5100,2424,273,-327,-115
180,-13400,3508,5508,-189,237,272,-15172,5108,2440,200,-177,-76
200,-13472,3620,5528,-60,-105,154,-15364,5148,2272,337,-251,-152
220,-13376,3564,5616,210,-342,-64,-15328,5216,2428,445,-313,-244
240,-13492,3544,5528,-127,-338,-43,-15172,5068,2596,396,-280,-277
260,-13648,3408,5356,-464,-146,55,-15292,5020,2416,359,-201,-239
280,-13864,3460,5672,-325,-198,114,-15592,5004,2488,253,-310,-184
300,-13704,3388,5752,-440,-176,152,-15400,4932,2360,235,-477,-180
320,-13744,3292,5784,72,-146,-19,-15480,4872,2324,335,-391,-159
340,-13648,3360,5464,208,-284,135,-15424,4960,2556,407,-417,-85
360,-13504,3452,5228,-125,-228,191,-15168,5032,2396,366,-347,-81
380,-13324,3460,5516,-248,-166,116,-15052,5000,2296,342,-228,-141
400,-13384,3564,5384,-216,-184,151,-15028,5052,2328,357,-280,-187
420,-13316,3304,5768,-104,-64,24,-15188,5176,2140,349,-247,-260
440,-13600,3420,5680,99,-224,-112,-15200,5068,2316,419,-321,-260
460,-13596,3532,5208,-122,-246,-18,-15264,5084,2480,350,-251,-264
480,-13656,3508,5352,-422,-138,84,-15272,5076,2500,237,-199,-182
500,-13476,3520,5696,-583,-190,86,-15320,5064,2400,226,-266,-221
520,-13432,3588,5864,-469,-201,91,-15148,5088,2556,253,-407,-186
540,-13464,3000,6400,-204,10,-39,-15208,5036,1936,422,-259,-111
560,-13984,3572,6048,1323,180,293,-15212,5168,2364,618,-532,-6
580,-13656,3768,5236,931,98,551,-15464,5108,2576,649,-581,164
600,-13708,3580,4852,-594,-3,501,-15296,5072,2636,525,-118,126
620,-13720,3576,5104,-1508,-40,510,-15220,5176,2088,378,4,141
640,-13348,3532,5332,-917,-161,303,-15280,5300,2028,220,-267,53
660,-13268,3552,5592,-596,-672,-1,-15120,5220,2368,156,-513,-59
680,-12984,3448,6608,-828,100,-14,-14816,5224,2436,243,-249,-64
700,-13852,3460,6824,1562,1142,557,-14964,5260,2540,507,-472,51
720,-13300,3640,5572,1574,360,812,-15064,4948,3212,935,-918,105
