Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15344,1124,-688,-121,99,-48,-12732,6348,8384,350,-135,-364
20,-15368,1204,-660,-98,127,-75,-12792,6244,8468,321,-154,-356
40,-15680,1124,-824,-34,81,-31,-12808,6236,8396,297,-143,-320
60,-15336,1064,-720,-342,56,-27,-12932,6332,8568,278,-99,-226
80,-15368,1272,-612,-157,62,-56,-12756,6344,8424,215,-106,-214
100,-15360,1264,-696,-67,272,-123,-12708,6288,8552,242,55,-274
120,-15544,1304,-776,-417,110,-164,-12828,6368,8684,232,3,-267
140,-15664,1124,-528,-537,-56,-58,-12964,6328,8552,235,-160,-221
160,-15668,956,-784,-305,6,-8,-12748,6124,8664,164,-104,-121
180,-15560,1100,-1116,-270,314,-90,-12756,6200,8464,140,175,-72
200,-15352,1360,-756,-505,259,-152,-12916,6492,8452,146,335,-93
220,-15504,1296,-628,-469,-106,-259,-12976,6396,8664,181,58,-148
240,-15388,1208,-676,-174,-439,-219,-12760,6380,8312,148,-376,-196
260,-15488,1192,-920,-479,-130,-133,-12696,6412,8560,186,-155,-221
280,-15524,1064,-456,-548,241,-143,-12924,6380,8448,212,-30,-270
300,-15724,1180,-200,-251,286,-96,-12996,6352,8532,183,-75,-268
320,-15636,912,-548,256,-192,78,-12876,5912,8692,189,-345,-245
340,-15272,1124,-1444,-218,-344,-91,-12852,6460,8668,355,-442,-240
360,-15624,1108,-828,-480,141,-328,-12932,6296,8260,356,232,-351
380,-15604,1084,-732,-271,-98,-172,-13304,6288,8344,335,-95,-280
400,-15640,1304,-592,13,-414,-59,-12940,6348,8468,277,-519,-278
420,-15728,1160,-812,-78,-219,-2,-12824,6428,8460,315,-405,-319
440,-15740,1036,-776,-117,-143,101,-12736,6268,8376,361,-310,-310
460,-15428,868,-1152,-146,307,61,-12788,6244,8656,423,61,-178
480,-15384,1008,-684,-273,-48,-147,-13124,6312,8368,324,-309,-319
500,-15728,1260,-1004,-192,-521,-76,-12824,6264,8380,359,-371,-303
520,-15512,1096,-908,-396,-382,-74,-12896,6364,8460,323,-430,-279
540,-15620,1068,-528,-365,-107,-42,-12888,6412,8408,298,-263,-295
560,-15820,1060,-536,-13,-302,139,-12928,6268,8492,304,-352,-286
580,-15336,1188,-1224,14,-43,80,-12748,6456,8572,354,-136,-235
600,-15460,980,-588,-104,388,-96,-12944,6348,8464,334,48,-191
620,-15692,1104,-800,-24,-202,75,-12912,6332,8548,355,-237,-174
640,-15720,1120,-888,-28,-300,136,-12992,6364,8596,339,-352,-167
660,-15488,1004,-1144,138,-451,208,-12768,6196,8396,394,-548,-140
680,-15320,1184,-896,-301,25,208,-12644,6372,8288,424,-202,-119
700,-15588,1276,-960,-246,244,14,-12988,6380,8660,429,79,-124
720,-15436,1192,-428,-172,-111,-54,-13112,6424,8452,347,-190,-162
740,-15728,1200,-1124,114,-485,52,-12776,6492,8392,308,-371,-145
760,-15352,1060,-764,-73,6,59,-12748,6420,8540,244,-265,-130
780,-15668,1296,-528,-169,209,36,-12992,6440,8472,211,-64,-125
800,-16032,1344,-412,-65,-28,416,-13016,6376,8644,217,-335,-52
820,-15880,1528,-580,-279,-243,625,-12760,6392,8452,201,-488,-20
840,-16248,1724,-40,-1003,137,865,-12964,6464,8208,66,-176,161
860,-16736,2924,308,-2890,1893,1789,-12960,6600,7884,-238,247,439
880,-17120,3612,2304,-4305,2061,3273,-13524,6860,8616,-346,586,718
900,-15100,4316,2428,-6748,2589,3861,-14096,7000,9408,-418,-554,697
920,-15632,4788,2396,-13912,2685,5753,-12764,6476,10832,-275,-2340,104
940,-16272,1688,928,-20915,-1159,8417,-11744,6512,12928,130,-4164,-675
960,-15184,664,1116,-32768,-1805,13800,-12376,6108,15676,1188,-6295,-1036
980,-16608,-2724,3192,-32768,-9367,13246,-10480,5376,16984,2612,-10744,-2406
1000,-18192,-876,580,-32768,-12833,13940,-8548,6012,15576,4277,-11396,-3820
1020,-17392,-2088,1992,-32768,-15638,14274,-9380,6096,18708,6024,-10841,-5441
1040,-18232,-4612,4536,-32768,-20872,12841,-8416,5288,19876,8100,-12525,-7133
1060,-13368,-9780,14652,-32768,-16328,3642,-9072,5100,19980,10396,-13970,-7346
1080,-9660,-8764,9284,-32611,-6869,-3231,-11008,5920,17584,12251,-19867,-9239
1100,-14276,-15888,12720,-24455,-5756,-10700,-9220,4640,18260,13054,-23950,-10927
1120,-9984,-12492,15484,194,-4706,-18910,-6688,4908,15704,14320,-21961,-14422
1140,-10440,-2260,428,1591,5011,-16051,-5896,5088,16304,15458,-16558,-16409
1160,-10888,-456,-2548,-4914,11866,-10560,-5392,5232,13300,15403,-13129,-18772
1180,-18200,-8368,8800,-3848,7803,-11597,-10148,3360,9732,13732,-14780,-18664
1200,-13416,-8040,7496,6877,2555,-10667,-9252,2460,7424,12403,-12459,-19957
1220,-13572,-1548,1832,14548,7698,-3257,-7876,2304,8820,11893,-3907,-21681
1240,-11944,5244,-5272,12046,10873,-709,-8920,2356,11200,11418,1343,-22534
1260,-16336,3056,-4224,7044,13097,-388,-15472,-540,8076,9745,-4425,-19478
1280,-15504,5204,-2740,19174,6236,-1929,-15560,-304,8656,9500,-4487,-19294
1300,-15156,9196,-5572,16954,7083,-3450,-15968,-436,8896,8909,-5059,-17490
1320,-17252,11224,-6112,12394,7836,-4386,-17832,-1212,7876,7791,-4825,-14377
1340,-21932,8760,-1212,11702,4322,-5396,-20168,-2176,6304,6290,-5646,-10897
1360,-23976,9452,-128,15074,-1498,-5585,-20320,-2520,5516,5006,-4570,-7179
1380,-22996,15840,-5696,15137,-2810,-2368,-18396,-1332,7232,3793,-707,-3102
1400,-21492,18864,-8584,7536,-1538,2089,-16660,-52,8264,2115,2552,2191
1420,-20012,14840,-6276,-1036,-2383,4754,-16896,132,7552,454,4832,6571
1440,-17340,9952,-3244,-4738,-3770,5102,-17988,-400,7008,-867,5248,9453
1460,-16844,7968,-992,-5062,-4910,4322,-17232,316,5808,-2446,4841,11775
1480,-16928,6016,452,-3096,-4574,6314,-15556,1496,4164,-5043,7568,14752
1500,-15736,5104,1892,3315,-4496,10432,-15072,576,5956,-6572,12048,15739
1520,-12676,8788,-3876,4679,-2411,11583,-13488,3020,9240,-7959,14552,15364
1540,-12368,7360,-3468,4153,-511,7396,-14276,3424,10924,-8882,11756,15886
1560,-13064,3752,-912,11659,-2001,-186,-13332,3396,9992,-8731,8634,16878
1580,-15528,1748,332,16887,-1374,-2260,-11352,4416,9580,-8867,8062,16240
1600,-14384,2348,-160,17527,-2021,-2752,-9816,5636,9988,-8743,9111,15441
1620,-12712,-344,2648,17966,-2989,-4189,-11160,7220,10812,-9245,9710,15418
1640,-12588,-2144,4116,16331,-2580,-5604,-11392,7252,10524,-9617,8637,14855
1660,-13292,-2640,4628,16908,-3427,-6274,-10980,7264,10256,-9750,7873,13776
1680,-13900,-2368,5256,16416,-3268,-6117,-10048,7512,11680,-9706,5597,12826
1700,-13628,-3832,7360,25057,-5767,-9241,-6876,8092,11184,-9393,6623,11726
1720,-12344,-3036,4536,32767,-3920,-10747,-8540,8904,10540,-10026,12171,11648
1740,-13204,-196,5740,25150,1847,-7580,-10384,8296,13760,-10137,11462,10634
1760,-16564,544,7856,13765,-1037,-2765,-8324,7596,14780,-8955,6704,8791
1780,-13200,-364,11056,8654,-2403,567,-7296,7868,11928,-7820,9391,8078
1800,-11604,1644,9220,7998,3039,500,-9252,7888,12196,-7465,11099,7078
1820,-13684,2356,8524,5717,4596,1441,-9340,8248,13552,-6916,10093,5725
1840,-12132,2508,8204,2474,5868,1959,-10280,7616,13152,-6081,7998,4764
1860,-12880,1508,9212,1018,6838,925,-10940,7436,12504,-5224,6463,3846
1880,-15544,2096,9204,2868,5465,1115,-10692,7564,12604,-4381,3907,2996
1900,-14668,2448,8108,3136,3696,2387,-10660,7604,12012,-3544,2368,2283
1920,-13836,2688,5480,3434,3137,1954,-10232,7740,10904,-2719,2374,1440
1940,-13384,1960,4536,2883,5293,773,-10868,7692,10720,-2108,3364,976
1960,-14944,2352,3384,2666,5751,-273,-11340,7540,10604,-1734,3865,523
1980,-15676,2372,2880,2429,3783,35,-12240,7840,10524,-1427,2709,183
2000,-14892,2824,2492,1746,1301,44,-12388,7792,9948,-1142,698,16
2020,-14924,2516,1472,714,773,-151,-11712,7892,9372,-979,446,-169
2040,-15140,2440,2276,255,595,-496,-12128,7900,9508,-845,202,-331
2060,-15408,2468,2744,1197,615,-631,-12336,7756,9104,-742,-209,-410
2080,-15716,2488,1760,1650,501,-338,-11456,7884,9272,-555,-197,-672
2100,-15476,2388,820,1341,724,-226,-11752,7800,9508,-289,503,-742
2120,-14960,1832,256,55,678,-529,-12360,7608,9448,-81,407,-809
2140,-15312,2440,376,-313,-143,-870,-12772,7712,8944,34,-281,-807
2160,-15804,2144,992,0,-518,-856,-12404,7752,8312,-31,-875,-771
2180,-15632,2384,652,503,-692,-658,-12320,7760,8452,-50,-670,-687
2200,-15972,1900,336,401,-190,-610,-12280,7676,8304,-37,-472,-664
2220,-15888,2160,108,638,558,-420,-12328,7736,8756,-29,72,-482
2240,-15480,2164,580,74,216,-221,-12544,7656,8724,2,-75,-437
2260,-15636,2264,616,-17,122,-248,-12224,7632,8836,0,-330,-353
2280,-14800,2588,548,-785,-231,-189,-11704,7536,8956,78,-533,-465
2300,-14208,2060,1948,424,202,-996,-11608,7588,8740,71,-384,-744
2320,-14916,2508,1556,768,-253,-883,-11616,7420,8708,235,-825,-1078
2340,-14796,2284,992,581,-607,-726,-11772,7324,8708,431,-718,-1193
2360,-14864,1660,760,878,418,-1115,-12160,7672,8428,460,-511,-1180
2380,-16408,2300,716,2072,476,-960,-12848,7540,8756,382,-555,-1039
2400,-16276,1788,-68,1851,-502,-219,-12232,7492,8680,394,-841,-888
2420,-15680,1868,-552,854,86,-90,-12260,7480,8844,533,-474,-583
2440,-15652,1892,-332,78,-114,-58,-12324,7580,8656,661,-485,-492
2460,-15724,1980,588,259,-15,50,-11960,7656,8220,601,-483,-370
2480,-15324,2412,520,644,85,185,-12192,7740,8440,546,-191,-207
2500,-15232,2284,268,625,62,88,-12156,7636,8648,494,-280,-207
2520,-15392,2252,132,382,-192,-2,-11936,7616,8780,480,-290,-157
2540,-15184,2280,-32,-400,-455,252,-11820,7696,8604,410,-356,-118
2560,-14924,2084,716,-177,-80,19,-12032,7680,8500,313,-231,-120
2580,-14972,2428,748,-19,-457,-21,-11720,7672,8696,271,-436,-295
2600,-14796,2232,704,-509,-598,-163,-11756,7492,8744,216,-436,-370
2620,-15144,2124,948,83,108,-444,-11820,7572,8512,210,70,-400
2640,-15668,1992,828,646,203,-295,-12332,7492,8928,158,-163,-386
2660,-15776,1984,132,438,-67,-73,-12224,7516,9104,221,-302,-340
2680,-15436,2088,-48,-531,-66,79,-11984,7484,8996,315,-240,-260
2700,-15112,1928,668,-1018,-264,150,-11792,7628,8732,363,-252,-282
2720,-14872,2368,1132,-116,189,-148,-12212,7612,8392,314,-145,-291
2740,-15476,2208,796,593,52,-198,-12044,7536,8560,330,-316,-383
2760,-15276,2060,156,227,10,-150,-12096,7592,8944,326,-19,-338
2780,-15632,1972,180,270,1,-165,-12104,7604,8788,286,-230,-314
2800,-15448,2272,148,-167,-254,81,-12000,7580,8756,313,-337,-250
2820,-15212,2244,396,-397,-212,-11,-12196,7680,8672,265,-281,-216
2840,-15280,2168,524,-58,90,-37,-11988,7548,8476,197,-91,-249
2860,-15212,2128,452,25,254,-55,-12232,7504,8608,213,-38,-228
2880,-15348,2068,380,-47,89,-136,-12160,7568,8836,214,-80,-279
2900,-15428,2080,396,82,3,-135,-12088,7576,8700,242,-105,-241
2920,-15488,2216,308,89,-17,83,-12020,7460,8684,319,-56,-241
2940,-15280,2132,216,-168,-142,64,-12052,7416,8836,371,-190,-242
2960,-15404,2048,292,-465,-323,56,-12136,7468,8744,359,-220,-246
2980,-15404,2048,292,-465,-323,56,-12136,7468,8744,359,-220,-246
