Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16548,-272,-6340,40,-161,25,11776,-8160,-7216,268,-280,-258
20,16616,-260,-6368,-23,-259,17,11812,-8312,-7452,280,-293,-189
40,16584,-360,-6612,-68,-439,-34,11920,-8284,-7400,228,-425,-239
60,16736,-412,-6236,-65,-774,-62,11472,-8348,-7444,227,-725,-228
80,16704,-188,-6336,63,-702,101,11880,-8340,-7340,259,-580,-185
100,16372,-588,-6436,25,-850,-102,11708,-8344,-7276,172,-363,-163
120,16528,-524,-6400,-250,-509,44,11744,-8288,-7460,167,-121,-176
140,16448,-388,-6248,-325,-540,-65,11592,-8320,-7600,208,-24,-146
160,16404,-416,-6536,-274,-230,-101,11548,-8404,-7428,183,-184,-238
180,16740,-396,-6640,-405,-247,-5,11772,-8328,-7504,242,-187,-213
200,16516,-488,-6772,-211,206,14,11704,-8316,-7536,251,-62,-198
220,16680,-448,-6652,112,-28,94,11412,-8316,-7320,301,-445,-192
240,16484,-436,-6456,265,-1077,184,11456,-8276,-7492,275,-991,-234
260,16556,-420,-6388,347,-908,209,11888,-8180,-7452,244,-813,-182
280,16532,-532,-6616,333,-403,40,11920,-8368,-7528,282,-498,-106
300,16480,-500,-6456,186,189,94,11568,-8440,-7668,301,-139,-178
320,16452,-496,-6348,154,-103,80,11568,-8372,-7412,310,-286,-232
340,16504,-552,-6120,33,-535,60,11612,-8352,-7624,248,-419,-254
360,16748,-312,-6288,-326,-605,171,11640,-8312,-7376,201,-414,-227
380,16512,-328,-6500,-602,-741,161,11740,-8392,-7392,149,-259,-169
400,16540,-240,-7064,-268,-459,100,11868,-8348,-7424,213,-146,-173
420,16612,-436,-7060,334,7,-43,11724,-8296,-7592,354,-248,-200
440,16540,-484,-6932,639,-202,38,11592,-8372,-7576,425,-620,-142
460,16508,-596,-6380,891,-333,50,11404,-8444,-7464,357,-665,-265
480,16356,-488,-6176,679,-263,31,11332,-8304,-7304,264,-662,-237
500,16384,-560,-6184,-80,-49,259,11728,-8268,-7604,255,-277,-272
520,16500,-520,-6524,-445,242,104,11732,-8420,-7532,337,-10,-231
540,16116,-404,-6748,-256,99,-82,11456,-8316,-7588,371,-126,-265
560,16460,-408,-6752,316,-630,-307,11388,-8284,-7348,397,-655,-347
580,16648,-372,-6736,428,-525,31,11804,-8332,-7532,369,-733,-347
600,16520,-452,-6276,311,-152,-166,11812,-8376,-7640,461,-296,-286
620,16780,-464,-6384,-150,145,15,11448,-8496,-7472,480,-41,-293
640,16588,-324,-6336,-63,-247,233,11704,-8388,-7360,357,-349,-258
660,16544,-416,-6504,-55,-223,351,11776,-8388,-7600,300,-365,-197
680,16324,-620,-6388,-191,-225,146,11696,-8468,-7452,277,-239,-93
700,16296,-540,-6600,-41,-280,-196,11656,-8468,-7500,274,-204,-166
720,16524,-520,-6776,61,-42,-216,11512,-8352,-7512,250,-141,-323
740,16536,-552,-6848,20,-146,-22,11400,-8392,-7632,351,-239,-259
760,16408,-428,-6820,227,20,-48,11680,-8320,-7612,404,-357,-327
780,16348,-312,-6468,188,-95,43,11624,-8212,-7660,454,-387,-253
800,16324,-504,-6392,118,-254,32,11436,-8412,-7456,413,-291,-311
820,16176,-592,-6592,272,-436,-246,11752,-8476,-7576,347,-285,-313
840,16488,-508,-6592,449,-322,-274,11648,-8296,-7392,276,-112,-399
860,16316,-556,-6216,831,-516,-478,11852,-8400,-7200,207,-117,-331
880,16740,-476,-6108,1530,-559,-699,12248,-8432,-6964,111,-93,-228
900,17176,280,-5436,1785,-539,-836,12376,-8592,-6704,-97,179,11
920,17460,364,-4884,1235,-718,-1023,12968,-8732,-6300,-513,534,154
940,17980,164,-3956,756,-325,-1031,13256,-8768,-6132,-800,1105,629
960,18268,348,-3080,23,-422,-1074,13304,-9400,-5948,-1287,2027,1097
980,18296,500,-2680,-650,-692,-1225,13856,-9680,-5160,-1844,3056,1597
1000,18104,176,-1904,1007,-805,-2106,14104,-9712,-4016,-2662,4764,2140
1020,18540,896,-1000,3381,-1694,-2790,12872,-9324,-4632,-3819,5641,2680
1040,18036,-604,-1100,4088,-3351,-3443,13208,-9724,-5768,-4341,5981,3045
1060,16860,1392,-1160,7520,-7537,-5205,14360,-10040,-5900,-5579,8241,1753
1080,18896,3264,-1800,5843,-10381,-3683,13036,-9404,-5392,-5894,10306,1763
1100,18288,1348,-7064,3405,-4289,-1787,11764,-9156,-4280,-6991,11761,1798
1120,15108,120,-7504,5479,-4038,-873,10272,-8892,-5616,-7774,10585,1604
1140,18000,2432,-5936,4740,-5804,2867,10596,-7836,-5980,-7528,7856,1497
1160,14560,-64,-10888,1801,152,3152,13900,-7472,-6664,-7484,9468,859
1180,11460,-1776,-13280,4847,3743,-1346,12768,-6680,-7612,-7695,11510,854
1200,13852,-2612,-13428,8156,3053,-2528,11356,-6900,-7908,-6911,9063,430
1220,14120,-2024,-11460,8746,446,-1740,11656,-6528,-6992,-5635,5649,-812
1240,14844,-1328,-10120,6121,-601,-872,11508,-6740,-7112,-3732,2601,-537
1260,14580,-1636,-10964,402,1128,-121,13452,-5376,-8044,-3618,3039,-185
1280,14868,-1772,-10756,-2653,-138,987,12844,-5828,-7412,-3368,2249,-239
1300,14820,-2524,-12784,-1204,-146,746,12296,-5612,-7496,-2621,619,121
1320,15160,-1728,-11612,-781,556,657,13124,-5944,-7592,-1376,-101,923
1340,15804,-2072,-10784,-1296,567,59,12832,-5684,-8028,-785,389,978
1360,15880,-1540,-9984,-1076,-1102,624,12728,-6264,-7440,-298,-56,650
1380,14960,-1592,-9152,-1078,-821,1017,12424,-6340,-6536,-169,-439,601
1400,14688,-1576,-8700,-450,-947,1031,12628,-6824,-5872,28,-1038,343
1420,14984,-1108,-8060,-67,-584,430,13316,-6916,-6104,-169,136,270
1440,14960,-788,-7648,-799,-1165,44,13684,-7008,-5920,311,-752,-325
1460,15340,-572,-7848,-946,-1366,74,12236,-7388,-5664,23,257,-440
1480,16168,-616,-8540,-378,-1030,170,14048,-7320,-5564,636,-624,-283
1500,16272,-784,-8592,323,-1154,-615,13288,-7732,-5928,530,-240,-410
1520,17348,-1332,-9376,471,-199,-374,13168,-7452,-6580,709,166,-168
1540,16596,-1668,-9900,1466,-549,496,12588,-7296,-6304,1516,-1455,-423
1560,15724,-680,-8908,1383,-100,253,13628,-7292,-6660,2125,-1315,-215
1580,16928,-908,-9028,300,541,184,14008,-7008,-6936,2494,-772,161
1600,16516,-1268,-10300,-579,802,1013,13368,-6764,-6380,3064,-1595,583
1620,15524,-1340,-11112,-3284,-1011,2651,13496,-6132,-6464,3538,-2836,1387
1640,13140,-940,-11836,-13462,586,2956,13944,-5896,-6716,4485,-5857,2316
1660,14180,-632,-12320,-26176,1115,2297,14316,-7024,-7344,4991,-6540,2321
1680,14796,-2704,-10768,-28056,4803,286,12540,-8512,-7964,6268,-6523,1575
1700,14796,272,-11416,-26821,5557,2485,10952,-8148,-7604,7324,-7406,483
1720,16928,-144,-11632,-24519,11400,5464,10440,-8460,-7148,8205,-6766,-539
1740,14660,-628,-8244,-11602,12995,5295,10004,-7840,-6836,8457,-8932,-1286
1760,16344,-528,-5304,-6897,6373,5931,10092,-7844,-6992,8300,-10265,-2444
1780,15456,-200,-3212,-3787,2531,6538,10112,-7928,-7084,7731,-11263,-3044
1800,13644,-1220,-4424,-2860,-757,5363,10928,-7968,-7572,6861,-11555,-4021
1820,14800,-680,-4240,-2819,-3042,2985,12684,-8304,-6976,6309,-8953,-4184
1840,16200,-240,-6008,-472,1469,1355,13344,-8568,-6508,5803,-5022,-3689
1860,16208,-1208,-6564,1575,3529,51,11380,-8824,-6296,5406,-3254,-3307
1880,15532,-1904,-5860,6848,-536,-1524,9952,-9028,-5340,4723,-5716,-3800
1900,16668,-264,-5916,10183,-1969,-1881,11500,-9476,-5148,4444,-6952,-4144
1920,16684,84,-4044,10411,-876,-2554,13040,-9376,-6292,4453,-6846,-4320
1940,18144,-8,-2284,8365,-1326,-2729,12536,-9504,-6296,4153,-6079,-3970
1960,18860,-344,-2304,6926,-2991,-1847,12784,-9368,-5600,3335,-5694,-3706
1980,18688,616,-2520,6964,-3190,-1438,14092,-9404,-4484,2765,-5213,-2999
2000,18140,1048,-1792,7312,-1127,-1695,14208,-9088,-4420,1805,-3278,-2300
2020,18428,972,-728,5607,-1309,-1427,13328,-9052,-5288,969,-2662,-1628
2040,18596,388,-1116,1824,-2194,-579,13680,-8888,-6676,311,-1892,-1045
2060,17788,596,-3668,-600,-1443,-444,13660,-9080,-6612,-57,221,-496
2080,17368,512,-6768,-1077,924,-575,12964,-8768,-6568,-144,1514,-402
2100,16644,-8,-7356,1237,1426,-1004,11536,-8556,-6928,132,1086,-403
2120,17072,-144,-6516,2318,-1285,-698,11400,-8372,-7296,243,-742,-418
2140,16732,-568,-5788,2015,-1961,-542,11736,-8404,-8108,307,-1523,-563
2160,16500,-32,-5752,301,-862,-686,12144,-8528,-7936,407,-132,-369
2180,16720,-156,-6712,-669,942,-253,11472,-8420,-7216,350,1153,-349
2200,16072,-404,-6816,253,0,-273,11192,-8400,-7260,389,124,-388
2220,16644,-112,-6480,1267,-1064,-358,11456,-8456,-7372,380,-653,-355
2240,16548,32,-6276,914,-700,-247,12028,-8276,-7896,336,-310,-233
2260,16688,-128,-6532,166,-30,-165,11772,-8436,-7548,415,376,-132
2280,16448,-100,-6480,139,52,-218,11404,-8268,-7348,310,223,-99
2300,16420,-72,-6400,98,-386,127,11204,-8208,-7160,251,-374,-117
2320,16516,-64,-6592,51,-811,393,11604,-8092,-7424,112,-486,-95
2340,16212,-316,-6676,215,-495,303,11608,-8316,-7468,159,-535,-128
2360,16456,-276,-6868,469,-137,-51,11768,-8232,-7520,274,-195,-110
2380,15984,-464,-6612,768,-142,-248,11296,-8480,-7288,304,-286,-270
2400,16288,-296,-6160,952,-901,-383,11272,-8388,-7108,201,-668,-501
2420,16336,-264,-6196,706,-561,-264,11732,-8340,-7308,77,-469,-557
2440,16848,-308,-6416,274,-243,-242,11644,-8408,-7336,172,-192,-402
2460,16700,-84,-6520,429,-480,-245,11796,-8416,-7520,102,-522,-377
2480,17128,72,-6716,488,-619,-110,12056,-8488,-7764,175,-513,-268
2500,17108,36,-6656,275,-284,72,12032,-8500,-7716,307,-378,-18
2520,16624,-168,-6444,-134,-158,272,11696,-8568,-7412,360,-288,0
2540,16188,-336,-6372,176,-540,170,11648,-8604,-7144,305,-506,-54
2560,16572,-288,-6472,-74,-309,103,11748,-8324,-7524,245,-292,-128
2580,16340,-160,-6740,-185,-88,78,11676,-8344,-7444,253,-15,-156
2600,16852,-88,-6736,-9,32,27,11684,-8256,-7556,339,-21,-84
2620,16760,-84,-6748,244,-167,202,11548,-8416,-7516,410,-398,21
2640,16488,-264,-6612,450,-706,414,11424,-8328,-7388,399,-711,-39
2660,16120,-320,-6444,674,-852,359,11396,-8272,-7260,325,-985,-117
2680,16244,-428,-6332,73,-407,237,11624,-8408,-7640,349,-377,-159
2700,16168,-476,-6432,-323,313,6,11492,-8332,-7428,202,331,-188
2720,16268,-344,-6320,-276,-37,-143,11492,-8368,-7424,110,140,-180
2740,16756,-340,-6840,-147,-662,-135,11496,-8204,-7608,-55,-20,-268
2760,16912,-268,-7188,-79,-623,189,11660,-8372,-7764,70,-296,-98
2780,16564,-336,-7304,77,-282,271,11564,-8568,-7796,228,-370,-94
2800,16444,-312,-6804,71,-201,188,11592,-8480,-7736,340,-290,-157
2820,16344,-400,-6572,113,-420,49,11556,-8436,-7452,337,-393,-266
2840,16448,-292,-6456,105,-485,28,11532,-8352,-7288,338,-514,-192
2860,16596,-268,-6480,-101,-485,72,11644,-8384,-7416,232,-325,-212
2880,16344,-428,-6796,-353,-135,116,11544,-8448,-7744,194,-86,-186
2900,16344,-376,-6728,-247,19,63,11540,-8528,-7636,244,-61,-223
2920,16456,-448,-6912,-2,-428,-37,11436,-8488,-7248,313,-361,-276
2940,16396,-264,-6900,285,-749,-6,11720,-8432,-7372,262,-625,-308
2960,16560,-272,-6308,295,-720,-124,11840,-8440,-7680,251,-371,-325
2980,16460,-236,-6468,-316,-313,-86,11588,-8416,-7396,229,-10,-261
