Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16552,-4204,-2908,673,-157,332,14692,-6504,-2756,750,-651,16
20,16380,-4160,-2968,379,-35,120,14964,-6436,-2976,638,-419,-18
40,16564,-4236,-2992,56,272,-198,14676,-6516,-3160,585,19,-68
60,16516,-4392,-3372,-69,288,-172,14500,-6516,-3036,654,-134,-128
80,16600,-4340,-3196,31,99,-132,14700,-6476,-3092,635,-219,-182
100,16748,-4340,-3228,284,120,-220,14748,-6632,-2948,696,-211,-118
120,16908,-4280,-3000,79,145,-67,14676,-6620,-3108,650,-196,-151
140,16568,-4232,-2792,-252,161,34,14604,-6644,-2708,614,-160,-174
160,16468,-4024,-2536,-218,96,-38,14612,-6616,-2628,528,-68,-283
180,16596,-4092,-2804,-459,17,-70,14740,-6584,-2772,397,15,-276
200,16692,-4352,-3156,-557,119,-195,14528,-6688,-2932,320,70,-265
220,16628,-4464,-3044,-267,-198,-49,14508,-6768,-3008,389,-265,-336
240,16936,-4408,-3068,-91,-354,127,14812,-6804,-2940,385,-471,-340
260,16720,-4460,-3112,257,-474,158,14896,-6772,-2884,428,-465,-326
280,16980,-4284,-2980,246,-116,-49,14916,-6644,-2976,500,-273,-308
300,16880,-4340,-2980,151,-36,11,14804,-6664,-2844,517,-181,-254
320,16788,-4216,-2920,142,-71,48,14752,-6688,-2848,532,-255,-181
340,16772,-4288,-2676,125,-215,45,14596,-6736,-2764,496,-305,-195
360,16616,-4460,-3052,52,-244,71,14740,-6644,-2896,456,-290,-216
380,16876,-4376,-2996,143,-39,77,14740,-6732,-3128,465,-257,-199
400,16820,-4388,-3216,13,-85,100,14796,-6652,-3172,532,-201,-191
420,16756,-4384,-3316,240,20,15,14652,-6664,-2964,598,-195,-129
440,16616,-4448,-2896,472,-122,47,14700,-6544,-2760,650,-371,-162
460,16684,-4180,-2780,237,-194,-23,14732,-6684,-3060,579,-370,-214
480,16752,-4316,-2876,85,-113,51,14640,-6680,-2784,461,-379,-220
500,16688,-4348,-2972,120,-131,-23,14832,-6392,-3008,389,-350,-305
520,16776,-4496,-3012,42,-137,-23,14692,-6808,-2900,440,-302,58
540,16812,-4476,-3132,207,-121,29,14680,-6748,-2948,448,-396,-219
560,16688,-4460,-3156,201,56,-93,14776,-6756,-3184,507,-294,-131
580,16740,-4624,-3160,101,48,-60,14568,-6784,-3116,560,-107,-140
600,16704,-4492,-3184,436,-198,14,14684,-6788,-3060,582,-304,-216
620,16592,-4380,-2984,388,-264,-85,14592,-6856,-2976,630,-570,-135
640,16856,-4312,-2684,386,-165,-151,14696,-6796,-2900,566,-236,-308
660,16608,-4216,-2520,186,-80,-51,14632,-6796,-2676,586,-225,-274
680,16756,-4192,-2912,-15,-140,-54,14680,-6864,-2692,554,-154,-276
700,16664,-4440,-2840,204,-236,-164,14616,-6820,-2856,572,-299,-261
720,17004,-4312,-3116,342,-321,-176,14748,-6616,-2956,575,-390,-269
740,16888,-4320,-2900,474,-283,18,14656,-6796,-2980,587,-465,-205
760,16952,-4244,-2896,403,-184,251,14672,-6836,-2948,583,-444,-160
780,16652,-4300,-2768,212,-98,88,14796,-6772,-2712,593,-400,-177
800,16540,-4292,-2672,60,-41,5,14624,-6812,-2812,593,-291,-157
820,16780,-4308,-2740,-2,-2,-91,14684,-6784,-3076,528,-177,-166
840,16840,-4516,-3092,-18,91,-56,14740,-6780,-2704,528,-208,-184
860,16844,-4468,-2952,177,-43,56,14668,-6732,-2872,592,-341,-180
880,16604,-4272,-2744,460,-148,63,14424,-6776,-2868,601,-372,-170
900,16596,-4132,-2644,472,-352,166,14608,-6896,-2524,618,-309,-218
920,16452,-4248,-2732,231,-212,68,14796,-6728,-3128,398,-647,-286
940,16488,-4356,-3032,206,-55,-130,14708,-6660,-2876,380,-571,-272
960,16932,-4204,-2864,248,-111,-30,14448,-6728,-3000,431,-503,-174
980,16636,-4432,-2656,392,-389,293,14296,-6920,-2624,450,-644,-235
1000,17732,-4312,-1404,1150,-716,705,13740,-6936,-2820,693,-1148,-274
1020,19560,-3784,2160,3184,-1358,3224,13044,-7052,-2564,731,-1219,-545
1040,16664,-2892,7296,9677,-5048,5313,14632,-7232,-1876,444,-1706,-1208
1060,19228,4456,11932,13100,-7853,6885,13904,-7456,848,-1606,1631,-2531
1080,19584,9848,10308,8010,-7820,11464,11424,-8520,5248,-4947,4969,-4410
1100,18260,9192,5196,-841,-5894,17079,13040,-7008,10204,-8292,-778,-5472
1120,13052,12584,10400,-12840,-251,12296,20420,-6444,14116,-11993,-3591,-5401
1140,15540,-4620,-4208,-31093,9509,-3676,22744,-7588,2236,-14820,1957,-1499
1160,16068,-3972,-4336,-32768,16089,-7390,16564,-6868,-2048,-16216,11051,-1783
1180,15076,-9108,-9284,-28339,9953,-7336,15628,-5424,-1912,-16240,9135,-1413
1200,16848,-6372,-7160,-21511,4081,-5786,16208,-5092,-3916,-15974,8003,-1915
1220,15016,-5424,-7044,-20953,-1183,-5132,15788,-4136,-3316,-15490,6280,-2503
1240,16100,-4024,-8452,-20860,574,-6469,14748,-2928,-5324,-14794,6331,-3569
1260,14020,-5300,-10416,-19461,1566,-4477,14796,-2392,-5476,-13198,4070,-3416
1280,16136,-6900,-14384,-15095,-282,-4817,17116,-728,-7668,-11377,3103,-3508
1300,17352,-6680,-15996,-12603,-2528,-4888,16852,-372,-9328,-9322,3992,-3214
1320,18240,-7880,-17132,-8307,-2534,-3335,17268,-36,-9496,-6730,2923,-2793
1340,18312,-7036,-15212,-5125,-626,-3067,17336,-836,-8596,-4201,2769,-2243
1360,16932,-5900,-11536,-3249,389,-3119,16800,-1724,-6688,-2127,2614,-1562
1380,15684,-4816,-9220,-1247,161,-2670,14864,-2028,-4700,-991,1870,-1343
1400,16260,-3556,-8048,-59,-316,-1830,15332,-1908,-4340,-217,797,-1275
1420,16616,-2844,-7468,276,-1,-1354,15632,-1804,-4428,94,855,-1031
1440,16304,-3096,-7068,365,509,-1594,16036,-2052,-3872,270,1508,-900
1460,16088,-2816,-6300,413,660,-1669,15556,-2220,-3288,328,1456,-855
1480,16004,-2396,-5824,535,178,-1026,15188,-2168,-2884,383,597,-730
1500,16868,-2308,-6168,936,11,-492,15808,-2236,-2940,586,35,-470
1520,16440,-2584,-5788,786,176,-361,15628,-2388,-2720,670,196,-383
1540,15948,-2908,-5616,1272,32,-416,15300,-2632,-2464,790,-275,-314
1560,16012,-2496,-5048,1187,-369,-147,15696,-2752,-2840,940,-628,-624
1580,16644,-2972,-6400,764,-453,-434,16020,-2568,-3272,1200,-348,-660
1600,17508,-3708,-7760,1727,-228,91,16544,-2316,-3896,1935,-777,-396
1620,17716,-4268,-8996,2591,250,416,17120,-2268,-4544,2853,-838,-76
1640,18344,-5176,-10484,4206,149,628,17240,-1876,-5532,4103,-1116,471
1660,18320,-6056,-12128,6851,22,1126,17848,-1596,-5944,5593,-1696,1221
1680,18556,-6180,-12984,9953,329,1069,17912,-1596,-6868,7408,-1616,2206
1700,19496,-6376,-13764,12223,1006,1296,18188,-1300,-7032,9079,-1263,3204
1720,18316,-6952,-13540,15314,1639,2558,17088,-1632,-5608,10839,-1736,4117
1740,16920,-6656,-13420,18496,2423,4326,16316,-1944,-4760,12413,-3337,5101
1760,16580,-4844,-13112,18209,3072,3671,17188,-2568,-3144,13453,-4816,5913
1780,15852,-3648,-8768,12177,3794,1450,15640,-3240,-4040,14240,-7243,6467
1800,15384,-252,-4444,9306,2151,1251,14812,-5664,-3364,13958,-7007,5628
1820,14692,-2348,-4388,12447,335,-387,15240,-5756,-2020,13556,-6826,4629
1840,14004,120,-1928,13424,-2533,-995,13652,-5872,-1356,13255,-6622,4170
1860,16108,-628,-1064,11728,-2980,-1471,13876,-5864,472,12362,-6243,3597
1880,16428,1440,1780,11936,-1984,-289,13316,-6668,500,11313,-5736,2709
1900,16432,196,6152,10552,-1905,85,13344,-6536,-552,9716,-5080,1506
1920,16032,1716,4268,7292,43,1349,13296,-6596,1588,8976,-4511,1120
1940,15824,-384,2812,7015,2101,1166,14404,-6340,2800,7001,-4090,358
1960,17000,424,5352,5897,1669,609,15376,-6404,1700,5302,-3647,148
1980,17400,-232,5668,3702,784,1000,14256,-6968,916,3674,-2347,118
2000,16612,-724,3420,679,999,1904,14804,-7244,1464,2306,-1673,-156
2020,16276,-1948,1752,-980,1945,1185,15024,-7140,1012,1219,-910,-236
2040,16356,-2988,1260,-1870,645,979,14668,-7180,-132,586,-1274,-256
2060,17616,-3120,192,-1323,-724,1501,14512,-7276,-1004,218,-1368,-433
2080,17964,-3736,-1132,-1142,-1291,2125,15696,-7432,-1556,-21,-1259,-345
2100,17592,-4568,-2460,-974,-993,1858,16128,-7368,-2208,20,-1349,-171
2120,17552,-5100,-3252,-490,-212,1048,15944,-7448,-2708,169,-729,-45
2140,17096,-5456,-3476,-144,-167,372,15428,-7436,-2852,489,-151,108
2160,16624,-5176,-2672,465,-204,-64,14888,-7196,-2984,762,65,52
2180,16392,-4672,-2144,333,99,-124,14340,-6968,-2560,802,199,-51
2200,16220,-4308,-1880,-164,383,-134,14408,-6668,-2380,603,203,-143
2220,15928,-4224,-1936,-441,483,-349,14164,-6576,-2392,275,385,-291
2240,15596,-4516,-2024,-554,-56,-444,14020,-6524,-2408,54,76,-478
2260,16016,-4712,-2800,-721,-480,-358,14268,-6440,-3056,-94,-93,-701
2280,16440,-4868,-3836,-646,-666,-152,14276,-6572,-3404,-90,-162,-703
2300,16888,-5196,-3968,-492,-756,270,14540,-6644,-3392,86,-507,-601
2320,16992,-5140,-3720,-135,-934,288,15196,-6784,-3260,211,-567,-457
2340,16796,-5248,-3336,485,-643,-120,15100,-6836,-2900,333,-314,-290
2360,17140,-4832,-2540,434,-259,-506,15164,-6928,-2976,360,94,-222
2380,17092,-4548,-2368,-75,215,-407,14800,-6948,-2676,349,277,-147
2400,17000,-4448,-2488,-228,339,-96,14760,-6832,-2440,264,34,-148
2420,16708,-4656,-2812,-130,91,156,14828,-6800,-2540,199,-389,-143
2440,16740,-4704,-2800,300,-269,199,14928,-6804,-2476,246,-398,-179
2460,16456,-4748,-2488,513,-127,-149,15032,-6928,-2824,255,-60,-220
2480,16856,-4732,-2532,-74,-48,-198,14776,-6976,-2892,344,147,-281
2500,16592,-4872,-2828,-84,272,-238,14848,-7000,-2748,430,284,-290
2520,16324,-4800,-2732,117,148,-433,14488,-6864,-2628,515,167,-393
2540,16772,-4620,-2724,122,-137,-476,14628,-6956,-2632,584,-76,-411
2560,16952,-4664,-2836,215,-151,-318,14544,-6820,-2628,675,-12,-392
2580,16916,-4560,-2628,425,-26,-40,14380,-6832,-2504,699,-158,-301
2600,16680,-4592,-2480,583,-617,447,14328,-6920,-2396,587,-646,-244
2620,16556,-4576,-2196,754,-857,475,14752,-7028,-2460,470,-726,-257
2640,16560,-4680,-2504,115,-439,196,14816,-6852,-2612,439,-363,-289
2660,16460,-4772,-2524,-109,11,-190,14656,-6856,-2724,474,-128,-296
2680,16808,-4748,-2672,-351,146,-83,14340,-6920,-2576,505,-144,-291
2700,16920,-4868,-3164,28,-375,240,14660,-6940,-2764,510,-540,-240
2720,16712,-4724,-2876,666,-486,371,15004,-6792,-2784,523,-611,-166
2740,16880,-4532,-2444,709,-179,241,14996,-6996,-2744,488,-291,-111
2760,16596,-4524,-2412,105,136,232,14652,-6748,-2512,428,-63,-76
2780,16648,-4544,-2508,-157,105,226,14600,-6824,-2504,391,-283,-116
2800,16604,-4600,-2500,-312,-203,190,14836,-6784,-2556,390,-299,-167
2820,16868,-4728,-2792,-193,-199,205,14712,-6804,-2616,353,-214,-176
2840,16668,-4636,-2576,173,-73,108,14660,-6892,-2604,385,-275,-223
2860,16624,-4616,-2272,-47,-62,132,14708,-6900,-2504,327,-184,-243
2880,16288,-4740,-2464,-163,-108,132,14552,-7048,-2212,242,-98,-278
2900,16564,-4756,-2672,-171,-261,26,14792,-6944,-2444,211,-116,-314
2920,16912,-4760,-2744,-416,-94,-131,14764,-6944,-2600,191,70,-301
2940,17004,-4728,-2640,-267,-50,97,14708,-6916,-2488,314,-137,-234
2960,16848,-4612,-2576,29,-107,248,14972,-6984,-2556,322,-319,-178
2980,16616,-4732,-2488,-91,6,48,14736,-7004,-2424,285,-93,-161
