Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16644,-5080,-884,-35,-400,-30,12448,-11016,-2012,291,-564,-349
20,16860,-5184,-836,-73,-14,-9,12048,-11132,-1204,375,-327,-249
40,16392,-5200,-688,5,-377,-55,11960,-10940,-1400,278,-395,-190
60,16396,-4984,-1012,-36,-617,-52,12020,-11052,-1468,226,-650,-163
80,16560,-5160,-1436,-107,-377,101,12024,-11200,-1464,152,-687,-197
100,16468,-5220,-1188,-63,-135,153,12060,-11272,-1632,219,-322,-248
120,16536,-5244,-896,-17,-211,21,11932,-11276,-1456,239,-161,-296
140,16492,-5220,-912,95,-469,-107,11828,-11112,-1480,235,-348,-269
160,16672,-5132,-1168,-22,-307,131,11856,-11204,-1432,261,-655,-288
180,16608,-5116,-1368,-182,84,209,12144,-11260,-1512,283,-623,-344
200,16612,-5280,-696,-228,-42,161,12156,-11064,-1784,336,-557,-363
220,16528,-5100,-808,-175,-291,22,12216,-11188,-1612,332,-425,-317
240,16616,-5176,-1092,-250,-278,15,12276,-11096,-1452,325,-167,-208
260,16420,-5212,-1396,50,-125,17,11748,-11120,-1576,353,-126,-218
280,16232,-5356,-1128,128,-226,42,11652,-11240,-1292,414,-396,-356
300,16356,-5236,-1012,150,-634,68,12064,-10980,-1420,355,-763,-371
320,16588,-5112,-964,255,-660,-18,12124,-11084,-1664,311,-843,-360
340,16740,-5164,-832,224,-517,-84,12384,-11168,-1628,285,-548,-300
360,16736,-5256,-1136,56,-265,-23,12240,-11208,-1676,254,-385,-201
380,16616,-5264,-1224,-155,-153,128,12072,-11188,-1720,292,-378,-183
400,16568,-5112,-1340,-57,3,69,12048,-11064,-1584,404,-247,-227
420,16308,-5172,-872,163,-158,-67,11844,-11132,-1648,424,-410,-270
440,16524,-5060,-892,190,-429,-171,12036,-11032,-1712,434,-371,-314
460,16704,-4916,-1256,-187,-322,-22,12024,-10996,-1620,338,-145,-289
480,16616,-5076,-1192,-157,-61,41,11992,-11140,-1540,323,-164,-265
500,16412,-5216,-1068,87,-182,-3,11808,-11120,-1572,258,-358,-272
520,16508,-5260,-864,-37,-476,-49,11908,-11100,-1648,261,-525,-322
540,16816,-5188,-1080,-121,-484,-61,12360,-11128,-1752,286,-268,-205
560,16692,-5068,-1468,-63,-205,-6,12240,-11260,-1620,308,-9,-160
580,16412,-5272,-1204,82,-41,24,11652,-11164,-1392,354,-202,-242
600,16428,-5304,-1040,16,-234,23,11880,-11276,-1532,319,-455,-346
620,16688,-5140,-1008,-10,-331,-75,12172,-11080,-1588,318,-365,-306
640,16580,-5272,-856,-20,-198,-148,12228,-11044,-1648,348,-177,-222
660,16516,-5288,-1220,-170,-92,28,11860,-11188,-1336,265,-157,-259
680,16440,-5204,-1068,-217,-210,91,11852,-11200,-1704,308,-355,-256
700,16548,-5184,-996,-82,-328,43,12092,-11140,-1700,343,-366,-265
720,16664,-5204,-736,-10,-468,-18,12180,-11228,-1604,312,-294,-239
740,16592,-5240,-884,129,-574,-131,12072,-11080,-1480,245,-258,-190
760,16432,-5352,-992,423,-905,-354,11772,-11276,-1600,239,-516,-178
780,16252,-5424,-796,720,-1503,-555,11388,-11216,-1488,228,-1307,-150
800,16196,-5168,-580,1592,-2670,-821,11304,-10988,-852,57,-2480,-61
820,16196,-4544,-288,2080,-4021,-710,12080,-10820,-312,-52,-3455,143
840,16916,-4180,300,3421,-5522,-761,12560,-10436,-8,-468,-3748,718
860,16432,-3472,332,4240,-7067,-743,13200,-9880,656,-1730,-3430,1112
880,16224,-2904,72,5391,-8398,-815,12220,-9776,1916,-2907,-3239,971
900,15836,-2540,468,7618,-10406,-1030,11396,-9596,2196,-4441,-5499,1561
920,16536,-2464,1568,11027,-14066,-1591,12116,-8896,2344,-6362,-7711,1924
940,17276,-120,1620,16309,-15144,-2985,13252,-8608,1636,-8556,-7919,2207
960,17780,1492,2912,12773,-12891,-869,12460,-8204,1132,-10603,-8514,3129
980,17548,952,2004,10132,-10224,574,11996,-7940,708,-12732,-10293,4466
1000,16464,184,784,11033,-9664,1988,11248,-7880,-592,-14919,-11747,5431
1020,15520,-216,-196,12752,-11133,3056,9424,-7696,-1580,-16632,-13773,6244
1040,13940,-1344,-936,14651,-12743,3922,9580,-7588,-4492,-17910,-13863,6918
1060,13516,-2092,-840,13753,-13928,5086,9664,-7936,-6904,-18742,-11409,6831
1080,13632,-1964,-1860,7847,-11973,6910,9408,-7860,-7992,-19559,-7965,6458
1100,13508,-2740,-3424,1867,-9049,8270,8568,-7508,-8368,-20008,-5493,6659
