Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,9728,2228,14936,-165,124,-667,5204,1744,15148,-542,-85,-190
20,9656,2072,14952,-227,42,-648,5044,1792,15012,-559,-80,-185
40,9624,2148,14772,-325,-15,-640,5200,1732,15160,-602,-72,-151
60,9824,2236,14924,-293,43,-542,5156,1744,15064,-486,86,-154
80,9652,2092,14900,-256,256,-561,5148,1652,15208,-423,71,-177
100,9840,2160,15092,-245,167,-606,5216,1896,15060,-537,120,-233
120,9672,2164,15004,-287,-14,-680,5108,1640,15184,-541,-27,-157
140,9780,2320,14964,-287,-109,-594,5208,1772,15088,-636,-68,-178
160,9696,2276,14908,-337,-64,-560,5176,1728,14984,-652,-5,-190
180,9996,2172,14708,-312,164,-535,5200,1580,15112,-511,143,-154
200,9696,2140,14988,-177,190,-563,5072,1728,15088,-452,52,-140
220,9640,2192,14980,-191,94,-577,4988,1696,15284,-512,59,-146
240,9636,2136,15056,-284,-19,-576,5148,1752,15104,-638,32,-171
260,9648,2208,14972,-360,-94,-589,5232,1788,14944,-703,-42,-165
280,9896,2340,14892,-352,-3,-554,5436,1708,15164,-531,25,-165
300,9732,2136,14956,-176,258,-497,5212,1780,15204,-329,78,-148
320,9656,2196,15108,-195,172,-506,5012,1780,15112,-427,88,-132
340,9540,2204,15056,-303,32,-523,5036,1876,14932,-619,-45,-241
360,9788,2112,14964,-352,-136,-536,5232,1720,15112,-722,37,-180
380,9812,2276,14932,-346,-75,-547,5232,1644,15296,-573,-22,-150
400,9680,2084,14896,-234,142,-527,5156,1752,15152,-441,-3,-136
420,9696,2152,15064,-195,176,-546,5188,1792,15080,-475,11,-158
440,9688,2220,14908,-232,186,-584,5036,1788,15044,-490,109,-121
460,9744,2192,15052,-320,81,-520,5108,1692,15160,-520,169,-124
480,9636,2248,15132,-274,15,-543,5032,1820,15296,-554,102,-115
500,9504,2168,15184,-277,-191,-497,5060,1796,15268,-726,14,-114
520,10028,2192,14692,-296,-32,-634,5408,1640,15204,-539,-41,-251
540,10044,2236,14884,-224,158,-616,5304,1784,14984,-500,34,-198
560,9500,2212,15132,-201,95,-553,5152,1812,15284,-386,-13,-137
580,9380,2480,15636,-70,-187,-437,4644,2016,15512,-620,114,31
600,9636,1888,15876,133,-958,-762,4152,1960,16132,-1079,-270,419
620,8024,852,16248,49,-3824,-1036,3228,1512,16748,-1490,-5764,146
640,9848,1800,16820,680,-7697,-2065,3952,1724,18008,-2560,-10389,-156
660,11636,3404,16172,2265,-10668,-2116,6140,1968,16316,-2383,-11636,-93
680,10260,2928,20320,3436,-20960,-1292,7484,2056,17360,-3254,-13334,1203
700,13240,2152,18664,2496,-32768,-916,6500,2516,19248,-6484,-25218,3134
720,20788,4276,16232,2791,-32768,-740,11172,1464,18336,-9486,-32768,4645
740,23960,4116,12316,288,-32768,5373,16264,180,15528,-10917,-32768,7016
760,22908,3040,7488,881,-32768,9682,17432,-1260,12716,-11539,-31723,9721
780,19944,3132,2784,281,-32768,10925,15408,-1756,9428,-10328,-30616,11628
