Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,5520,3240,13948,-71,-203,-10,884,1212,17376,337,-211,-283
20,5272,3304,13968,-49,-200,18,688,1360,17220,327,-351,-292
40,5168,3380,13848,-71,-241,28,944,1324,17536,316,-371,-259
60,5356,3264,14080,-44,-208,42,916,1368,17356,295,-390,-309
80,5368,3288,13856,-19,-214,23,1116,1200,17516,310,-351,-272
100,5384,3164,13856,-40,-183,-20,912,1224,17440,361,-333,-269
120,5308,3284,13876,-104,-238,9,960,1220,17476,393,-286,-241
140,5232,3320,14020,-50,-194,54,948,1268,17580,403,-225,-262
160,5332,3296,13956,5,-194,17,952,1252,17324,372,-222,-247
180,5332,3300,14052,18,-198,1,828,1296,17428,365,-318,-249
200,5280,3292,14088,-78,-307,81,788,1288,17320,307,-370,-309
220,5380,3236,14076,-22,-358,84,1008,1204,17696,228,-382,-385
240,5424,3312,14148,164,-429,12,1068,1224,17852,226,-406,-461
260,5360,3336,13956,262,-447,-6,832,1236,17700,241,-468,-374
280,5264,3100,14356,467,-499,69,612,1120,17636,332,-562,-369
300,5012,3284,14012,479,-823,136,620,1280,17612,449,-852,-240
320,5440,3640,14000,697,-1064,285,884,1556,17836,391,-1055,-211
340,5600,3500,14504,938,-1644,453,1032,1168,17500,198,-1474,-252
360,5860,3320,13960,875,-1750,366,1544,1076,17340,210,-963,-331
380,5796,3512,13544,401,-1436,420,1348,1276,17216,319,-448,-152
400,5492,3516,13720,198,-1229,348,1108,1380,17272,300,-376,-142
420,5580,3320,13996,237,-1158,313,976,1224,17540,308,-282,-263
440,6104,3832,13848,389,-1141,284,1236,1392,17944,264,-143,-268
460,6720,4056,14948,738,-1769,553,1076,1604,18748,0,-1277,-34
480,6404,4440,15104,1347,-3570,1230,1036,1904,19864,-320,-3016,328
500,7508,5292,16012,2542,-6323,1854,872,2212,19900,-871,-5295,944
520,7640,6688,14524,3914,-8459,4308,156,3056,21800,-1855,-8145,1656
540,11300,9648,14400,5544,-12414,11041,2176,5396,22508,-3510,-12456,4485
560,11364,7864,15276,12251,-18603,12402,1300,6028,24212,-6285,-22406,7021
580,15724,9152,16212,13152,-30429,16575,7568,3152,19456,-7399,-28877,9884
600,18260,9316,11832,11902,-29883,19739,10188,2348,19444,-8088,-28887,12441
620,18332,7916,10348,13036,-25130,21779,10296,1448,18464,-8832,-26076,13764
640,15908,7080,7516,14734,-25891,23118,9264,424,16748,-9231,-28034,15471
660,17376,6460,6072,17673,-27626,23017,12160,-676,13820,-8032,-29284,16192
680,18616,6180,5308,17540,-22823,23136,12884,-1896,12624,-7114,-27216,17296
700,17100,5044,4792,16031,-16536,23852,11524,-3184,11936,-6139,-23638,18665
720,15036,3704,4688,16107,-12632,24623,10664,-4280,11132,-4844,-21823,18791
740,14560,2960,4336,15907,-11108,23649,10804,-4368,10644,-3695,-20088,18494
760,12412,1640,3952,15805,-9590,22258,8896,-5116,9920,-2618,-19201,17992
780,12200,1020,3192,17107,-9839,21239,9224,-5312,9452,-1719,-20826,16959
800,12636,-104,3148,18797,-9832,19733,9252,-6412,8512,-365,-21745,15968
820,12416,-364,3184,19811,-8190,18116,9548,-6996,7996,1114,-20520,15425
840,11824,-840,3576,19636,-6554,16198,9516,-7416,7860,2577,-18624,14683
860,11908,-1060,4092,19405,-6366,14074,9344,-7816,8112,3625,-16892,13433
