Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,7528,3056,13876,2329,-4053,767,4116,3764,17672,975,-4196,717
20,6900,3800,14396,3322,-6033,960,3648,4432,18004,590,-6046,909
40,7120,3604,14816,4411,-11200,811,3756,4384,18608,14,-11325,1869
60,7528,4604,15984,5220,-19518,675,4580,4136,18740,-1295,-17577,2742
80,10096,4680,14700,4816,-23819,2107,6684,4452,17764,-2762,-20102,3045
100,13292,5256,12832,4541,-24469,2337,9060,4648,17180,-4250,-21602,4057
120,13844,6272,11376,5439,-24018,1521,10524,4492,17260,-5577,-21079,4708
140,14384,6276,10468,5854,-24786,2898,10900,3744,15276,-6263,-21494,5811
160,15856,5560,9936,4493,-23563,5538,11668,2784,14460,-6818,-21684,6774
180,15964,5132,9004,3375,-22928,7222,12568,2472,13768,-7537,-20971,7491
200,15592,4796,7444,3290,-23666,7326,13052,1840,13704,-7450,-20788,8655
220,16364,4272,5380,4786,-24154,7219,13564,1284,12980,-7337,-21959,9191
240,17196,4160,3456,7027,-24423,7309,14424,824,12076,-6800,-22324,10225
260,17968,4064,1908,9549,-23170,7414,14772,140,10816,-6185,-22863,11254
280,18360,3720,416,11958,-22158,8145,15264,-984,8756,-5359,-22520,12362
300,19032,4000,-1272,12516,-18594,8817,16340,-1008,6504,-4714,-21579,13142
320,19604,3624,-3368,13363,-15070,9902,17328,-1492,5424,-3604,-20409,13938
340,18992,2816,-4528,15258,-10683,11117,16716,-3232,4652,-1438,-18689,15042
360,17960,1968,-4752,17547,-7029,11163,16388,-3944,3820,703,-17814,15460
380,17432,1828,-5108,18672,-4819,10422,16632,-4032,2172,2371,-16586,15547
400,16692,912,-5188,19834,-3537,9923,15512,-5048,1404,4145,-14884,14829
420,16148,144,-4964,20669,-2356,9903,14956,-5588,776,6169,-13451,14539
440,15440,-308,-5136,20455,-232,9343,14776,-6256,304,8177,-11760,13748
460,14596,-1160,-5700,20905,1890,8200,14196,-6260,124,9674,-10612,12644
480,13604,-1828,-6164,23188,3394,6369,12860,-7156,648,11220,-10831,11673
500,12840,-1864,-4780,26685,2947,4533,12696,-7608,932,13236,-11294,10419
520,12796,-1000,-2604,28239,2941,2130,12592,-7300,844,15113,-11381,8728
540,13084,-608,-2192,27744,3247,408,12852,-7144,452,15968,-10300,6935
560,13596,112,-2232,26764,4290,-1178,13152,-6864,1008,16672,-8713,5372
580,14012,464,-2092,26222,5587,-2296,12988,-7108,1620,17320,-7909,4076
600,13740,288,-1624,26620,5536,-2890,12136,-6972,1584,17849,-7652,2683
620,13680,932,-1436,27347,4415,-3130,12260,-6844,2012,19028,-8771,1733
640,14352,2480,-728,27826,3698,-3524,13392,-6072,2624,19433,-9103,722
660,14112,2784,4,27422,3580,-3950,12748,-6188,3360,19489,-8895,-42
680,14360,3432,644,27051,2424,-3840,12172,-5552,3300,18635,-9830,-855
700,15020,4164,0,26421,1548,-2972,14584,-6136,3236,17556,-7551,-1387
720,15616,4780,448,24994,1936,-3501,14716,-5316,3876,18228,-9143,-1721
740,15136,5488,1132,24620,1007,-3228,13128,-4824,5304,17268,-9807,-1997
760,15396,6816,1660,24297,-544,-2182,14472,-4008,5512,16403,-11360,-2251
780,16496,7952,2080,22752,-1610,-1373,15300,-3768,6112,14728,-11771,-2473
800,16824,8204,2280,21150,-1946,-366,15488,-3800,6152,12955,-11829,-2205
820,16536,8024,2908,18236,-3125,430,15636,-3344,5776,10426,-11124,-2307
840,19756,13160,9156,11149,-3968,281,19560,-1052,7208,6527,-9061,-2391
860,17868,12508,7200,1783,-4472,3759,17268,-1288,8592,1641,-6573,-973
880,16844,8968,816,-1190,-2833,4823,17496,-2780,6584,-1075,-5792,-35
900,16488,5208,-1848,-990,-1993,2576,18772,-4504,2468,-1666,-2668,186
920,17952,3572,-1684,-2276,-598,332,18656,-5368,1168,-2130,468,-311
940,19216,3736,-52,-3950,203,993,16912,-5708,1932,-2144,2659,741
960,18412,3488,-284,-5875,393,2485,16316,-5924,2032,-2663,2618,1321
980,17116,3456,-748,-6098,-32,3066,15568,-5952,3520,-2528,1603,1685
1000,18972,5128,372,-5897,-1758,3903,16300,-5244,4776,-2475,804,2017
1020,18744,6896,2684,-8088,-1115,6063,17556,-4132,4860,-3536,1528,3159
1040,17880,6648,3104,-13243,1465,6432,17776,-4028,4140,-5899,4062,3916
1060,18592,5676,2088,-18822,2588,6302,18476,-5328,3444,-7029,6678,4103
1080,17472,4620,920,-23477,4745,5559,17108,-5016,2864,-8441,10439,4105
1100,17960,4356,1760,-26425,4636,5210,15444,-6016,3536,-8445,12041,3584
1120,17504,4192,2912,-30123,3118,7131,13960,-6068,4328,-8288,11617,3138
1140,17268,5344,3392,-32515,97,10051,13432,-5284,5128,-10247,9115,2944
1160,16856,4328,2380,-32768,596,12245,14148,-5744,5408,-13026,9615,3080
1180,15788,2700,152,-32768,14,12370,14952,-6208,6452,-15067,11384,2444
1200,15744,1764,-964,-31052,1129,9939,14576,-6012,6856,-16153,11521,2319
1220,15972,2428,-536,-27493,2271,8723,13400,-5056,6328,-16862,10803,1679
1240,16264,716,244,-26591,2759,8460,13388,-6572,4088,-17962,10534,1748
1260,16064,-148,652,-28710,1875,9444,13264,-7228,2492,-18809,9888,1601
1280,15564,-1304,-1268,-30959,882,10158,13368,-7712,3132,-19372,9003,1288
1300,14948,-2720,-3020,-29210,1959,9057,12680,-7896,3500,-19240,8272,587
1320,13836,-3884,-3860,-26442,-641,7739,12060,-8052,2548,-18693,5592,461
1340,14552,-4152,-4472,-24449,-1376,6453,13872,-8180,1328,-18084,4603,108
1360,14904,-4772,-4816,-22917,732,4439,13968,-8664,936,-17554,6310,-907
1380,13948,-5544,-5800,-21102,2278,2184,13044,-8612,536,-16757,6669,-1970
1400,14092,-6160,-7180,-17673,233,470,12552,-8968,220,-15629,4092,-2135
1420,15652,-5932,-7292,-14359,-1552,848,12996,-9264,-1924,-13915,2324,-1703
1440,16072,-5412,-7804,-14357,-1366,1863,14836,-8872,-3200,-12629,2218,-1524
1460,16344,-6128,-10080,-13269,-598,1070,15316,-9292,-2884,-10961,2491,-1728
1480,16324,-6916,-10792,-9816,-88,440,14864,-9624,-2772,-8675,1984,-1430
1500,16380,-6964,-9928,-5938,-1193,253,14164,-9776,-2916,-6305,311,-795
1520,16956,-6472,-9180,-4258,-2091,1292,15188,-9536,-3476,-4470,-816,-113
1540,16784,-6416,-8760,-3069,-1432,1139,15604,-9536,-2684,-2881,-469,-26
1560,16508,-6748,-8388,-1719,-200,357,15236,-9524,-1960,-1535,119,-148
1580,16532,-6640,-7664,66,34,-63,14604,-9352,-1584,-205,-139,25
1600,16628,-6440,-6568,1489,232,-70,14716,-9616,-1268,808,-347,532
1620,16656,-6332,-5584,1935,537,263,14164,-9500,-764,1424,-171,543
1640,16360,-6432,-4908,2186,487,563,14308,-9516,188,1839,-137,583
1660,16616,-6260,-4464,2809,1066,67,14488,-9596,528,2243,273,455
1680,16568,-6108,-3660,2760,1832,-378,14540,-9464,620,2367,1150,181
1700,16264,-5860,-2876,2015,2538,-659,13984,-9412,996,2231,1976,7
1720,15824,-5968,-2484,1383,2241,-856,13276,-9264,1668,1875,1877,-149
1740,15900,-5952,-2296,1127,1760,-660,13060,-9316,1952,1729,1314,-86
1760,15712,-5928,-2292,1065,1263,-333,12980,-9160,2080,1638,792,-135
1780,15668,-5888,-2248,1234,768,-316,13272,-9040,2096,1560,309,-232
1800,15740,-5600,-1844,1118,1045,-728,13512,-8972,1992,1288,592,-459
1820,15820,-5460,-1568,106,1056,-743,13312,-8984,1972,922,939,-666
1840,15664,-5632,-1876,-353,734,-779,13256,-9016,2484,631,762,-803
1860,15676,-5664,-2176,-111,368,-1022,13336,-8920,2092,492,341,-881
1880,16088,-5500,-2000,-350,236,-967,13476,-8904,1960,299,247,-916
