Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,2124,2404,17576,-367,13,-496,-872,196,15800,-599,47,-58
20,2072,2324,17656,-335,16,-487,-1140,124,15604,-602,-17,-89
40,2100,2488,17696,-277,-6,-475,-1092,200,15728,-666,-65,-101
60,2184,2352,17756,-319,16,-491,-1052,160,15776,-645,-73,-58
80,2152,2480,17664,-313,20,-486,-1028,152,15948,-574,26,-63
100,2008,2396,17792,-261,28,-494,-1056,144,15708,-599,22,-79
120,2080,2404,17668,-252,26,-517,-1140,108,15676,-610,-109,-87
140,2028,2404,17600,-302,33,-516,-1072,136,15648,-623,-46,-82
160,2116,2380,17736,-285,31,-510,-976,192,15740,-572,109,-87
180,2132,2376,17600,-326,25,-497,-1076,180,15784,-577,82,-67
200,2168,2284,17568,-300,32,-499,-1072,240,15728,-593,25,-78
220,2084,2368,17652,-222,52,-520,-1036,112,15736,-580,15,-69
240,2084,2396,17620,-196,26,-504,-1028,164,15744,-501,65,-51
260,2116,2432,17764,-277,55,-510,-1024,176,15884,-573,-11,-67
280,2044,2436,17704,-259,51,-531,-1092,208,15768,-551,53,-84
300,2044,2304,17776,-269,14,-539,-960,92,15804,-534,85,-99
320,1988,2392,17604,-263,28,-553,-1088,112,15844,-531,53,-117
340,2104,2380,17664,-260,43,-547,-880,96,15796,-552,34,-130
360,2012,2340,17604,-300,28,-548,-1184,196,15736,-535,66,-86
380,2072,2340,17652,-265,65,-518,-1048,176,15736,-581,46,-112
400,1984,2380,17652,-282,27,-519,-1020,208,15788,-578,0,-105
420,2060,2408,17536,-306,15,-531,-1080,144,15868,-625,-12,-36
440,1964,2468,17628,-331,10,-512,-1008,132,15788,-600,40,-70
460,2072,2360,17744,-316,29,-507,-1052,104,15756,-624,23,-74
480,2116,2412,17696,-279,36,-497,-1076,80,15656,-598,51,-80
500,2072,2344,17696,-273,60,-519,-1100,152,15856,-583,101,-55
520,2112,2376,17644,-269,31,-518,-1168,156,16016,-587,26,-64
540,2100,2432,17624,-300,3,-494,-1016,56,15688,-597,-55,-77
560,2016,2452,17824,-288,3,-524,-1056,196,15752,-637,-81,-63
580,1916,2408,17660,-282,12,-501,-1032,140,15704,-604,-60,-101
600,2084,2324,17632,-311,23,-519,-1112,120,15728,-609,-62,-77
620,2044,2284,17676,-305,-12,-516,-980,60,15832,-608,-61,-111
640,2088,2212,17792,-318,-35,-535,-1032,104,15616,-607,-97,-52
660,2028,2472,17744,-360,-68,-521,-1100,96,16028,-624,-177,-54
680,1908,2308,17804,-633,-196,-449,-1024,148,15948,-696,-239,-15
700,2216,2516,17844,-802,-228,-342,-808,176,16076,-755,-235,92
720,2272,2704,17916,-1454,-560,-121,-880,132,16748,-761,-171,267
740,2168,2736,18508,-2006,-472,-122,-1156,-108,17028,-732,-48,401
760,1244,2116,18676,-2603,-2217,244,-1356,-156,17180,-527,151,707
780,2032,2312,18864,-4002,-2576,346,-1528,-180,18236,-878,599,1010
800,1932,2444,21124,-7409,-3397,1019,-1628,-960,20552,-491,1509,1732
820,3592,20,22592,-8122,-2255,2166,-624,-636,17556,534,4053,2554
840,-4,-1748,26544,1469,1583,4881,-3872,-1776,17332,2815,5355,3150
860,3476,-968,26252,4208,7443,5127,-2348,-2440,21408,6223,7331,5006
880,1664,-1476,27432,9827,12204,3892,-4756,-1076,20800,8817,9828,7006
900,-1308,316,25964,12539,15133,1442,-6812,-232,20896,10494,12042,7847
920,-956,1844,23252,12901,14444,2812,-5140,1856,19364,11848,13665,9552
940,-1504,2700,21120,13710,15370,4109,-5392,2916,17176,12283,14287,11047
960,-2244,3124,19712,13230,15988,5499,-5292,3004,16592,12318,15959,13199
980,-1932,3692,17520,10381,18619,8464,-3600,3864,14880,12188,20000,15947
1000,-1340,4256,14592,7221,25705,12345,-2424,5328,12244,10828,25848,18474
1020,-2308,4692,11988,3284,32767,16803,-2580,5776,9992,8690,31990,21354
1040,-5696,4588,10632,-4185,32767,23073,-4132,5660,9996,7005,32767,24159
1060,-7840,4592,9408,-13379,32767,32767,-4896,8156,6556,4115,32767,27525
1080,-10468,4580,8832,-19561,32767,32767,-7464,10064,1552,53,32767,28939
1100,-10844,4568,7024,-22630,32767,32767,-9552,9964,-1080,-5437,32767,27571
1120,-11700,4172,5088,-25589,32767,32767,-10448,10096,-2288,-11417,32767,24798
1140,-13472,3600,5248,-28566,32767,32767,-13796,8884,-2792,-17095,32767,21084
1160,-11596,3500,5364,-29887,30152,32767,-12540,8272,-2948,-21177,32767,17194
1180,-9260,3280,5756,-31100,23446,32767,-11404,7456,-2512,-23839,32767,13036
1200,-7224,2752,6960,-31022,20318,31147,-10808,6416,-988,-24309,31366,8815
1220,-6228,1812,8936,-30007,18293,25737,-11232,5424,-168,-24023,26905,4841
1240,-7676,836,11796,-26660,15311,19999,-10732,5672,1408,-21789,21453,2181
1260,-7992,452,13980,-21899,10439,15655,-12808,5468,3992,-22415,18256,687
1280,-8812,-752,17172,-18218,6696,11786,-11184,5480,5720,-20283,15063,-113
1300,-6836,20,19120,-12220,4244,8955,-12636,6732,7696,-18101,12928,-349
1320,-1916,-6188,27664,-3252,3598,5047,-11300,1300,12404,-13764,10385,-1395
1340,-132,-4048,32767,12108,16416,-323,-12584,5356,16360,-8005,13343,-1664
1360,-10636,-2972,28900,20397,6222,-7825,-21516,6612,18864,-2364,2938,-1522
1380,-9880,-524,26908,23344,-6063,-9650,-17440,7236,18156,943,-6660,-151
1400,-5584,116,24956,22578,-12092,-9187,-11740,5440,16924,4877,-12996,-448
1420,-3356,-4976,21024,23129,-11293,-7283,-9992,668,19016,11048,-12595,-865
1440,-868,-1368,30276,29052,-15889,-11562,-13108,2564,18688,17296,-17713,-2225
1460,816,-2196,28624,32767,-18599,-21865,-12012,1324,17416,23644,-22020,-6246
1480,152,-5040,24296,32767,-21090,-28615,-7472,148,13044,30383,-24457,-9523
1500,2048,-5008,15252,32767,-12121,-32327,-1316,920,4676,32767,-15615,-11814
1520,-7096,-4504,1664,32767,4997,-30196,-4252,3284,-2964,32767,-633,-11723
1540,-23164,832,-10700,32767,6447,-22432,-16856,5140,-7664,32483,852,-8859
1560,-31408,1676,-18072,25935,-1435,-16982,-24404,7184,-18664,23739,-3615,-7198
1580,-32768,1120,-19656,14935,-12776,-13348,-25476,7432,-22920,13079,-11751,-6168
1600,-32008,2788,-17108,5076,-9713,-6510,-19752,8284,-20600,4111,-9135,-2884
1620,-25644,5652,-8328,-3899,-1189,1808,-17136,8376,-11564,-1770,-2791,1235
1640,-18928,6712,-616,-9243,1750,6077,-15256,8832,-5364,-3655,-1091,3072
1660,-12556,6836,4568,-9281,333,6049,-12408,8628,-1432,-4234,-1337,2879
1680,-8520,6892,8508,-6570,-1549,3668,-10348,7800,1560,-3259,-2592,1671
1700,-5684,7008,10260,-3563,-736,178,-8852,7400,3580,-1718,-1315,182
1720,-6060,6780,11180,-1349,-662,-2674,-9876,6632,5292,259,-1949,-1019
1740,-7212,5816,11324,549,-1754,-5687,-11976,5912,5220,2362,-5225,-2899
1760,-9216,4624,11188,3179,-6079,-8436,-14156,5392,5104,4527,-13492,-5142
1780,-11140,4240,10356,5540,-15258,-10967,-14096,5268,5232,6208,-23106,-7492
1800,-11184,3924,10444,8044,-27547,-14242,-14492,4848,4196,7203,-32768,-10312
1820,-9280,3396,7736,10899,-32768,-19523,-12408,5440,2376,7053,-32768,-14086
1840,-9564,4288,7144,14347,-32768,-22946,-10712,5940,2048,5837,-32768,-18294
1860,-7416,5084,5504,14172,-32768,-23436,-7124,6736,2600,3681,-32768,-21812
1880,-4512,6456,4356,9683,-32768,-22475,-5148,7248,3400,420,-32768,-24420
1900,-4360,7412,5584,2109,-32768,-21313,-4464,7060,5352,-3309,-32768,-24478
1920,-3840,7220,7156,-8363,-32768,-18831,-4772,7004,8324,-6759,-32768,-22118
1940,-3960,5160,11832,-15266,-32768,-13814,-4520,7228,10316,-10135,-32768,-18416
1960,-3864,2624,17432,-15998,-32768,-8740,-3456,6328,11552,-12466,-30672,-14930
1980,-1272,1764,20780,-13578,-28000,-4584,-3692,4024,14500,-13065,-22936,-11432
2000,1448,2164,22496,-11992,-20195,-3959,-3860,3008,17284,-12173,-15545,-8833
2020,1600,2760,24248,-10732,-12750,-4956,-3916,2380,19268,-10967,-12792,-7655
2040,1512,2432,24584,-8629,-9549,-5784,-4008,1992,20720,-9603,-12239,-7068
2060,1276,1192,25112,-7655,-10915,-5055,-2376,872,21312,-7740,-10940,-6620
2080,3384,948,24332,-5902,-9315,-4116,-964,664,19248,-6114,-7330,-5815
2100,2408,3204,21892,-5126,-4349,-2587,-1576,824,17956,-5444,-3547,-4110
2120,464,1300,19668,-4925,-1131,-903,-1864,668,17380,-5014,-636,-3050
2140,-2172,-3952,32712,5514,2495,-3903,-2824,-1160,21784,-1913,-2319,-2117
2160,764,4676,24828,11913,-1776,-4427,-1620,1088,22756,647,-1556,-1637
2180,1852,6128,13948,1468,-484,-1390,252,1660,18872,-187,288,-1122
2200,2932,1380,19180,-2002,-638,-542,40,860,16188,-511,833,-973
2220,3124,1364,18288,-227,626,-1421,-456,80,15620,-198,2318,-715
2240,2712,1052,16540,-582,1417,-1143,-900,0,14556,-483,1842,-495
2260,1508,548,17580,809,1123,-830,-1824,-420,14732,-564,767,-184
2280,1192,724,17492,1896,481,-899,-1836,-324,15164,-736,104,-90
2300,1836,1128,18028,2276,-262,-701,-1456,-364,15484,-687,-336,-210
2320,2360,1948,17732,2526,-200,-759,-1044,280,15888,-844,-263,-250
2340,2468,2392,18008,1898,295,-845,-888,432,16372,-808,448,-113
2360,2288,2568,18212,1115,452,-778,-1204,500,16668,-587,782,-97
2380,2364,2436,17972,726,230,-717,-1084,340,16200,-514,145,-226
2400,2248,2188,17816,284,256,-614,-1176,52,16000,-537,296,-206
2420,2172,2056,17916,57,465,-702,-1520,88,15708,-475,606,-147
2440,2060,2104,17600,-65,511,-686,-1100,104,15936,-445,881,-107
2460,2444,2232,17492,-454,684,-728,-1000,208,15784,-444,1312,-219
2480,2188,2044,17760,-509,767,-871,-1544,224,15608,-494,1341,-293
2500,1988,1900,17868,-416,688,-835,-1572,52,15884,-552,1291,-325
2520,1872,2312,17976,-641,350,-721,-1648,112,16184,-495,963,-249
2540,2276,2240,17796,-962,434,-487,-1360,304,15804,-365,1186,-210
2560,2336,2004,17576,-868,907,-674,-1456,168,15484,-378,1514,-256
2580,1756,1704,17588,-603,605,-581,-2000,136,15440,-366,866,-356
2600,1112,2556,17760,-194,247,-306,-2144,316,15380,-381,236,-437
2620,2184,2184,18104,-478,340,-581,-1812,12,15780,-452,458,-199
2640,2484,2468,18120,-1084,503,-550,-1292,372,16492,-198,774,-71
2660,2044,2268,17940,-1704,734,-621,-1676,532,16188,-159,1188,-260
2680,1488,2136,17464,-1569,662,-540,-1352,300,15400,-199,1032,-300
2700,1696,1736,17904,-1308,461,-206,-1808,320,15340,-211,741,-293
2720,1696,1396,17640,-701,625,-474,-2028,176,15248,-260,550,-283
2740,1580,1484,17780,-248,258,-460,-2088,40,15416,-289,27,-277
2760,1668,1484,17784,-255,162,-387,-1832,44,15532,-365,93,-152
2780,1752,1448,17680,-457,445,-318,-1872,28,15568,-401,25,-67
2800,1552,1276,17664,-292,97,-369,-2108,20,15300,-436,-24,-91
2820,1740,1144,17580,-23,60,-452,-1948,-100,15308,-456,-112,-33
2840,1684,1352,17588,108,114,-572,-2040,-64,15300,-515,-263,-109
2860,1560,1476,17536,176,-171,-488,-2028,-32,15336,-549,-313,-64
2880,1972,1724,17800,257,-97,-449,-1728,188,15520,-543,-203,-38
2900,2132,2008,17956,204,88,-451,-1592,440,15960,-577,-158,-41
2920,1584,1940,17904,-14,-3,-478,-1940,460,15764,-537,-254,-182
2940,1672,1876,17988,-27,-179,-496,-1772,448,15620,-477,-228,-154
2960,1832,1860,17748,48,-49,-536,-1716,240,15468,-439,62,-136
2980,1872,1864,17664,124,-7,-608,-1828,228,15460,-486,114,-170
