Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-12700,4792,5756,-447,251,242,-9804,10392,8100,355,-336,-393
20,-13292,4744,5700,-187,319,213,-10428,10396,8452,252,-244,-364
40,-13236,4660,5956,-173,-459,-20,-10140,10352,8672,241,-437,-342
60,-12572,4720,6328,-428,-453,-38,-9836,10364,8712,355,-557,-393
80,-12896,4724,6256,-726,-572,-34,-10032,10324,8288,395,-1111,-379
100,-13028,4652,5648,-590,-267,30,-9928,10332,8280,347,-779,-348
120,-13300,4588,5736,-387,-356,90,-10088,10320,8208,430,-233,-351
140,-12736,4508,6460,227,-396,-11,-9872,10328,8384,450,-308,-393
160,-12260,4816,5776,-157,68,115,-9724,10376,8340,488,-106,-443
180,-13068,4528,6140,-21,373,45,-10176,10320,8360,394,15,-404
200,-13500,4716,6260,210,96,59,-10076,10432,8648,415,-67,-363
220,-12848,4820,5924,12,-407,100,-10132,10392,8684,428,-232,-373
240,-12824,4696,6188,-166,-410,-1,-9968,10404,8576,454,-456,-335
260,-12776,4796,6040,-144,-267,-2,-10008,10500,8284,374,-467,-347
280,-13088,4852,5784,-2,-109,-59,-10116,10576,8100,259,-193,-265
300,-13136,4780,6084,55,-213,-54,-10148,10508,8556,251,-246,-290
320,-12772,4792,6108,-82,-352,2,-9760,10412,8604,297,-415,-335
340,-12500,4680,6004,-393,-212,76,-9928,10248,8432,348,-521,-334
360,-12888,4664,5948,-335,-125,25,-9984,10440,8224,317,-344,-287
380,-13236,4916,6008,-89,-91,-34,-10176,10408,8232,286,19,-201
400,-13056,4564,6188,-112,-263,107,-9752,10352,8572,369,-177,-246
420,-12480,4724,6072,-224,-240,178,-9736,10276,8648,393,-364,-309
440,-12668,4636,6112,-374,47,187,-9940,10256,8232,405,-467,-363
460,-13256,4728,5952,-137,96,121,-10400,10436,8028,335,-193,-288
480,-13380,4732,5756,62,-358,65,-10224,10544,8428,346,-153,-245
500,-12948,4732,6096,-3,-632,65,-10152,10288,8624,351,-265,-235
520,-12352,4544,6196,-124,-419,63,-9768,10228,8636,401,-408,-288
540,-12736,4664,6124,-141,-105,45,-9896,10464,8280,428,-354,-315
560,-13148,4844,6064,-136,-3,126,-10360,10476,8208,369,-12,-246
580,-13144,4648,6260,59,-266,65,-10144,10508,8584,300,-109,-279
600,-12536,4660,5980,37,-385,35,-9672,10392,8796,375,-323,-402
620,-12284,4628,5932,-356,140,96,-9840,10304,8408,398,-349,-429
640,-13376,4640,6232,-119,-47,-63,-10428,10428,8168,355,-252,-346
660,-13540,4944,5948,90,-284,-22,-10216,10496,8368,357,-265,-265
680,-12460,4712,6344,-68,-371,53,-9696,10412,8304,396,-253,-290
700,-11996,4644,6184,-58,74,128,-9368,10240,8656,434,-371,-458
720,-12660,5028,5708,-433,800,229,-9904,10436,8208,485,-86,-525
740,-13684,4844,6064,-374,790,203,-10608,10508,8120,468,150,-360
760,-13068,4780,6104,-352,302,133,-10116,10508,8456,473,-119,-275
780,-11828,4804,6364,-714,831,273,-9608,10364,8684,482,-164,-409
800,-12644,4392,6188,-1264,1748,386,-9892,10040,9220,588,-895,-489
820,-13724,4360,6740,-2185,1439,470,-9904,10132,9252,629,-714,-420
840,-14000,3648,6468,-2687,1076,458,-10420,10380,9092,1004,-741,-295
860,-11580,4004,6392,-2500,2200,-83,-9880,10340,9000,1263,-451,-305
880,-12752,3744,8104,-3692,4969,194,-9724,10140,9464,1126,-807,-585
900,-14580,2784,10712,-7129,6604,2855,-9708,9620,10760,2036,-2265,-1010
920,-15616,892,11084,-8064,5692,5593,-8148,9580,11228,3930,-927,-1442
940,-14180,-492,12608,-5096,869,5306,-9628,9384,11028,5437,2255,-1547
960,-11752,-4132,16848,877,-1558,3653,-10932,9076,10920,6597,1605,-2243
980,-16136,-8212,20716,10713,-8061,1989,-9792,8140,12312,8050,-4782,-3945
1000,-12308,-6144,12832,22420,-13961,752,-7688,7916,13636,10983,-7726,-5721
1020,-5720,2040,3152,13517,-7501,3285,-5928,7668,13212,13712,-7144,-7416
1040,-8040,-3248,9496,9662,9108,10757,-3960,7232,9956,15289,3086,-9591
1060,-14392,-9152,14996,18815,8918,12478,-11460,6896,11404,16808,5308,-10080
1080,-17464,-6868,10296,27453,-2462,8158,-10828,5956,14580,19737,-3343,-11790
1100,-15100,-3312,4856,29668,-15750,-2215,-12096,4760,14588,23614,-13678,-14042
1120,-12632,-1032,2652,26001,-27890,-12844,-12140,5960,10872,25114,-26514,-16412
1140,-2692,3224,-5000,21606,-9776,-5668,-5152,6244,4312,25590,-12077,-16635
1160,-7812,2852,-3788,16089,21784,18324,-6628,6948,352,26496,19596,-14626
1180,-6728,1956,-592,32767,22153,10722,-19816,6068,232,27097,26983,-12121
1200,-24212,18008,-17208,24760,-9918,-15740,-26392,6728,-2940,24123,-9566,-9488
1220,-21532,18244,-23624,22083,-12865,-10658,-19196,7528,-17228,16856,-16122,-6020
1240,-17168,26892,-28208,16740,-4356,-1808,-21240,7668,-12312,11255,-5448,-4884
1260,-19604,26400,-21896,8389,-3514,74,-20964,9936,-10964,6724,-2338,-976
1280,-13024,21548,-13704,-376,-9803,-2728,-18952,11292,-5796,2287,-10783,1829
1300,-7336,16052,-6240,-5077,-12462,-5534,-12828,11752,-2628,-664,-15570,2047
1320,-5656,11096,-76,-5787,-5714,-2087,-7852,11168,-420,-1587,-8672,1170
1340,-7724,9132,3164,-4392,292,1603,-8328,10584,2456,-1609,-561,630
1360,-7876,6712,4536,-4906,1301,906,-11404,10392,3392,-1415,1474,4
1380,-11288,7296,4032,-2928,1384,-44,-11724,9692,3512,-1295,-112,-510
1400,-12960,8540,3008,-2425,-482,-1023,-12640,9292,4076,-814,-1560,-690
1420,-13076,9564,1932,-2268,-840,-679,-11908,9208,3828,-57,-1177,-538
1440,-12004,9964,1436,-2118,1272,1302,-12544,9648,3664,359,1125,-23
1460,-12520,7980,3164,-1932,2393,2548,-13068,10196,2592,126,2372,164
1480,0,0,0,0,0,0,-13588,9512,4228,392,389,293
1500,-12988,10116,1420,-1558,-332,1382,-13292,9436,4284,657,-128,478
1520,-12224,9692,1692,-2805,363,1741,-12868,9732,3768,792,58,671
1540,-11828,9084,2212,-2636,1061,2019,-12664,9884,3096,577,601,639
1560,-12284,8960,2612,-1836,928,1973,-13144,9780,3456,473,884,436
1580,-12340,9088,2272,-968,18,713,-13304,9844,3532,424,-192,218
1600,-11328,8984,2244,-600,-475,-423,-12976,9776,3380,169,-653,-10
1620,-11768,8500,2172,370,344,99,-12376,9772,2208,-315,232,-145
1640,-12196,9132,1680,927,556,410,-13364,9492,2872,-550,694,-217
1660,-12396,9476,1080,939,705,270,-13508,9260,2936,-705,446,-141
1680,-12020,9932,860,567,962,502,-13304,9584,2460,-866,540,171
1700,-11076,9996,548,298,1798,740,-12952,9896,1660,-1269,1184,374
1720,-9856,10408,312,-133,2092,442,-12332,10428,928,-1839,2017,183
1740,-10828,9784,-1692,-489,2534,95,-13688,10732,-288,-2899,2445,106
1760,-10024,11096,-2520,3096,5472,102,-14428,10464,-2376,-4698,3418,531
1780,-12664,17276,-8756,6217,8113,1164,-13056,8332,-724,-6690,5536,1292
1800,-13132,20216,-13704,2272,7806,-2585,-16976,8556,-952,-8049,5930,3361
1820,-13064,17528,-13552,-5733,5043,-5066,-16368,10196,-2200,-10471,3964,5062
1840,-13620,13380,-9608,-8996,5369,-5154,-15348,10532,-1304,-12818,3386,6311
1860,-14612,11516,-8412,-6944,3471,-7213,-13900,10264,-168,-14097,2091,6857
1880,-14660,10280,-9952,-8658,12,-8581,-14256,10148,1556,-15415,1762,7946
