Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15596,4324,-3784,-365,-1318,-1414,-13268,7768,-1040,-216,-1338,-256
20,-15708,4580,-4956,-1006,201,256,-12544,7768,-796,-428,739,-519
40,-14532,3892,-3140,-2101,2064,1132,-13512,7840,-460,-554,2017,-788
60,-14140,3116,-1388,-1735,1227,482,-14280,7948,488,-517,1128,-897
80,-15288,2664,-1728,-730,303,264,-13884,8092,704,-380,516,-978
100,-15480,2688,-2048,-400,793,468,-14096,8104,996,-93,666,-985
120,-15960,2652,-1620,-402,722,518,-14724,8052,1116,148,579,-803
140,-15760,2692,-1676,97,461,222,-15164,8168,900,369,-26,-481
160,-16256,2912,-2420,404,-152,-50,-14788,8264,744,520,-481,-169
180,-15392,3164,-2280,24,-412,-61,-14636,8412,448,628,-772,21
200,-15924,3388,-2096,331,-1341,-452,-14132,8392,260,562,-1164,137
220,-15220,3616,-2580,548,-1242,-248,-14112,8320,32,449,-995,210
240,-14584,3408,-2044,233,-1076,-728,-14648,8148,252,367,-1313,202
260,-15356,3460,-2432,327,-1571,-920,-13424,7932,152,341,-1492,148
280,-14776,3480,-2568,8,-489,-445,-13408,7944,156,383,-927,-61
300,-14740,3564,-2240,-302,-317,-376,-13384,8004,-16,395,-841,-237
320,-14712,3624,-2332,-177,128,-202,-13668,7980,-92,395,-585,-393
340,-15140,3784,-2796,92,28,-260,-13656,8000,-204,287,-671,-453
360,-14888,3472,-2744,-399,69,-33,-13704,8112,-64,262,-277,-468
380,-15208,3428,-1908,-290,195,-32,-13968,8236,192,249,-166,-476
400,-15156,3224,-1756,25,1,-80,-13840,8216,144,324,-210,-501
420,-16028,3456,-2692,70,0,324,-13916,8228,472,406,107,-457
440,-15264,3164,-2488,-282,334,470,-14640,8396,612,503,153,-287
460,-15316,3212,-2016,-301,-285,27,-14468,8472,652,495,-478,-92
480,-15160,2996,-1840,-335,-424,-271,-14312,8244,400,470,-691,-49
500,-16072,3408,-2548,339,-1120,98,-13600,8140,320,445,-448,22
520,-14512,3316,-2604,-8,-14,328,-13744,8132,276,408,-116,-122
540,-14612,3400,-2264,-289,-392,-181,-13940,8008,224,362,-618,-169
560,-14780,3636,-2536,-73,-82,-280,-13756,8152,-24,290,-614,-280
580,-15396,3736,-2732,-241,405,70,-13392,8236,-84,188,-6,-436
600,-15020,3600,-2480,-454,541,417,-13736,8212,84,156,281,-516
620,-14844,3372,-2208,-260,275,153,-14108,8144,272,66,164,-604
640,-15080,3244,-1964,-201,125,-202,-14400,8232,392,60,-124,-618
660,-15540,3188,-2080,-133,-41,-418,-14332,8472,712,55,-630,-551
680,-15832,3168,-2320,-128,-474,-163,-13744,8476,600,162,-365,-431
700,-15380,3332,-2300,-441,-198,178,-14140,8384,476,209,-89,-285
720,-15144,3384,-1932,-416,-556,-80,-14512,8368,380,209,-505,-148
740,-15248,3564,-2164,47,-523,-441,-14140,8408,88,87,-853,-52
760,-15152,3656,-2464,-9,-585,-353,-13680,8408,148,35,-778,-26
780,-15072,3540,-2448,-529,-725,-99,-13528,8328,288,-28,-507,-25
800,-15184,3652,-2444,-749,-579,-116,-13708,8164,112,-27,-285,-54
820,-15092,3560,-2092,-604,-351,17,-14076,8204,128,-54,-77,-8
840,-15028,3292,-1908,-298,-369,-115,-14116,8112,244,-95,-268,-16
860,-15004,3084,-1836,410,67,180,-13312,8164,408,68,-154,-114
880,-14752,2792,-1512,198,228,365,-13296,8220,1032,389,-273,-334
900,-15320,2228,-1228,236,263,103,-14440,8264,1804,941,-806,-259
920,-17220,1356,-396,472,-378,-299,-15436,8812,3036,1677,-1725,434
940,-20324,672,1424,-536,288,-637,-16932,9800,5600,2486,-3725,1815
960,-24492,1268,2964,-6597,519,799,-17756,11448,7308,3633,-5901,3697
980,-21880,-492,6924,-13163,4900,2107,-20608,14140,8588,4464,-8386,5076
1000,-20364,-3804,10404,-12311,4980,-1116,-19656,15348,8580,5021,-13265,6331
1020,-20144,-3820,9684,-8512,-1477,-6236,-18012,16272,8284,5121,-18896,7327
1040,-19916,-456,3264,-11125,-5453,-10028,-14188,16596,8452,5017,-25004,7370
1060,-19936,-4648,5244,-12260,-9767,-10355,-7800,16448,7832,5287,-27935,5773
1080,-19840,-4548,9364,-1681,-12685,-7996,-5056,15492,6308,6164,-22462,3052
1100,-18300,-1824,6068,5376,-8087,-1429,-7128,15648,5288,6189,-17983,230
1120,-17136,-900,6152,7850,-4712,1444,-8756,15188,5408,6236,-17909,-3154
1140,-14984,-1496,3808,11830,-10093,-969,-6764,14008,7976,8159,-19519,-6472
1160,-11032,1280,504,10645,-7469,-714,-5620,11776,5052,9969,-17790,-10097
1180,-15224,3304,-400,12432,-772,7033,-7732,7488,2500,10106,-8074,-14016
1200,-8720,2472,-4628,13871,4431,11530,-8864,5968,5844,10430,-3827,-16977
1220,-1320,-5020,-20,15218,6254,7942,-12520,1576,4508,11699,-6718,-20565
1240,-5632,280,-6616,17976,11554,5378,-12948,-1608,1360,11594,-5776,-23845
1260,-9696,9072,-17360,19958,8850,2181,-23396,-6460,-644,8561,-9795,-22659
1280,-7760,16072,-29128,18911,4379,-5495,-25516,-7464,120,5094,-14976,-16570
1300,-12820,18048,-28948,12236,2252,-13065,-24240,-6916,228,1683,-16761,-7967
1320,-15936,15224,-23992,2009,361,-14354,-12700,-176,4696,-2497,-5791,5221
1340,-15576,4492,-9604,-6446,-1112,-8627,-11452,544,5124,-2422,-4763,5684
