Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16412,-4604,1168,-216,216,-57,13652,-8732,-1936,319,43,-257
20,16316,-4616,1180,-147,90,95,13496,-8920,-2272,343,-355,-270
40,16044,-4428,1292,-75,-372,-55,13716,-8720,-1924,460,-494,-384
60,16276,-4448,1252,141,-508,-31,13808,-8760,-1928,389,-731,-357
80,16896,-4136,1172,-178,-189,-1,14400,-8704,-2480,383,-324,-319
100,16796,-4320,1132,-235,-10,-30,13980,-8564,-2152,369,103,-277
120,16240,-4580,1448,-28,-15,52,13524,-8684,-1868,313,-327,-248
140,16260,-4480,1152,-218,-112,48,13584,-8908,-2472,407,-428,-312
160,16336,-4444,1360,-406,-471,106,13700,-8500,-1892,452,-539,-397
180,16636,-4324,1160,-35,-578,104,14152,-8548,-2096,339,-718,-283
200,16884,-4364,1308,45,-495,-41,14276,-8624,-2352,243,-394,-211
220,16584,-4324,1240,5,-316,20,13824,-8596,-2288,158,-300,-167
240,16544,-4344,848,-158,19,59,13928,-8876,-2420,235,-252,-187
260,16460,-4440,1220,-305,-101,37,13776,-8604,-2104,335,-103,-284
280,16440,-4384,1332,-46,-264,1,13668,-8568,-1960,285,-369,-290
300,16348,-4396,1180,4,-411,-31,13760,-8720,-2008,195,-238,-287
320,16632,-4532,1052,-37,-231,34,13716,-8576,-2220,392,-389,-308
340,16680,-4332,1120,-241,-176,48,13976,-8776,-2416,414,-262,-332
360,16420,-4456,1136,-72,-396,48,13864,-8536,-2228,244,-379,-329
380,16604,-4432,1228,65,-414,-10,13816,-8724,-2096,401,-342,-277
400,16372,-4484,1372,-18,-455,5,13760,-8584,-2220,309,-387,-229
420,16596,-4552,1080,-71,-431,1,13604,-8704,-2180,332,-368,-268
440,16384,-4380,972,112,-490,49,13764,-8808,-2108,346,-460,-266
460,16420,-4292,1160,68,-468,-10,13988,-8732,-2292,372,-499,-276
480,16452,-4552,1212,234,-418,-40,13912,-8684,-2304,344,-393,-333
500,16648,-4444,1036,42,-269,73,13940,-8692,-2088,336,-404,-292
520,16580,-4468,1032,183,-260,16,13912,-8680,-2348,376,-315,-280
540,16664,-4400,1064,40,-115,-23,13920,-8836,-2440,359,-250,-278
560,16388,-4452,1136,-24,-175,31,13572,-8792,-2048,351,-350,-303
580,16352,-4452,1184,-53,-259,58,13780,-8600,-2116,364,-442,-359
600,16436,-4400,1152,260,-560,-14,13896,-8676,-2256,250,-524,-333
620,16568,-4484,1080,386,-738,-53,13976,-8712,-2484,245,-433,-268
640,16552,-4612,1264,533,-913,-30,13652,-8856,-2440,209,-433,-235
660,16384,-4732,1312,861,-1020,-4,13708,-8732,-2452,245,-541,-278
680,16268,-4784,1324,1410,-1724,-96,13588,-8836,-2012,325,-932,-407
700,16176,-4792,1596,2646,-2900,-113,13680,-8596,-2252,240,-1295,-488
720,16648,-4888,1432,4228,-3733,-144,13848,-8776,-2192,229,-1460,-710
740,16280,-4500,1428,5476,-4696,-154,13788,-8640,-2164,-8,-1570,-706
760,15668,-4904,2048,7459,-6648,49,13012,-9116,-1896,-303,-1731,-1363
780,16108,-4168,2712,10298,-9380,794,13672,-8668,-2028,-946,-2440,-1673
800,16020,-3588,1748,12500,-11444,1553,15068,-8196,-1720,-2232,-2266,-1220
820,17716,-3292,1780,14420,-11711,1679,13680,-8152,-1824,-3140,-2034,-761
840,18648,-3156,1608,19315,-10217,3103,13636,-7968,-2460,-4012,-2650,17
860,18932,-1580,820,26661,-7287,6086,14780,-7460,-2148,-6094,-2891,1149
880,19272,-268,1764,27638,-2912,8323,16240,-6468,-1232,-8958,-1306,2560
900,17816,220,1888,18614,3655,6592,15008,-7424,-1296,-10413,119,3916
920,18220,-1040,1460,16204,6550,7027,14492,-7632,-3008,-11263,1148,4539
940,14224,-2044,1684,15973,8857,4097,16404,-6484,-2712,-14237,5339,5931
960,13316,-1568,3132,10403,6540,-1329,13884,-6652,-1412,-15155,5178,5420
980,16116,-2184,2020,2815,1145,-2791,13776,-7556,-2108,-14507,3104,4936
1000,16624,-1740,3060,-381,-1826,563,13124,-7344,-2220,-14436,3441,4945
1020,17244,-2824,1996,-8266,-1591,1376,13936,-7392,-2656,-13113,2653,5153
1040,15316,-4900,520,-12425,-422,1759,14124,-7440,-3648,-12496,3263,5085
1060,17124,-4020,-492,-9362,-1650,-223,14092,-7108,-5356,-12458,2764,4683
1080,18640,-5196,-780,-11606,-447,-521,14372,-7524,-6856,-12287,3124,4601
1100,18724,-5832,-1604,-11876,938,-1130,14016,-7684,-6728,-11836,4690,4687
1120,17564,-5384,-1052,-13375,4314,-1921,12824,-7936,-6940,-11469,6708,4653
1140,16232,-6456,-1416,-14318,3656,-1689,12636,-7808,-6836,-11121,6294,4563
1160,15724,-7172,-1984,-13768,2515,-1341,12176,-7996,-6732,-10396,4897,4080
1180,16624,-9044,-524,-11189,2546,282,12444,-7804,-7176,-9618,3591,3867
1200,16096,-9972,-1872,-8184,996,1432,12884,-7812,-7560,-8780,3259,3845
1220,16944,-8964,-2676,-7681,312,918,12924,-7704,-7908,-7686,2338,3913
1240,17692,-7324,-1816,-8421,1652,587,12692,-7864,-7924,-6828,2044,4016
1260,16604,-7508,-1276,-8743,2658,986,12356,-8188,-7640,-6292,2532,4190
1280,15596,-7652,-1256,-7944,2406,1062,12160,-8152,-7112,-5699,2303,4115
1300,15476,-7208,-1244,-7445,1355,1678,11852,-8064,-7032,-5366,1230,3850
1320,15844,-7276,-984,-7166,971,1793,12312,-8080,-7512,-5053,967,3823
1340,15996,-7220,-1168,-7095,1698,1042,12068,-8188,-7572,-4738,1723,3832
1360,15780,-7604,-1228,-6929,2426,932,11764,-8360,-7336,-4298,1995,3696
1380,15276,-7248,-628,-6261,1889,882,11920,-8500,-7048,-3927,1773,3335
1400,15284,-8576,-1564,-5323,1932,931,11788,-8356,-7288,-3621,1395,3023
