Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-12592,7772,-6284,62,-404,-237,-12744,8132,-5276,359,-641,-386
20,-12808,7908,-6564,153,-535,-286,-12740,8280,-5388,334,-629,-353
40,-12860,7736,-6560,7,-182,-124,-12436,8196,-5216,333,-381,-310
60,-13016,7620,-6448,-170,-266,88,-12656,8160,-5036,446,-297,-164
80,-12964,7812,-6252,-6,-548,166,-12740,8204,-5284,487,-589,-41
100,-12712,7848,-6452,107,-458,248,-12540,8224,-5324,502,-433,-26
120,-12236,7768,-6600,-131,-87,338,-12476,8220,-5316,426,19,-98
140,-12304,7812,-6380,-239,250,87,-12556,8192,-5232,358,46,-279
160,-12524,7612,-6036,-130,-92,-171,-12656,8076,-5016,361,-298,-322
180,-12520,7712,-6404,-101,-846,-281,-12368,8036,-5260,424,-792,-368
200,-12620,7780,-6720,-118,-739,-101,-12500,8156,-5392,467,-474,-374
220,-12556,7836,-6792,-145,-92,-87,-12584,8172,-5512,441,-83,-369
240,-12780,7756,-6276,-89,94,-106,-12712,8272,-5424,375,-140,-382
260,-12700,7608,-6132,-13,-283,-135,-12792,8200,-5312,375,-380,-324
280,-12872,7644,-6292,169,-892,-344,-12784,8232,-5248,422,-555,-286
300,-12800,7736,-6420,65,-918,-302,-12660,8312,-5256,344,-738,-248
320,-12756,7840,-6476,-110,-443,3,-12516,8300,-5396,297,-336,-212
340,-12932,7752,-6480,-219,73,183,-12544,8248,-5232,275,-199,-231
360,-12784,7672,-6484,-331,-62,258,-12828,8256,-5204,287,-264,-165
380,-12424,7820,-6068,-315,-459,37,-12728,8288,-5228,326,-332,-150
400,-12440,7700,-6208,-11,-486,-134,-12472,8212,-5304,303,-474,-212
420,-12664,7720,-6476,163,-127,13,-12420,8100,-5240,314,-252,-226
440,-12728,7616,-6760,-47,-162,161,-12516,8176,-5040,358,-305,-258
460,-12500,7808,-6304,-459,-374,76,-12820,8184,-5180,396,-351,-247
480,-12616,7872,-6020,-166,-369,-95,-12644,8300,-5292,295,-413,-301
500,-12672,7776,-6180,46,-111,-95,-12520,8232,-5292,260,-215,-319
520,-12824,7892,-6560,-101,61,22,-12704,8188,-5220,233,-164,-287
540,-13112,7736,-6684,-388,-293,135,-12864,8232,-5308,206,-285,-188
560,-13028,7796,-6648,-375,-565,68,-13008,8308,-5640,115,-519,-91
580,-13396,7964,-6800,-351,-691,105,-12996,8524,-5428,-113,-541,35
600,-13356,8160,-7032,-868,-1064,238,-13104,8824,-5448,-525,-772,179
620,-13336,8564,-7184,-1309,-1510,300,-13436,9008,-5800,-1007,-1111,355
640,-14144,8968,-7864,-2187,-1992,440,-14372,9300,-5984,-1872,-1921,686
660,-14860,9788,-8828,-3657,-4026,566,-15232,10112,-5532,-3192,-3978,1218
680,-15884,10608,-9888,-8324,-7087,1151,-16120,10464,-5424,-4996,-7022,2106
700,-15776,9916,-11084,-13778,-10618,1274,-15192,10348,-5644,-6608,-8605,2948
720,-15672,9492,-10532,-16334,-12532,1162,-15568,11080,-4692,-8306,-9065,3958
740,-15232,10552,-9960,-20669,-14215,1244,-15472,11340,-4488,-10258,-10327,5390
