Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-212,-132,18060,-260,22,-527,1600,-2740,15632,-515,15,-150
20,-216,-112,18028,-234,43,-554,1552,-2648,15700,-496,40,-158
40,-272,-156,17960,-206,5,-540,1520,-2668,15548,-499,50,-141
60,-192,-192,17888,-231,26,-550,1540,-2696,15660,-518,23,-156
80,-124,-200,17996,-210,71,-528,1648,-2696,15620,-536,14,-133
100,-236,-236,17944,-243,56,-542,1544,-2728,15624,-540,3,-150
120,-184,-112,18092,-246,62,-540,1612,-2660,15612,-507,127,-153
140,-276,-204,17872,-221,70,-553,1560,-2760,15652,-488,84,-152
160,-236,-208,17860,-257,59,-537,1508,-2660,15368,-554,51,-162
180,-160,-164,18004,-229,37,-498,1520,-2716,15568,-510,18,-119
200,-284,-36,17876,-255,40,-494,1576,-2632,15724,-533,49,-99
220,-200,-192,17888,-235,37,-498,1432,-2648,15664,-511,66,-70
240,-200,-116,18080,-337,-14,-501,1596,-2652,15676,-555,35,-112
260,-348,-144,17980,-327,-73,-502,1572,-2672,15720,-622,-44,-97
280,-256,-132,18048,-277,-29,-519,1500,-2716,15812,-643,-82,-53
300,-272,-172,18056,-349,-9,-517,1572,-2756,15656,-610,-29,-63
320,-160,-252,18000,-335,23,-482,1604,-2716,15728,-549,117,-77
340,-220,-280,18004,-333,16,-486,1404,-2636,15520,-573,-8,-49
360,-176,-124,17924,-277,24,-459,1532,-2736,15772,-573,28,-60
380,-208,-240,17928,-297,39,-457,1492,-2656,15544,-580,5,-45
400,-252,-144,17860,-262,11,-490,1496,-2764,15556,-567,58,-63
420,-176,-176,17892,-237,2,-484,1552,-2764,15600,-525,25,-102
440,-92,-64,17824,-268,-27,-494,1536,-2660,15696,-581,18,-110
460,-164,-188,17932,-315,-24,-552,1488,-2640,15584,-637,-37,-83
480,-156,-264,18016,-317,-23,-522,1588,-2744,15536,-623,-56,-88
500,-292,-268,17920,-294,22,-555,1576,-2712,15732,-589,60,-84
520,-288,-60,17892,-296,17,-521,1500,-2684,15688,-582,80,-125
540,-168,-184,17996,-335,12,-570,1436,-2904,15820,-619,56,-106
560,-288,-224,18180,-427,188,-579,1332,-2676,15884,-628,-27,-113
580,-204,-68,18208,-623,629,-410,1808,-2752,16328,-708,78,249
600,312,172,18348,-840,1869,-156,2424,-2292,16756,-895,536,1038
620,-152,884,19364,-1940,5731,1865,4312,-2916,17888,-266,2569,2238
640,-1416,-172,19880,-2845,10701,5272,3688,-3160,19228,1243,5197,3747
660,-2928,360,21488,-5428,15739,8250,1936,-4252,20620,2861,9312,5326
680,-6912,248,19092,-11178,30605,11325,188,-3712,20712,5209,19184,10720
700,-12420,-3520,19832,-15710,32767,14901,-5440,-3936,20772,7511,28457,13373
720,-20008,-4956,19640,-18858,32767,17934,-8768,-1224,18528,8433,32767,16790
740,-21708,-5832,18832,-17466,32767,21363,-12072,396,18016,8932,30415,19068
760,-23036,-5728,16040,-16077,32767,25480,-11496,1268,16024,8433,28248,22756
780,-19936,-4860,13956,-16389,28949,29431,-11716,2096,15112,7400,27222,26491
800,-19064,-4056,11856,-17097,26491,32183,-11688,3116,13296,6074,23715,28889
820,-17152,-3688,10468,-17474,22401,32696,-10780,3420,12716,4546,20282,30332
840,-15648,-2804,10040,-18277,18020,32672,-9788,4004,12112,2756,17273,31092
860,-13416,-2380,8812,-19476,14429,32426,-8052,4104,11560,1159,15568,31392
880,-12160,-1952,8684,-21680,12074,31623,-7700,4616,11748,-741,13119,30984
900,-10744,-2232,9528,-23098,10533,30621,-7304,4300,10576,-2187,7195,30481
920,-9936,-1564,8772,-23366,7651,28576,-5964,4816,10160,-3459,8132,29525
940,-8524,-1012,8220,-23747,6350,26710,-5140,5032,9664,-5515,11791,28389
960,-7956,-476,7596,-25053,6970,24504,-5344,5160,9448,-8033,14350,26876
980,-8796,-804,8112,-26058,6187,21830,-7180,4876,9668,-9666,12178,24661
1000,-8744,-764,8004,-25531,2360,18568,-7248,4260,9412,-10437,7897,22401
1020,-8604,-632,7652,-24461,-413,15764,-6676,4424,8628,-11502,5579,20158
1040,-8404,-340,7436,-23437,-982,13723,-6280,4380,8080,-12295,4844,18143
1060,-7448,-32,7260,-22579,-541,11566,-6068,4340,7960,-12791,5471,16101
1080,-7936,124,6428,-23303,377,9920,-6340,4220,7676,-13653,5915,14865
1100,-9052,-784,7184,-22413,885,9121,-7104,4328,7252,-13985,5950,13114
1120,-10368,680,7392,-21540,-1429,9678,-7600,5140,6748,-14854,7362,11521
1140,3012,-4392,14856,-26027,4637,10532,4948,1648,12836,-15156,16257,10089
1160,-14204,-22220,32767,6331,3011,-2024,-2052,-3200,17020,-9446,20653,3547
1180,-10476,-504,5652,1603,7341,2646,-9436,4084,14188,-5693,12478,1621
1200,-15424,-1380,13672,1632,5048,577,-14344,3608,13696,-5168,7788,872
1220,-14252,1448,11852,725,708,-759,-10728,2816,14732,-3533,1907,-18
1240,-14064,1472,12280,227,-5,-1185,-9688,4516,13060,-1861,1137,-288
1260,-12192,2460,11120,424,-877,-1521,-8480,5120,11756,-999,209,-812
1280,-11268,3056,10556,484,-328,-1764,-7552,5736,11072,-775,307,-1172
1300,-11676,3160,10216,310,662,-1634,-7788,5960,11072,-860,1019,-1296
1320,-12280,3072,10688,561,1024,-1568,-8080,5936,11224,-1030,1524,-1319
1340,-12464,3116,10880,752,1190,-1365,-8332,5628,11608,-881,1719,-1337
1360,-12620,3036,10976,694,1044,-1333,-8628,5432,11624,-604,1458,-1262
1380,-12920,2776,10992,820,679,-1335,-9012,5528,11624,-238,472,-1273
1400,-12740,2740,11088,1009,341,-1487,-8800,5248,11804,105,-479,-1344
1420,-12608,2924,10992,950,167,-1567,-8656,5320,11816,521,-1105,-1393
1440,-12556,2840,11476,1079,190,-1643,-8400,5108,12036,998,-1817,-1362
1460,-12328,2768,12100,1040,643,-1703,-7724,5020,12384,1800,-2174,-1390
1480,-12480,2448,12804,1263,1736,-1531,-6836,4964,12288,2600,-1680,-1383
1500,-12544,2088,14480,2722,2575,-1299,-7576,4852,12084,3458,-1535,-1548
1520,-12276,1152,15672,7964,2785,-502,-7380,5252,11124,5059,-1642,-2565
1540,-10252,820,14812,15187,4523,15,-7084,5820,11288,6095,-1562,-3491
1560,-9996,-652,14392,22503,6906,-155,-7712,5304,11968,7471,-1688,-4444
1580,-12068,-480,13636,30041,3395,-3006,-8272,4644,12884,9015,-1677,-5146
1600,-13036,520,11672,32767,-1787,-5654,-8520,4544,13716,10716,-3573,-6072
1620,-12284,2076,9280,32767,-5432,-6948,-8068,4880,13168,11564,-6601,-7592
1640,-9604,4472,9008,31247,-3930,-9270,-5940,5236,12528,12169,-6450,-8740
1660,-10640,4172,8136,28843,1341,-10328,-5296,5960,11676,11612,-1598,-9039
1680,-13724,3584,7196,26911,1152,-9966,-7860,5656,11116,11429,-838,-9651
1700,-13136,2528,4824,26650,-3760,-8548,-9408,6116,9492,11144,-5567,-10727
1720,-12860,5024,4092,25027,-8288,-8027,-8416,6372,10456,10763,-10967,-12245
1740,-13328,5012,4484,21898,-10008,-10097,-9136,6616,10428,10150,-15001,-13087
1760,-14036,3784,5128,20408,-12456,-11544,-9380,6320,10016,8533,-14378,-14003
1780,-15548,2996,5528,19908,-12488,-11170,-8992,6716,9360,7113,-12485,-14297
1800,-15412,2840,5716,21075,-12416,-8554,-8744,6632,9800,6460,-12392,-14530
1820,-12964,4084,5556,20252,-10753,-7731,-7848,6232,10696,6200,-11700,-14073
1840,-12660,4132,6024,18771,-6824,-8608,-7168,5972,10452,6373,-8195,-13862
1860,-13736,3880,5788,17839,-4278,-9416,-8384,5756,11112,6215,-5189,-13412
1880,-14460,3012,5880,17273,-4532,-9964,-9496,5628,10560,6077,-4595,-13387
