Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1548,3316,17448,-236,19,-554,-4572,1780,14844,-492,13,-153
20,-1468,3304,17432,-265,-3,-572,-4540,1608,14904,-533,22,-106
40,-1508,3192,17416,-248,33,-570,-4544,1708,14888,-494,68,-111
60,-1560,3228,17364,-281,23,-569,-4468,1652,14912,-522,65,-141
80,-1532,3220,17464,-282,-8,-552,-4432,1696,14900,-558,10,-119
100,-1584,3240,17344,-305,-9,-536,-4472,1608,14948,-578,-34,-129
120,-1544,3116,17452,-251,-14,-528,-4492,1632,14852,-575,-11,-105
140,-1532,3152,17508,-224,-3,-526,-4428,1612,14980,-556,16,-100
160,-1588,3184,17392,-280,36,-554,-4516,1696,14768,-544,25,-114
180,-1692,3172,17388,-295,-18,-550,-4484,1636,14688,-539,-6,-130
200,-1508,3160,17460,-249,32,-544,-4532,1524,14764,-542,25,-135
220,-1620,3164,17584,-241,28,-566,-4480,1664,14904,-549,-26,-159
240,-1532,3232,17540,-246,19,-579,-4488,1644,14908,-526,-47,-128
260,-1652,3200,17384,-260,0,-554,-4436,1708,15072,-492,68,-158
280,-1552,3168,17404,-286,16,-567,-4440,1692,14728,-531,26,-141
300,-1436,3184,17532,-273,13,-560,-4520,1664,15000,-565,10,-129
320,-1564,3124,17492,-332,-22,-551,-4492,1636,14932,-579,-69,-148
340,-1600,3264,17416,-294,2,-538,-4608,1636,14816,-556,23,-127
360,-1640,3208,17372,-249,10,-513,-4480,1644,14700,-527,-9,-154
380,-1404,3240,17596,-224,-8,-520,-4428,1688,15040,-519,-1,-149
400,-1476,3116,17476,-274,18,-511,-4384,1728,14856,-513,3,-118
420,-1588,3200,17448,-233,-18,-544,-4504,1664,14648,-519,-18,-125
440,-1560,3112,17488,-199,-7,-555,-4596,1608,14988,-527,-35,-167
460,-1548,3304,17412,-192,4,-567,-4508,1640,14772,-538,-20,-165
480,-1564,3264,17504,-229,-12,-564,-4436,1752,14948,-523,56,-174
500,-1436,3236,17436,-234,39,-585,-4476,1804,14760,-474,61,-173
520,-1556,3256,17424,-252,-9,-544,-4492,1752,14852,-562,-3,-133
540,-1516,3192,17408,-293,-9,-526,-4432,1636,15024,-586,-33,-102
560,-1572,3204,17416,-278,-16,-502,-4564,1592,14936,-600,-57,-58
580,-1472,3196,17528,-256,0,-528,-4536,1576,14764,-580,-77,-43
600,-1480,3264,17576,-243,-8,-515,-4432,1636,14800,-533,-48,-79
620,-1592,3236,17496,-227,-11,-502,-4556,1724,14808,-503,-24,-100
640,-1652,3236,17540,-270,-21,-502,-4636,1620,14908,-529,-179,-140
660,-1688,3352,17548,-309,-102,-519,-4488,1876,14920,-500,-198,-138
680,-1596,3200,17492,-523,-208,-524,-4732,1944,15240,-634,-396,-72
700,-1816,3028,18096,-367,32,-361,-4004,1864,15384,-1023,607,93
720,-3016,2128,20312,1551,-193,1066,-2028,2368,15196,-2194,4408,601
740,-4052,2348,23776,6738,-321,5994,-3088,320,17860,-1501,12987,3434
760,2884,1680,19152,7157,11740,10575,-5408,-1124,16812,-121,14551,5641
780,-12808,7296,19292,9382,29048,14694,-11948,760,12504,-902,22444,9866
800,-14072,3380,16436,6973,32767,14417,-16784,188,13412,-840,14998,12315
820,-15536,7432,18760,5933,32767,13632,-16756,288,13984,-1370,9461,13920
840,-18648,5560,19848,5577,11020,13091,-16352,480,15228,-1168,3580,14909
860,-11344,7120,14300,2053,2696,12788,-12524,2064,14736,-690,1677,15837
880,-7872,7152,9172,-5380,10428,14732,-9332,3284,11660,-1811,5158,17620
900,-10004,5520,8888,-12023,22778,15403,-9116,3588,8664,-4446,11611,19903
920,-10236,3300,7684,-14005,27132,17345,-7960,3156,8128,-7490,15480,21405
940,-9316,3720,6752,-19420,29255,18731,-7864,3396,8348,-10239,19089,22386
960,-9376,2928,6932,-24777,29856,18494,-7492,3380,7480,-12964,21102,21960
980,-9100,1236,7324,-27639,30342,18147,-8496,3144,6272,-16025,23482,21107
1000,-10240,692,7104,-29880,29788,17275,-8456,2440,6632,-18248,23759,20003
1020,-11296,-508,8592,-32035,26370,17279,-10736,1980,8276,-19776,20718,18320
1040,-11368,-1576,10120,-32768,20809,15956,-11228,1620,8332,-20288,15639,16374
1060,-11576,-2268,10412,-32768,16406,13276,-9744,1424,8224,-20931,13635,14923
1080,-10852,-3092,11512,-31140,15294,12528,-9508,1104,8160,-20645,11866,13078
1100,-9628,-2628,12624,-27835,13177,11974,-10376,1104,10028,-20460,9147,11954
1120,-11204,-3184,13852,-26455,10551,9464,-10184,240,12300,-20023,7412,10442
1140,-11484,-4204,15508,-26336,4903,7401,-10788,-196,13788,-18820,3307,9564
1160,-9408,-4840,16580,-24458,-1043,5239,-10200,-136,13576,-17050,-49,8042
1180,-7776,-5292,18188,-20850,-4973,3192,-7788,-452,14844,-16966,1087,5577
1200,-6112,-4512,17560,-17200,-5362,1319,-6892,0,13940,-13240,-5877,4742
1220,-6644,-4052,17176,-14371,-5267,244,-8424,-420,13744,-11607,-6940,3527
1240,-9460,-7032,23420,-4587,-3395,-3061,-11368,-1900,18248,-7795,-12218,1492
1260,-9776,-7036,25924,794,-4649,-3024,-4308,-1172,22108,-2969,-3931,1460
1280,-15624,-6588,24568,3630,-1742,2149,-10344,-436,23972,2209,5412,3739
1300,-21688,-2360,20600,4278,7863,7317,-16804,1772,18144,4951,12191,7754
1320,-30756,-892,16604,4769,12296,14583,-21200,3124,15296,6835,19763,12518
1340,-31500,-740,14056,5124,23069,22573,-21608,4380,12072,7385,25110,19352
1360,-26716,584,12204,5795,25428,30166,-19252,5968,9820,5918,30982,24685
1380,-16312,692,9884,4500,29114,32767,-13588,6236,8536,3026,32767,27744
1400,-10604,-452,10204,1880,29370,32767,-12792,4380,7856,75,32767,26845
1420,-8512,-1424,10828,2308,19309,29832,-13964,2336,8532,-900,19209,24373
1440,-3980,-112,10568,2737,1379,22358,-7188,2416,9420,-1388,7875,20124
1460,3700,1952,8876,864,-4087,14737,-1204,3436,7168,377,1074,14833
1480,2252,2556,9528,991,-1029,8146,-1920,4232,5464,1328,494,9279
1500,-1880,3688,9092,3278,-2337,4052,-4036,5372,4640,2133,-1432,5049
1520,-4008,5556,7624,5344,-4422,1447,-5648,6584,4692,2781,-3197,2777
1540,-6484,8176,6876,4257,-6160,-479,-7264,8684,5504,3742,-6333,793
1560,-8164,8872,6700,3448,-8202,-2314,-8304,9732,3324,3958,-7251,-61
1580,-9784,9168,5572,4813,-7379,-2548,-9020,10428,1844,3468,-6233,-166
1600,-10792,9600,4476,6097,-3909,-1691,-9232,10800,1420,2510,-2585,141
1620,-12180,9480,3996,5413,-561,-372,-11428,10212,3232,2259,-1886,390
1640,-12944,9596,4532,2853,-1178,469,-11520,9812,4928,1636,-888,921
1660,-11740,9032,5956,128,-2116,675,-10652,9740,5064,1662,-1778,1023
1680,-10996,8628,7496,-493,-1013,418,-10572,9756,5152,1367,-963,890
1700,-10792,8452,8168,654,-460,304,-9936,9776,4892,914,480,749
1720,-10924,8504,8064,1398,1198,229,-10372,9628,5632,823,1384,446
1740,-11828,8652,8416,1406,613,-271,-11296,9620,5972,1219,485,150
