Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-5388,3744,16280,-270,1,-580,-5180,164,14628,-534,-16,-248
20,-5384,3700,16392,-228,8,-549,-5140,164,14548,-562,-15,-284
40,-5360,3716,16372,-263,-35,-588,-5216,136,14620,-589,-3,-270
60,-5284,3712,16284,-271,-9,-562,-5140,176,14588,-636,-88,-275
80,-5328,3816,16240,-276,-1,-560,-5272,172,14672,-645,-103,-263
100,-5356,3676,16324,-283,5,-550,-5044,60,14524,-600,8,-227
120,-5360,3676,16284,-293,-3,-546,-5208,144,14632,-621,0,-265
140,-5328,3648,16468,-291,2,-534,-5192,12,14520,-677,-109,-280
160,-5432,3644,16432,-293,-12,-564,-5172,92,14596,-706,-176,-319
180,-5332,3868,16112,-275,-25,-590,-5088,132,14720,-728,-124,-302
200,-5312,3768,16308,-317,-36,-581,-5088,104,14732,-706,-47,-346
220,-5200,3736,16340,-345,-17,-575,-5220,128,14804,-730,-34,-350
240,-5220,3820,16212,-391,-5,-583,-5224,32,14520,-760,-117,-385
260,-5420,3620,16316,-398,0,-587,-5180,120,14488,-744,-249,-413
280,-5392,3664,16300,-484,-13,-571,-5376,16,14612,-702,-525,-418
300,-5424,3724,16324,-524,15,-587,-5112,156,15068,-615,-593,-414
320,-5376,3800,16492,-655,-36,-607,-5032,108,15064,-533,-417,-412
340,-5896,3652,16544,-329,242,-315,-4968,-72,15168,-593,-435,-374
360,-6096,3304,17068,678,797,450,-4732,-84,15692,-761,-1001,-430
380,-5768,3368,17452,2167,1954,1287,-5312,-880,16016,-749,-2331,-658
400,-6812,2304,19120,3115,1561,1915,-6268,-1572,14348,-512,-2324,-61
420,-7660,932,17032,6175,1721,1598,-6240,-1628,13192,183,1700,1345
440,-8184,-2392,16792,11276,5977,255,-6184,-3380,13288,758,4846,3634
460,-9540,3996,16204,13767,11660,-390,-9348,-1428,15004,632,9962,5881
480,-12196,6316,15688,12231,14101,1601,-10168,-728,16044,1136,11068,7784
500,-14396,7628,13432,9642,12146,4172,-10868,376,15404,1501,8787,8693
520,-14232,7004,15044,7169,8395,7470,-10464,1204,15048,1640,4718,9280
540,-12880,7248,12136,5853,6663,7301,-11468,2040,14352,1582,2124,10473
560,-12264,8572,11572,4116,9009,8565,-10092,1948,13976,1293,2556,12551
580,-12292,8036,9504,1429,14264,10670,-9168,2748,13352,454,4864,15049
600,-11556,7604,8152,-2362,18907,12080,-8448,2996,11992,-1267,7061,17558
620,-11680,7068,6528,-6557,21902,14078,-8732,2856,11820,-3059,9251,19790
640,-10928,6716,5496,-11644,24304,14069,-7996,2976,11112,-5155,12220,21701
660,-8336,5180,3440,-17067,30726,13545,-5900,3300,9512,-7869,18571,24197
680,-9504,4692,3828,-21977,32767,12121,-6828,3092,8824,-10609,24640,25806
700,-10752,3444,3284,-28359,32767,9691,-7500,3224,8332,-13535,27623,25226
720,-11380,1824,3636,-32768,32767,7505,-7948,2968,7840,-16220,28686,23895
740,-10132,840,3432,-32768,32767,4621,-7288,2624,7632,-18703,28937,21506
760,-10416,-1388,3320,-32768,32767,2293,-7576,1824,7496,-20482,29434,19194
780,-11080,-2336,4116,-32768,32767,-1005,-8736,1276,7692,-21859,29371,16320
800,-12504,-3880,7676,-32768,31531,-919,-8508,2236,5268,-23988,26614,12415
820,-9544,-4856,7780,-32768,26695,356,-8804,1124,5104,-24677,22717,8570
840,-9308,-6560,9520,-32768,25264,-3321,-9664,-924,6388,-24059,20365,3944
860,-12484,-6476,11848,-31699,20270,-6913,-11992,-1868,8716,-23036,16118,237
880,-15244,-5504,12008,-27625,11221,-9018,-13296,-2188,10668,-21684,9264,-2602
900,-14620,-5424,11012,-25446,5160,-10946,-13416,-2144,10640,-20028,3771,-4285
920,-13640,-5372,9948,-23177,2588,-12853,-12004,-2068,9892,-17937,1229,-5829
940,-14844,-5888,9208,-20204,2185,-13766,-12860,-2524,9136,-16125,1194,-6501
960,-18444,-5308,8768,-17228,1735,-14101,-15328,-2568,9248,-14098,1218,-6316
980,-26244,-6908,16092,-9238,-2196,-11793,-16736,-2716,8108,-12786,1076,-5280
1000,-25848,-6568,14332,307,-1207,-3825,-18872,-3328,12616,-9081,1418,-2891
1020,-27364,-5304,13040,4451,1676,2,-19100,-3136,15064,-5007,5180,-132
1040,-22996,-3196,9976,2503,1957,1346,-19328,-2144,14196,-1603,3501,1903
1060,-21192,-1708,7448,-221,-679,517,-18072,-828,10468,68,385,2506
1080,-19528,-1348,4488,-1768,-3640,185,-16996,-160,7968,571,-2355,3296
1100,-18460,-796,2188,-2625,-3874,892,-15436,392,6028,224,-2487,4276
1120,-19036,-416,672,-3554,259,3581,-14644,724,4736,-715,1030,6330
1140,-20404,-1000,1128,-4466,4861,6182,-17160,612,5752,-1106,5306,8762
1160,-22784,-1248,2664,-5574,6241,7596,-19024,992,6860,-986,6778,10890
1180,-24016,-1504,3348,-5864,4896,9702,-18932,1192,6444,-715,5815,12935
1200,-23796,-1104,3448,-5973,4955,12881,-17992,1232,6480,-494,6914,15447
1220,-21940,-936,3496,-5737,8696,16044,-15936,1848,6624,-234,11399,18251
1240,-20864,-1248,4392,-5302,13300,19212,-15800,2472,5656,539,15234,20587
1260,-21196,-1088,5232,-3503,14006,20862,-17544,2884,5296,1227,15785,21948
1280,-20528,-720,3960,-1777,11055,22722,-17736,2824,4980,1437,12551,22770
1300,-18856,120,1544,-2482,9378,23950,-14944,3508,4612,785,11131,24042
1320,-16456,552,540,-4323,9554,24855,-13516,3872,3648,12,9527,24162
1340,-13432,1096,1592,-4296,7172,24841,-13508,5060,1680,-826,6508,23158
1360,-8604,1892,2120,-3056,2453,23138,-10164,5092,1556,-1634,1635,20225
1380,-2976,2752,1416,-3366,-69,18492,-6516,4936,2592,-1901,1655,16920
1400,-648,3840,2264,-4989,684,13228,-4404,5492,2456,-1846,712,13168
1420,-1832,4584,3268,-4824,268,8054,-5548,6048,1364,-1973,-1440,8579
1440,-3528,5320,3220,-2831,-4308,4703,-5988,7108,748,-2034,-5277,4669
1460,-3888,5988,1988,-1278,-6214,1313,-5800,8048,1028,-2087,-6227,1288
1480,-5272,6972,364,-1095,-3730,-1828,-6304,7520,1396,-1723,-2801,-596
1500,-8384,7000,472,-1211,187,-2702,-8692,8336,660,-1332,-388,-1734
1520,-11068,7420,444,-456,1021,-2982,-10492,8884,1076,-1151,829,-2228
1540,-12684,7488,676,48,486,-3210,-11588,8792,1208,-870,-96,-2432
1560,-13824,7468,1644,1017,-1378,-2896,-11524,8808,2268,-474,-1506,-2576
1580,-13536,7696,1712,1504,-1709,-2066,-10840,8768,3088,266,-1319,-2256
1600,-14028,7344,2444,1873,887,-815,-11672,8572,3632,1469,297,-1699
1620,-15640,6444,4684,3444,1730,273,-13000,8112,4436,2716,-22,-1447
1640,-16512,5392,6264,6190,-1394,982,-14044,7044,5792,4376,-3342,-1574
1660,-16352,4712,7276,8311,-5688,1108,-14172,6144,6868,6442,-7803,-2194
1680,-16268,3852,7160,10680,-10303,458,-13424,5620,7008,9047,-11804,-2961
1700,-14236,3724,6560,11775,-12131,-90,-12920,5188,6984,11780,-13613,-3492
1720,-17368,3596,10104,13515,-18067,-1138,-13544,5148,6440,14376,-15753,-4487
1740,-14908,1640,10684,17486,-24200,-2366,-13404,4944,7400,16461,-22072,-6730
1760,-14308,800,12548,22948,-32768,-4901,-15128,5336,6316,18153,-31434,-10455
1780,-16120,-224,10076,27885,-32768,-9998,-14376,5704,5236,18815,-32768,-14933
1800,-15600,284,8452,31841,-32768,-14916,-10800,6044,4032,18951,-32768,-18536
1820,-13868,1116,5756,32767,-32768,-17987,-10664,6720,4576,18043,-32768,-22705
1840,-10984,1224,5952,32767,-32768,-20936,-8380,7236,4364,16075,-32768,-26686
1860,-13012,884,6908,32767,-32768,-23502,-10080,7136,5344,13578,-32768,-29891
1880,-17640,1688,7152,30576,-32768,-24490,-12908,6672,7176,10884,-32768,-32437
1900,-20160,3872,5696,23292,-32768,-22200,-8976,6880,8696,6940,-32768,-32768
