Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-5052,3480,16400,-281,-4,-541,-4844,-292,14812,-543,-61,-210
20,-5044,3500,16628,-284,-12,-535,-4704,-204,14828,-580,-77,-184
40,-5140,3568,16492,-293,-9,-542,-4772,-260,14680,-616,-50,-178
60,-5220,3636,16376,-314,9,-538,-4800,-276,14740,-641,-8,-214
80,-5088,3544,16484,-327,-32,-530,-4752,-232,14736,-675,-85,-261
100,-5124,3500,16412,-281,-20,-561,-4848,-220,14904,-674,-106,-273
120,-5224,3532,16504,-360,5,-559,-5040,-236,14796,-715,-216,-274
140,-5192,3476,16476,-353,-18,-591,-4720,-252,14836,-651,-174,-284
160,-4988,3624,16524,-456,-5,-569,-4784,-416,15100,-522,-136,-322
180,-5016,3436,16520,-465,46,-618,-4720,-332,14856,-445,-93,-343
200,-5492,3692,16424,-429,128,-544,-4792,-176,15100,-442,-295,-335
220,-5204,3620,16412,-399,382,-45,-4092,-252,15576,-450,-930,-385
240,-4416,3288,17364,306,529,378,-3748,-280,15232,-356,-648,-587
260,-3496,3792,15724,1362,917,1234,-3624,-620,15064,222,1465,-389
280,-4544,4388,15984,1430,2891,-42,-4584,-76,14404,598,3382,-376
300,-5252,4092,15740,696,3613,-775,-5364,48,14212,761,4060,-346
320,-6216,3656,15688,477,3348,-1673,-6200,-4,14352,584,2993,-496
340,-6608,3980,15484,138,2282,-1902,-6212,52,14228,290,1375,-590
360,-6428,4376,14964,-607,46,-1512,-6064,128,14236,-55,129,-558
380,-6448,3712,15556,-1217,-915,-1017,-5524,-64,14260,-322,-852,-591
400,-5628,3632,15976,-1607,-1256,-952,-5108,-152,14488,-442,-947,-607
420,-5256,3820,15888,-1220,-2977,-747,-5180,-120,14704,-626,-1655,-680
440,-5472,3084,16660,-1630,-676,-767,-4680,-304,15188,-619,-1496,-663
460,-5936,2836,17196,-1098,-1565,-467,-4376,8,14784,-696,-1388,-769
480,-5164,3412,16500,-646,57,-307,-4508,76,14864,-660,-566,-554
500,-5616,3564,16412,-695,66,-683,-5108,-148,15144,-693,-233,-557
520,-5640,3544,16576,-572,253,-556,-4764,-8,15004,-671,32,-495
540,-5540,3700,16712,-532,354,-556,-4692,56,14924,-685,336,-479
560,-5848,3448,16952,-118,713,-357,-4832,-124,15012,-624,825,-395
580,-6744,2976,17396,587,2141,-159,-6244,-552,15260,-352,1089,-84
600,-9424,2920,19024,1354,1069,196,-7728,-1280,15168,-198,-211,223
620,-9660,1284,20036,4642,-1261,919,-7100,-1980,14600,376,-326,1151
640,-9236,4372,17096,7367,3691,130,-9432,-948,14596,1247,3545,3381
660,-11404,3764,18656,9006,5018,1857,-8832,-1308,16140,2023,4976,5012
680,-12828,4732,17944,8430,6099,3039,-10976,-1292,17240,2997,4629,6706
700,-12464,6968,16304,6869,6699,4158,-9868,264,15540,3531,4378,8454
720,-11636,5784,14492,6845,7202,5351,-10060,1736,13736,3041,5370,10765
740,-12432,5944,11500,6100,10669,5034,-10956,1952,12764,1899,4906,13032
760,-12880,4908,7316,3240,15034,7155,-8764,2480,11700,223,6699,15583
780,-12336,5416,6064,-2072,20614,9930,-8412,2540,11472,-1503,12052,18068
800,-11728,5832,5288,-7594,26133,11985,-9168,2832,10448,-4530,14617,21192
820,-10464,5240,3176,-13021,32602,12181,-6400,3396,9072,-7091,20966,23742
840,-11536,3560,1512,-21409,32767,10439,-7956,3088,8508,-10400,27895,25677
860,-12656,1320,1904,-29262,32767,8493,-9196,3112,7292,-13639,32767,26277
880,-12520,412,2532,-32768,32767,5342,-8840,3452,6264,-17106,32767,25402
900,-12160,-1444,2008,-32768,32767,2850,-9176,2944,5380,-20405,32767,23259
920,-12704,-2688,1756,-32768,32767,850,-8768,2112,4656,-23610,32767,19937
940,-13276,-4872,3052,-32768,32767,1735,-9176,1692,3448,-26131,32767,16721
960,-14084,-7104,4804,-32768,32767,-86,-13872,-112,4088,-27454,32767,12902
980,-13604,-6516,6912,-32768,26440,-879,-12388,-1424,5472,-28280,26253,8470
1000,-13368,-7960,9352,-32768,17385,-3898,-13552,-1776,8252,-27246,19862,4617
1020,-12640,-8320,11980,-32768,9250,-7773,-12896,-2644,8708,-25568,13834,1235
1040,-13044,-7904,13648,-32076,4512,-8406,-12000,-2300,8336,-24014,8723,-1208
1060,-14276,-7248,13356,-24961,1833,-8593,-13824,-2516,9008,-21720,5334,-2752
1080,-16260,-6676,12160,-20873,-511,-8911,-14512,-2808,10008,-19098,2748,-3703
1100,-16292,-6592,10580,-19705,-2264,-9180,-15024,-2896,10640,-15956,1255,-3954
1120,-17208,-6172,10276,-18723,-1105,-9299,-14976,-2164,8796,-13461,1261,-3783
1140,-19100,-6296,9828,-14799,-1572,-7715,-17012,-1848,7396,-11582,-329,-3455
1160,-20512,-6020,9812,-10704,-3818,-6142,-18492,-1640,7512,-10049,-1875,-2873
1180,-23632,-6624,9600,-5824,-5850,-3993,-19796,-2108,9056,-7881,-1979,-1189
1200,-23644,-6284,9788,-3787,-3713,-753,-19456,-2112,10024,-5505,-1294,1238
1220,-21792,-5444,9724,-1920,-3962,1231,-19100,-1040,9208,-3425,-2070,3093
1240,-20732,-3992,7584,-230,-3728,2246,-17936,-324,8708,-1971,-2246,4219
1260,-22716,-3052,4604,-1751,-380,3955,-20016,552,8692,-838,-570,6719
