Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14420,36,5000,-849,467,325,-13048,3872,9352,263,162,-328
20,-14276,172,5152,-394,294,220,-13372,4048,9416,294,19,-366
40,-14508,312,4936,104,-142,172,-13196,3960,9440,328,-331,-253
60,-14408,288,4492,37,-111,258,-13080,3836,9484,305,-315,-237
80,-14296,316,4692,-413,-25,134,-13204,3988,9644,339,-256,-244
100,-14560,112,5156,-420,118,267,-13012,3960,9552,326,-293,-231
120,-14744,100,5436,-164,236,624,-12912,4056,9856,327,-120,-177
140,-14104,172,4772,-38,244,506,-13064,3964,9748,380,28,-180
160,-14284,160,4988,-248,-175,283,-13180,4064,9620,411,-131,-245
180,-14072,324,4824,-277,-435,-43,-13436,3984,9608,448,-552,-210
200,-14356,384,4912,-365,-647,-110,-12968,4128,9428,371,-627,-252
220,-14456,528,4864,-365,-101,119,-12780,4008,9400,358,-448,-265
240,-14552,344,4864,-353,282,390,-12724,3996,9556,255,78,-235
260,-14376,340,4388,-593,-96,512,-13104,3912,9612,288,74,-229
280,-13520,180,4944,-717,122,145,-13128,4000,9440,313,-190,-301
300,-14108,220,4880,-387,12,-131,-13084,3888,9424,252,-340,-398
320,-14384,132,4872,-81,-287,-111,-13076,3904,9452,276,-529,-356
340,-14772,240,4352,-114,10,161,-12880,4000,9580,265,-305,-306
360,-14484,208,4508,-662,104,432,-12932,4060,9608,279,77,-232
380,-14132,208,4992,-621,368,345,-13160,4064,9456,314,115,-280
400,-14280,376,5360,-204,145,160,-13204,4112,9440,320,-58,-281
420,-14572,324,4980,-246,-275,29,-13520,4072,9604,399,-568,-248
440,-14512,312,4840,-147,-448,12,-13068,4136,9336,331,-648,-190
460,-14420,300,4872,-206,-297,10,-13148,4024,9628,287,-252,-198
480,-14852,344,4816,1,-375,176,-13088,4024,9436,402,-329,-133
500,-14348,176,4760,-211,-402,392,-13064,4012,9512,463,-312,-71
520,-14384,304,4852,-377,3,491,-13004,4116,9648,422,-52,-32
540,-14360,396,4964,-268,180,638,-12948,4108,9360,398,101,-56
560,-14160,280,4904,-102,186,677,-13008,4056,9688,377,-51,-42
580,-13724,328,5036,-248,-4,405,-12944,4056,9592,435,-58,-175
600,-13620,312,5216,111,7,-35,-12988,4092,9476,420,-175,-361
620,-14284,360,4804,238,-371,-359,-13108,4048,9472,491,-573,-431
640,-15212,684,3928,104,-538,85,-12824,4160,9480,400,-577,-227
660,-14624,588,3960,-585,65,410,-13096,4236,9252,241,84,-136
680,-14372,296,5016,-876,148,405,-13340,4016,9416,177,207,-149
700,-14080,416,5508,-40,-152,78,-13480,4036,9512,209,-385,-143
720,-14512,412,4672,293,-394,133,-12600,4212,9532,279,-657,-257
740,-14340,292,4500,-275,-192,326,-12512,4112,9548,311,-81,-234
760,-14052,352,4812,-460,326,224,-13184,3992,9424,344,159,-275
780,-14500,428,5184,-214,33,141,-13468,4012,9472,342,-123,-255
800,-14540,540,4500,-159,-394,173,-13228,4120,9364,356,-506,-222
820,-14620,384,4452,-244,-117,349,-12820,4072,9388,282,-228,-160
840,-14124,380,4528,-344,386,536,-12812,4064,9412,269,257,-169
860,-14216,332,5020,-303,519,359,-13196,4072,9544,264,257,-244
880,-14400,444,4768,-226,89,147,-13412,4132,9488,372,-154,-213
900,-14524,384,4912,-40,-206,94,-13184,4100,9312,426,-542,-157
920,-14568,608,4480,142,-56,343,-12504,4208,9356,351,-353,-171
940,-13844,564,4172,-418,211,436,-12724,4144,9496,399,41,-232
960,-13940,352,4656,-710,572,181,-13188,4028,9360,315,141,-333
980,-14448,468,4980,3,178,-128,-13332,4016,9244,381,-294,-347
1000,-14224,480,4656,16,-418,-51,-13180,4160,9272,398,-644,-359
1020,-14180,460,4636,129,297,-31,-12560,4296,9220,332,-270,-408
1040,-14428,580,4548,-19,841,98,-12960,4260,9412,242,210,-449
1060,-14280,944,4840,-237,197,106,-13340,4140,9384,262,-78,-414
1080,-13932,504,4896,-346,57,-297,-13084,4108,9216,295,-435,-491
1100,-14324,760,4592,-448,387,-199,-12872,4176,9216,181,-297,-574
1120,-14488,860,4644,-994,413,44,-13148,4156,9332,188,-190,-458
1140,-15236,1424,4992,-2804,1030,538,-13668,4080,9252,-51,-113,-122
1160,-15708,3284,4168,-9134,2065,2204,-14848,4388,9920,-393,-1481,290
1180,-16992,4504,1608,-23430,3876,3773,-16172,4832,9668,-342,-3407,554
1200,-15336,-2508,7244,-28724,1270,3752,-16024,4900,8384,-36,-4318,724
1220,-16504,2724,6004,-29035,7374,5118,-15360,5068,7040,-326,-4120,1373
1240,-19260,-14536,15268,-32768,26003,12700,-14964,4224,8584,-370,-2604,2108
1260,-28376,-1992,6080,-27767,1453,14232,-13588,2700,15232,189,-779,2706
1280,-17400,2464,-9468,-21966,-181,12281,-14088,1940,16804,1826,1502,3616
1300,-24080,6024,-7848,-30941,6475,12366,-15248,3224,13964,3395,6406,5551
1320,-30408,2444,1352,-29972,-807,18245,-15748,4584,10856,3123,9976,9475
1340,-22008,-2788,6464,-21308,-7433,20664,-16500,4092,10948,4440,9484,12926
1360,-13744,-3524,5864,-8407,-10127,17172,-15036,6576,10108,4112,6816,11056
1380,-11896,1488,832,-5834,-10144,13042,-10892,5584,9620,4086,6761,12277
1400,-10624,3048,-256,-10253,-9111,9941,-11332,6580,9500,3834,4920,10962
1420,-9112,-468,4596,-16346,-7586,8313,-12356,6592,8480,4541,703,10346
1440,-6660,-2196,7620,-7746,-7760,4565,-9176,6660,6840,4417,-2463,8987
1460,-6140,-1780,8116,-278,-6456,2012,-7040,7596,5408,3736,-2135,6647
1480,-5692,3176,2680,-6610,-5849,153,-7380,7892,5936,2703,-1130,4838
1500,-6588,2988,4608,-9106,-2398,824,-8356,7904,5500,1967,-1067,3214
1520,-7244,1132,6896,-6070,-513,1064,-9188,8020,4236,1417,-998,1411
1540,-8096,-480,8952,-377,36,138,-9044,8496,4704,680,-1170,348
1560,-8680,2552,5208,1901,-1224,-1277,-8264,8564,5612,186,-1248,-893
1580,-7384,3296,3936,-5043,166,-522,-7704,8756,6068,-173,-832,-2213
1600,-8916,664,7192,-4833,2929,962,-8332,8168,5052,-594,868,-3161
1620,-9508,492,7348,-2108,3783,1245,-10120,8284,5504,-784,1376,-4383
1640,-9584,1136,6972,2432,3943,-811,-11120,7668,6592,-872,518,-4931
1660,-9412,1540,7148,7316,3396,-3770,-10492,7788,6892,-805,-1810,-5174
1680,-7900,-148,8116,14317,3694,-4963,-7544,7940,6736,-969,-2338,-5849
1700,-5244,-1448,6956,25179,2916,-7161,-6856,7420,7980,-1625,-80,-7940
1720,-3004,-1516,1924,32767,2223,-13876,-7704,6840,9716,-2455,616,-10744
1740,-8620,1260,-716,32767,547,-23700,-11208,4712,9144,-2625,410,-11681
1760,-14916,3228,-8400,32767,-1398,-25044,-13648,5528,7116,-1723,-579,-11992
1780,-20452,4496,-5776,32767,1463,-24431,-15644,6464,6636,-1522,-2282,-11950
1800,-25904,-692,14316,32767,-14863,-27016,-15480,7588,6328,-2594,-4196,-11233
1820,-20488,5636,6612,27757,-17235,-21843,-18068,4528,8036,-3062,-4815,-10134
1840,-21320,3544,8916,18736,-8008,-14540,-19032,4072,9652,-3011,-7464,-7995
1860,-26464,700,7836,15326,-5655,-8577,-16652,4112,11852,-2115,-7898,-6194
1880,-23352,1072,3872,7965,-3337,-4666,-14872,4064,11744,-945,-4295,-4059
1900,-21296,616,4272,1511,3561,-1252,-14720,4132,11108,-617,1011,-2511
1920,-20624,-524,7076,255,4480,1492,-15612,3624,10780,-471,3489,-1266
1940,-17904,-592,6756,840,1758,2695,-15636,3640,10996,116,3106,-143
1960,-14852,-304,6036,2104,733,2128,-15012,3812,10904,642,1269,39
1980,-14144,-20,3764,765,-744,1168,-14248,3836,10572,999,-98,-291
2000,-13992,24,4928,325,557,89,-13820,3788,9448,1027,-744,21
2020,-15000,596,5332,509,422,298,-13136,3924,8828,880,-958,-20
2040,-14768,492,3700,199,-66,1106,-12608,3960,8732,619,-108,36
2060,-13780,608,3052,-990,537,1099,-13280,3824,8684,435,517,-48
2080,-14076,644,4136,-902,893,694,-13696,3892,8584,174,332,-161
2100,-14348,576,4260,-886,-267,534,-13900,3852,8648,247,-553,-110
2120,-14568,768,3952,-635,-465,489,-12968,4152,8700,180,-601,-147
2140,-14380,432,3840,-33,791,664,-12876,4016,8444,5,262,-100
2160,-14440,648,4764,-103,674,678,-13612,4016,8892,137,411,-84
2180,-14152,824,5240,78,221,341,-13916,4020,8988,358,-197,-59
2200,-14464,708,5152,323,-78,165,-13360,4272,9068,538,-606,-111
2220,-14692,832,4776,752,-521,574,-12448,4256,9000,612,-265,-99
2240,-14196,888,4080,172,83,887,-13120,4220,9152,646,305,-53
2260,-13676,864,4316,-301,352,597,-13312,4168,8944,684,269,-213
2280,-14400,940,5104,420,558,139,-13672,4228,8908,675,-61,-205
2300,-15136,992,4212,712,-210,483,-13456,4132,8744,652,-382,-137
2320,-14808,1140,3600,226,-56,741,-13400,4264,8984,536,-117,-22
2340,-14188,1020,4180,-373,173,558,-13548,4196,8928,472,77,-90
2360,-14680,836,4332,-516,-327,453,-13688,3840,9012,558,-442,-78
2380,-14484,776,4548,87,145,478,-13372,4044,8768,542,-300,-40
2400,-13972,764,4220,176,250,509,-13056,4216,8968,495,-72,-175
2420,-13892,912,4456,120,143,138,-13248,4124,9104,479,-158,-348
2440,-14220,936,4360,69,-221,-76,-13396,4236,8876,462,-559,-361
2460,-14344,956,4216,-180,-126,-52,-13224,4096,8668,374,-510,-424
2480,-14820,908,4116,-130,427,240,-13156,4216,8948,264,-134,-423
2500,-14464,928,4440,-114,357,418,-13488,4276,8868,226,58,-377
2520,-13976,892,4224,-337,0,45,-13432,4292,9044,329,-164,-456
2540,-14404,1076,4332,-144,-171,-287,-13372,4400,8916,343,-353,-480
2560,-14792,1312,4028,-286,-434,-121,-13396,4340,8668,300,-541,-403
2580,-14864,1144,4004,-584,-128,115,-13552,4228,8784,162,-255,-271
2600,-14652,1036,4764,-372,-44,74,-13576,4348,8896,134,-220,-257
2620,-14564,1072,4564,-304,-65,174,-13332,4112,9016,221,-337,-228
2640,-14764,904,4632,-450,74,228,-13340,4208,8968,311,-185,-212
2660,-14636,980,4536,-67,-91,332,-13380,4208,8980,380,-248,-126
2680,-14308,1096,4380,-409,-201,387,-13260,4200,8900,409,-399,-160
2700,-14604,880,4148,-108,-128,357,-13284,4088,8848,364,-126,-204
2720,-14440,1008,3916,-414,13,362,-13496,4116,8972,431,-44,-206
2740,-14120,1132,4132,-749,73,203,-13308,4284,8980,409,-252,-256
2760,-14496,1092,4840,-178,-314,-42,-13528,4312,8564,384,-268,-298
2780,-14628,1144,4304,330,19,209,-13276,4236,8920,337,-296,-302
2800,-14268,928,3920,104,-88,164,-13380,4308,9060,328,-169,-356
2820,-14528,1064,3976,-281,-192,-56,-13352,4284,8832,366,-162,-306
2840,-14780,1104,4092,-411,-203,199,-13340,4220,8732,349,-238,-238
2860,-14604,1100,4456,-364,-92,145,-13636,4296,9020,313,-233,-259
2880,-14632,1140,4168,-581,-110,254,-13192,4344,8876,272,-252,-180
2900,-14196,1068,4364,-418,91,258,-13244,4340,8960,220,-91,-210
2920,-14604,1016,4324,-294,44,225,-13444,4316,9028,193,-46,-247
2940,-14688,1188,4196,-459,-44,253,-13468,4280,8936,251,-253,-188
2960,-14552,1152,4640,-348,-207,205,-13400,4172,8692,316,-351,-179
2980,-14312,1008,4320,-170,27,179,-13224,4220,8816,262,-366,-276
