Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-12868,4196,5916,37,52,90,-8964,8316,11512,341,70,-422
20,-13284,4348,5892,-59,-100,-38,-9488,8428,11628,366,-402,-370
40,-13240,4212,6036,-68,-182,-21,-9120,8344,11732,388,-446,-326
60,-12952,4320,6244,-26,-228,-60,-8920,8468,11664,455,-388,-323
80,-12944,4288,5948,8,-215,32,-9084,8384,11464,447,-49,-357
100,-13180,4460,5968,-162,-285,-15,-9108,8380,11576,460,-386,-320
120,-12996,4336,6092,-92,-253,-33,-9068,8428,11580,476,-232,-299
140,-12948,4328,5892,-80,-273,-70,-9004,8420,11512,445,-317,-292
160,-12816,4144,6124,-161,-111,30,-8756,8472,11632,418,12,-320
180,-13168,4376,5972,-129,-29,62,-9260,8404,11596,405,-61,-311
200,-12948,4276,6008,-118,-1,65,-8884,8348,11452,407,-4,-325
220,-13180,4236,5900,65,121,123,-9444,8324,11572,368,62,-337
240,-13208,4228,5816,-238,-211,45,-9200,8392,11652,332,-374,-254
260,-13160,4388,6044,-171,-272,-43,-9084,8244,11584,348,-440,-225
280,-12900,4256,5960,10,-169,17,-9016,8308,11348,366,-238,-233
300,-13092,4384,5876,-46,-181,39,-9004,8380,11472,337,-55,-278
320,-13188,4300,5948,5,-74,155,-9192,8408,11572,332,-4,-313
340,-13316,4412,6164,-42,-127,30,-9208,8388,11616,371,-294,-325
360,-13268,4368,5656,-135,-40,53,-9356,8352,11564,360,-50,-257
380,-13300,4136,6112,-299,-187,17,-9516,8512,11528,402,-320,-214
400,-13204,4132,5932,-60,-476,-209,-9080,8228,11544,373,-757,-246
420,-12744,4376,5956,93,-282,-5,-8732,8304,11228,386,-279,-292
440,-12952,4236,6024,12,139,166,-9104,8352,11524,431,8,-373
460,-13256,4196,5984,-35,57,71,-9156,8348,11660,455,-212,-413
480,-13412,4324,5776,-20,-147,-42,-9188,8484,11668,539,-371,-378
500,-13164,4304,5988,-140,-221,-61,-9108,8612,11452,507,-396,-304
520,-13008,4308,5792,-235,-107,5,-9020,8372,11416,422,-132,-268
540,-12924,4076,5840,-152,225,195,-8892,8368,11484,396,325,-283
560,-13116,3868,6160,-79,466,203,-8984,8156,12072,453,412,-341
580,-13480,3748,6784,-410,467,-2,-8676,8452,12368,30,383,-397
600,-13180,3608,7204,-1051,1389,158,-8228,8212,12196,-320,1282,-358
620,-13136,3284,7876,-1615,2755,404,-8808,7708,12096,558,1302,-275
640,-13336,2792,8356,-1075,3362,293,-9636,8512,12708,1556,143,-503
660,-14264,1188,10148,541,2008,344,-8804,7944,12208,2082,-2219,-1262
680,-13500,260,12156,3048,-1419,-163,-8680,8088,12008,3090,-3624,-2604
700,-11684,-1048,12188,6841,-3477,-897,-7620,8096,11832,4343,-4256,-4253
720,-9832,-1024,9992,11971,-665,-1165,-7408,7752,12228,5295,-3989,-5529
740,-9432,-60,6300,17691,1908,-2532,-7644,7544,11392,5309,-4370,-6556
760,-9872,-356,5164,25806,3264,-3767,-7788,8140,9356,4545,-3045,-7146
780,-10828,4572,1148,23215,1700,-4549,-8444,7944,9296,3351,-2461,-7989
800,-9932,6952,-4204,13918,-196,-5064,-8184,7236,11472,2574,-4133,-9660
820,-8284,10384,-8408,71,2810,-5885,-8104,7040,11048,1802,-4718,-9817
840,-8052,11876,-10928,-17887,10410,-8462,-10484,6716,10940,1000,-2705,-9309
860,-9664,9464,-8032,-23614,17389,-9335,-10168,7240,8444,-823,276,-7977
880,-12116,7700,-5400,-28006,21137,-8937,-10604,7876,7440,-3374,3651,-7498
900,-11836,4140,-2816,-27110,21219,-9434,-11116,6988,7544,-5639,3632,-7687
920,-11188,864,-772,-23384,17612,-12144,-10360,5920,8524,-7627,1659,-8355
940,-11496,-344,-984,-20550,16649,-15181,-9824,5552,8788,-8946,-176,-9053
960,-12996,-1092,-804,-20024,16881,-13902,-8284,4932,8444,-10096,-629,-10297
