Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-5972,8348,13672,-290,36,-510,-9324,5796,10900,-618,-23,-92
20,-5920,8396,13756,-382,8,-521,-9156,5804,10880,-608,91,-132
40,-5988,8356,13720,-375,130,-549,-9244,5764,10796,-605,144,-142
60,-6088,8392,13820,-310,184,-516,-9316,5828,10820,-616,67,-105
80,-6076,8336,13744,-289,90,-471,-9284,5772,10736,-634,-100,-103
100,-6052,8460,13616,-281,-8,-486,-9440,5760,10908,-614,-110,-88
120,-6012,8360,13644,-296,-33,-542,-9256,5792,10668,-545,92,-122
140,-6184,8372,13708,-272,-8,-566,-9208,5820,10700,-526,214,-146
160,-6100,8392,13884,-247,-37,-512,-9348,5740,10884,-531,30,-93
180,-6048,8336,13864,-258,-99,-491,-9304,5752,10920,-571,-190,-118
200,-6020,8512,13800,-268,-89,-515,-9192,5736,10836,-574,-98,-108
220,-6060,8412,13636,-223,-44,-520,-9372,5792,10712,-588,40,-95
240,-5992,8452,13644,-266,-58,-523,-9376,5884,10788,-577,54,-89
260,-5984,8440,13704,-257,-204,-487,-9248,5736,10696,-615,-138,-112
280,-5932,8264,13812,-298,-169,-444,-9104,5780,10848,-700,-263,-85
300,-5968,8364,13816,-234,-110,-427,-9224,5688,10812,-644,-213,-56
320,-6016,8340,13756,-318,-63,-466,-9140,5748,10976,-653,-153,-85
340,-6044,8388,13900,-321,-20,-523,-9168,5748,10824,-646,10,-118
360,-6020,8336,13716,-269,-19,-468,-9312,5780,10720,-623,17,-77
380,-6076,8356,13740,-233,36,-457,-9224,5636,10792,-638,-119,-63
400,-6036,8392,13580,-211,81,-403,-9140,5668,10896,-608,-206,-46
420,-6108,8312,13784,-147,36,-373,-9336,5768,10856,-555,-365,69
440,-6276,8452,13800,-317,433,-232,-9532,5652,11104,-178,-465,9
460,-5512,8492,14148,-866,1767,-614,-9168,5556,11456,-58,315,122
480,-5304,8780,14316,-1218,3469,-1176,-8524,5984,12300,-65,1866,228
500,-4236,8972,14592,-1613,7234,-1721,-8084,6364,12432,-181,3159,159
520,-3728,9756,15016,-2586,11926,-3338,-8764,6788,12588,-6,5930,-198
540,-4532,9552,13900,-4423,19738,-6436,-8160,6892,11524,-642,12760,-804
560,-7672,6584,15080,-5215,28971,-8472,-12032,4552,11220,713,23453,711
580,-10036,4372,13056,-3001,32767,-11695,-11276,4868,9480,1062,30009,1401
600,-8464,-1712,8376,-3644,32767,-8607,-13912,3548,8968,1761,32767,3691
620,-18624,9516,8136,-3544,32767,-5173,-13852,6052,5172,132,32767,5847
640,-18060,5280,6260,-7855,32767,-256,-17216,5776,4196,-871,32767,7096
660,-22280,7556,4552,-10936,32767,3571,-18196,5380,4104,-807,32767,8220
680,-17880,4100,4220,-13803,31081,6676,-17212,5544,2828,-295,23191,8682
700,-13788,3132,3068,-17529,17026,6401,-16244,4628,3556,-34,7340,8052
720,-9364,4228,-512,-19767,2695,1400,-13816,3988,3148,-25,-4760,6395
740,-7228,3444,-2344,-25273,-6982,-6017,-11424,4588,2096,-886,-9061,5325
760,-5984,3008,-1012,-29826,-15146,-13858,-10616,6068,120,-2630,-9974,3841
780,-9072,2940,432,-30760,-21568,-18509,-12160,6328,-160,-4126,-13983,800
800,-6292,936,2088,-30270,-31658,-21357,-12500,6088,-644,-5358,-23396,-998
820,-6084,840,4420,-28944,-32768,-24703,-10944,6484,-1264,-6485,-27626,-1835
840,-4916,360,6100,-28466,-32768,-27752,-9672,7424,-156,-8856,-29539,-3181
860,-4664,-1416,8392,-25710,-31871,-30311,-9376,7964,216,-10941,-29737,-5034
880,-6208,-2204,10012,-20180,-32768,-30407,-9360,6720,16,-13284,-32768,-4865
900,-5252,3772,13972,-18587,-32420,-29264,-5168,7328,3056,-14856,-32768,-5982
920,-5448,-2932,13956,-17936,-23116,-25385,-3332,7720,6112,-16340,-29868,-5724
940,-7368,-6012,14348,-15746,-20804,-21720,-4528,6640,10216,-17870,-22456,-4649
960,-8484,-8156,16852,-17237,-16760,-13998,-1740,6856,13080,-18140,-13543,-3934
980,-10416,-13108,18116,-21714,1607,-853,-1924,6108,18068,-16534,8419,-3908
1000,-21644,-22152,25932,-24510,16476,14466,-10168,5340,22232,-13335,32767,-1538
1020,-32768,-26596,31916,-26221,28208,30506,-20668,6228,19484,-8608,32767,4451
1040,-32768,-27980,32656,-19144,32767,32767,-26116,8196,12564,-5828,32767,12662
1060,-32768,-23672,29368,-8275,32767,32767,-31876,10408,5752,-5460,32767,22972
1080,-31212,-21216,21928,1363,32767,32767,-31824,10832,4400,-8458,32767,31386
1100,-18912,-17264,16396,7835,28675,32767,-24844,9184,4704,-9838,32767,32767
1120,-8720,-13584,13336,12693,16088,32767,-19868,6084,6024,-9908,30919,32767
1140,-2752,-10328,10772,14353,6919,32767,-13204,4896,6588,-8565,15985,32767
1160,2448,-3096,8460,14315,-2170,32767,-7168,3852,5976,-6003,6667,31707
