Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16484,-420,-5288,-414,-15,-102,12948,-5120,-8484,343,-121,-155
20,16432,-528,-5244,-493,-29,-228,12748,-4932,-8260,383,34,-251
40,16588,-456,-5536,-348,-230,-111,12576,-4952,-8156,336,-215,-312
60,16688,-352,-5092,44,-392,104,12696,-4920,-8284,307,-352,-391
80,16696,-284,-5144,-34,-433,114,12980,-5084,-8520,293,-345,-447
100,16868,-108,-5180,-409,-227,-32,13084,-4960,-8388,294,-100,-397
120,17124,-284,-5432,-292,-164,19,12948,-5112,-8376,269,-238,-343
140,17060,-200,-5476,177,-417,292,13000,-5004,-8296,244,-471,-260
160,16812,128,-4960,-135,-533,379,13268,-4976,-8400,216,-381,-227
180,16668,-124,-5080,-614,-423,-23,13388,-5132,-8512,246,-54,-277
200,16680,-140,-5348,-919,-138,-506,13272,-5228,-8180,326,392,-306
220,16872,-248,-5328,-907,35,-708,12800,-5152,-7988,347,546,-357
240,16912,-372,-5732,-568,-81,-422,12732,-5116,-7880,397,135,-411
260,17100,-80,-5640,153,-423,10,13248,-4972,-8092,298,-351,-482
280,17144,48,-5248,108,-438,206,13140,-5080,-8364,363,-548,-380
300,16908,148,-4980,-249,-403,155,13396,-4996,-8356,286,-447,-360
320,16880,-172,-5352,-528,-92,-129,13208,-5136,-8260,338,-80,-233
340,16844,-124,-5584,-484,14,-219,13236,-4976,-8200,352,6,-186
360,16972,-340,-5544,-253,0,-141,12996,-5000,-7984,359,-107,-206
380,16916,-224,-5424,-80,-254,151,12972,-4840,-8064,273,-472,-222
400,16724,-232,-5180,62,-398,231,13016,-5040,-8396,288,-537,-235
420,16620,-128,-5360,-164,-336,-88,13296,-4936,-8572,332,-213,-209
440,16860,-272,-5544,-502,-67,-343,12956,-5036,-8404,380,43,-186
460,17040,-320,-5596,-383,-109,-84,12856,-5084,-8192,382,-193,-217
480,16828,-212,-5588,125,-254,324,12852,-4976,-8024,300,-564,-224
500,16636,-172,-5300,224,-496,453,13056,-5112,-8332,199,-659,-240
520,16512,20,-5140,-113,-551,162,13108,-5068,-8296,183,-413,-239
540,16540,-112,-4992,-472,-356,-279,13052,-5188,-8248,199,-53,-255
560,16632,-308,-5452,-390,-267,-202,12768,-5060,-8128,124,-94,-336
580,16664,-240,-5528,-134,-472,16,12748,-5032,-7964,98,-380,-387
600,16228,-308,-5656,624,-536,-108,12968,-5032,-8220,5,-519,-532
620,16184,-380,-5240,1185,-646,-919,13484,-5164,-8608,134,-288,-514
640,15860,-28,-4992,1163,-844,-1989,13504,-5196,-8828,334,-10,-506
660,15100,-184,-4900,1013,-1780,-3631,13588,-5448,-8980,597,-276,-364
680,15428,-716,-5208,2309,-2012,-5647,13428,-5540,-9028,736,12,-393
700,16284,-912,-6700,6319,-1635,-7676,13692,-5740,-8740,641,-459,-426
720,18260,-1144,-8284,12289,-425,-8782,13780,-6428,-8676,1030,-173,-720
740,20032,-1296,-9280,19424,2639,-9799,14940,-6952,-9392,2097,2044,-1073
760,21692,-816,-9420,23731,3362,-9558,15936,-6948,-10372,3700,1202,-600
780,23808,404,-8152,22889,4369,-9633,15828,-6904,-10772,5295,-8,456
800,25620,1164,-7328,19108,4546,-6361,13676,-7052,-10260,6475,-3524,1193
820,26500,704,-9496,19641,6252,-2295,13772,-7476,-11264,7698,-9116,2303
840,27288,2364,-7632,21975,9074,67,16304,-7336,-13104,9621,-11216,3886
860,29716,2292,-7924,18795,14514,1567,15808,-7352,-12524,11559,-11691,5705
880,28860,944,-10072,16802,19411,3729,14604,-7836,-12224,13269,-14715,7402
900,28864,-444,-11692,17474,23458,9410,13760,-8256,-10436,14247,-18617,7952
920,22428,2460,-8648,19937,27475,12492,11152,-8916,-9976,15372,-23218,9052
940,18652,6564,-5828,19552,28185,16204,13044,-8072,-7960,15429,-25193,9303
960,10204,9280,-3720,16408,30430,15282,11268,-8396,-4488,15299,-23701,9574
980,7048,6312,-1416,15539,27143,14294,8964,-7648,-3676,12769,-22000,9312
1000,6680,2184,1956,18200,22356,19848,1696,-8904,-3992,11388,-20235,7263
1020,-1484,-208,4896,17276,17600,20799,4080,-6884,-6840,8891,-21092,3600
1040,-8156,-1140,8648,11457,7547,11744,6852,-8216,-7012,8215,-14877,1358
1060,-4132,-844,8952,3647,-985,-1878,5868,-7500,-8144,6685,-3037,-136
1080,2924,-2360,6236,1190,-5103,-9567,3860,-8252,-8424,4937,5135,-1604
1100,12728,-1984,4688,-160,-6895,-8282,1724,-8588,-7144,3003,6161,-3001
1120,16384,-2232,2036,790,-7156,-3505,3280,-9084,-8796,176,1517,-4834
1140,16676,-1844,2484,-92,-5523,-1796,4648,-8968,-9024,-821,-3010,-4632
1160,17536,-1512,3008,-2007,-4893,-387,6788,-10212,-10764,-1404,-2678,-3603
1180,17956,-2204,2356,-1796,-5254,388,6740,-10220,-10212,-1436,-581,-2313
1200,18064,-3028,1236,-78,-3036,452,7264,-10404,-10100,-1694,918,-1301
1220,17444,-2688,2388,748,-1309,1112,6608,-10780,-10140,-2177,168,-919
1240,17612,-1924,3688,-621,-561,1117,7232,-10728,-10968,-2398,1476,-574
1260,16472,-2504,3584,-2663,-387,942,6980,-10772,-10976,-1361,-278,-90
1280,15680,-3032,3144,-3189,-550,67,6788,-10908,-9932,-792,1491,553
1300,14116,-2824,3780,-3544,-1333,-441,6076,-10512,-9572,-314,2134,312
1320,13508,-2484,4040,-4487,-2772,-1221,6320,-10028,-9932,-707,2235,-309
1340,13232,-2188,3972,-5152,-4722,-2615,7236,-10200,-10356,-1032,5171,-951
1360,13792,-2528,3468,-7444,-5575,-5087,5880,-10156,-9868,-631,6301,-1214
1380,16932,-2920,1680,-9541,-5011,-4396,5192,-9624,-8352,-704,4999,-1319
1400,16780,-2936,532,-7650,-4169,-1498,6112,-9308,-7804,-1682,3334,-1711
1420,14544,-1784,1096,-4713,-4169,423,7184,-9292,-8268,-2768,3605,-2233
1440,11640,-636,3080,-5387,-4487,-1885,8164,-9132,-8340,-3936,5785,-2961
1460,10332,12,3024,-8783,-7049,-5046,8252,-9236,-8396,-5012,8988,-3192
1480,10680,-92,2640,-11808,-9276,-7769,8504,-8824,-8752,-6186,11361,-3876
1500,12860,2172,2044,-14489,-9717,-8736,6968,-8728,-7932,-6935,15019,-4675
1520,15348,2712,1704,-15694,-10003,-7555,6780,-8016,-7624,-7584,16482,-5550
1540,15480,1432,60,-18714,-7830,-8520,8508,-7984,-9584,-7826,17672,-6042
1560,16712,-1088,-2544,-20908,-8546,-8008,10004,-7620,-8924,-7504,14803,-6478
1580,18488,-3304,-4800,-21806,-8759,-7061,10556,-7980,-7904,-6948,11862,-6491
1600,18516,-3288,-6668,-18826,-8175,-4754,11740,-7212,-8048,-6823,10353,-6874
1620,18312,-2624,-5656,-15901,-8091,-3285,12408,-7008,-8324,-6826,9531,-7062
1640,18760,-1604,-5492,-12183,-9377,-2050,12676,-7324,-9484,-6407,8004,-6722
1660,20384,-1064,-5716,-10979,-8956,-1560,14148,-6868,-8496,-5979,5307,-5970
1680,20600,68,-4908,-9316,-6349,-1436,13792,-6756,-7820,-5486,5526,-5312
1700,16728,2388,-2096,-10165,-4773,-1793,14180,-6732,-8072,-5490,5984,-5244
1720,17216,2568,-2796,-9246,-8019,-81,12668,-6168,-7408,-5788,6655,-5245
1740,15504,3312,-1916,-9687,-8807,-1492,16668,-5460,-9052,-5968,3269,-4494
