Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15116,3300,-660,54,-366,66,-13380,4384,-6260,442,-631,-162
20,-14908,3444,-920,316,-61,303,-13544,4380,-6404,683,-423,-224
40,-14784,3408,-1308,267,-184,11,-13828,4444,-6720,733,-194,-155
60,-15092,3528,-1556,-77,-828,-412,-13876,4464,-6304,619,-195,-145
80,-15300,3416,-1344,-564,-811,-312,-13644,4488,-6740,380,-402,-221
100,-15384,3392,-1208,-536,223,246,-13424,4396,-6296,191,-198,-425
120,-15020,3116,-904,-393,281,311,-13796,4480,-6384,337,-25,-454
140,-14788,3184,-712,-49,-54,-61,-13940,4380,-6308,483,-46,-481
160,-14804,3156,-1052,-58,-457,-465,-14040,4580,-6192,483,-198,-530
180,-15248,3324,-1124,-422,-255,-584,-13956,4512,-6240,400,-322,-649
200,-15416,3108,-948,-480,229,-293,-14028,4596,-6308,324,-316,-819
220,-15436,3072,-584,-398,489,-207,-14236,4504,-6448,319,-342,-823
240,-15604,3008,-568,-198,89,-423,-14520,4576,-6380,348,-287,-784
260,-15572,2956,-840,-180,-379,-562,-14156,4480,-6040,350,-481,-736
280,-15476,3012,-1088,-350,-173,-383,-14192,4452,-5932,285,-604,-766
300,-15176,2800,-616,-535,-248,-451,-14080,4372,-5852,225,-852,-827
320,-14912,2604,-332,-342,-180,-839,-14516,4520,-5940,225,-965,-862
340,-14900,2580,-172,-27,-641,-1298,-14068,4392,-5708,317,-1380,-876
360,-14596,2612,-148,202,-1014,-1647,-13900,4332,-5516,488,-1662,-880
380,-15004,2852,-764,408,-863,-1368,-13212,4440,-4964,641,-1980,-1167
400,-15352,2448,-648,434,-1245,-656,-13568,4480,-5428,877,-1853,-1584
420,-16720,1708,1820,4030,-4589,-431,-13168,4548,-5384,904,-1270,-1692
440,-15732,1048,1704,12714,-10829,-1412,-13276,4628,-5136,1132,-610,-2363
460,-14940,3244,-1072,17123,-10838,-426,-12960,4236,-5088,1008,82,-3000
480,-13132,3060,-404,12736,-8599,-540,-13160,3852,-6084,1032,1747,-3741
500,-12740,6476,-2396,7713,-4002,-655,-13956,3772,-5884,681,3224,-4494
520,-12224,2868,1400,-1336,1788,-1427,-14160,3836,-5992,408,3224,-4854
540,-12104,4468,-148,-2911,5760,-618,-14340,3740,-6020,397,2873,-6412
560,-12632,4976,1060,-7808,9605,-1552,-15208,3872,-6648,16,2151,-6934
580,-15200,3432,2048,-15688,8210,-3053,-15496,3172,-7872,-433,220,-8011
600,-20020,4256,-1600,-18153,5253,-2883,-15624,3556,-7728,-1446,-312,-8117
620,-20396,5348,-5740,-24749,8874,-179,-17628,3684,-8820,-1970,-175,-8354
640,-27144,1020,-11676,-32768,13987,7811,-18160,3484,-10484,-2616,2091,-7041
660,-32516,10304,-12920,-32768,22213,18279,-19448,3696,-10496,-5732,6792,-5146
680,-28820,-1364,-11188,-32768,27392,24441,-22756,2748,-11348,-6667,9837,-1715
700,-27452,-5384,-5120,-32768,18897,18846,-22912,4596,-12924,-8556,8261,3066
720,-19896,-5484,-4712,-32768,21742,10201,-22280,4300,-12076,-10327,2598,6917
740,-25192,-9040,15504,-32768,3532,2230,-18344,4128,-4472,-12935,-3213,8029
760,-18336,-4120,5336,-5427,-5830,-2554,-15828,-344,-3144,-10060,-6613,11178
780,-9004,9624,-3256,-5882,-5015,-8404,-14964,4900,-3304,-4917,-12660,12972
800,-13260,5168,3444,-4703,-5007,-11312,-11068,2180,-5764,-3784,-14821,13955
820,-8968,4760,1964,-5166,-3000,-15190,-10184,3856,-6104,-4997,-14787,12272
840,-6792,3748,1460,-3590,-1932,-15440,-9472,3772,-5516,-4235,-13182,11831
860,-10652,2308,3356,-986,-884,-13650,-6188,5080,-3732,-3879,-10365,10897
880,-10216,3360,1448,-1990,-3845,-10614,-8112,5416,-3532,-3888,-8788,8270
900,-9520,1484,1360,-2603,-3263,-7513,-8048,4876,-2708,-3060,-5715,6676
920,-10704,-1152,2292,-1368,-2968,-8653,-10560,5128,-3612,-1233,-4449,6288
940,-12168,-396,2176,1016,-3629,-6253,-9596,5872,-4392,-108,-4420,5932
960,-12196,1556,1156,2556,-3855,-2107,-9012,5564,-2360,104,-552,4052
980,-11460,2628,404,1121,-3189,-125,-11208,6120,-2112,1282,1485,3198
1000,-12516,1500,1216,-351,-2182,-214,-11888,6192,-2832,2138,3347,2301
1020,-14160,828,1916,-349,-1973,-107,-12792,7168,-4916,2048,3002,1518
1040,-13988,2452,1412,-129,-1745,1314,-12584,7768,-3396,595,1550,599
1060,-13376,2476,1324,-1343,-707,2614,-12760,7652,-3552,774,2206,185
1080,-13724,1368,2248,-1972,294,2044,-13404,7872,-3828,817,2042,-602
1100,-15132,-96,2512,-869,447,1100,-13584,8068,-4320,714,761,-683
1120,-15936,712,2560,583,-328,637,-13544,8368,-4532,157,-87,-806
1140,-16152,1364,2480,667,-768,2163,-13384,8280,-3932,455,873,-924
1160,-14732,1652,1452,910,-311,2704,-13836,8412,-3528,952,1248,-1033
1180,-14700,1812,1796,-45,389,801,-14280,7928,-3480,1087,163,-658
1200,-15988,1060,2800,-470,544,-604,-13560,7976,-4804,1384,-805,-262
1220,-16204,1640,2608,952,-440,449,-12784,8396,-5080,794,-970,-124
1240,-15508,1888,2340,1343,-814,1302,-13292,8412,-4544,550,251,-237
1260,-15008,1784,2000,901,-517,591,-13832,8404,-3792,642,448,-136
1280,-15452,1808,2152,531,-381,-156,-13392,8292,-4080,868,670,333
1300,-16048,1648,2524,191,-924,-578,-13036,8148,-4532,1094,131,359
1320,-15316,2032,2568,822,-1113,428,-12884,8384,-4556,869,-140,449
1340,-14804,2400,2356,633,-1010,521,-13308,8256,-4336,620,-259,133
1360,-14600,1592,2532,650,-518,536,-13140,8172,-4184,470,-388,169
1380,-14664,1064,2732,245,-66,159,-12940,8184,-4168,493,-381,-164
1400,-14808,1432,2720,364,-92,101,-12920,8348,-4468,529,-505,-353
1420,-15016,2284,2320,381,-307,-39,-12880,8016,-4332,502,-583,-592
1440,-15096,2460,2140,-144,-286,298,-12976,8080,-4356,565,-276,-547
1460,-14592,1964,1924,-27,9,613,-13096,7948,-4308,598,88,-532
1480,-14740,1444,2284,-178,236,127,-13392,8128,-4412,726,-95,-336
1500,-15264,1488,2604,413,88,-43,-12948,8328,-4596,874,-374,-230
1520,-14920,1940,2220,812,-41,117,-13084,8088,-4604,778,-380,-278
1540,-15084,1852,2340,927,-82,67,-12940,8004,-4716,717,-329,-282
1560,-14892,2028,2392,904,-247,277,-12860,7988,-4428,555,-102,-218
1580,-14288,2228,2048,599,-101,330,-12920,8012,-4232,484,35,-415
1600,-14716,1464,2460,293,226,189,-13108,7820,-4240,796,-117,-477
1620,-15280,1204,2560,750,9,32,-12960,8116,-4244,976,-682,-428
1640,-15124,2016,2348,1221,-229,239,-12816,7864,-4288,1059,-765,-387
1660,-14656,1888,2284,1249,-217,879,-12860,7848,-4644,1047,-315,-507
1680,-14492,1992,2376,1298,76,537,-12964,7868,-4468,1127,-260,-764
1700,-14364,2004,2416,1275,418,224,-12948,7880,-4388,1138,-294,-753
1720,-14412,2896,1948,504,733,-415,-12960,7952,-4120,1253,-689,-815
1740,-15352,2556,2088,2,696,318,-12712,7672,-4768,1399,-491,-714
1760,-14928,2224,2280,190,545,930,-12836,7720,-4820,1260,-20,-972
1780,-14848,2132,2312,847,565,1027,-13064,7880,-4912,1199,99,-1085
1800,-15008,1984,2208,1242,590,1166,-13448,7816,-4900,1018,278,-1113
1820,-15072,3016,1464,857,466,891,-13116,7848,-4212,952,145,-1273
1840,-15096,2356,1916,51,572,627,-13496,7624,-4480,1197,227,-1108
1860,-15232,2476,1744,-25,571,597,-13136,8148,-5020,1166,85,-1266
1880,-15096,2620,2128,276,799,468,-13816,7956,-5164,863,-158,-1374
1900,-15328,3232,1492,422,882,397,-13400,7828,-4788,509,-392,-1407
1920,-15740,2432,1996,-11,805,485,-13540,7652,-4500,634,-203,-1223
